Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-16 11:59:40.01;0.00:00:00:078;0.96;-0.02;-0.27;7.209E-06;6.404E-06;-1.067E-07;-1.786E-06;-0.48;-7.79;92.25;24.78;88.86;7.209E-06;6.65E-06;5.589E-07;-51.421;-51.772;-62.527;0.98;-93.42;
2026-01-16 11:59:40.06;0.00:00:00:127;0.94;0.02;-0.33;7.093E-06;6.537E-06;1.346E-07;-2.29E-06;0.59;-9.65;97.67;32.29;92.18;7.093E-06;6.928E-06;1.652E-07;-51.491;-51.594;-67.819;0.97;-86.64;
2026-01-16 11:59:40.11;0.00:00:00:173;0.96;0.00;-0.28;7.16E-06;6.565E-06;-1.324E-08;-1.946E-06;-0.06;-8.26;95.64;27.19;91.70;7.16E-06;6.848E-06;3.118E-07;-51.451;-51.645;-65.061;0.98;-90.39;
2026-01-16 11:59:40.17;0.00:00:00:236;0.95;0.05;-0.29;7.272E-06;6.835E-06;3.648E-07;-2.092E-06;1.53;-8.50;98.42;28.78;94.12;7.272E-06;7.157E-06;1.147E-07;-51.384;-51.453;-69.405;0.98;-80.11;
2026-01-16 11:59:40.22;0.00:00:00:288;0.94;0.08;-0.34;6.994E-06;6.292E-06;5.698E-07;-2.278E-06;2.59;-9.91;96.03;32.57;90.33;6.994E-06;6.716E-06;2.78E-07;-51.553;-51.729;-65.560;0.97;-75.96;
2026-01-16 11:59:40.28;0.00:00:00:346;0.98;0.09;-0.20;7.966E-06;7.43E-06;7.037E-07;-1.53E-06;2.71;-5.79;95.63;19.21;93.68;7.966E-06;7.618E-06;3.479E-07;-50.988;-51.182;-64.586;0.99;-65.31;
2026-01-16 11:59:40.33;0.00:00:00:394;0.95;0.05;-0.31;7.125E-06;6.568E-06;3.685E-07;-2.178E-06;1.61;-9.16;97.25;30.56;92.33;7.125E-06;6.929E-06;1.956E-07;-51.472;-51.593;-67.086;0.97;-80.40;
2026-01-16 11:59:40.37;0.00:00:00:440;0.97;0.00;-0.25;7.649E-06;7.09E-06;2.952E-08;-1.82E-06;0.12;-7.20;95.70;23.80;92.69;7.649E-06;7.32E-06;3.291E-07;-51.164;-51.355;-64.826;0.98;-89.07;
2026-01-16 11:59:40.42;0.00:00:00:486;0.95;0.03;-0.30;6.91E-06;6.38E-06;2.282E-07;-2.023E-06;1.02;-8.79;96.91;29.27;92.38;6.91E-06;6.697E-06;2.135E-07;-51.605;-51.741;-66.706;0.98;-83.56;
2026-01-16 11:59:40.47;0.00:00:00:533;0.93;0.10;-0.36;6.885E-06;6.263E-06;6.419E-07;-2.421E-06;2.93;-10.51;97.97;35.16;91.44;6.885E-06;6.745E-06;1.4E-07;-51.621;-51.710;-68.538;0.96;-75.15;
