Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-16 10:41:05.84;0.00:00:00:049;0.20;0.21;-0.96;6.616E-06;1.245E-06;1.253E-06;-5.836E-06;22.59;-36.58;92.18;88.22;26.70;6.616E-06;6.098E-06;5.176E-07;-51.794;-52.148;-62.860;0.60;-77.88;
2026-01-16 10:41:05.90;0.00:00:00:100;0.20;0.34;-0.92;6.595E-06;1.229E-06;2.12E-06;-5.687E-06;29.95;-33.35;93.89;86.23;37.15;6.595E-06;6.192E-06;4.027E-07;-51.808;-52.081;-63.950;0.60;-69.56;
2026-01-16 10:41:05.94;0.00:00:00:149;0.20;0.21;-0.96;6.919E-06;1.268E-06;1.282E-06;-5.915E-06;22.66;-36.52;89.37;85.49;26.06;6.919E-06;6.183E-06;7.352E-07;-51.600;-52.088;-61.336;0.60;-77.77;
2026-01-16 10:41:05.99;0.00:00:00:199;0.19;0.39;-0.90;6.767E-06;1.174E-06;2.451E-06;-5.626E-06;32.20;-32.11;92.33;83.13;40.16;6.767E-06;6.248E-06;5.192E-07;-51.696;-52.043;-62.847;0.59;-66.46;
2026-01-16 10:41:06.05;0.00:00:00:250;0.19;0.29;-0.94;6.692E-06;1.196E-06;1.882E-06;-5.994E-06;28.77;-34.80;95.56;89.57;33.32;6.692E-06;6.395E-06;2.969E-07;-51.745;-51.942;-65.274;0.59;-72.57;
2026-01-16 10:41:06.10;0.00:00:00:301;0.16;0.44;-0.89;6.522E-06;9.299E-07;2.616E-06;-5.312E-06;35.21;-31.20;91.90;81.45;42.56;6.522E-06;5.993E-06;5.285E-07;-51.856;-52.223;-62.770;0.58;-63.78;
2026-01-16 10:41:06.14;0.00:00:00:347;0.23;0.29;-0.93;6.781E-06;1.473E-06;1.799E-06;-5.855E-06;25.34;-34.17;92.90;86.34;34.29;6.781E-06;6.299E-06;4.813E-07;-51.687;-52.007;-63.176;0.62;-72.92;
2026-01-16 10:41:06.19;0.00:00:00:396;0.16;0.37;-0.92;6.356E-06;9.49E-07;2.221E-06;-5.502E-06;33.43;-33.15;94.55;86.58;38.01;6.356E-06;6.009E-06;3.463E-07;-51.968;-52.212;-64.605;0.58;-68.02;
2026-01-16 10:41:06.24;0.00:00:00:445;0.12;0.28;-0.95;6.505E-06;7.718E-07;1.773E-06;-5.958E-06;33.24;-36.01;96.29;91.59;29.73;6.505E-06;6.264E-06;2.413E-07;-51.868;-52.032;-66.175;0.56;-73.43;
2026-01-16 10:41:06.29;0.00:00:00:498;0.13;0.30;-0.95;6.306E-06;8.006E-07;1.81E-06;-5.766E-06;33.07;-35.53;96.68;91.44;31.39;6.306E-06;6.096E-06;2.095E-07;-52.003;-52.149;-66.788;0.57;-72.57;
2026-01-16 10:41:06.34;0.00:00:00:546;0.19;0.26;-0.95;6.713E-06;1.22E-06;1.663E-06;-6.102E-06;26.86;-35.66;95.96;90.90;30.73;6.713E-06;6.441E-06;2.714E-07;-51.731;-51.910;-65.664;0.59;-74.76;
2026-01-16 10:41:06.39;0.00:00:00:595;0.11;0.29;-0.95;6.373E-06;6.685E-07;1.686E-06;-5.53E-06;34.19;-35.92;91.32;86.77;28.47;6.373E-06;5.82E-06;5.533E-07;-51.956;-52.351;-62.571;0.56;-73.04;
2026-01-16 10:41:06.44;0.00:00:00:648;0.12;0.36;-0.92;6.029E-06;7.159E-07;2.112E-06;-5.417E-06;35.64;-33.81;97.16;89.85;37.00;6.029E-06;5.858E-06;1.71E-07;-52.197;-52.322;-67.670;0.56;-68.70;
2026-01-16 10:41:06.49;0.00:00:00:697;0.14;0.30;-0.94;6.567E-06;8.279E-07;1.846E-06;-5.715E-06;32.92;-35.25;92.32;87.03;30.81;6.567E-06;6.063E-06;5.041E-07;-51.826;-52.173;-62.975;0.57;-72.10;
2026-01-16 10:41:06.54;0.00:00:00:746;0.14;0.26;-0.95;6.348E-06;8.663E-07;1.591E-06;-5.81E-06;30.71;-36.34;95.87;91.52;28.53;6.348E-06;6.086E-06;2.623E-07;-51.973;-52.157;-65.812;0.57;-74.69;
2026-01-16 10:41:06.59;0.00:00:00:798;0.16;0.28;-0.95;6.579E-06;9.419E-07;1.702E-06;-5.733E-06;30.52;-35.63;92.02;87.14;29.57;6.579E-06;6.054E-06;5.251E-07;-51.818;-52.180;-62.797;0.58;-73.46;
2026-01-16 10:41:06.64;0.00:00:00:849;0.24;0.38;-0.89;6.739E-06;1.509E-06;2.414E-06;-5.639E-06;28.99;-31.61;93.73;83.67;42.24;6.739E-06;6.317E-06;4.225E-07;-51.714;-51.995;-63.741;0.62;-66.83;
2026-01-16 10:41:06.69;0.00:00:00:898;0.19;0.37;-0.91;6.752E-06;1.16E-06;2.33E-06;-5.692E-06;31.77;-32.72;92.69;84.30;38.54;6.752E-06;6.259E-06;4.933E-07;-51.706;-52.035;-63.069;0.59;-67.74;
2026-01-16 10:41:06.74;0.00:00:00:945;0.17;0.31;-0.94;6.849E-06;9.857E-07;1.787E-06;-5.476E-06;30.56;-34.78;85.32;79.95;29.79;6.849E-06;5.844E-06;1.006E-06;-51.644;-52.333;-59.976;0.58;-71.93;
2026-01-16 10:41:06.79;0.00:00:00:994;0.23;0.38;-0.90;6.781E-06;1.457E-06;2.355E-06;-5.575E-06;29.13;-31.79;91.80;82.22;40.84;6.781E-06;6.225E-06;5.561E-07;-51.687;-52.058;-62.549;0.62;-67.10;
2026-01-16 10:41:06.84;0.00:00:01:045;0.12;0.30;-0.95;6.59E-06;7.138E-07;1.809E-06;-5.808E-06;34.23;-35.75;92.94;88.13;29.50;6.59E-06;6.125E-06;4.652E-07;-51.811;-52.129;-63.323;0.56;-72.70;
2026-01-16 10:41:06.89;0.00:00:01:095;0.20;0.36;-0.91;6.222E-06;1.174E-06;2.119E-06;-5.365E-06;30.50;-32.85;94.62;86.23;38.94;6.222E-06;5.887E-06;3.347E-07;-52.061;-52.301;-64.753;0.60;-68.45;
2026-01-16 10:41:06.94;0.00:00:01:145;0.15;0.38;-0.91;6.498E-06;9.424E-07;2.355E-06;-5.604E-06;34.09;-32.83;94.67;86.25;39.03;6.498E-06;6.152E-06;3.462E-07;-51.872;-52.110;-64.606;0.58;-67.21;
2026-01-16 10:41:06.99;0.00:00:01:197;0.19;0.35;-0.92;6.493E-06;1.171E-06;2.122E-06;-5.58E-06;30.55;-33.26;93.69;85.93;37.33;6.493E-06;6.084E-06;4.097E-07;-51.875;-52.158;-63.875;0.60;-69.18;
2026-01-16 10:41:07.04;0.00:00:01:247;0.17;0.29;-0.94;6.428E-06;1.033E-06;1.749E-06;-5.643E-06;29.71;-35.10;93.30;87.79;31.60;6.428E-06;5.998E-06;4.306E-07;-51.919;-52.220;-63.660;0.59;-72.78;
2026-01-16 10:41:07.10;0.00:00:01:300;0.08;0.47;-0.88;5.938E-06;4.588E-07;2.802E-06;-5.221E-06;40.35;-30.73;100.08;87.92;47.81;5.938E-06;5.943E-06;-4.501E-09;-52.263;-52.260;-99.990;0.54;-61.78;
2026-01-16 10:41:07.14;0.00:00:01:346;0.13;0.31;-0.94;6.271E-06;7.755E-07;1.885E-06;-5.687E-06;33.82;-35.14;96.34;90.68;32.51;6.271E-06;6.041E-06;2.298E-07;-52.027;-52.189;-66.386;0.56;-71.66;
2026-01-16 10:41:07.19;0.00:00:01:396;0.15;0.30;-0.94;6.087E-06;8.514E-07;1.756E-06;-5.526E-06;32.07;-35.28;96.27;90.78;32.06;6.087E-06;5.861E-06;2.268E-07;-52.156;-52.321;-66.444;0.57;-72.37;
2026-01-16 10:41:07.24;0.00:00:01:449;0.15;0.26;-0.95;6.495E-06;9.595E-07;1.64E-06;-5.904E-06;29.83;-36.08;95.50;90.91;29.25;6.495E-06;6.202E-06;2.924E-07;-51.874;-52.074;-65.340;0.58;-74.48;
2026-01-16 10:41:07.29;0.00:00:01:499;0.17;0.25;-0.95;6.499E-06;1.046E-06;1.5E-06;-5.722E-06;27.55;-36.14;92.44;88.05;28.14;6.499E-06;6.007E-06;4.915E-07;-51.872;-52.213;-63.084;0.59;-75.31;
2026-01-16 10:41:07.34;0.00:00:01:549;0.20;0.31;-0.93;6.516E-06;1.161E-06;1.792E-06;-5.367E-06;28.53;-34.16;88.65;82.37;32.76;6.516E-06;5.776E-06;7.398E-07;-51.860;-52.384;-61.309;0.60;-71.54;
2026-01-16 10:41:07.39;0.00:00:01:599;0.23;0.25;-0.94;6.408E-06;1.375E-06;1.492E-06;-5.681E-06;23.67;-35.17;94.13;88.64;31.67;6.408E-06;6.032E-06;3.762E-07;-51.933;-52.195;-64.246;0.61;-75.28;
2026-01-16 10:41:07.44;0.00:00:01:648;0.10;0.36;-0.93;6.231E-06;6.256E-07;2.208E-06;-5.691E-06;37.09;-34.02;98.48;91.34;36.83;6.231E-06;6.136E-06;9.451E-08;-52.055;-52.121;-70.245;0.55;-68.80;
2026-01-16 10:41:07.50;0.00:00:01:701;0.11;0.27;-0.96;6.085E-06;6.844E-07;1.619E-06;-5.767E-06;33.54;-36.52;99.07;94.77;28.89;6.085E-06;6.029E-06;5.648E-08;-52.157;-52.198;-72.481;0.56;-74.31;
2026-01-16 10:41:07.55;0.00:00:01:752;0.19;0.31;-0.93;6.586E-06;1.198E-06;1.942E-06;-5.744E-06;29.16;-34.16;93.84;87.21;34.65;6.586E-06;6.181E-06;4.057E-07;-51.814;-52.090;-63.918;0.60;-71.31;
