Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-16 10:43:51.10;0.00:00:00:048;0.07;0.93;0.37;5.272E-06;3.702E-07;4.793E-06;1.919E-06;42.79;10.88;98.18;36.40;91.18;5.272E-06;5.176E-06;9.607E-08;-52.780;-52.860;-70.174;0.54;21.82;
2026-01-16 10:43:51.15;0.00:00:00:098;0.16;0.92;0.35;5.8E-06;8.782E-07;4.972E-06;1.887E-06;39.99;10.25;92.93;32.53;87.05;5.8E-06;5.39E-06;4.103E-07;-52.365;-52.684;-63.869;0.58;20.78;
2026-01-16 10:43:51.20;0.00:00:00:144;0.23;0.91;0.34;5.749E-06;9.903E-07;3.914E-06;1.464E-06;37.90;9.96;74.70;25.46;70.23;5.749E-06;4.294E-06;1.455E-06;-52.404;-53.671;-58.373;0.62;20.50;
2026-01-16 10:43:51.25;0.00:00:00:196;0.31;0.92;0.23;6.18E-06;1.699E-06;5.072E-06;1.246E-06;35.74;6.56;88.88;20.17;86.56;6.18E-06;5.492E-06;6.874E-07;-52.090;-52.602;-61.628;0.65;13.81;
2026-01-16 10:43:51.30;0.00:00:00:242;0.34;0.90;0.27;6.122E-06;1.605E-06;4.183E-06;1.254E-06;34.51;7.82;76.00;20.48;73.18;6.122E-06;4.653E-06;1.47E-06;-52.131;-53.323;-58.328;0.67;16.69;
2026-01-16 10:43:51.35;0.00:00:00:292;0.10;0.96;0.28;5.274E-06;5.488E-07;5.035E-06;1.453E-06;41.89;8.00;99.90;27.55;96.03;5.274E-06;5.269E-06;5.273E-09;-52.778;-52.783;-82.779;0.55;16.10;
2026-01-16 10:43:51.40;0.00:00:00:341;0.19;0.91;0.36;5.817E-06;9.982E-07;4.886E-06;1.913E-06;39.23;10.49;91.82;32.89;85.73;5.817E-06;5.341E-06;4.758E-07;-52.353;-52.724;-63.226;0.59;21.38;
2026-01-16 10:43:51.45;0.00:00:00:391;-0.04;0.93;0.36;4.534E-06;-1.857E-07;4.432E-06;1.711E-06;46.20;10.55;104.88;37.74;97.86;4.534E-06;4.755E-06;-2.214E-07;-53.436;-53.229;-99.990;0.48;21.11;
2026-01-16 10:43:51.50;0.00:00:00:441;0.15;0.90;0.41;5.485E-06;7.566E-07;4.539E-06;2.066E-06;40.27;12.09;91.96;37.67;83.89;5.485E-06;5.044E-06;4.41E-07;-52.608;-52.972;-63.556;0.58;24.48;
2026-01-16 10:43:51.55;0.00:00:00:493;-0.02;0.93;0.35;4.745E-06;-7.878E-08;4.908E-06;1.861E-06;45.46;10.38;110.62;39.22;103.44;4.745E-06;5.25E-06;-5.042E-07;-53.237;-52.799;-99.990;0.49;20.77;
2026-01-16 10:43:51.60;0.00:00:00:544;0.11;0.93;0.34;5.082E-06;5.184E-07;4.587E-06;1.68E-06;41.78;10.00;96.67;33.05;90.85;5.082E-06;4.912E-06;1.691E-07;-52.940;-53.087;-67.717;0.55;20.11;
2026-01-16 10:43:51.65;0.00:00:00:593;0.11;0.92;0.38;5.055E-06;5.028E-07;4.317E-06;1.781E-06;41.68;11.14;92.92;35.24;85.98;5.055E-06;4.697E-06;3.581E-07;-52.963;-53.282;-64.460;0.55;22.42;
2026-01-16 10:43:51.70;0.00:00:00:643;0.04;0.92;0.39;5.007E-06;1.995E-07;4.336E-06;1.812E-06;43.68;11.33;93.94;36.18;86.70;5.007E-06;4.703E-06;3.032E-07;-53.005;-53.276;-65.183;0.52;22.68;
2026-01-16 10:43:51.75;0.00:00:00:690;0.16;0.90;0.40;5.393E-06;7.04E-07;4.001E-06;1.768E-06;40.01;11.76;82.16;32.78;75.34;5.393E-06;4.431E-06;9.618E-07;-52.682;-53.535;-60.169;0.58;23.84;
2026-01-16 10:43:51.79;0.00:00:00:737;0.16;0.96;0.25;5.393E-06;7.189E-07;4.432E-06;1.155E-06;40.39;7.21;85.96;21.41;83.26;5.393E-06;4.636E-06;7.57E-07;-52.682;-53.338;-61.209;0.58;14.60;
2026-01-16 10:43:51.85;0.00:00:00:789;0.26;0.93;0.26;6.01E-06;1.429E-06;5.214E-06;1.452E-06;37.33;7.52;93.15;24.16;89.96;6.01E-06;5.598E-06;4.118E-07;-52.212;-52.520;-63.853;0.63;15.56;
