Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-16 10:42:31.86;0.00:00:00:052;0.25;-0.74;-0.62;6.741E-06;1.54E-06;-4.497E-06;-3.747E-06;-35.55;-19.12;89.79;55.58;70.51;6.741E-06;6.052E-06;6.886E-07;-51.713;-52.181;-61.621;0.63;-140.20;
2026-01-16 10:42:31.91;0.00:00:00:103;0.28;-0.83;-0.48;6.848E-06;1.62E-06;-4.849E-06;-2.813E-06;-35.76;-14.41;85.20;41.08;74.64;6.848E-06;5.835E-06;1.013E-06;-51.644;-52.340;-59.942;0.64;-149.88;
2026-01-16 10:42:31.96;0.00:00:00:154;0.27;-0.70;-0.67;6.609E-06;1.522E-06;-3.963E-06;-3.784E-06;-34.49;-20.86;86.05;57.25;64.23;6.609E-06;5.687E-06;9.223E-07;-51.798;-52.451;-60.351;0.63;-136.33;
2026-01-16 10:42:32.01;0.00:00:00:204;0.17;-0.86;-0.48;6.459E-06;1.108E-06;-5.62E-06;-3.145E-06;-39.43;-14.39;101.17;48.70;88.68;6.459E-06;6.534E-06;-7.565E-08;-51.898;-51.848;-99.990;0.58;-150.76;
2026-01-16 10:42:32.06;0.00:00:00:254;0.14;-0.86;-0.50;6.191E-06;7.898E-07;-4.988E-06;-2.879E-06;-40.50;-14.84;93.90;46.50;81.58;6.191E-06;5.813E-06;3.774E-07;-52.083;-52.356;-64.232;0.57;-150.01;
2026-01-16 10:42:32.12;0.00:00:00:306;0.21;-0.81;-0.55;6.863E-06;1.319E-06;-5.103E-06;-3.437E-06;-37.75;-16.55;91.68;50.08;76.80;6.863E-06;6.292E-06;5.709E-07;-51.635;-52.012;-62.434;0.60;-146.04;
2026-01-16 10:42:32.16;0.00:00:00:356;0.10;-0.83;-0.55;6.08E-06;5.563E-07;-4.829E-06;-3.168E-06;-41.71;-16.55;95.44;52.11;79.95;6.08E-06;5.803E-06;2.775E-07;-52.161;-52.364;-65.568;0.55;-146.73;
2026-01-16 10:42:32.22;0.00:00:00:407;0.32;-0.79;-0.53;7.535E-06;2.129E-06;-5.293E-06;-3.549E-06;-34.05;-15.94;89.16;47.10;75.71;7.535E-06;6.719E-06;8.165E-07;-51.229;-51.727;-60.880;0.66;-146.16;
2026-01-16 10:42:32.27;0.00:00:00:459;0.11;-0.89;-0.43;6.248E-06;6.994E-07;-5.868E-06;-2.842E-06;-41.60;-12.84;104.96;45.49;94.58;6.248E-06;6.558E-06;-3.096E-07;-52.043;-51.832;-99.990;0.55;-154.16;
2026-01-16 10:42:32.32;0.00:00:00:509;0.34;-0.70;-0.63;7.421E-06;2.172E-06;-4.498E-06;-4.034E-06;-32.11;-19.46;86.51;54.35;67.30;7.421E-06;6.42E-06;1.001E-06;-51.295;-51.925;-59.994;0.67;-138.12;
