Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-16 10:34:10.58;0.00:00:00:064;-0.98;-0.15;-0.14;4.162E-06;-4.579E-06;-7.018E-07;-6.518E-07;-85.64;-4.00;112.41;15.66;111.31;4.162E-06;4.678E-06;-5.163E-07;-53.807;-53.300;-99.990;0.01;-137.11;
2026-01-16 10:34:10.63;0.00:00:00:115;-0.98;-0.16;-0.15;4.567E-06;-4.183E-06;-6.736E-07;-6.239E-07;-85.43;-4.19;93.77;13.66;92.77;4.567E-06;4.283E-06;2.843E-07;-53.404;-53.683;-65.462;0.01;-137.19;
2026-01-16 10:34:10.68;0.00:00:00:164;-0.93;-0.31;-0.19;4.507E-06;-3.835E-06;-1.254E-06;-7.825E-07;-80.95;-5.49;91.19;17.36;89.52;4.507E-06;4.11E-06;3.971E-07;-53.461;-53.862;-64.011;0.03;-148.04;
2026-01-16 10:34:10.73;0.00:00:00:215;-0.97;-0.21;-0.13;4.712E-06;-3.321E-06;-7.12E-07;-4.557E-07;-83.95;-3.82;72.71;9.67;72.07;4.712E-06;3.427E-06;1.286E-06;-53.267;-54.651;-58.908;0.02;-147.38;
2026-01-16 10:34:10.79;0.00:00:00:268;-0.92;-0.34;-0.20;4.354E-06;-4.013E-06;-1.479E-06;-8.579E-07;-79.88;-5.67;100.18;19.70;98.23;4.354E-06;4.362E-06;-7.934E-09;-53.611;-53.603;-99.990;0.04;-149.89;
2026-01-16 10:34:10.84;0.00:00:00:319;-0.98;-0.08;-0.18;4.519E-06;-3.969E-06;-3.253E-07;-7.099E-07;-87.66;-5.05;89.50;15.71;88.11;4.519E-06;4.045E-06;4.745E-07;-53.449;-53.931;-63.237;0.01;-114.62;
2026-01-16 10:34:10.89;0.00:00:00:369;-0.96;0.18;-0.22;4.338E-06;-4.387E-06;8.084E-07;-1.019E-06;84.78;-6.43;105.50;23.48;102.85;4.338E-06;4.576E-06;-2.384E-07;-53.628;-53.395;-99.990;0.02;-51.56;
2026-01-16 10:34:10.94;0.00:00:00:421;-0.97;-0.19;-0.12;4.498E-06;-3.998E-06;-7.797E-07;-5.103E-07;-84.48;-3.57;91.25;11.34;90.55;4.498E-06;4.105E-06;3.934E-07;-53.469;-53.867;-64.052;0.01;-146.80;
2026-01-16 10:34:10.99;0.00:00:00:472;-0.96;0.21;-0.18;4.206E-06;-4.419E-06;9.878E-07;-8.07E-07;83.70;-5.05;109.34;19.19;107.65;4.206E-06;4.599E-06;-3.93E-07;-53.761;-53.373;-99.990;0.02;-39.25;
2026-01-16 10:34:11.04;0.00:00:00:523;-0.96;-0.19;-0.23;4.576E-06;-3.516E-06;-6.819E-07;-8.362E-07;-84.51;-6.57;80.38;18.27;78.27;4.576E-06;3.678E-06;8.979E-07;-53.395;-54.344;-60.467;0.02;-129.20;
