Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:39:07.83;0.00:00:00:048;0.00;1.00;0.00;0.008698;-3.77E-05;0.008539;-2.444E-05;45.13;-0.08;98.17;0.28;98.17;0.008698;0.008539;0.0001592;-20.606;-20.686;-37.980;0.50;-0.16;
2026-01-22 16:39:07.88;0.00:00:00:096;0.00;1.00;0.00;0.008699;-4.016E-05;0.008539;-2.006E-05;45.13;-0.07;98.16;0.23;98.16;0.008699;0.008539;0.0001603;-20.605;-20.686;-37.950;0.50;-0.13;
2026-01-22 16:39:07.93;0.00:00:00:146;0.00;1.00;0.00;0.008735;-4.072E-05;0.008571;-1.875E-05;45.14;-0.06;98.13;0.21;98.13;0.008735;0.008571;0.0001635;-20.587;-20.670;-37.865;0.50;-0.13;
2026-01-22 16:39:07.97;0.00:00:00:195;0.00;1.00;0.00;0.008742;-3.843E-05;0.008581;-2.225E-05;45.13;-0.07;98.16;0.25;98.16;0.008742;0.008581;0.0001609;-20.584;-20.665;-37.933;0.50;-0.15;
2026-01-22 16:39:08.02;0.00:00:00:242;0.00;1.00;0.00;0.008748;-3.909E-05;0.008589;-2.209E-05;45.13;-0.07;98.18;0.25;98.18;0.008748;0.008589;0.0001595;-20.581;-20.661;-37.974;0.50;-0.15;
2026-01-22 16:39:08.07;0.00:00:00:293;0.00;1.00;0.00;0.008747;-4.039E-05;0.008587;-2.196E-05;45.13;-0.07;98.17;0.25;98.17;0.008747;0.008587;0.00016;-20.581;-20.662;-37.959;0.50;-0.15;
2026-01-22 16:39:08.12;0.00:00:00:340;0.00;1.00;0.00;0.008754;-4.153E-05;0.008592;-2.097E-05;45.14;-0.07;98.15;0.24;98.15;0.008754;0.008592;0.0001616;-20.578;-20.659;-37.916;0.50;-0.14;
2026-01-22 16:39:08.17;0.00:00:00:387;0.00;1.00;0.00;0.008803;-4.186E-05;0.008641;-1.966E-05;45.14;-0.07;98.16;0.22;98.16;0.008803;0.008642;0.0001619;-20.553;-20.634;-37.909;0.50;-0.13;
2026-01-22 16:39:08.21;0.00:00:00:435;0.00;1.00;0.00;0.008805;-3.81E-05;0.008645;-2.397E-05;45.13;-0.08;98.18;0.27;98.18;0.008805;0.008645;0.0001601;-20.553;-20.632;-37.956;0.50;-0.16;
2026-01-22 16:39:08.26;0.00:00:00:483;0.00;1.00;0.00;0.008699;-3.494E-05;0.00854;-2.653E-05;45.12;-0.09;98.17;0.31;98.17;0.008699;0.00854;0.0001591;-20.605;-20.685;-37.984;0.50;-0.18;
2026-01-22 16:39:08.31;0.00:00:00:536;0.00;1.00;0.00;0.008689;-4.256E-05;0.008527;-1.943E-05;45.14;-0.07;98.13;0.22;98.13;0.008689;0.008527;0.0001625;-20.610;-20.692;-37.892;0.50;-0.13;
2026-01-22 16:39:08.36;0.00:00:00:584;0.00;1.00;0.00;0.008726;-4.067E-05;0.008566;-1.937E-05;45.14;-0.06;98.18;0.22;98.18;0.008726;0.008567;0.0001592;-20.592;-20.672;-37.981;0.50;-0.13;
2026-01-22 16:39:08.41;0.00:00:00:632;0.00;1.00;0.00;0.00871;-3.863E-05;0.008549;-2.299E-05;45.13;-0.08;98.14;0.26;98.14;0.00871;0.008549;0.0001616;-20.600;-20.681;-37.916;0.50;-0.15;
2026-01-22 16:39:08.46;0.00:00:00:681;0.00;1.00;0.00;0.00874;-4.17E-05;0.008579;-1.83E-05;45.14;-0.06;98.15;0.21;98.15;0.00874;0.008579;0.0001614;-20.585;-20.666;-37.920;0.50;-0.12;
2026-01-22 16:39:08.51;0.00:00:00:730;0.00;1.00;0.00;0.008758;-3.974E-05;0.008596;-2.092E-05;45.13;-0.07;98.15;0.24;98.15;0.008758;0.008596;0.0001617;-20.576;-20.657;-37.912;0.50;-0.14;
2026-01-22 16:39:08.56;0.00:00:00:778;0.00;1.00;0.00;0.008763;-3.61E-05;0.008603;-2.468E-05;45.12;-0.08;98.17;0.28;98.17;0.008763;0.008603;0.0001606;-20.573;-20.654;-37.944;0.50;-0.16;
2026-01-22 16:39:08.61;0.00:00:00:830;0.00;1.00;0.00;0.008753;-3.838E-05;0.008594;-2.466E-05;45.13;-0.08;98.18;0.28;98.18;0.008753;0.008594;0.0001596;-20.578;-20.658;-37.971;0.50;-0.16;
2026-01-22 16:39:08.66;0.00:00:00:877;0.00;1.00;0.00;0.008741;-3.851E-05;0.008581;-2.305E-05;45.13;-0.08;98.17;0.26;98.17;0.008741;0.008581;0.0001598;-20.584;-20.665;-37.964;0.50;-0.15;
2026-01-22 16:39:08.70;0.00:00:00:925;0.00;1.00;0.00;0.008735;-3.936E-05;0.008573;-2.213E-05;45.13;-0.07;98.15;0.25;98.15;0.008735;0.008573;0.000162;-20.587;-20.669;-37.905;0.50;-0.15;
2026-01-22 16:39:08.76;0.00:00:00:977;0.00;1.00;0.00;0.00876;-3.63E-05;0.008601;-2.504E-05;45.12;-0.08;98.19;0.29;98.19;0.00876;0.008601;0.0001589;-20.575;-20.655;-37.989;0.50;-0.17;
2026-01-22 16:39:08.80;0.00:00:01:026;0.00;1.00;0.00;0.00875;-3.962E-05;0.008588;-2.06E-05;45.13;-0.07;98.14;0.24;98.14;0.00875;0.008588;0.0001625;-20.580;-20.661;-37.890;0.50;-0.14;
2026-01-22 16:39:08.86;0.00:00:01:079;0.00;1.00;0.00;0.008765;-3.8E-05;0.008605;-2.338E-05;45.13;-0.08;98.18;0.27;98.18;0.008765;0.008605;0.0001597;-20.573;-20.652;-37.966;0.50;-0.16;
2026-01-22 16:39:08.91;0.00:00:01:127;0.00;1.00;0.00;0.008753;-3.787E-05;0.008593;-2.273E-05;45.13;-0.08;98.17;0.26;98.17;0.008753;0.008593;0.00016;-20.578;-20.658;-37.958;0.50;-0.15;
2026-01-22 16:39:08.95;0.00:00:01:176;0.00;1.00;0.00;0.008727;-3.791E-05;0.008569;-2.384E-05;45.13;-0.08;98.18;0.27;98.18;0.008727;0.008569;0.0001585;-20.591;-20.671;-37.999;0.50;-0.16;
2026-01-22 16:39:09.00;0.00:00:01:226;-0.01;1.00;0.00;0.008733;-4.379E-05;0.008569;-1.91E-05;45.15;-0.06;98.12;0.22;98.12;0.008733;0.008569;0.0001641;-20.588;-20.671;-37.848;0.50;-0.13;
2026-01-22 16:39:09.05;0.00:00:01:273;0.00;1.00;0.00;0.008744;-3.85E-05;0.008583;-2.182E-05;45.13;-0.07;98.16;0.25;98.16;0.008744;0.008583;0.0001611;-20.583;-20.664;-37.928;0.50;-0.15;
2026-01-22 16:39:09.10;0.00:00:01:323;0.00;1.00;0.00;0.00874;-4.023E-05;0.008578;-2.187E-05;45.13;-0.07;98.14;0.25;98.14;0.00874;0.008578;0.0001623;-20.585;-20.666;-37.896;0.50;-0.15;
2026-01-22 16:39:09.15;0.00:00:01:371;0.00;1.00;0.00;0.008759;-3.805E-05;0.008598;-2.313E-05;45.13;-0.08;98.17;0.26;98.17;0.008759;0.008598;0.0001601;-20.576;-20.656;-37.956;0.50;-0.15;
2026-01-22 16:39:09.20;0.00:00:01:420;0.00;1.00;0.00;0.008735;-3.593E-05;0.008575;-2.454E-05;45.12;-0.08;98.17;0.28;98.17;0.008735;0.008575;0.0001594;-20.587;-20.667;-37.975;0.50;-0.16;
2026-01-22 16:39:09.25;0.00:00:01:469;0.00;1.00;0.00;0.008715;-4.169E-05;0.008553;-1.966E-05;45.14;-0.07;98.14;0.23;98.14;0.008715;0.008553;0.000162;-20.597;-20.679;-37.905;0.50;-0.13;
2026-01-22 16:39:09.29;0.00:00:01:516;-0.01;1.00;0.00;0.008747;-4.353E-05;0.008584;-1.827E-05;45.15;-0.06;98.13;0.21;98.13;0.008747;0.008584;0.0001633;-20.581;-20.663;-37.871;0.50;-0.12;
2026-01-22 16:39:09.34;0.00:00:01:566;0.00;1.00;0.00;0.008763;-3.958E-05;0.008601;-2.27E-05;45.13;-0.08;98.16;0.26;98.16;0.008763;0.008601;0.0001615;-20.574;-20.654;-37.917;0.50;-0.15;
2026-01-22 16:39:09.40;0.00:00:01:618;0.00;1.00;0.00;0.008744;-3.868E-05;0.008585;-2.466E-05;45.13;-0.08;98.18;0.28;98.18;0.008744;0.008585;0.0001593;-20.583;-20.663;-37.978;0.50;-0.16;
2026-01-22 16:39:09.45;0.00:00:01:667;0.00;1.00;0.00;0.008734;-3.831E-05;0.008572;-2.236E-05;45.13;-0.07;98.15;0.26;98.14;0.008734;0.008572;0.000162;-20.588;-20.669;-37.905;0.50;-0.15;
2026-01-22 16:39:09.49;0.00:00:01:714;-0.01;1.00;0.00;0.008756;-4.342E-05;0.008593;-1.869E-05;45.14;-0.06;98.14;0.21;98.14;0.008756;0.008593;0.0001629;-20.577;-20.659;-37.881;0.50;-0.12;
2026-01-22 16:39:09.54;0.00:00:01:761;0.00;1.00;0.00;0.008773;-4.116E-05;0.00861;-2.085E-05;45.14;-0.07;98.14;0.24;98.14;0.008773;0.00861;0.0001629;-20.568;-20.650;-37.880;0.50;-0.14;
2026-01-22 16:39:09.59;0.00:00:01:810;0.00;1.00;0.00;0.008752;-4.02E-05;0.00859;-1.968E-05;45.13;-0.07;98.15;0.22;98.15;0.008752;0.00859;0.0001619;-20.579;-20.660;-37.907;0.50;-0.13;
2026-01-22 16:39:09.64;0.00:00:01:857;0.00;1.00;0.00;0.008764;-4.109E-05;0.008602;-2.046E-05;45.14;-0.07;98.15;0.23;98.15;0.008764;0.008602;0.0001622;-20.573;-20.654;-37.901;0.50;-0.14;
2026-01-22 16:39:09.69;0.00:00:01:907;-0.01;1.00;0.00;0.008739;-4.473E-05;0.008576;-1.7E-05;45.15;-0.06;98.13;0.19;98.13;0.008739;0.008576;0.000163;-20.585;-20.667;-37.878;0.50;-0.11;
2026-01-22 16:39:09.73;0.00:00:01:956;0.00;1.00;0.00;0.008781;-3.966E-05;0.00862;-2.086E-05;45.13;-0.07;98.16;0.24;98.16;0.008781;0.00862;0.0001613;-20.564;-20.645;-37.922;0.50;-0.14;
2026-01-22 16:39:09.78;0.00:00:02:005;0.00;1.00;0.00;0.008782;-3.914E-05;0.008622;-2.062E-05;45.13;-0.07;98.18;0.23;98.18;0.008782;0.008622;0.0001601;-20.564;-20.644;-37.956;0.50;-0.14;
2026-01-22 16:39:09.83;0.00:00:02:055;0.00;1.00;0.00;0.008783;-3.984E-05;0.008623;-2.168E-05;45.13;-0.07;98.17;0.25;98.17;0.008783;0.008623;0.0001604;-20.563;-20.644;-37.949;0.50;-0.14;
2026-01-22 16:39:09.88;0.00:00:02:104;0.00;1.00;0.00;0.008785;-4.184E-05;0.008625;-2.232E-05;45.14;-0.07;98.18;0.25;98.18;0.008785;0.008626;0.0001599;-20.562;-20.642;-37.961;0.50;-0.15;
2026-01-22 16:39:09.93;0.00:00:02:155;0.00;1.00;0.00;0.008836;-4.262E-05;0.008672;-1.992E-05;45.14;-0.07;98.15;0.23;98.15;0.008836;0.008672;0.0001639;-20.537;-20.619;-37.855;0.50;-0.13;
2026-01-22 16:39:09.98;0.00:00:02:202;0.00;1.00;0.00;0.00884;-3.756E-05;0.008681;-2.266E-05;45.12;-0.07;98.19;0.26;98.19;0.00884;0.008681;0.0001596;-20.535;-20.614;-37.970;0.50;-0.15;
2026-01-22 16:39:10.03;0.00:00:02:253;0.00;1.00;0.00;0.008836;-4.327E-05;0.008675;-2.005E-05;45.14;-0.07;98.18;0.23;98.18;0.008836;0.008675;0.0001611;-20.537;-20.617;-37.929;0.50;-0.13;
2026-01-22 16:39:10.08;0.00:00:02:303;0.00;1.00;0.00;0.008858;-4.159E-05;0.008696;-1.956E-05;45.14;-0.06;98.17;0.22;98.17;0.008858;0.008696;0.0001619;-20.527;-20.607;-37.908;0.50;-0.13;
2026-01-22 16:39:10.13;0.00:00:02:353;-0.01;1.00;0.00;0.008862;-4.36E-05;0.0087;-2.015E-05;45.14;-0.07;98.18;0.23;98.18;0.008862;0.0087;0.0001614;-20.525;-20.605;-37.922;0.50;-0.13;
