Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:37:57.30;0.00:00:00:050;-0.01;-1.00;0.00;6.622;-0.06273;-6.603;0.01683;-45.27;0.07;99.71;0.25;99.71;6.622;6.603;0.01924;8.210;8.197;-17.159;0.50;179.85;
2026-01-22 16:37:57.34;0.00:00:00:098;-0.01;-1.00;0.00;6.621;-0.06242;-6.601;0.01675;-45.27;0.07;99.70;0.25;99.70;6.621;6.601;0.02017;8.209;8.196;-16.953;0.50;179.85;
2026-01-22 16:37:57.39;0.00:00:00:148;-0.01;-1.00;0.00;6.618;-0.06207;-6.598;0.01644;-45.27;0.07;99.70;0.25;99.70;6.618;6.598;0.01971;8.207;8.194;-17.054;0.50;179.86;
2026-01-22 16:37:57.44;0.00:00:00:197;-0.01;-1.00;0.00;6.621;-0.06153;-6.601;0.01701;-45.27;0.07;99.71;0.26;99.71;6.621;6.601;0.01938;8.209;8.196;-17.126;0.50;179.85;
2026-01-22 16:37:57.49;0.00:00:00:244;-0.01;-1.00;0.00;6.616;-0.06125;-6.596;0.01697;-45.27;0.07;99.70;0.26;99.70;6.616;6.596;0.02015;8.206;8.193;-16.958;0.50;179.85;
2026-01-22 16:37:57.54;0.00:00:00:293;-0.01;-1.00;0.00;6.616;-0.0623;-6.598;0.01675;-45.27;0.07;99.72;0.25;99.72;6.616;6.598;0.01861;8.206;8.194;-17.303;0.50;179.85;
2026-01-22 16:37:57.59;0.00:00:00:343;-0.01;-1.00;0.00;6.618;-0.0625;-6.597;0.01642;-45.27;0.07;99.69;0.25;99.69;6.618;6.597;0.02058;8.207;8.193;-16.866;0.50;179.86;
2026-01-22 16:37:57.64;0.00:00:00:394;-0.01;-1.00;0.00;6.616;-0.0617;-6.596;0.01631;-45.27;0.07;99.70;0.25;99.70;6.616;6.596;0.02011;8.206;8.193;-16.965;0.50;179.86;
2026-01-22 16:37:57.69;0.00:00:00:445;-0.01;-1.00;0.00;6.613;-0.06192;-6.593;0.0164;-45.27;0.07;99.70;0.25;99.70;6.613;6.594;0.0198;8.204;8.191;-17.034;0.50;179.86;
2026-01-22 16:37:57.74;0.00:00:00:496;-0.01;-1.00;0.00;6.617;-0.06248;-6.597;0.01659;-45.27;0.07;99.70;0.25;99.70;6.617;6.597;0.01958;8.207;8.194;-17.082;0.50;179.86;
2026-01-22 16:37:57.79;0.00:00:00:545;-0.01;-1.00;0.00;6.621;-0.06258;-6.602;0.01665;-45.27;0.07;99.72;0.25;99.72;6.621;6.602;0.01872;8.209;8.197;-17.276;0.50;179.86;
2026-01-22 16:37:57.84;0.00:00:00:591;-0.01;-1.00;0.00;6.623;-0.06178;-6.603;0.01657;-45.27;0.07;99.70;0.25;99.70;6.623;6.603;0.01973;8.211;8.198;-17.048;0.50;179.86;
2026-01-22 16:37:57.89;0.00:00:00:640;-0.01;-1.00;0.00;6.615;-0.06176;-6.593;0.01655;-45.27;0.07;99.68;0.25;99.68;6.615;6.594;0.0213;8.205;8.191;-16.716;0.50;179.86;
2026-01-22 16:37:57.94;0.00:00:00:690;-0.01;-1.00;0.00;6.606;-0.06152;-6.585;0.01663;-45.27;0.07;99.67;0.25;99.67;6.606;6.585;0.02154;8.200;8.185;-16.667;0.50;179.86;
