Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:31:56.14;0.00:00:00:051;-0.03;-1.00;0.00;0.008454;-0.0002211;-0.008309;-2.037E-05;-45.76;-0.07;98.32;0.24;98.32;0.008454;0.008312;0.0001421;-20.729;-20.803;-38.473;0.49;-179.86;
2026-01-22 16:31:56.19;0.00:00:00:098;-0.03;-1.00;0.00;0.008435;-0.0002226;-0.008296;-2.202E-05;-45.77;-0.08;98.39;0.26;98.39;0.008435;0.008299;0.000136;-20.739;-20.810;-38.664;0.49;-179.85;
2026-01-22 16:31:56.24;0.00:00:00:146;-0.03;-1.00;0.00;0.00842;-0.0002232;-0.008283;-2.191E-05;-45.77;-0.08;98.41;0.26;98.41;0.00842;0.008286;0.0001339;-20.747;-20.817;-38.731;0.49;-179.85;
2026-01-22 16:31:56.29;0.00:00:00:196;-0.03;-1.00;0.00;0.00841;-0.0002212;-0.008267;-2.078E-05;-45.77;-0.07;98.34;0.25;98.34;0.00841;0.00827;0.0001399;-20.752;-20.825;-38.542;0.49;-179.86;
2026-01-22 16:31:56.34;0.00:00:00:244;-0.03;-1.00;0.00;0.008403;-0.0002234;-0.008265;-2.123E-05;-45.77;-0.07;98.39;0.25;98.39;0.008403;0.008268;0.0001351;-20.756;-20.826;-38.694;0.49;-179.85;
2026-01-22 16:31:56.39;0.00:00:00:291;-0.03;-1.00;0.00;0.008401;-0.0002237;-0.008263;-2.196E-05;-45.78;-0.08;98.38;0.26;98.38;0.008401;0.008266;0.0001357;-20.757;-20.827;-38.673;0.49;-179.85;
2026-01-22 16:31:56.44;0.00:00:00:343;-0.03;-1.00;0.00;0.008401;-0.0002216;-0.008259;-2.092E-05;-45.77;-0.07;98.35;0.25;98.35;0.008401;0.008262;0.0001385;-20.757;-20.829;-38.585;0.49;-179.85;
2026-01-22 16:31:56.49;0.00:00:00:394;-0.03;-1.00;0.00;0.008405;-0.0002255;-0.008273;-2.301E-05;-45.78;-0.08;98.46;0.27;98.46;0.008405;0.008276;0.0001298;-20.754;-20.822;-38.867;0.49;-179.84;
2026-01-22 16:31:56.54;0.00:00:00:442;-0.03;-1.00;0.00;0.008398;-0.0002223;-0.008261;-2.345E-05;-45.77;-0.08;98.40;0.28;98.40;0.008398;0.008264;0.0001345;-20.758;-20.828;-38.713;0.49;-179.84;
2026-01-22 16:31:56.58;0.00:00:00:489;-0.03;-1.00;0.00;0.008416;-0.0002253;-0.008281;-2.217E-05;-45.78;-0.08;98.44;0.26;98.44;0.008416;0.008284;0.0001315;-20.749;-20.817;-38.810;0.49;-179.85;
2026-01-22 16:31:56.63;0.00:00:00:540;-0.03;-1.00;0.00;0.008431;-0.0002248;-0.008293;-2.097E-05;-45.78;-0.07;98.39;0.25;98.39;0.008431;0.008296;0.0001354;-20.741;-20.811;-38.684;0.49;-179.86;
2026-01-22 16:31:56.68;0.00:00:00:585;-0.03;-1.00;0.00;0.008431;-0.0002238;-0.008293;-2.141E-05;-45.77;-0.07;98.40;0.25;98.40;0.008431;0.008296;0.0001348;-20.741;-20.811;-38.703;0.49;-179.85;
2026-01-22 16:31:56.73;0.00:00:00:633;-0.03;-1.00;0.00;0.008431;-0.0002239;-0.008292;-2.192E-05;-45.77;-0.08;98.39;0.26;98.39;0.008431;0.008295;0.0001357;-20.741;-20.812;-38.674;0.49;-179.85;
2026-01-22 16:31:56.78;0.00:00:00:683;-0.03;-1.00;0.00;0.008464;-0.0002259;-0.008326;-2.206E-05;-45.78;-0.08;98.41;0.26;98.41;0.008464;0.008329;0.0001345;-20.724;-20.794;-38.713;0.49;-179.85;
2026-01-22 16:31:56.82;0.00:00:00:731;-0.03;-1.00;0.00;0.008466;-0.0002243;-0.008326;-2.167E-05;-45.77;-0.07;98.38;0.26;98.38;0.008466;0.008329;0.0001373;-20.723;-20.794;-38.623;0.49;-179.85;
2026-01-22 16:31:56.88;0.00:00:00:784;-0.03;-1.00;0.00;0.008431;-0.0002212;-0.008286;-2.051E-05;-45.76;-0.07;98.31;0.24;98.31;0.008431;0.008289;0.0001421;-20.741;-20.815;-38.473;0.49;-179.86;
2026-01-22 16:31:56.92;0.00:00:00:831;-0.03;-1.00;0.00;0.008396;-0.000222;-0.008256;-2.222E-05;-45.77;-0.08;98.37;0.26;98.37;0.008396;0.008259;0.0001366;-20.759;-20.831;-38.646;0.49;-179.85;
2026-01-22 16:31:56.97;0.00:00:00:881;-0.03;-1.00;0.00;0.008391;-0.0002224;-0.008252;-2.121E-05;-45.77;-0.07;98.38;0.25;98.38;0.008391;0.008256;0.0001359;-20.762;-20.833;-38.669;0.49;-179.85;
2026-01-22 16:31:57.03;0.00:00:00:934;-0.03;-1.00;0.00;0.008388;-0.0002216;-0.008246;-1.98E-05;-45.77;-0.07;98.34;0.24;98.34;0.008388;0.008249;0.0001391;-20.763;-20.836;-38.567;0.49;-179.86;
2026-01-22 16:31:57.08;0.00:00:00:982;-0.03;-1.00;0.00;0.008367;-0.0002212;-0.008227;-2.214E-05;-45.77;-0.08;98.37;0.26;98.37;0.008367;0.00823;0.0001366;-20.774;-20.846;-38.646;0.49;-179.85;
