Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:27:40.51;0.00:00:00:049;1.00;-0.01;0.01;0.007948;0.007936;-0.0001132;0.0001097;-0.41;0.40;99.87;1.38;99.86;0.007948;0.007937;1.037E-05;-20.998;-21.003;-49.840;1.00;135.89;
2026-01-22 16:27:40.56;0.00:00:00:098;1.00;-0.01;0.01;0.007952;0.007939;-0.0001156;0.0001117;-0.42;0.40;99.86;1.40;99.85;0.007952;0.007941;1.078E-05;-20.995;-21.001;-49.673;1.00;136.00;
2026-01-22 16:27:40.61;0.00:00:00:148;1.00;-0.01;0.01;0.007984;0.007971;-0.0001177;0.0001119;-0.42;0.40;99.86;1.40;99.85;0.007984;0.007973;1.15E-05;-20.978;-20.984;-49.395;1.00;136.45;
2026-01-22 16:27:40.66;0.00:00:00:196;1.00;-0.01;0.01;0.007996;0.007984;-0.0001132;0.0001093;-0.41;0.39;99.87;1.37;99.86;0.007996;0.007986;1.044E-05;-20.971;-20.977;-49.812;1.00;136.02;
2026-01-22 16:27:40.71;0.00:00:00:245;1.00;-0.01;0.01;0.00797;0.007958;-0.0001135;0.0001113;-0.41;0.40;99.87;1.40;99.86;0.00797;0.00796;1.045E-05;-20.985;-20.991;-49.808;1.00;135.54;
2026-01-22 16:27:40.76;0.00:00:00:297;1.00;-0.01;0.01;0.007961;0.007949;-0.0001156;0.0001119;-0.42;0.40;99.87;1.41;99.86;0.007961;0.007951;1.056E-05;-20.990;-20.996;-49.761;1.00;135.91;
2026-01-22 16:27:40.81;0.00:00:00:346;1.00;-0.01;0.01;0.007953;0.007941;-0.0001142;0.0001105;-0.41;0.40;99.87;1.39;99.86;0.007953;0.007942;1.029E-05;-20.995;-21.000;-49.875;1.00;135.96;
2026-01-22 16:27:40.86;0.00:00:00:400;1.00;-0.01;0.01;0.007952;0.00794;-0.0001148;0.000111;-0.41;0.40;99.87;1.40;99.86;0.007952;0.007941;1.056E-05;-20.995;-21.001;-49.763;1.00;135.97;
2026-01-22 16:27:40.91;0.00:00:00:448;1.00;-0.01;0.01;0.007968;0.007956;-0.0001163;0.0001128;-0.42;0.41;99.86;1.42;99.85;0.007968;0.007957;1.096E-05;-20.986;-20.992;-49.601;1.00;135.88;
2026-01-22 16:27:40.96;0.00:00:00:497;1.00;-0.01;0.01;0.007983;0.00797;-0.0001149;0.0001114;-0.41;0.40;99.87;1.40;99.86;0.007983;0.007972;1.076E-05;-20.979;-20.984;-49.684;1.00;135.87;
2026-01-22 16:27:41.01;0.00:00:00:547;1.00;-0.01;0.01;0.007986;0.007974;-0.0001144;0.0001118;-0.41;0.40;99.87;1.40;99.86;0.007986;0.007976;1.033E-05;-20.977;-20.982;-49.859;1.00;135.67;
2026-01-22 16:27:41.06;0.00:00:00:595;1.00;-0.01;0.01;0.007988;0.007976;-0.0001154;0.0001118;-0.41;0.40;99.87;1.40;99.86;0.007988;0.007977;1.061E-05;-20.976;-20.982;-49.744;1.00;135.91;
2026-01-22 16:27:41.11;0.00:00:00:642;1.00;-0.01;0.01;0.007995;0.007984;-0.0001134;0.0001115;-0.41;0.40;99.87;1.39;99.86;0.007995;0.007985;1.03E-05;-20.972;-20.977;-49.870;1.00;135.49;
2026-01-22 16:27:41.15;0.00:00:00:690;1.00;-0.01;0.01;0.007968;0.007956;-0.0001145;0.000111;-0.41;0.40;99.87;1.39;99.86;0.007968;0.007958;1.045E-05;-20.986;-20.992;-49.810;1.00;135.87;
2026-01-22 16:27:41.20;0.00:00:00:737;1.00;-0.01;0.01;0.007976;0.007963;-0.0001156;0.0001124;-0.42;0.40;99.87;1.41;99.86;0.007976;0.007965;1.059E-05;-20.982;-20.988;-49.752;1.00;135.80;
2026-01-22 16:27:41.25;0.00:00:00:787;1.00;-0.01;0.01;0.007993;0.007982;-0.0001146;0.0001119;-0.41;0.40;99.88;1.40;99.87;0.007993;0.007983;9.82E-06;-20.973;-20.978;-50.079;1.00;135.69;
2026-01-22 16:27:41.30;0.00:00:00:837;1.00;-0.01;0.01;0.008;0.007988;-0.000116;0.0001126;-0.42;0.40;99.87;1.41;99.86;0.008;0.007989;1.067E-05;-20.969;-20.975;-49.717;1.00;135.84;
2026-01-22 16:27:41.35;0.00:00:00:887;1.00;-0.01;0.01;0.008014;0.008002;-0.000115;0.000112;-0.41;0.40;99.87;1.40;99.86;0.008014;0.008004;1.037E-05;-20.961;-20.967;-49.843;1.00;135.75;
2026-01-22 16:27:41.40;0.00:00:00:936;1.00;-0.01;0.01;0.008023;0.008011;-0.0001169;0.0001127;-0.42;0.40;99.86;1.41;99.85;0.008023;0.008012;1.087E-05;-20.956;-20.962;-49.639;1.00;136.05;
2026-01-22 16:27:41.45;0.00:00:00:988;1.00;-0.01;0.01;0.008033;0.00802;-0.0001155;0.0001121;-0.41;0.40;99.86;1.40;99.85;0.008033;0.008021;1.118E-05;-20.951;-20.958;-49.516;1.00;135.85;
2026-01-22 16:27:41.50;0.00:00:01:035;1.00;-0.01;0.01;0.008034;0.008022;-0.0001157;0.0001124;-0.41;0.40;99.86;1.40;99.85;0.008034;0.008023;1.11E-05;-20.951;-20.957;-49.545;1.00;135.83;
2026-01-22 16:27:41.55;0.00:00:01:085;1.00;-0.01;0.01;0.008024;0.008012;-0.000115;0.000112;-0.41;0.40;99.87;1.40;99.86;0.008024;0.008013;1.031E-05;-20.956;-20.962;-49.869;1.00;135.75;
2026-01-22 16:27:41.60;0.00:00:01:134;1.00;-0.01;0.01;0.008019;0.008007;-0.0001146;0.0001118;-0.41;0.40;99.87;1.39;99.86;0.008019;0.008009;1.053E-05;-20.959;-20.964;-49.774;1.00;135.70;
2026-01-22 16:27:41.65;0.00:00:01:181;1.00;-0.01;0.01;0.008013;0.008;-0.0001148;0.000112;-0.41;0.40;99.87;1.40;99.86;0.008013;0.008002;1.075E-05;-20.962;-20.968;-49.687;1.00;135.71;
2026-01-22 16:27:41.70;0.00:00:01:233;1.00;-0.01;0.01;0.008009;0.007996;-0.0001146;0.0001123;-0.41;0.40;99.87;1.40;99.86;0.008009;0.007998;1.074E-05;-20.964;-20.970;-49.690;1.00;135.58;
2026-01-22 16:27:41.75;0.00:00:01:282;1.00;-0.01;0.01;0.007994;0.007982;-0.0001138;0.0001116;-0.41;0.40;99.87;1.40;99.86;0.007994;0.007984;1.019E-05;-20.972;-20.978;-49.917;1.00;135.55;
