Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:26:26.24;0.00:00:00:048;1.00;0.00;0.01;6.58;6.58;-0.0108;0.03381;-0.05;0.15;100.01;0.51;100.01;6.58;6.58;-0.000454;8.182;8.183;-99.990;1.00;107.71;
2026-01-22 16:26:26.29;0.00:00:00:095;1.00;0.00;0.01;6.579;6.58;-0.01069;0.03384;-0.05;0.15;100.01;0.51;100.01;6.579;6.58;-0.0004869;8.182;8.182;-99.990;1.00;107.53;
2026-01-22 16:26:26.34;0.00:00:00:143;1.00;0.00;0.01;6.575;6.576;-0.01098;0.03384;-0.05;0.15;100.01;0.51;100.00;6.575;6.576;-0.0003879;8.179;8.179;-99.990;1.00;107.97;
2026-01-22 16:26:26.39;0.00:00:00:191;1.00;0.00;0.01;6.573;6.574;-0.01024;0.03379;-0.04;0.15;100.01;0.51;100.01;6.573;6.574;-0.0004996;8.178;8.178;-99.990;1.00;106.85;
2026-01-22 16:26:26.44;0.00:00:00:241;1.00;0.00;0.01;6.563;6.564;-0.01045;0.03379;-0.05;0.15;100.01;0.51;100.01;6.563;6.564;-0.0006169;8.171;8.171;-99.990;1.00;107.18;
2026-01-22 16:26:26.49;0.00:00:00:292;1.00;0.00;0.01;6.559;6.559;-0.01031;0.03377;-0.05;0.15;100.01;0.51;100.00;6.559;6.559;-0.0004066;8.168;8.168;-99.990;1.00;106.98;
2026-01-22 16:26:26.54;0.00:00:00:342;1.00;0.00;0.01;6.551;6.551;-0.01047;0.03393;-0.05;0.15;100.01;0.52;100.01;6.551;6.551;-0.0004651;8.163;8.163;-99.990;1.00;107.15;
2026-01-22 16:26:26.59;0.00:00:00:392;1.00;0.00;0.01;6.556;6.556;-0.01171;0.03403;-0.05;0.15;100.00;0.52;100.00;6.556;6.557;-0.0001311;8.167;8.167;-99.990;1.00;108.98;
2026-01-22 16:26:26.63;0.00:00:00:438;1.00;0.00;0.01;6.566;6.567;-0.01017;0.0337;-0.04;0.15;100.01;0.51;100.01;6.566;6.567;-0.0005384;8.173;8.173;-99.990;1.00;106.80;
2026-01-22 16:26:26.68;0.00:00:00:486;1.00;0.00;0.01;6.562;6.562;-0.0108;0.03367;-0.05;0.15;100.01;0.51;100.00;6.562;6.562;-0.0003937;8.170;8.171;-99.990;1.00;107.79;
2026-01-22 16:26:26.73;0.00:00:00:536;1.00;0.00;0.01;6.56;6.56;-0.01054;0.03399;-0.05;0.15;100.01;0.52;100.00;6.56;6.56;-0.0004133;8.169;8.169;-99.990;1.00;107.22;
2026-01-22 16:26:26.78;0.00:00:00:584;1.00;0.00;0.01;6.559;6.56;-0.0106;0.03363;-0.05;0.15;100.01;0.51;100.01;6.559;6.56;-0.0004919;8.168;8.169;-99.990;1.00;107.49;
2026-01-22 16:26:26.83;0.00:00:00:633;1.00;0.00;0.01;6.556;6.556;-0.01074;0.03379;-0.05;0.15;100.01;0.52;100.00;6.556;6.557;-0.0003934;8.167;8.167;-99.990;1.00;107.63;
2026-01-22 16:26:26.88;0.00:00:00:683;1.00;0.00;0.01;6.561;6.561;-0.01037;0.0341;-0.05;0.15;100.01;0.52;100.01;6.561;6.561;-0.0005052;8.170;8.170;-99.990;1.00;106.91;
2026-01-22 16:26:26.93;0.00:00:00:731;1.00;0.00;0.01;6.558;6.559;-0.01081;0.03362;-0.05;0.15;100.01;0.51;100.01;6.558;6.559;-0.0005116;8.168;8.168;-99.990;1.00;107.82;
2026-01-22 16:26:26.97;0.00:00:00:778;1.00;0.00;0.01;6.56;6.56;-0.01114;0.03412;-0.05;0.15;100.00;0.52;100.00;6.56;6.561;-0.0003149;8.169;8.169;-99.990;1.00;108.08;
2026-01-22 16:26:27.02;0.00:00:00:830;1.00;0.00;0.01;6.561;6.562;-0.01122;0.03375;-0.05;0.15;100.01;0.51;100.01;6.561;6.562;-0.0004724;8.170;8.170;-99.990;1.00;108.40;
2026-01-22 16:26:27.07;0.00:00:00:880;1.00;0.00;0.01;6.56;6.561;-0.01065;0.03388;-0.05;0.15;100.01;0.52;100.01;6.56;6.561;-0.0006232;8.169;8.170;-99.990;1.00;107.45;
2026-01-22 16:26:27.12;0.00:00:00:930;1.00;0.00;0.01;6.559;6.559;-0.01104;0.03403;-0.05;0.15;100.01;0.52;100.01;6.559;6.559;-0.0004526;8.168;8.169;-99.990;1.00;107.97;
2026-01-22 16:26:27.17;0.00:00:00:976;1.00;0.00;0.01;6.557;6.558;-0.01042;0.03363;-0.05;0.15;100.01;0.51;100.01;6.557;6.558;-0.0004525;8.167;8.168;-99.990;1.00;107.21;
2026-01-22 16:26:27.22;0.00:00:01:025;1.00;0.00;0.01;6.552;6.552;-0.01028;0.03366;-0.04;0.15;100.01;0.51;100.01;6.552;6.552;-0.0004848;8.164;8.164;-99.990;1.00;106.99;
2026-01-22 16:26:27.27;0.00:00:01:076;1.00;0.00;0.01;6.548;6.548;-0.0107;0.03356;-0.05;0.15;100.01;0.51;100.01;6.548;6.548;-0.0005173;8.161;8.161;-99.990;1.00;107.69;
2026-01-22 16:26:27.32;0.00:00:01:125;1.00;0.00;0.01;6.55;6.551;-0.01061;0.03357;-0.05;0.15;100.01;0.51;100.00;6.55;6.551;-0.0003734;8.163;8.163;-99.990;1.00;107.54;
2026-01-22 16:26:27.37;0.00:00:01:174;1.00;0.00;0.01;6.55;6.551;-0.01048;0.03373;-0.05;0.15;100.01;0.51;100.01;6.55;6.551;-0.0006616;8.163;8.163;-99.990;1.00;107.26;
2026-01-22 16:26:27.42;0.00:00:01:222;1.00;0.00;0.01;6.551;6.551;-0.01048;0.03342;-0.05;0.15;100.01;0.51;100.01;6.551;6.551;-0.0004782;8.163;8.163;-99.990;1.00;107.42;
2026-01-22 16:26:27.46;0.00:00:01:270;1.00;0.00;0.01;6.546;6.547;-0.009963;0.03356;-0.04;0.15;100.01;0.51;100.01;6.546;6.547;-0.0005761;8.160;8.160;-99.990;1.00;106.53;
2026-01-22 16:26:27.51;0.00:00:01:319;1.00;0.00;0.01;6.536;6.537;-0.009924;0.03314;-0.04;0.15;100.01;0.51;100.01;6.536;6.537;-0.0004314;8.153;8.154;-99.990;1.00;106.67;
2026-01-22 16:26:27.56;0.00:00:01:369;1.00;0.00;0.01;6.539;6.54;-0.01081;0.03394;-0.05;0.15;100.00;0.52;100.00;6.539;6.54;-0.0003139;8.155;8.156;-99.990;1.00;107.67;
2026-01-22 16:26:27.61;0.00:00:01:416;1.00;0.00;0.01;6.543;6.543;-0.01118;0.0337;-0.05;0.15;100.01;0.52;100.01;6.543;6.544;-0.000458;8.158;8.158;-99.990;1.00;108.35;
2026-01-22 16:26:27.66;0.00:00:01:466;1.00;0.00;0.01;6.548;6.548;-0.01046;0.03365;-0.05;0.15;100.00;0.51;100.00;6.548;6.549;-0.0003274;8.161;8.161;-99.990;1.00;107.27;
2026-01-22 16:26:27.71;0.00:00:01:514;1.00;0.00;0.01;6.548;6.549;-0.01069;0.03357;-0.05;0.15;100.01;0.51;100.01;6.548;6.549;-0.0004387;8.161;8.162;-99.990;1.00;107.66;
2026-01-22 16:26:27.76;0.00:00:01:562;1.00;0.00;0.01;6.553;6.553;-0.0112;0.0338;-0.05;0.15;100.01;0.52;100.00;6.553;6.554;-0.0003473;8.165;8.165;-99.990;1.00;108.34;
2026-01-22 16:26:27.80;0.00:00:01:610;1.00;0.00;0.01;6.55;6.55;-0.01025;0.03361;-0.04;0.15;100.01;0.51;100.01;6.55;6.551;-0.0005044;8.162;8.163;-99.990;1.00;106.96;
2026-01-22 16:26:27.85;0.00:00:01:658;1.00;0.00;0.01;6.553;6.554;-0.01122;0.03385;-0.05;0.15;100.01;0.52;100.00;6.553;6.554;-0.0003604;8.165;8.165;-99.990;1.00;108.34;
2026-01-22 16:26:27.90;0.00:00:01:707;1.00;0.00;0.01;6.557;6.557;-0.01086;0.03404;-0.05;0.15;100.00;0.52;100.00;6.557;6.557;-0.0002623;8.167;8.167;-99.990;1.00;107.70;
2026-01-22 16:26:27.95;0.00:00:01:755;1.00;0.00;0.01;6.56;6.561;-0.01073;0.03394;-0.05;0.15;100.01;0.52;100.01;6.56;6.561;-0.0004199;8.169;8.170;-99.990;1.00;107.55;
2026-01-22 16:26:28.00;0.00:00:01:803;1.00;0.00;0.01;6.563;6.563;-0.01081;0.0337;-0.05;0.15;100.01;0.51;100.00;6.563;6.563;-0.000361;8.171;8.171;-99.990;1.00;107.78;
2026-01-22 16:26:28.05;0.00:00:01:854;1.00;0.00;0.01;6.564;6.564;-0.01107;0.03382;-0.05;0.15;100.01;0.52;100.00;6.564;6.565;-0.000407;8.172;8.172;-99.990;1.00;108.13;
2026-01-22 16:26:28.10;0.00:00:01:904;1.00;0.00;0.01;6.57;6.57;-0.01129;0.03414;-0.05;0.15;100.01;0.52;100.01;6.57;6.57;-0.0004927;8.176;8.176;-99.990;1.00;108.30;
2026-01-22 16:26:28.15;0.00:00:01:952;1.00;0.00;0.01;6.574;6.575;-0.01084;0.03419;-0.05;0.15;100.00;0.52;100.00;6.574;6.575;-0.0001972;8.179;8.179;-99.990;1.00;107.59;
2026-01-22 16:26:28.20;0.00:00:02:003;1.00;0.00;0.01;6.586;6.586;-0.01104;0.03415;-0.05;0.15;100.01;0.52;100.00;6.586;6.586;-0.000349;8.186;8.186;-99.990;1.00;107.92;
2026-01-22 16:26:28.25;0.00:00:02:053;1.00;0.00;0.01;6.588;6.589;-0.01002;0.03397;-0.04;0.15;100.01;0.52;100.01;6.588;6.589;-0.0006654;8.188;8.188;-99.990;1.00;106.44;
2026-01-22 16:26:28.30;0.00:00:02:101;1.00;0.00;0.01;6.58;6.58;-0.01059;0.03395;-0.05;0.15;100.01;0.52;100.00;6.58;6.58;-0.0003751;8.182;8.182;-99.990;1.00;107.33;
2026-01-22 16:26:28.35;0.00:00:02:151;1.00;0.00;0.01;6.579;6.579;-0.01054;0.03375;-0.05;0.15;100.01;0.51;100.01;6.579;6.579;-0.0005526;8.182;8.182;-99.990;1.00;107.34;
2026-01-22 16:26:28.39;0.00:00:02:197;1.00;0.00;0.01;6.58;6.58;-0.01111;0.0341;-0.05;0.15;100.01;0.52;100.00;6.58;6.58;-0.0003356;8.182;8.182;-99.990;1.00;108.05;
2026-01-22 16:26:28.44;0.00:00:02:242;1.00;0.00;0.01;6.579;6.58;-0.01056;0.03378;-0.05;0.15;100.01;0.51;100.01;6.579;6.58;-0.000625;8.182;8.182;-99.990;1.00;107.36;
2026-01-22 16:26:28.49;0.00:00:02:293;1.00;0.00;0.01;6.573;6.573;-0.01016;0.03396;-0.04;0.15;100.01;0.52;100.01;6.573;6.573;-0.0004338;8.178;8.178;-99.990;1.00;106.65;
2026-01-22 16:26:28.54;0.00:00:02:342;1.00;0.00;0.01;6.572;6.573;-0.01064;0.03401;-0.05;0.15;100.01;0.52;100.01;6.572;6.573;-0.0005455;8.177;8.178;-99.990;1.00;107.37;
2026-01-22 16:26:28.58;0.00:00:02:389;1.00;0.00;0.01;6.571;6.572;-0.01016;0.0339;-0.04;0.15;100.01;0.52;100.00;6.571;6.572;-0.0003549;8.177;8.177;-99.990;1.00;106.69;
2026-01-22 16:26:28.63;0.00:00:02:438;1.00;0.00;0.01;6.559;6.559;-0.01032;0.03347;-0.05;0.15;100.01;0.51;100.01;6.559;6.559;-0.0005444;8.168;8.169;-99.990;1.00;107.13;
