Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:20:28.96;0.00:00:00:053;0.00;0.00;-1.00;6.873;-0.0002774;0.00455;-6.848;46.74;-44.98;99.62;99.62;0.07;6.873;6.848;0.02581;8.372;8.355;-15.882;0.50;-89.96;
2026-01-22 16:20:29.01;0.00:00:00:105;0.00;0.00;-1.00;6.856;-0.000717;0.003357;-6.831;51.03;-44.99;99.63;99.63;0.05;6.856;6.831;0.0253;8.361;8.345;-15.968;0.50;-89.97;
2026-01-22 16:20:29.06;0.00:00:00:157;0.00;0.00;-1.00;6.86;-0.00449;-0.001042;-6.836;-83.46;-44.98;99.64;99.64;0.07;6.86;6.836;0.02448;8.364;8.348;-16.112;0.50;-90.01;
2026-01-22 16:20:29.12;0.00:00:00:209;0.00;0.00;-1.00;6.874;-0.001957;0.002773;-6.849;62.61;-44.99;99.63;99.63;0.05;6.874;6.849;0.0251;8.372;8.356;-16.003;0.50;-89.98;
2026-01-22 16:20:29.17;0.00:00:00:259;0.00;0.00;-1.00;6.869;0.0005118;0.005209;-6.843;42.19;-44.98;99.63;99.63;0.08;6.869;6.843;0.02575;8.369;8.353;-15.893;0.50;-89.96;
2026-01-22 16:20:29.23;0.00:00:00:320;0.00;0.00;-1.00;6.861;-0.001177;0.004311;-6.835;52.64;-44.98;99.63;99.63;0.07;6.861;6.835;0.02544;8.364;8.348;-15.944;0.50;-89.96;
2026-01-22 16:20:29.28;0.00:00:00:374;0.00;0.00;-1.00;6.848;-0.002192;0.002706;-6.823;64.51;-44.99;99.64;99.64;0.05;6.848;6.823;0.02499;8.356;8.340;-16.023;0.50;-89.98;
2026-01-22 16:20:29.33;0.00:00:00:424;0.00;0.00;-1.00;6.851;-0.002472;0.001515;-6.827;74.25;-44.99;99.64;99.64;0.04;6.851;6.827;0.0247;8.358;8.342;-16.074;0.50;-89.99;
2026-01-22 16:20:29.38;0.00:00:00:471;0.00;0.00;-1.00;6.858;-0.002542;0.001627;-6.833;73.69;-44.99;99.64;99.64;0.04;6.858;6.833;0.02475;8.362;8.346;-16.065;0.50;-89.99;
2026-01-22 16:20:29.43;0.00:00:00:526;0.00;0.00;-1.00;6.86;-0.00115;0.0026;-6.835;56.94;-44.99;99.63;99.63;0.04;6.86;6.835;0.02559;8.364;8.347;-15.920;0.50;-89.98;
