Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:23:03.87;0.00:00:00:045;-0.01;0.00;-1.00;6.723;-0.03635;0.006134;-6.626;85.21;-44.84;98.57;98.56;0.55;6.723;6.627;0.0964;8.276;8.213;-10.159;0.50;-89.95;
2026-01-22 16:23:03.93;0.00:00:00:097;-0.01;0.00;-1.00;6.716;-0.03398;0.009297;-6.619;82.35;-44.85;98.56;98.56;0.52;6.716;6.619;0.09673;8.271;8.208;-10.145;0.50;-89.92;
2026-01-22 16:23:03.97;0.00:00:00:145;-0.01;0.00;-1.00;6.714;-0.03668;0.004214;-6.618;86.72;-44.84;98.57;98.57;0.55;6.714;6.618;0.09588;8.270;8.208;-10.183;0.50;-89.96;
2026-01-22 16:23:04.02;0.00:00:00:192;-0.01;0.00;-1.00;6.719;-0.03482;0.008079;-6.622;83.47;-44.85;98.55;98.55;0.53;6.719;6.622;0.0974;8.273;8.210;-10.114;0.50;-89.93;
2026-01-22 16:23:04.07;0.00:00:00:240;-0.01;0.00;-1.00;6.719;-0.03563;0.006533;-6.622;84.81;-44.84;98.57;98.56;0.54;6.719;6.622;0.09637;8.273;8.210;-10.161;0.50;-89.94;
2026-01-22 16:23:04.12;0.00:00:00:288;-0.01;0.00;-1.00;6.709;-0.03456;0.008494;-6.612;83.10;-44.85;98.55;98.55;0.53;6.709;6.612;0.09699;8.267;8.203;-10.133;0.50;-89.93;
2026-01-22 16:23:04.17;0.00:00:00:338;-0.01;0.00;-1.00;6.706;-0.03513;0.006815;-6.609;84.51;-44.84;98.56;98.56;0.53;6.706;6.609;0.09653;8.265;8.202;-10.153;0.50;-89.94;
2026-01-22 16:23:04.22;0.00:00:00:387;-0.01;0.00;-1.00;6.707;-0.0345;0.00887;-6.611;82.79;-44.85;98.57;98.57;0.53;6.707;6.611;0.09602;8.265;8.203;-10.176;0.50;-89.92;
2026-01-22 16:23:04.26;0.00:00:00:435;-0.01;0.00;-1.00;6.701;-0.03432;0.007965;-6.605;83.47;-44.85;98.57;98.57;0.53;6.701;6.605;0.09583;8.261;8.199;-10.185;0.50;-89.93;
2026-01-22 16:23:04.31;0.00:00:00:483;-0.01;0.00;-1.00;6.696;-0.03443;0.00983;-6.6;82.03;-44.84;98.56;98.56;0.53;6.696;6.6;0.09611;8.258;8.195;-10.172;0.50;-89.91;
2026-01-22 16:23:04.36;0.00:00:00:534;-0.01;0.00;-1.00;6.683;-0.03589;0.00621;-6.587;85.09;-44.84;98.56;98.56;0.55;6.683;6.587;0.09591;8.250;8.187;-10.181;0.50;-89.95;
2026-01-22 16:23:04.41;0.00:00:00:582;-0.01;0.00;-1.00;6.686;-0.03623;0.005373;-6.59;85.78;-44.84;98.56;98.56;0.55;6.686;6.59;0.09611;8.252;8.189;-10.172;0.50;-89.95;
2026-01-22 16:23:04.46;0.00:00:00:630;-0.01;0.00;-1.00;6.695;-0.03561;0.007777;-6.599;83.84;-44.84;98.57;98.56;0.54;6.695;6.599;0.09607;8.258;8.195;-10.174;0.50;-89.93;
2026-01-22 16:23:04.51;0.00:00:00:679;-0.01;0.00;-1.00;6.693;-0.03488;0.007617;-6.596;83.84;-44.84;98.56;98.56;0.53;6.693;6.597;0.0962;8.256;8.193;-10.168;0.50;-89.93;
2026-01-22 16:23:04.56;0.00:00:00:727;-0.01;0.00;-1.00;6.689;-0.03658;0.00533;-6.593;85.85;-44.84;98.57;98.57;0.55;6.689;6.593;0.09581;8.253;8.191;-10.186;0.50;-89.95;
2026-01-22 16:23:04.61;0.00:00:00:777;-0.01;0.00;-1.00;6.694;-0.03602;0.005909;-6.598;85.34;-44.84;98.57;98.56;0.55;6.694;6.598;0.09598;8.257;8.194;-10.178;0.50;-89.95;
2026-01-22 16:23:04.65;0.00:00:00:824;-0.01;0.00;-1.00;6.696;-0.03523;0.00604;-6.599;85.14;-44.84;98.56;98.55;0.53;6.696;6.599;0.09667;8.258;8.195;-10.147;0.50;-89.95;
2026-01-22 16:23:04.70;0.00:00:00:871;-0.01;0.00;-1.00;6.703;-0.0363;0.005958;-6.606;85.34;-44.84;98.56;98.56;0.55;6.703;6.606;0.0966;8.263;8.200;-10.150;0.50;-89.95;
2026-01-22 16:23:04.75;0.00:00:00:922;-0.01;0.00;-1.00;6.706;-0.03671;0.004987;-6.61;86.13;-44.84;98.57;98.57;0.55;6.706;6.61;0.09558;8.265;8.202;-10.196;0.50;-89.96;
2026-01-22 16:23:04.80;0.00:00:00:971;-0.01;0.00;-1.00;6.715;-0.0369;0.00576;-6.618;85.56;-44.84;98.56;98.56;0.56;6.715;6.618;0.09639;8.270;8.208;-10.160;0.50;-89.95;
