Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:44:43.40;0.00:00:00:052;-0.01;-0.01;-1.00;0.009365;-0.0001272;-5.702E-05;-0.009222;-77.93;-44.57;98.48;98.46;1.49;0.009365;0.009223;0.0001427;-20.285;-20.351;-38.456;0.49;-90.35;
2026-01-22 16:44:43.45;0.00:00:00:100;-0.01;-0.01;-1.00;0.009345;-0.000133;-6.218E-05;-0.009203;-77.47;-44.54;98.49;98.48;1.57;0.009345;0.009205;0.0001408;-20.294;-20.360;-38.515;0.49;-90.39;
2026-01-22 16:44:43.50;0.00:00:00:150;-0.01;-0.01;-1.00;0.009343;-0.0001294;-5.753E-05;-0.009201;-78.02;-44.56;98.49;98.48;1.52;0.009343;0.009202;0.0001414;-20.295;-20.361;-38.497;0.49;-90.36;
2026-01-22 16:44:43.55;0.00:00:00:201;-0.01;-0.01;-1.00;0.009321;-0.0001297;-6.074E-05;-0.009179;-77.45;-44.55;98.49;98.48;1.54;0.009321;0.00918;0.0001408;-20.306;-20.372;-38.515;0.49;-90.38;
2026-01-22 16:44:43.60;0.00:00:00:248;-0.01;-0.01;-1.00;0.009316;-0.000127;-6.035E-05;-0.009174;-77.29;-44.56;98.48;98.47;1.51;0.009316;0.009175;0.0001417;-20.307;-20.374;-38.486;0.49;-90.38;
2026-01-22 16:44:43.65;0.00:00:00:298;-0.01;-0.01;-1.00;0.009313;-0.0001279;-6.128E-05;-0.00917;-77.20;-44.56;98.48;98.47;1.52;0.009313;0.009171;0.0001412;-20.309;-20.376;-38.501;0.49;-90.38;
2026-01-22 16:44:43.70;0.00:00:00:351;-0.01;-0.01;-1.00;0.009309;-0.0001281;-5.857E-05;-0.009167;-77.71;-44.56;98.48;98.47;1.51;0.009309;0.009168;0.0001415;-20.311;-20.377;-38.494;0.49;-90.37;
2026-01-22 16:44:43.75;0.00:00:00:399;-0.01;-0.01;-1.00;0.009285;-0.0001271;-5.632E-05;-0.009142;-78.05;-44.56;98.47;98.46;1.50;0.009285;0.009143;0.0001423;-20.322;-20.389;-38.469;0.49;-90.35;
2026-01-22 16:44:43.80;0.00:00:00:448;-0.01;-0.01;-1.00;0.009282;-0.0001293;-5.909E-05;-0.00914;-77.72;-44.55;98.48;98.47;1.53;0.009282;0.009141;0.000141;-20.324;-20.390;-38.508;0.49;-90.37;
2026-01-22 16:44:43.85;0.00:00:00:497;-0.01;-0.01;-1.00;0.009261;-0.000126;-5.314E-05;-0.009119;-78.57;-44.57;98.47;98.46;1.48;0.009261;0.00912;0.0001415;-20.333;-20.400;-38.493;0.49;-90.33;
2026-01-22 16:44:43.90;0.00:00:00:546;-0.01;-0.01;-1.00;0.009246;-0.000125;-5.276E-05;-0.009103;-78.56;-44.57;98.47;98.46;1.47;0.009246;0.009104;0.0001416;-20.341;-20.408;-38.489;0.49;-90.33;
2026-01-22 16:44:43.95;0.00:00:00:595;-0.01;-0.01;-1.00;0.009222;-0.0001249;-5.513E-05;-0.00908;-78.09;-44.57;98.47;98.46;1.48;0.009222;0.009081;0.0001414;-20.352;-20.419;-38.496;0.49;-90.35;
2026-01-22 16:44:44.00;0.00:00:00:646;-0.01;-0.01;-1.00;0.009217;-0.0001279;-6.255E-05;-0.009075;-76.97;-44.55;98.48;98.46;1.55;0.009217;0.009076;0.0001404;-20.354;-20.421;-38.528;0.49;-90.39;
2026-01-22 16:44:44.05;0.00:00:00:694;-0.01;-0.01;-1.00;0.009243;-0.0001266;-5.651E-05;-0.009101;-77.97;-44.56;98.47;98.46;1.50;0.009243;0.009102;0.0001414;-20.342;-20.409;-38.497;0.49;-90.36;
2026-01-22 16:44:44.09;0.00:00:00:740;-0.01;-0.01;-1.00;0.009246;-0.0001298;-6.239E-05;-0.009104;-77.17;-44.55;98.48;98.47;1.56;0.009246;0.009105;0.0001402;-20.341;-20.407;-38.533;0.49;-90.39;
2026-01-22 16:44:44.14;0.00:00:00:791;-0.01;-0.01;-1.00;0.009237;-0.0001257;-5.62E-05;-0.009094;-77.96;-44.57;98.46;98.45;1.49;0.009237;0.009095;0.0001418;-20.345;-20.412;-38.482;0.49;-90.35;
2026-01-22 16:44:44.19;0.00:00:00:842;-0.01;-0.01;-1.00;0.009231;-0.0001265;-5.514E-05;-0.009089;-78.23;-44.56;98.47;98.46;1.50;0.009231;0.00909;0.0001411;-20.347;-20.414;-38.506;0.49;-90.35;
2026-01-22 16:44:44.24;0.00:00:00:890;-0.01;-0.01;-1.00;0.009155;-0.000122;-5.268E-05;-0.009013;-78.32;-44.58;98.47;98.46;1.45;0.009155;0.009014;0.0001403;-20.384;-20.451;-38.529;0.49;-90.33;
2026-01-22 16:44:44.29;0.00:00:00:939;-0.01;-0.01;-1.00;0.009173;-0.0001349;-7.213E-05;-0.009033;-75.93;-44.51;98.49;98.47;1.67;0.009173;0.009034;0.0001387;-20.375;-20.441;-38.580;0.49;-90.46;
2026-01-22 16:44:44.34;0.00:00:00:988;-0.01;-0.01;-1.00;0.009204;-0.0001291;-6.326E-05;-0.009062;-76.95;-44.55;98.47;98.46;1.56;0.009204;0.009063;0.0001408;-20.360;-20.427;-38.515;0.49;-90.40;
2026-01-22 16:44:44.39;0.00:00:01:039;-0.01;-0.01;-1.00;0.009207;-0.0001261;-6.024E-05;-0.009066;-77.23;-44.56;98.48;98.47;1.52;0.009207;0.009067;0.0001399;-20.359;-20.425;-38.543;0.49;-90.38;
2026-01-22 16:44:44.44;0.00:00:01:088;-0.01;-0.01;-1.00;0.00921;-0.0001281;-6.018E-05;-0.00907;-77.42;-44.55;98.49;98.48;1.54;0.00921;0.009071;0.000139;-20.357;-20.423;-38.569;0.49;-90.38;
2026-01-22 16:44:44.49;0.00:00:01:136;-0.01;-0.01;-1.00;0.009223;-0.0001226;-5.083E-05;-0.009081;-78.74;-44.58;98.47;98.46;1.44;0.009223;0.009082;0.0001411;-20.351;-20.418;-38.505;0.49;-90.32;
2026-01-22 16:44:44.54;0.00:00:01:188;-0.01;-0.01;-1.00;0.009215;-0.0001322;-6.329E-05;-0.009075;-77.21;-44.54;98.50;98.49;1.59;0.009215;0.009076;0.0001383;-20.355;-20.421;-38.591;0.49;-90.40;
2026-01-22 16:44:44.59;0.00:00:01:234;-0.01;-0.01;-1.00;0.009239;-0.0001293;-6.32E-05;-0.009098;-76.98;-44.55;98.48;98.47;1.56;0.009239;0.009099;0.0001403;-20.344;-20.410;-38.528;0.49;-90.40;
2026-01-22 16:44:44.63;0.00:00:01:283;-0.01;-0.01;-1.00;0.009254;-0.0001321;-6.401E-05;-0.009113;-77.08;-44.54;98.48;98.47;1.59;0.009254;0.009114;0.0001402;-20.337;-20.403;-38.531;0.49;-90.40;
2026-01-22 16:44:44.68;0.00:00:01:331;-0.01;-0.01;-1.00;0.009251;-0.0001247;-5.268E-05;-0.009107;-78.55;-44.57;98.46;98.45;1.46;0.009251;0.009109;0.0001425;-20.338;-20.406;-38.462;0.49;-90.33;
2026-01-22 16:44:44.73;0.00:00:01:379;-0.01;-0.01;-1.00;0.009239;-0.0001291;-5.902E-05;-0.009099;-77.71;-44.55;98.49;98.48;1.54;0.009239;0.0091;0.0001395;-20.344;-20.410;-38.554;0.49;-90.37;
2026-01-22 16:44:44.78;0.00:00:01:428;-0.01;-0.01;-1.00;0.009254;-0.0001315;-6.457E-05;-0.009113;-76.92;-44.54;98.49;98.48;1.58;0.009254;0.009114;0.0001399;-20.337;-20.403;-38.543;0.49;-90.41;
2026-01-22 16:44:44.83;0.00:00:01:480;-0.01;-0.01;-1.00;0.009266;-0.000127;-5.621E-05;-0.009125;-78.06;-44.56;98.48;98.47;1.50;0.009266;0.009126;0.0001405;-20.331;-20.397;-38.522;0.49;-90.35;
2026-01-22 16:44:44.88;0.00:00:01:529;-0.01;-0.01;-1.00;0.009294;-0.0001373;-7.241E-05;-0.009154;-76.09;-44.51;98.51;98.49;1.67;0.009294;0.009155;0.0001386;-20.318;-20.383;-38.582;0.49;-90.45;
2026-01-22 16:44:44.93;0.00:00:01:576;-0.01;-0.01;-1.00;0.009316;-0.0001297;-6.155E-05;-0.009174;-77.31;-44.55;98.49;98.48;1.54;0.009316;0.009175;0.0001406;-20.308;-20.374;-38.521;0.49;-90.38;
2026-01-22 16:44:44.97;0.00:00:01:623;-0.01;-0.01;-1.00;0.009313;-0.0001258;-5.606E-05;-0.009171;-77.99;-44.57;98.48;98.47;1.48;0.009313;0.009172;0.0001411;-20.309;-20.375;-38.503;0.49;-90.35;
2026-01-22 16:44:45.02;0.00:00:01:671;-0.01;-0.01;-1.00;0.009338;-0.0001328;-6.542E-05;-0.009196;-76.89;-44.54;98.50;98.49;1.59;0.009338;0.009198;0.0001401;-20.298;-20.363;-38.536;0.49;-90.41;
2026-01-22 16:44:45.07;0.00:00:01:720;-0.01;-0.01;-1.00;0.009361;-0.0001327;-6.296E-05;-0.009218;-77.31;-44.54;98.49;98.47;1.57;0.009361;0.009219;0.0001418;-20.287;-20.353;-38.483;0.49;-90.39;
2026-01-22 16:44:45.12;0.00:00:01:766;-0.01;-0.01;-1.00;0.009353;-0.0001281;-5.588E-05;-0.00921;-78.22;-44.57;98.48;98.47;1.49;0.009353;0.009211;0.0001421;-20.290;-20.357;-38.473;0.49;-90.35;
2026-01-22 16:44:45.16;0.00:00:01:813;-0.01;-0.01;-1.00;0.009343;-0.0001284;-5.429E-05;-0.009201;-78.54;-44.57;98.49;98.48;1.49;0.009343;0.009202;0.0001411;-20.295;-20.361;-38.505;0.49;-90.34;
2026-01-22 16:44:45.22;0.00:00:01:864;-0.01;-0.01;-1.00;0.009329;-0.0001334;-6.423E-05;-0.009188;-77.14;-44.54;98.50;98.49;1.59;0.009329;0.009189;0.0001397;-20.302;-20.367;-38.547;0.49;-90.40;
2026-01-22 16:44:45.27;0.00:00:01:914;-0.01;-0.01;-1.00;0.009343;-0.0001318;-6.469E-05;-0.009201;-76.93;-44.54;98.48;98.47;1.57;0.009343;0.009202;0.0001416;-20.295;-20.361;-38.490;0.49;-90.40;
2026-01-22 16:44:45.32;0.00:00:01:964;-0.01;-0.01;-1.00;0.009345;-0.000125;-5.55E-05;-0.009202;-78.03;-44.57;98.48;98.47;1.46;0.009345;0.009203;0.0001423;-20.294;-20.361;-38.468;0.49;-90.35;
2026-01-22 16:44:45.37;0.00:00:02:016;-0.01;-0.01;-1.00;0.009349;-0.0001295;-5.902E-05;-0.009206;-77.75;-44.56;98.48;98.47;1.52;0.009349;0.009207;0.0001417;-20.292;-20.359;-38.487;0.49;-90.37;
2026-01-22 16:44:45.41;0.00:00:02:063;-0.01;-0.01;-1.00;0.009358;-0.0001302;-6.322E-05;-0.009216;-77.05;-44.55;98.50;98.49;1.55;0.009358;0.009217;0.0001406;-20.288;-20.354;-38.520;0.49;-90.39;
2026-01-22 16:44:45.46;0.00:00:02:111;-0.01;-0.01;-1.00;0.009373;-0.0001351;-7.168E-05;-0.009231;-76.02;-44.53;98.50;98.49;1.63;0.009373;0.009233;0.0001403;-20.281;-20.347;-38.528;0.49;-90.44;
2026-01-22 16:44:45.51;0.00:00:02:160;-0.01;-0.01;-1.00;0.009431;-0.0001351;-6.69E-05;-0.009287;-76.83;-44.54;98.49;98.48;1.60;0.009431;0.009289;0.0001421;-20.255;-20.321;-38.473;0.49;-90.41;
2026-01-22 16:44:45.56;0.00:00:02:207;-0.01;-0.01;-1.00;0.009435;-0.0001352;-6.094E-05;-0.009294;-77.87;-44.54;98.52;98.51;1.57;0.009435;0.009295;0.0001397;-20.253;-20.318;-38.547;0.49;-90.38;
2026-01-22 16:44:45.61;0.00:00:02:255;-0.01;-0.01;-1.00;0.009417;-0.0001319;-5.34E-05;-0.009275;-78.98;-44.56;98.50;98.49;1.51;0.009417;0.009276;0.0001414;-20.261;-20.327;-38.494;0.49;-90.33;
2026-01-22 16:44:45.66;0.00:00:02:305;-0.01;-0.01;-1.00;0.00943;-0.0001378;-5.99E-05;-0.009288;-78.25;-44.54;98.51;98.50;1.59;0.00943;0.00929;0.0001403;-20.255;-20.320;-38.529;0.49;-90.37;
2026-01-22 16:44:45.71;0.00:00:02:355;-0.01;-0.01;-1.00;0.00944;-0.000135;-6.505E-05;-0.009298;-77.14;-44.54;98.51;98.49;1.59;0.00944;0.009299;0.0001411;-20.250;-20.316;-38.506;0.49;-90.40;
2026-01-22 16:44:45.76;0.00:00:02:405;-0.01;-0.01;-1.00;0.009429;-0.0001393;-6.853E-05;-0.009289;-76.90;-44.52;98.52;98.51;1.65;0.009429;0.00929;0.0001396;-20.255;-20.320;-38.551;0.49;-90.42;
2026-01-22 16:44:45.81;0.00:00:02:454;-0.01;-0.01;-1.00;0.009433;-0.0001334;-5.506E-05;-0.00929;-78.78;-44.56;98.49;98.48;1.53;0.009433;0.009291;0.0001422;-20.254;-20.319;-38.472;0.49;-90.34;
2026-01-22 16:44:45.85;0.00:00:02:501;-0.01;-0.01;-1.00;0.009426;-0.0001271;-4.937E-05;-0.009281;-79.38;-44.58;98.47;98.46;1.45;0.009426;0.009282;0.0001442;-20.257;-20.324;-38.409;0.49;-90.30;
2026-01-22 16:44:45.90;0.00:00:02:551;-0.02;-0.01;-1.00;0.009403;-0.0001391;-6.018E-05;-0.009262;-78.30;-44.53;98.51;98.50;1.61;0.009403;0.009263;0.0001402;-20.267;-20.333;-38.531;0.49;-90.37;
2026-01-22 16:44:45.95;0.00:00:02:597;-0.01;-0.01;-1.00;0.0094;-0.0001287;-6.383E-05;-0.009257;-76.81;-44.56;98.49;98.48;1.53;0.0094;0.009258;0.000142;-20.269;-20.335;-38.478;0.49;-90.40;
2026-01-22 16:44:46.00;0.00:00:02:647;-0.01;-0.01;-1.00;0.009404;-0.0001291;-6.344E-05;-0.00926;-76.92;-44.55;98.48;98.47;1.53;0.009404;0.009261;0.0001429;-20.267;-20.333;-38.449;0.49;-90.39;
2026-01-22 16:44:46.05;0.00:00:02:697;-0.01;-0.01;-1.00;0.009403;-0.0001244;-5.381E-05;-0.009258;-78.31;-44.58;98.47;98.46;1.44;0.009403;0.009259;0.0001439;-20.267;-20.334;-38.421;0.49;-90.33;
