Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:43:52.59;0.00:00:00:051;0.00;0.00;1.00;6.663;-0.02945;-0.02063;6.553;-72.49;44.84;98.36;98.36;0.54;6.663;6.553;0.1095;8.236;8.164;-9.606;0.50;90.18;
2026-01-22 16:43:52.64;0.00:00:00:101;0.00;0.00;1.00;6.654;-0.02876;-0.021;6.543;-71.93;44.84;98.34;98.34;0.54;6.654;6.543;0.1102;8.231;8.158;-9.578;0.50;90.18;
2026-01-22 16:43:52.69;0.00:00:00:149;0.00;0.00;1.00;6.643;-0.0289;-0.02028;6.533;-72.47;44.85;98.35;98.35;0.53;6.643;6.533;0.1098;8.224;8.151;-9.593;0.50;90.18;
2026-01-22 16:43:52.74;0.00:00:00:200;0.00;0.00;1.00;6.638;-0.02925;-0.0204;6.529;-72.56;44.84;98.35;98.35;0.54;6.638;6.529;0.1093;8.221;8.148;-9.612;0.50;90.18;
2026-01-22 16:43:52.79;0.00:00:00:249;0.00;0.00;1.00;6.643;-0.02844;-0.01943;6.533;-72.83;44.85;98.35;98.34;0.52;6.643;6.533;0.1099;8.224;8.151;-9.591;0.50;90.17;
2026-01-22 16:43:52.83;0.00:00:00:297;0.00;0.00;1.00;6.646;-0.02878;-0.02053;6.536;-72.25;44.85;98.35;98.35;0.53;6.646;6.537;0.1097;8.226;8.154;-9.597;0.50;90.18;
2026-01-22 16:43:52.89;0.00:00:00:349;0.00;0.00;1.00;6.652;-0.02898;-0.02047;6.542;-72.38;44.84;98.35;98.35;0.53;6.652;6.542;0.1099;8.230;8.157;-9.589;0.50;90.18;
2026-01-22 16:43:52.94;0.00:00:00:398;0.00;0.00;1.00;6.646;-0.02964;-0.021;6.536;-72.35;44.84;98.34;98.34;0.55;6.646;6.536;0.1101;8.226;8.153;-9.582;0.50;90.18;
2026-01-22 16:43:52.98;0.00:00:00:445;0.00;0.00;1.00;6.653;-0.02936;-0.02015;6.543;-72.77;44.84;98.35;98.35;0.54;6.653;6.543;0.1098;8.230;8.158;-9.594;0.50;90.18;
2026-01-22 16:43:53.03;0.00:00:00:496;0.00;0.00;1.00;6.658;-0.02938;-0.02056;6.548;-72.51;44.84;98.34;98.34;0.54;6.658;6.548;0.1104;8.234;8.161;-9.569;0.50;90.18;
2026-01-22 16:43:53.08;0.00:00:00:545;0.00;0.00;1.00;6.671;-0.02929;-0.02007;6.561;-72.79;44.84;98.34;98.34;0.53;6.671;6.561;0.1107;8.242;8.170;-9.557;0.50;90.18;
2026-01-22 16:43:53.13;0.00:00:00:593;0.00;0.00;1.00;6.678;-0.0294;-0.02029;6.568;-72.69;44.84;98.36;98.36;0.53;6.678;6.568;0.1097;8.246;8.175;-9.598;0.50;90.18;
2026-01-22 16:43:53.18;0.00:00:00:644;0.00;0.00;1.00;6.687;-0.02862;-0.02092;6.576;-71.91;44.85;98.35;98.35;0.53;6.687;6.577;0.1102;8.252;8.180;-9.578;0.50;90.18;
2026-01-22 16:43:53.23;0.00:00:00:693;0.00;0.00;1.00;6.687;-0.02885;-0.0206;6.576;-72.24;44.85;98.34;98.34;0.53;6.687;6.576;0.1107;8.252;8.180;-9.558;0.50;90.18;
2026-01-22 16:43:53.28;0.00:00:00:742;0.00;0.00;1.00;6.678;-0.02938;-0.02109;6.567;-72.16;44.84;98.34;98.34;0.54;6.678;6.567;0.1108;8.246;8.173;-9.554;0.50;90.18;
2026-01-22 16:43:53.33;0.00:00:00:791;0.00;0.00;1.00;6.675;-0.02907;-0.02151;6.564;-71.75;44.84;98.34;98.34;0.54;6.675;6.565;0.1105;8.245;8.172;-9.567;0.50;90.19;
2026-01-22 16:43:53.38;0.00:00:00:839;0.00;0.00;1.00;6.671;-0.02938;-0.02021;6.561;-72.74;44.84;98.35;98.35;0.53;6.671;6.561;0.1103;8.242;8.170;-9.574;0.50;90.18;
2026-01-22 16:43:53.43;0.00:00:00:889;0.00;0.00;1.00;6.674;-0.02894;-0.02023;6.564;-72.52;44.85;98.35;98.35;0.53;6.674;6.564;0.11;8.244;8.172;-9.587;0.50;90.18;
2026-01-22 16:43:53.48;0.00:00:00:939;0.00;0.00;1.00;6.678;-0.02905;-0.02087;6.568;-72.16;44.84;98.36;98.35;0.54;6.678;6.568;0.1098;8.246;8.174;-9.596;0.50;90.18;
2026-01-22 16:43:53.52;0.00:00:00:986;0.00;0.00;1.00;6.669;-0.02935;-0.02124;6.559;-72.05;44.84;98.35;98.35;0.54;6.669;6.559;0.1102;8.241;8.169;-9.579;0.50;90.19;
2026-01-22 16:43:53.57;0.00:00:01:036;0.00;0.00;1.00;6.659;-0.0289;-0.0203;6.549;-72.46;44.85;98.34;98.34;0.53;6.659;6.549;0.1103;8.234;8.162;-9.573;0.50;90.18;
2026-01-22 16:43:53.62;0.00:00:01:085;0.00;0.00;1.00;6.658;-0.02941;-0.01994;6.548;-72.93;44.84;98.34;98.34;0.53;6.658;6.548;0.1102;8.233;8.161;-9.577;0.50;90.17;
2026-01-22 16:43:53.67;0.00:00:01:135;0.00;0.00;1.00;6.661;-0.02931;-0.02;6.55;-72.85;44.84;98.34;98.34;0.53;6.661;6.55;0.1106;8.235;8.162;-9.561;0.50;90.17;
2026-01-22 16:43:53.72;0.00:00:01:184;0.00;0.00;1.00;6.655;-0.02815;-0.02037;6.544;-72.06;44.85;98.33;98.33;0.52;6.655;6.544;0.1109;8.232;8.159;-9.551;0.50;90.18;
2026-01-22 16:43:53.77;0.00:00:01:230;0.00;0.00;1.00;6.657;-0.02967;-0.0196;6.546;-73.28;44.84;98.34;98.34;0.53;6.657;6.546;0.1106;8.233;8.160;-9.564;0.50;90.17;
2026-01-22 16:43:53.81;0.00:00:01:276;0.00;0.00;1.00;6.663;-0.02921;-0.02016;6.552;-72.69;44.84;98.33;98.33;0.53;6.663;6.552;0.1112;8.237;8.164;-9.540;0.50;90.18;
2026-01-22 16:43:53.86;0.00:00:01:325;0.00;0.00;1.00;6.666;-0.02943;-0.02015;6.556;-72.80;44.84;98.34;98.34;0.53;6.666;6.556;0.1107;8.239;8.166;-9.557;0.50;90.18;
