Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:35:08.86;0.00:00:00:050;-1.00;0.00;-0.01;0.009384;-0.009117;-2.324E-05;-0.0001127;-89.93;-0.35;97.17;1.20;97.16;0.009384;0.009118;0.0002655;-20.276;-20.401;-35.760;0.00;-101.65;
2026-01-22 16:35:08.91;0.00:00:00:101;-1.00;0.00;-0.01;0.009349;-0.009087;-2.272E-05;-0.0001137;-89.93;-0.36;97.20;1.22;97.19;0.009349;0.009088;0.0002617;-20.292;-20.416;-35.821;0.00;-101.30;
2026-01-22 16:35:08.95;0.00:00:00:148;-1.00;0.00;-0.01;0.009353;-0.009091;-2.675E-05;-0.0001118;-89.92;-0.35;97.20;1.20;97.19;0.009353;0.009091;0.0002617;-20.291;-20.414;-35.821;0.00;-103.45;
2026-01-22 16:35:09.01;0.00:00:00:200;-1.00;0.00;-0.01;0.009352;-0.009085;-2.201E-05;-0.0001133;-89.93;-0.36;97.15;1.21;97.15;0.009352;0.009086;0.0002663;-20.291;-20.416;-35.747;0.00;-100.99;
2026-01-22 16:35:09.05;0.00:00:00:248;-1.00;0.00;-0.01;0.009324;-0.009057;-1.825E-05;-0.000115;-89.94;-0.36;97.15;1.23;97.14;0.009324;0.009058;0.0002661;-20.304;-20.430;-35.750;0.00;-99.02;
2026-01-22 16:35:09.10;0.00:00:00:298;-1.00;0.00;-0.01;0.009313;-0.009057;-3.029E-05;-0.0001116;-89.90;-0.35;97.26;1.20;97.25;0.009313;0.009058;0.0002554;-20.309;-20.430;-35.928;0.00;-105.19;
2026-01-22 16:35:09.15;0.00:00:00:348;-1.00;0.00;-0.01;0.009339;-0.00908;-2.57E-05;-0.0001123;-89.92;-0.35;97.23;1.20;97.22;0.009339;0.00908;0.0002591;-20.297;-20.419;-35.866;0.00;-102.89;
2026-01-22 16:35:09.20;0.00:00:00:394;-1.00;0.00;-0.01;0.009343;-0.009085;-2.481E-05;-0.0001131;-89.92;-0.36;97.25;1.21;97.24;0.009343;0.009086;0.0002568;-20.295;-20.416;-35.904;0.00;-102.37;
2026-01-22 16:35:09.25;0.00:00:00:442;-1.00;0.00;-0.01;0.009374;-0.009113;-2.527E-05;-0.0001137;-89.92;-0.36;97.23;1.21;97.22;0.009374;0.009114;0.0002597;-20.281;-20.403;-35.855;0.00;-102.53;
2026-01-22 16:35:09.30;0.00:00:00:492;-1.00;0.00;-0.01;0.009377;-0.009116;-2.498E-05;-0.0001126;-89.92;-0.35;97.22;1.20;97.21;0.009377;0.009117;0.0002608;-20.279;-20.402;-35.837;0.00;-102.51;
2026-01-22 16:35:09.35;0.00:00:00:541;-1.00;0.00;-0.01;0.009393;-0.009132;-2.634E-05;-0.0001128;-89.92;-0.35;97.24;1.20;97.23;0.009393;0.009133;0.0002597;-20.272;-20.394;-35.856;0.00;-103.14;
2026-01-22 16:35:09.40;0.00:00:00:592;-1.00;0.00;-0.01;0.009396;-0.009134;-2.348E-05;-0.0001134;-89.93;-0.36;97.22;1.21;97.21;0.009396;0.009134;0.0002612;-20.271;-20.393;-35.830;0.00;-101.70;
