Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 16:34:04.19;0.00:00:00:049;-1.00;0.00;-0.01;6.79;-6.635;4.414E-05;-0.03941;90.00;-0.17;97.71;0.58;97.71;6.79;6.635;0.1556;8.319;8.218;-8.079;0.00;-89.94;
2026-01-22 16:34:04.24;0.00:00:00:099;-1.00;0.00;-0.01;6.785;-6.627;0.0001501;-0.04032;90.00;-0.17;97.67;0.59;97.67;6.785;6.627;0.1581;8.315;8.213;-8.011;0.00;-89.79;
2026-01-22 16:34:04.29;0.00:00:00:149;-1.00;0.00;-0.01;6.783;-6.627;-0.0001236;-0.03985;-90.00;-0.17;97.70;0.59;97.69;6.783;6.627;0.1563;8.314;8.213;-8.060;0.00;-90.18;
2026-01-22 16:34:04.34;0.00:00:00:197;-1.00;0.00;-0.01;6.784;-6.626;0.0003224;-0.03997;90.00;-0.17;97.68;0.59;97.67;6.784;6.626;0.1577;8.315;8.213;-8.023;0.00;-89.54;
2026-01-22 16:34:04.38;0.00:00:00:246;-1.00;0.00;-0.01;6.773;-6.615;0.001129;-0.03994;90.00;-0.17;97.67;0.59;97.67;6.773;6.615;0.1575;8.308;8.205;-8.026;0.00;-88.38;
2026-01-22 16:34:04.43;0.00:00:00:293;-1.00;0.00;-0.01;6.766;-6.609;0.0004405;-0.04013;90.00;-0.17;97.69;0.59;97.68;6.766;6.609;0.1565;8.303;8.201;-8.054;0.00;-89.37;
2026-01-22 16:34:04.48;0.00:00:00:340;-1.00;0.00;-0.01;6.775;-6.62;-0.002321;-0.0394;-89.99;-0.17;97.72;0.58;97.72;6.775;6.62;0.1546;8.309;8.209;-8.107;0.00;-93.37;
2026-01-22 16:34:04.53;0.00:00:00:392;-1.00;0.00;-0.01;6.78;-6.624;-0.0007065;-0.03944;-90.00;-0.17;97.71;0.58;97.70;6.78;6.624;0.1555;8.312;8.211;-8.082;0.00;-91.02;
2026-01-22 16:34:04.58;0.00:00:00:439;-1.00;0.00;-0.01;6.78;-6.625;-0.0005873;-0.03967;-90.00;-0.17;97.71;0.59;97.71;6.78;6.625;0.1551;8.312;8.212;-8.093;0.00;-90.85;
2026-01-22 16:34:04.63;0.00:00:00:488;-1.00;0.00;-0.01;6.78;-6.623;0.000309;-0.03938;90.00;-0.17;97.69;0.58;97.69;6.78;6.623;0.1565;8.312;8.211;-8.054;0.00;-89.55;
2026-01-22 16:34:04.68;0.00:00:00:540;-1.00;0.00;-0.01;6.778;-6.622;-0.001051;-0.03938;-90.00;-0.17;97.70;0.58;97.70;6.778;6.622;0.1561;8.311;8.210;-8.066;0.00;-91.53;
2026-01-22 16:34:04.73;0.00:00:00:588;-1.00;0.00;-0.01;6.779;-6.623;-0.000256;-0.03962;-90.00;-0.17;97.69;0.58;97.69;6.779;6.623;0.1566;8.312;8.210;-8.052;0.00;-90.37;
2026-01-22 16:34:04.77;0.00:00:00:636;-1.00;0.00;-0.01;6.783;-6.628;-0.00182;-0.0396;-89.99;-0.17;97.71;0.58;97.71;6.783;6.628;0.1553;8.314;8.214;-8.087;0.00;-92.63;
2026-01-22 16:34:04.82;0.00:00:00:685;-1.00;0.00;-0.01;6.785;-6.628;-0.0002297;-0.04004;-90.00;-0.17;97.69;0.59;97.68;6.785;6.628;0.157;8.316;8.214;-8.040;0.00;-90.33;
2026-01-22 16:34:04.87;0.00:00:00:732;-1.00;0.00;-0.01;6.785;-6.629;-0.001542;-0.03986;-89.99;-0.17;97.70;0.59;97.70;6.785;6.629;0.1559;8.315;8.215;-8.072;0.00;-92.22;
2026-01-22 16:34:04.92;0.00:00:00:782;-1.00;0.00;-0.01;6.787;-6.629;0.001039;-0.04015;90.00;-0.17;97.67;0.59;97.67;6.787;6.63;0.1579;8.317;8.215;-8.016;0.00;-88.52;
2026-01-22 16:34:04.97;0.00:00:00:832;-1.00;0.00;-0.01;6.777;-6.62;0.001011;-0.04017;90.00;-0.17;97.69;0.59;97.68;6.777;6.62;0.1568;8.310;8.209;-8.046;0.00;-88.56;
2026-01-22 16:34:05.02;0.00:00:00:881;-1.00;0.00;-0.01;6.778;-6.623;-0.001183;-0.03961;-89.99;-0.17;97.71;0.58;97.70;6.778;6.623;0.1555;8.311;8.211;-8.081;0.00;-91.71;
2026-01-22 16:34:05.07;0.00:00:00:932;-1.00;0.00;-0.01;6.782;-6.624;-0.0006403;-0.03977;-90.00;-0.17;97.68;0.59;97.67;6.782;6.625;0.1577;8.314;8.212;-8.022;0.00;-90.92;
2026-01-22 16:34:05.12;0.00:00:00:979;-1.00;0.00;-0.01;6.783;-6.626;-0.0006802;-0.04001;-90.00;-0.17;97.70;0.59;97.69;6.783;6.627;0.1563;8.314;8.213;-8.061;0.00;-90.97;
2026-01-22 16:34:05.17;0.00:00:01:027;-1.00;0.00;-0.01;6.78;-6.625;-0.0002561;-0.03949;-90.00;-0.17;97.71;0.58;97.71;6.78;6.625;0.1554;8.313;8.212;-8.085;0.00;-90.37;
2026-01-22 16:34:05.22;0.00:00:01:077;-1.00;0.00;-0.01;6.78;-6.624;-0.0002958;-0.03981;-90.00;-0.17;97.71;0.59;97.71;6.78;6.624;0.1554;8.312;8.211;-8.086;0.00;-90.43;
2026-01-22 16:34:05.26;0.00:00:01:123;-1.00;0.00;-0.01;6.778;-6.622;-0.0008387;-0.03952;-90.00;-0.17;97.70;0.58;97.70;6.778;6.622;0.1558;8.311;8.210;-8.075;0.00;-91.22;
2026-01-22 16:34:05.31;0.00:00:01:172;-1.00;0.00;-0.01;6.783;-6.628;-0.001555;-0.0394;-89.99;-0.17;97.71;0.58;97.71;6.783;6.628;0.1554;8.314;8.214;-8.086;0.00;-92.26;
2026-01-22 16:34:05.36;0.00:00:01:224;-1.00;0.00;-0.01;6.794;-6.637;-0.0005485;-0.0399;-90.00;-0.17;97.69;0.59;97.69;6.794;6.637;0.1568;8.321;8.220;-8.048;0.00;-90.79;
2026-01-22 16:34:05.41;0.00:00:01:273;-1.00;0.00;-0.01;6.794;-6.636;-0.0006679;-0.03993;-90.00;-0.17;97.67;0.59;97.67;6.794;6.636;0.1583;8.322;8.219;-8.004;0.00;-90.96;
2026-01-22 16:34:05.46;0.00:00:01:322;-1.00;0.00;-0.01;6.791;-6.634;-0.0001237;-0.03987;-90.00;-0.17;97.69;0.59;97.69;6.791;6.634;0.1565;8.319;8.218;-8.054;0.00;-90.18;
2026-01-22 16:34:05.51;0.00:00:01:373;-1.00;0.00;-0.01;6.792;-6.635;-0.0008138;-0.0398;-90.00;-0.17;97.69;0.59;97.68;6.792;6.635;0.1571;8.320;8.218;-8.038;0.00;-91.17;
2026-01-22 16:34:05.56;0.00:00:01:423;-1.00;0.00;-0.01;6.796;-6.639;-0.0004159;-0.03969;-90.00;-0.17;97.69;0.58;97.68;6.796;6.639;0.1572;8.323;8.221;-8.035;0.00;-90.60;
2026-01-22 16:34:05.61;0.00:00:01:473;-1.00;0.00;-0.01;6.795;-6.638;0.0001105;-0.03985;90.00;-0.17;97.69;0.59;97.69;6.795;6.638;0.1572;8.322;8.220;-8.036;0.00;-89.84;
2026-01-22 16:34:05.66;0.00:00:01:521;-1.00;0.00;-0.01;6.793;-6.634;0.0002962;-0.04002;90.00;-0.17;97.66;0.59;97.66;6.793;6.634;0.1587;8.321;8.218;-7.995;0.00;-89.58;
2026-01-22 16:34:05.71;0.00:00:01:570;-1.00;0.00;-0.01;6.79;-6.633;-0.001225;-0.03962;-89.99;-0.17;97.69;0.58;97.69;6.79;6.633;0.1568;8.319;8.217;-8.046;0.00;-91.77;
2026-01-22 16:34:05.76;0.00:00:01:622;-1.00;0.00;-0.01;6.797;-6.641;-0.001253;-0.0396;-89.99;-0.17;97.71;0.58;97.71;6.797;6.641;0.1555;8.323;8.222;-8.083;0.00;-91.81;
2026-01-22 16:34:05.81;0.00:00:01:670;-1.00;0.00;-0.01;6.796;-6.639;-0.0002301;-0.03951;-90.00;-0.17;97.68;0.58;97.68;6.796;6.639;0.1575;8.323;8.221;-8.028;0.00;-90.33;
2026-01-22 16:34:05.86;0.00:00:01:717;-1.00;0.00;-0.01;6.794;-6.634;0.0001636;-0.03996;90.00;-0.17;97.66;0.59;97.66;6.794;6.635;0.159;8.321;8.218;-7.985;0.00;-89.76;
2026-01-22 16:34:05.91;0.00:00:01:767;-1.00;0.00;-0.01;6.777;-6.62;0.0001102;-0.03966;90.00;-0.17;97.68;0.59;97.68;6.777;6.62;0.1571;8.311;8.209;-8.038;0.00;-89.84;
