Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:35:43.17;0.00:00:00:049;0.01;1.00;-0.02;0.0002591;1.305E-06;0.0001987;-4.05E-06;44.81;-0.58;76.72;1.56;76.71;0.0002591;0.0001988;6.032E-05;-35.865;-37.016;-42.196;0.50;-1.17;
2026-01-22 14:35:43.22;0.00:00:00:096;0.01;1.00;-0.02;0.0002591;1.184E-06;0.0001988;-4.023E-06;44.83;-0.58;76.74;1.55;76.72;0.0002591;0.0001988;6.027E-05;-35.866;-37.016;-42.199;0.50;-1.16;
2026-01-22 14:35:43.27;0.00:00:00:148;0.01;1.00;-0.02;0.0002592;1.288E-06;0.0001989;-4.029E-06;44.81;-0.58;76.73;1.55;76.72;0.0002592;0.0001989;6.032E-05;-35.863;-37.013;-42.195;0.50;-1.16;
2026-01-22 14:35:43.32;0.00:00:00:196;0.01;1.00;-0.02;0.0002599;1.08E-06;0.0001993;-4.032E-06;44.84;-0.58;76.71;1.55;76.69;0.0002599;0.0001994;6.054E-05;-35.851;-37.003;-42.180;0.50;-1.16;
2026-01-22 14:35:43.36;0.00:00:00:243;0.01;1.00;-0.02;0.0002601;1.274E-06;0.0001996;-4.039E-06;44.82;-0.58;76.74;1.55;76.73;0.0002601;0.0001996;6.049E-05;-35.849;-36.998;-42.183;0.50;-1.16;
2026-01-22 14:35:43.41;0.00:00:00:292;0.01;1.00;-0.02;0.0002596;1.244E-06;0.0001991;-4.02E-06;44.82;-0.58;76.72;1.55;76.70;0.0002596;0.0001992;6.045E-05;-35.856;-37.008;-42.186;0.50;-1.16;
2026-01-22 14:35:43.46;0.00:00:00:339;0.01;1.00;-0.02;0.0002592;1.179E-06;0.0001987;-3.926E-06;44.83;-0.57;76.70;1.51;76.69;0.0002592;0.0001988;6.039E-05;-35.864;-37.016;-42.191;0.50;-1.13;
2026-01-22 14:35:43.51;0.00:00:00:387;0.01;1.00;-0.02;0.0002594;1.138E-06;0.0001989;-3.919E-06;44.84;-0.56;76.70;1.51;76.69;0.0002594;0.000199;6.044E-05;-35.860;-37.012;-42.187;0.50;-1.13;
2026-01-22 14:35:43.56;0.00:00:00:435;0.01;1.00;-0.02;0.0002592;1.256E-06;0.0001986;-3.896E-06;44.82;-0.56;76.66;1.50;76.65;0.0002592;0.0001987;6.048E-05;-35.864;-37.018;-42.184;0.50;-1.12;
2026-01-22 14:35:43.61;0.00:00:00:486;0.01;1.00;-0.02;0.000259;1.249E-06;0.0001986;-3.985E-06;44.82;-0.57;76.69;1.54;76.68;0.000259;0.0001987;6.037E-05;-35.867;-37.019;-42.192;0.50;-1.15;
2026-01-22 14:35:43.66;0.00:00:00:537;0.01;1.00;-0.02;0.0002591;1.156E-06;0.0001986;-3.991E-06;44.83;-0.58;76.65;1.54;76.64;0.0002591;0.0001986;6.05E-05;-35.865;-37.019;-42.183;0.50;-1.15;
2026-01-22 14:35:43.71;0.00:00:00:585;0.01;1.00;-0.02;0.000259;1.278E-06;0.0001987;-3.949E-06;44.82;-0.57;76.72;1.52;76.70;0.000259;0.0001987;6.031E-05;-35.866;-37.017;-42.196;0.50;-1.14;
2026-01-22 14:35:43.75;0.00:00:00:633;0.01;1.00;-0.02;0.0002591;1.193E-06;0.0001986;-3.971E-06;44.83;-0.57;76.69;1.53;76.67;0.0002591;0.0001987;6.04E-05;-35.866;-37.019;-42.190;0.50;-1.15;
2026-01-22 14:35:43.80;0.00:00:00:684;0.01;1.00;-0.02;0.000259;1.173E-06;0.0001987;-3.919E-06;44.83;-0.57;76.74;1.51;76.72;0.000259;0.0001987;6.025E-05;-35.867;-37.017;-42.200;0.50;-1.13;
2026-01-22 14:35:43.85;0.00:00:00:731;0.01;1.00;-0.02;0.0002589;1.261E-06;0.0001984;-3.926E-06;44.82;-0.57;76.64;1.52;76.62;0.0002589;0.0001984;6.05E-05;-35.868;-37.024;-42.183;0.50;-1.13;
2026-01-22 14:35:43.90;0.00:00:00:781;0.01;1.00;-0.02;0.0002587;1.161E-06;0.0001986;-4.041E-06;44.83;-0.58;76.78;1.56;76.77;0.0002587;0.0001987;6.008E-05;-35.871;-37.019;-42.213;0.50;-1.17;
2026-01-22 14:35:43.95;0.00:00:00:830;0.01;1.00;-0.02;0.0002587;1.201E-06;0.0001983;-3.95E-06;44.83;-0.57;76.69;1.53;76.67;0.0002587;0.0001984;6.031E-05;-35.872;-37.025;-42.196;0.50;-1.14;
2026-01-22 14:35:44.00;0.00:00:00:876;0.01;1.00;-0.02;0.0002586;1.198E-06;0.0001983;-3.937E-06;44.83;-0.57;76.72;1.52;76.70;0.0002586;0.0001984;6.021E-05;-35.874;-37.025;-42.203;0.50;-1.14;
2026-01-22 14:35:44.05;0.00:00:00:925;0.01;1.00;-0.02;0.0002586;1.073E-06;0.0001984;-3.996E-06;44.85;-0.58;76.74;1.55;76.73;0.0002586;0.0001985;6.015E-05;-35.873;-37.023;-42.207;0.50;-1.15;
2026-01-22 14:35:44.09;0.00:00:00:974;0.01;1.00;-0.02;0.0002588;1.097E-06;0.0001985;-3.982E-06;44.84;-0.57;76.70;1.54;76.69;0.0002588;0.0001985;6.029E-05;-35.871;-37.023;-42.198;0.50;-1.15;
2026-01-22 14:35:44.14;0.00:00:01:022;0.01;1.00;-0.02;0.0002589;1.077E-06;0.0001984;-3.949E-06;44.84;-0.57;76.67;1.53;76.65;0.0002589;0.0001985;6.041E-05;-35.869;-37.023;-42.189;0.50;-1.14;
2026-01-22 14:35:44.19;0.00:00:01:068;0.01;1.00;-0.02;0.0002589;1.123E-06;0.0001986;-3.995E-06;44.84;-0.58;76.73;1.54;76.71;0.0002589;0.0001986;6.025E-05;-35.869;-37.020;-42.201;0.50;-1.15;
2026-01-22 14:35:44.24;0.00:00:01:117;0.01;1.00;-0.02;0.0002588;1.079E-06;0.0001986;-4.002E-06;44.84;-0.58;76.75;1.55;76.73;0.0002588;0.0001986;6.018E-05;-35.870;-37.020;-42.205;0.50;-1.15;
2026-01-22 14:35:44.29;0.00:00:01:165;0.01;1.00;-0.02;0.0002587;1.133E-06;0.0001985;-3.976E-06;44.84;-0.57;76.74;1.54;76.73;0.0002587;0.0001985;6.016E-05;-35.872;-37.022;-42.207;0.50;-1.15;
2026-01-22 14:35:44.33;0.00:00:01:213;0.01;1.00;-0.02;0.0002588;1.066E-06;0.0001986;-3.982E-06;44.85;-0.57;76.74;1.54;76.73;0.0002588;0.0001986;6.018E-05;-35.871;-37.020;-42.206;0.50;-1.15;
2026-01-22 14:35:44.38;0.00:00:01:261;0.01;1.00;-0.02;0.0002589;1.104E-06;0.0001985;-3.971E-06;44.84;-0.57;76.69;1.53;76.67;0.0002589;0.0001985;6.035E-05;-35.869;-37.021;-42.193;0.50;-1.15;
2026-01-22 14:35:44.43;0.00:00:01:314;0.01;1.00;-0.02;0.000259;1.114E-06;0.0001986;-4.037E-06;44.84;-0.58;76.70;1.56;76.68;0.000259;0.0001987;6.036E-05;-35.866;-37.018;-42.193;0.50;-1.16;
2026-01-22 14:35:44.48;0.00:00:01:362;0.01;1.00;-0.02;0.0002586;1.079E-06;0.0001984;-4.044E-06;44.84;-0.58;76.74;1.56;76.73;0.0002586;0.0001984;6.014E-05;-35.874;-37.024;-42.208;0.50;-1.17;
2026-01-22 14:35:44.53;0.00:00:01:411;0.01;1.00;-0.02;0.0002588;1.04E-06;0.0001986;-3.961E-06;44.85;-0.57;76.73;1.53;76.72;0.0002588;0.0001986;6.022E-05;-35.870;-37.020;-42.202;0.50;-1.14;
2026-01-22 14:35:44.58;0.00:00:01:459;0.01;1.00;-0.02;0.0002586;1.039E-06;0.0001984;-4.018E-06;44.85;-0.58;76.73;1.55;76.71;0.0002586;0.0001984;6.018E-05;-35.873;-37.024;-42.205;0.50;-1.16;
2026-01-22 14:35:44.63;0.00:00:01:507;0.01;1.00;-0.02;0.0002594;1.055E-06;0.000199;-3.964E-06;44.85;-0.57;76.74;1.53;76.72;0.0002594;0.000199;6.034E-05;-35.861;-37.011;-42.194;0.50;-1.14;
2026-01-22 14:35:44.68;0.00:00:01:554;0.01;1.00;-0.02;0.0002591;1.065E-06;0.0001986;-3.965E-06;44.85;-0.57;76.67;1.53;76.65;0.0002591;0.0001987;6.046E-05;-35.865;-37.019;-42.185;0.50;-1.14;
2026-01-22 14:35:44.73;0.00:00:01:605;0.01;1.00;-0.02;0.0002591;1.105E-06;0.0001988;-4.056E-06;44.84;-0.58;76.73;1.57;76.71;0.0002591;0.0001988;6.03E-05;-35.865;-37.015;-42.197;0.50;-1.17;
2026-01-22 14:35:44.77;0.00:00:01:654;0.00;1.00;-0.02;0.0002589;8.938E-07;0.0001987;-4.011E-06;44.87;-0.58;76.75;1.55;76.74;0.0002589;0.0001987;6.018E-05;-35.869;-37.018;-42.205;0.50;-1.16;
2026-01-22 14:35:44.82;0.00:00:01:703;0.01;1.00;-0.02;0.000259;1.062E-06;0.0001986;-4.002E-06;44.85;-0.58;76.70;1.54;76.69;0.000259;0.0001987;6.034E-05;-35.867;-37.019;-42.194;0.50;-1.15;
