Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:30:17.64;0.00:00:00:049;-0.01;-1.00;0.02;0.0002569;-1.47E-06;-0.0001993;3.074E-06;-45.21;0.44;77.58;1.20;77.57;0.0002569;0.0001993;5.76E-05;-35.902;-37.005;-42.396;0.50;179.12;
2026-01-22 14:30:17.69;0.00:00:00:096;-0.01;-1.00;0.02;0.0002566;-1.546E-06;-0.0001991;3.012E-06;-45.22;0.43;77.61;1.17;77.60;0.0002566;0.0001991;5.746E-05;-35.907;-37.008;-42.406;0.50;179.13;
2026-01-22 14:30:17.74;0.00:00:00:144;-0.01;-1.00;0.02;0.0002572;-1.434E-06;-0.0001996;3.025E-06;-45.21;0.43;77.61;1.18;77.60;0.0002572;0.0001996;5.76E-05;-35.897;-36.998;-42.396;0.50;179.13;
2026-01-22 14:30:17.79;0.00:00:00:193;-0.01;-1.00;0.02;0.0002574;-1.556E-06;-0.0001997;3.022E-06;-45.22;0.43;77.61;1.17;77.60;0.0002574;0.0001997;5.762E-05;-35.895;-36.995;-42.394;0.50;179.13;
2026-01-22 14:30:17.84;0.00:00:00:242;-0.01;-1.00;0.02;0.0002573;-1.458E-06;-0.0001997;3.031E-06;-45.21;0.43;77.65;1.18;77.64;0.0002573;0.0001998;5.75E-05;-35.896;-36.995;-42.403;0.50;179.13;
2026-01-22 14:30:17.89;0.00:00:00:291;-0.01;-1.00;0.01;0.0002571;-1.581E-06;-0.0001996;2.985E-06;-45.23;0.43;77.65;1.16;77.64;0.0002571;0.0001997;5.746E-05;-35.899;-36.997;-42.406;0.50;179.14;
2026-01-22 14:30:17.94;0.00:00:00:341;-0.01;-1.00;0.02;0.0002579;-1.54E-06;-0.0002005;3.047E-06;-45.22;0.44;77.76;1.18;77.75;0.0002579;0.0002005;5.735E-05;-35.886;-36.979;-42.414;0.50;179.13;
2026-01-22 14:30:17.98;0.00:00:00:388;-0.01;-1.00;0.02;0.000258;-1.539E-06;-0.0002003;3.028E-06;-45.22;0.43;77.62;1.17;77.61;0.000258;0.0002003;5.775E-05;-35.883;-36.983;-42.385;0.50;179.13;
2026-01-22 14:30:18.03;0.00:00:00:437;-0.01;-1.00;0.01;0.0002578;-1.464E-06;-0.0002001;2.985E-06;-45.21;0.43;77.61;1.16;77.60;0.0002578;0.0002001;5.773E-05;-35.887;-36.988;-42.386;0.50;179.15;
2026-01-22 14:30:18.08;0.00:00:00:486;-0.01;-1.00;0.02;0.0002579;-1.55E-06;-0.0002002;3.033E-06;-45.22;0.43;77.62;1.18;77.61;0.0002579;0.0002002;5.772E-05;-35.885;-36.986;-42.387;0.50;179.13;
2026-01-22 14:30:18.13;0.00:00:00:534;-0.01;-1.00;0.02;0.0002584;-1.407E-06;-0.0002006;3.039E-06;-45.20;0.43;77.65;1.18;77.64;0.0002584;0.0002007;5.777E-05;-35.876;-36.975;-42.383;0.50;179.13;
2026-01-22 14:30:18.18;0.00:00:00:583;-0.01;-1.00;0.02;0.000258;-1.417E-06;-0.0002;3.038E-06;-45.20;0.43;77.55;1.18;77.54;0.000258;0.0002001;5.791E-05;-35.884;-36.988;-42.373;0.50;179.13;
2026-01-22 14:30:18.23;0.00:00:00:632;-0.01;-1.00;0.02;0.0002581;-1.432E-06;-0.0002002;3.098E-06;-45.20;0.44;77.59;1.20;77.58;0.0002581;0.0002003;5.783E-05;-35.882;-36.984;-42.378;0.50;179.11;
2026-01-22 14:30:18.28;0.00:00:00:682;-0.01;-1.00;0.02;0.0002577;-1.392E-06;-0.0002001;3.008E-06;-45.20;0.43;77.66;1.17;77.65;0.0002577;0.0002001;5.756E-05;-35.889;-36.987;-42.399;0.50;179.14;
2026-01-22 14:30:18.33;0.00:00:00:732;-0.01;-1.00;0.01;0.0002575;-1.457E-06;-0.0001999;2.998E-06;-45.21;0.43;77.66;1.16;77.65;0.0002575;0.0002;5.751E-05;-35.893;-36.990;-42.402;0.50;179.14;
2026-01-22 14:30:18.38;0.00:00:00:781;-0.01;-1.00;0.02;0.0002574;-1.429E-06;-0.0001998;3.051E-06;-45.20;0.44;77.63;1.19;77.63;0.0002574;0.0001998;5.757E-05;-35.894;-36.993;-42.398;0.50;179.13;
2026-01-22 14:30:18.42;0.00:00:00:828;-0.01;-1.00;0.02;0.0002573;-1.511E-06;-0.0001998;3.059E-06;-45.22;0.44;77.68;1.19;77.67;0.0002573;0.0001998;5.743E-05;-35.896;-36.993;-42.408;0.50;179.12;
