Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:29:21.96;0.00:00:00:052;0.00;1.00;0.00;6.708;-0.004597;6.551;-0.02455;45.02;-0.11;97.66;0.37;97.66;6.708;6.552;0.1568;8.266;8.163;-8.046;0.50;-0.21;
2026-01-22 14:29:22.01;0.00:00:00:099;0.00;1.00;0.00;6.71;-0.004368;6.555;-0.02469;45.02;-0.11;97.69;0.37;97.69;6.71;6.555;0.1549;8.267;8.166;-8.099;0.50;-0.22;
2026-01-22 14:29:22.06;0.00:00:00:149;0.00;1.00;0.00;6.707;-0.004331;6.551;-0.02488;45.02;-0.11;97.68;0.37;97.68;6.707;6.552;0.1557;8.265;8.163;-8.077;0.50;-0.22;
2026-01-22 14:29:22.11;0.00:00:00:199;0.00;1.00;0.00;6.706;-0.003882;6.55;-0.02496;45.02;-0.11;97.67;0.37;97.67;6.706;6.55;0.1562;8.265;8.162;-8.063;0.50;-0.22;
2026-01-22 14:29:22.16;0.00:00:00:248;0.00;1.00;0.00;6.697;-0.00443;6.541;-0.02482;45.02;-0.11;97.67;0.37;97.67;6.697;6.541;0.1559;8.259;8.156;-8.072;0.50;-0.22;
2026-01-22 14:29:22.21;0.00:00:00:297;0.00;1.00;0.00;6.697;-0.00486;6.542;-0.02417;45.02;-0.11;97.69;0.36;97.69;6.697;6.542;0.1549;8.259;8.157;-8.100;0.50;-0.21;
2026-01-22 14:29:22.26;0.00:00:00:346;0.00;1.00;0.00;6.701;-0.004215;6.546;-0.02474;45.02;-0.11;97.70;0.37;97.70;6.701;6.546;0.1544;8.261;8.160;-8.114;0.50;-0.22;
2026-01-22 14:29:22.30;0.00:00:00:392;0.00;1.00;0.00;6.697;-0.004091;6.542;-0.02485;45.02;-0.11;97.68;0.37;97.68;6.697;6.542;0.1553;8.259;8.157;-8.089;0.50;-0.22;
2026-01-22 14:29:22.35;0.00:00:00:442;0.00;1.00;0.00;6.695;-0.003443;6.538;-0.02479;45.02;-0.11;97.66;0.37;97.66;6.695;6.538;0.1568;8.257;8.154;-8.047;0.50;-0.22;
2026-01-22 14:29:22.40;0.00:00:00:490;0.00;1.00;0.00;6.693;-0.00432;6.537;-0.02441;45.02;-0.11;97.67;0.36;97.67;6.693;6.537;0.1557;8.256;8.154;-8.077;0.50;-0.21;
2026-01-22 14:29:22.45;0.00:00:00:538;0.00;1.00;0.00;6.697;-0.005014;6.541;-0.02416;45.02;-0.11;97.68;0.36;97.68;6.697;6.541;0.1556;8.259;8.157;-8.080;0.50;-0.21;
2026-01-22 14:29:22.51;0.00:00:00:599;0.00;1.00;0.00;6.704;-0.003752;6.548;-0.0247;45.02;-0.11;97.67;0.37;97.67;6.704;6.548;0.1565;8.263;8.161;-8.055;0.50;-0.22;
2026-01-22 14:29:22.56;0.00:00:00:647;0.00;1.00;0.00;6.707;-0.003881;6.551;-0.02424;45.02;-0.11;97.67;0.36;97.66;6.707;6.551;0.1566;8.265;8.163;-8.052;0.50;-0.21;
2026-01-22 14:29:22.61;0.00:00:00:694;0.00;1.00;0.00;6.707;-0.004264;6.552;-0.02494;45.02;-0.11;97.69;0.37;97.69;6.707;6.552;0.1552;8.265;8.163;-8.091;0.50;-0.22;
