Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:23:29.58;0.00:00:00:052;1.00;0.00;0.04;0.0002054;0.0001983;-8.017E-07;7.548E-06;-0.12;1.09;96.59;3.67;96.52;0.0002054;0.0001984;7.013E-06;-36.873;-37.024;-51.541;1.00;96.06;
2026-01-22 14:23:29.63;0.00:00:00:101;1.00;0.00;0.04;0.0002059;0.0001987;-8.867E-07;7.567E-06;-0.13;1.09;96.57;3.68;96.50;0.0002059;0.0001988;7.067E-06;-36.864;-37.015;-51.508;1.00;96.68;
2026-01-22 14:23:29.68;0.00:00:00:147;1.00;0.00;0.04;0.0002061;0.0001989;-8.506E-07;7.517E-06;-0.12;1.08;96.62;3.65;96.55;0.0002061;0.0001991;6.962E-06;-36.860;-37.010;-51.572;1.00;96.46;
2026-01-22 14:23:29.73;0.00:00:00:195;1.00;0.00;0.04;0.0002064;0.0001993;-8.562E-07;7.558E-06;-0.12;1.09;96.62;3.66;96.55;0.0002064;0.0001994;6.982E-06;-36.853;-37.003;-51.560;1.00;96.46;
2026-01-22 14:23:29.78;0.00:00:00:243;1.00;0.00;0.04;0.0002069;0.0001999;-9.055E-07;7.566E-06;-0.13;1.08;96.67;3.66;96.61;0.0002069;0.0002;6.881E-06;-36.842;-36.989;-51.624;1.00;96.83;
2026-01-22 14:23:29.83;0.00:00:00:293;1.00;0.00;0.04;0.0002067;0.0001997;-8.204E-07;7.535E-06;-0.12;1.08;96.66;3.64;96.59;0.0002067;0.0001998;6.898E-06;-36.846;-36.993;-51.613;1.00;96.21;
2026-01-22 14:23:29.88;0.00:00:00:343;1.00;0.00;0.04;0.000206;0.000199;-8.661E-07;7.548E-06;-0.12;1.09;96.69;3.66;96.62;0.000206;0.0001992;6.814E-06;-36.861;-37.007;-51.666;1.00;96.55;
2026-01-22 14:23:29.92;0.00:00:00:389;1.00;0.00;0.04;0.0002058;0.0001988;-7.855E-07;7.519E-06;-0.11;1.08;96.70;3.65;96.63;0.0002058;0.000199;6.793E-06;-36.866;-37.012;-51.680;1.00;95.96;
2026-01-22 14:23:29.97;0.00:00:00:437;1.00;0.00;0.04;0.0002054;0.0001985;-8.322E-07;7.531E-06;-0.12;1.09;96.69;3.67;96.62;0.0002054;0.0001986;6.792E-06;-36.874;-37.020;-51.680;1.00;96.31;
2026-01-22 14:23:30.02;0.00:00:00:488;1.00;0.00;0.04;0.0002055;0.0001986;-8.508E-07;7.542E-06;-0.12;1.09;96.71;3.67;96.64;0.0002055;0.0001987;6.762E-06;-36.873;-37.018;-51.699;1.00;96.44;
