Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:22:24.28;0.00:00:00:054;1.00;0.00;0.01;6.435;6.433;-0.02309;0.0475;-0.10;0.21;99.98;0.74;99.97;6.435;6.433;0.001468;8.085;8.084;-28.332;1.00;115.93;
2026-01-22 14:22:24.33;0.00:00:00:100;1.00;0.00;0.01;6.433;6.431;-0.02257;0.04725;-0.10;0.21;99.98;0.73;99.97;6.433;6.431;0.001444;8.084;8.083;-28.406;1.00;115.54;
2026-01-22 14:22:24.37;0.00:00:00:147;1.00;0.00;0.01;6.429;6.427;-0.02341;0.0477;-0.10;0.21;99.97;0.74;99.97;6.429;6.427;0.001779;8.081;8.080;-27.497;1.00;116.14;
2026-01-22 14:22:24.42;0.00:00:00:193;1.00;0.00;0.01;6.434;6.432;-0.02335;0.04766;-0.10;0.21;99.97;0.74;99.97;6.434;6.432;0.001706;8.085;8.084;-27.679;1.00;116.10;
2026-01-22 14:22:24.46;0.00:00:00:238;1.00;0.00;0.01;6.44;6.438;-0.02374;0.04802;-0.11;0.21;99.98;0.75;99.97;6.44;6.438;0.001507;8.089;8.088;-28.219;1.00;116.31;
2026-01-22 14:22:24.51;0.00:00:00:289;1.00;0.00;0.01;6.446;6.445;-0.02355;0.0476;-0.10;0.21;99.98;0.74;99.97;6.446;6.445;0.001445;8.093;8.092;-28.401;1.00;116.32;
2026-01-22 14:22:24.57;0.00:00:00:340;1.00;0.00;0.01;6.45;6.448;-0.02277;0.04794;-0.10;0.21;99.98;0.74;99.97;6.45;6.448;0.001446;8.095;8.094;-28.398;1.00;115.41;
2026-01-22 14:22:24.62;0.00:00:00:391;1.00;0.00;0.01;6.446;6.444;-0.02332;0.0478;-0.10;0.21;99.98;0.74;99.97;6.446;6.444;0.001546;8.093;8.092;-28.109;1.00;116.01;
2026-01-22 14:22:24.67;0.00:00:00:444;1.00;0.00;0.01;6.449;6.447;-0.0232;0.04774;-0.10;0.21;99.97;0.74;99.97;6.449;6.447;0.001744;8.095;8.093;-27.585;1.00;115.92;
2026-01-22 14:22:24.72;0.00:00:00:493;1.00;0.00;0.01;6.457;6.455;-0.02307;0.04778;-0.10;0.21;99.98;0.74;99.97;6.457;6.455;0.001488;8.100;8.099;-28.275;1.00;115.77;
2026-01-22 14:22:24.77;0.00:00:00:544;1.00;0.00;0.01;6.452;6.45;-0.02275;0.04736;-0.10;0.21;99.98;0.73;99.98;6.452;6.45;0.001226;8.097;8.096;-29.116;1.00;115.66;
2026-01-22 14:22:24.82;0.00:00:00:597;1.00;0.00;0.01;6.444;6.442;-0.02222;0.04747;-0.10;0.21;99.98;0.74;99.97;6.444;6.442;0.001463;8.091;8.090;-28.348;1.00;115.08;
2026-01-22 14:22:24.87;0.00:00:00:646;1.00;0.00;0.01;6.431;6.43;-0.02264;0.04745;-0.10;0.21;99.98;0.74;99.98;6.431;6.43;0.001402;8.083;8.082;-28.532;1.00;115.51;
2026-01-22 14:22:24.92;0.00:00:00:699;1.00;0.00;0.01;6.425;6.423;-0.02286;0.0471;-0.10;0.21;99.98;0.73;99.98;6.425;6.424;0.001371;8.079;8.078;-28.629;1.00;115.89;
2026-01-22 14:22:24.97;0.00:00:00:749;1.00;0.00;0.01;6.425;6.423;-0.02293;0.04806;-0.10;0.21;99.97;0.75;99.97;6.425;6.424;0.001743;8.079;8.078;-27.588;1.00;115.50;
2026-01-22 14:22:25.03;0.00:00:00:801;1.00;0.00;0.01;6.431;6.43;-0.02353;0.04733;-0.10;0.21;99.98;0.74;99.97;6.431;6.43;0.001465;8.083;8.082;-28.341;1.00;116.43;
2026-01-22 14:22:25.08;0.00:00:00:851;1.00;0.00;0.01;6.434;6.432;-0.02267;0.04763;-0.10;0.21;99.98;0.74;99.98;6.434;6.432;0.001346;8.084;8.084;-28.710;1.00;115.45;
2026-01-22 14:22:25.14;0.00:00:00:912;1.00;0.00;0.01;6.429;6.428;-0.02324;0.04706;-0.10;0.21;99.98;0.73;99.97;6.429;6.428;0.001461;8.082;8.081;-28.354;1.00;116.28;
2026-01-22 14:22:25.19;0.00:00:00:964;1.00;0.00;0.01;6.427;6.426;-0.02337;0.04723;-0.10;0.21;99.98;0.73;99.98;6.427;6.426;0.001387;8.080;8.079;-28.579;1.00;116.33;
2026-01-22 14:22:25.24;0.00:00:01:015;1.00;0.00;0.01;6.431;6.43;-0.02331;0.04749;-0.10;0.21;99.98;0.74;99.97;6.431;6.43;0.001532;8.083;8.082;-28.148;1.00;116.15;
2026-01-22 14:22:25.29;0.00:00:01:066;1.00;0.00;0.01;6.441;6.439;-0.02368;0.04749;-0.11;0.21;99.98;0.74;99.97;6.441;6.439;0.001447;8.089;8.088;-28.397;1.00;116.50;
2026-01-22 14:22:25.34;0.00:00:01:116;1.00;0.00;0.01;6.448;6.446;-0.02384;0.04816;-0.11;0.21;99.98;0.75;99.97;6.448;6.446;0.001528;8.094;8.093;-28.158;1.00;116.34;
2026-01-22 14:22:25.39;0.00:00:01:168;1.00;0.00;0.01;6.455;6.453;-0.02382;0.04775;-0.11;0.21;99.98;0.74;99.97;6.455;6.454;0.001452;8.099;8.098;-28.379;1.00;116.52;
2026-01-22 14:22:25.45;0.00:00:01:220;1.00;0.00;0.01;6.463;6.461;-0.02326;0.04765;-0.10;0.21;99.98;0.74;99.98;6.463;6.462;0.001263;8.104;8.103;-28.986;1.00;116.02;
2026-01-22 14:22:25.51;0.00:00:01:280;1.00;0.00;0.01;6.462;6.46;-0.02327;0.04785;-0.10;0.21;99.98;0.74;99.97;6.462;6.46;0.00149;8.104;8.103;-28.268;1.00;115.93;
2026-01-22 14:22:25.56;0.00:00:01:332;1.00;0.00;0.01;6.457;6.456;-0.02248;0.04769;-0.10;0.21;99.98;0.74;99.97;6.457;6.456;0.001499;8.101;8.100;-28.241;1.00;115.24;
2026-01-22 14:22:25.61;0.00:00:01:384;1.00;0.00;0.01;6.454;6.452;-0.02273;0.04732;-0.10;0.21;99.98;0.73;99.98;6.454;6.453;0.001351;8.098;8.097;-28.692;1.00;115.66;
2026-01-22 14:22:25.66;0.00:00:01:433;1.00;0.00;0.01;6.448;6.446;-0.02276;0.04731;-0.10;0.21;99.98;0.73;99.98;6.448;6.446;0.001351;8.094;8.093;-28.692;1.00;115.69;
