Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:59:38.76;0.00:00:00:046;-0.04;0.01;1.00;0.0002592;-8.469E-06;2.317E-06;0.0001987;82.35;43.74;76.76;76.69;3.39;0.0002592;0.0001989;6.022E-05;-35.864;-37.013;-42.202;0.48;89.33;
2026-01-22 14:59:38.81;0.00:00:00:096;-0.04;0.01;1.00;0.0002595;-8.487E-06;2.247E-06;0.0001989;82.58;43.74;76.73;76.65;3.38;0.0002595;0.0001991;6.04E-05;-35.859;-37.009;-42.190;0.48;89.35;
2026-01-22 14:59:38.86;0.00:00:00:145;-0.04;0.01;1.00;0.0002596;-8.436E-06;2.257E-06;0.0001989;82.51;43.74;76.71;76.64;3.36;0.0002596;0.0001991;6.045E-05;-35.857;-37.009;-42.186;0.48;89.35;
2026-01-22 14:59:38.91;0.00:00:00:194;-0.04;0.01;1.00;0.0002587;-8.509E-06;2.277E-06;0.0001984;82.51;43.73;76.80;76.72;3.41;0.0002587;0.0001986;6.002E-05;-35.873;-37.019;-42.217;0.48;89.34;
2026-01-22 14:59:38.95;0.00:00:00:243;-0.04;0.01;1.00;0.0002583;-8.484E-06;2.339E-06;0.000198;82.29;43.73;76.74;76.67;3.41;0.0002583;0.0001982;6.007E-05;-35.879;-37.028;-42.213;0.48;89.32;
2026-01-22 14:59:39.00;0.00:00:00:292;-0.04;0.01;1.00;0.0002584;-8.545E-06;2.245E-06;0.0001981;82.64;43.72;76.75;76.67;3.42;0.0002584;0.0001983;6.009E-05;-35.877;-37.026;-42.212;0.48;89.35;
2026-01-22 14:59:39.05;0.00:00:00:342;-0.04;0.01;1.00;0.0002594;-8.483E-06;2.308E-06;0.0001988;82.39;43.73;76.73;76.65;3.39;0.0002594;0.000199;6.037E-05;-35.860;-37.011;-42.192;0.48;89.33;
2026-01-22 14:59:39.10;0.00:00:00:389;-0.04;0.01;1.00;0.0002596;-8.429E-06;2.309E-06;0.000199;82.34;43.74;76.71;76.63;3.37;0.0002596;0.0001991;6.047E-05;-35.857;-37.008;-42.185;0.48;89.34;
2026-01-22 14:59:39.15;0.00:00:00:437;-0.04;0.01;1.00;0.0002595;-8.515E-06;2.294E-06;0.0001989;82.46;43.73;76.72;76.64;3.40;0.0002595;0.0001991;6.04E-05;-35.859;-37.010;-42.189;0.48;89.34;
2026-01-22 14:59:39.20;0.00:00:00:487;-0.04;0.01;1.00;0.0002593;-8.435E-06;2.188E-06;0.0001988;82.73;43.74;76.73;76.65;3.36;0.0002593;0.0001989;6.034E-05;-35.862;-37.013;-42.194;0.48;89.37;
2026-01-22 14:59:39.25;0.00:00:00:536;-0.04;0.01;1.00;0.0002599;-8.451E-06;2.265E-06;0.0001993;82.50;43.74;76.78;76.70;3.37;0.0002599;0.0001995;6.034E-05;-35.853;-37.000;-42.194;0.48;89.35;
2026-01-22 14:59:39.30;0.00:00:00:584;-0.04;0.01;1.00;0.0002598;-8.478E-06;2.336E-06;0.0001993;82.30;43.74;76.77;76.70;3.38;0.0002598;0.0001995;6.034E-05;-35.853;-37.001;-42.194;0.48;89.33;
2026-01-22 14:59:39.35;0.00:00:00:634;-0.04;0.01;1.00;0.00026;-8.518E-06;2.267E-06;0.0001994;82.55;43.73;76.79;76.71;3.39;0.00026;0.0001996;6.036E-05;-35.851;-36.998;-42.193;0.48;89.35;
2026-01-22 14:59:39.39;0.00:00:00:681;-0.04;0.01;1.00;0.0002598;-8.553E-06;2.242E-06;0.0001993;82.66;43.73;76.78;76.70;3.40;0.0002598;0.0001995;6.035E-05;-35.853;-37.001;-42.193;0.48;89.36;
2026-01-22 14:59:39.44;0.00:00:00:729;-0.04;0.01;1.00;0.0002601;-8.593E-06;2.291E-06;0.0001994;82.53;43.72;76.74;76.66;3.42;0.0002601;0.0001996;6.05E-05;-35.848;-36.998;-42.182;0.48;89.34;
2026-01-22 14:59:39.49;0.00:00:00:778;-0.04;0.01;1.00;0.0002602;-8.413E-06;2.345E-06;0.0001993;82.21;43.75;76.67;76.60;3.36;0.0002602;0.0001995;6.072E-05;-35.846;-37.000;-42.167;0.48;89.33;
2026-01-22 14:59:39.54;0.00:00:00:827;-0.04;0.01;1.00;0.0002599;-8.472E-06;2.323E-06;0.0001989;82.33;43.74;76.62;76.54;3.38;0.0002599;0.0001991;6.077E-05;-35.852;-37.009;-42.163;0.48;89.33;
2026-01-22 14:59:39.59;0.00:00:00:878;-0.04;0.01;1.00;0.0002597;-8.533E-06;2.373E-06;0.0001989;82.23;43.73;76.69;76.61;3.41;0.0002597;0.0001991;6.054E-05;-35.856;-37.008;-42.180;0.48;89.32;
2026-01-22 14:59:39.64;0.00:00:00:926;-0.04;0.01;1.00;0.0002602;-8.414E-06;2.392E-06;0.0001994;82.07;43.74;76.70;76.62;3.36;0.0002602;0.0001996;6.063E-05;-35.847;-36.999;-42.173;0.48;89.31;
2026-01-22 14:59:39.69;0.00:00:00:974;-0.04;0.01;1.00;0.0002599;-8.538E-06;2.343E-06;0.0001993;82.33;43.73;76.75;76.67;3.41;0.0002599;0.0001995;6.043E-05;-35.852;-37.002;-42.188;0.48;89.33;
2026-01-22 14:59:39.74;0.00:00:01:027;-0.04;0.01;1.00;0.0002599;-8.457E-06;2.323E-06;0.0001993;82.32;43.74;76.76;76.68;3.37;0.0002599;0.0001995;6.041E-05;-35.852;-37.001;-42.189;0.48;89.33;
2026-01-22 14:59:39.79;0.00:00:01:075;-0.04;0.01;1.00;0.0002596;-8.481E-06;2.361E-06;0.0001991;82.22;43.73;76.78;76.70;3.39;0.0002596;0.0001993;6.03E-05;-35.857;-37.004;-42.197;0.48;89.32;
