Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 15:00:42.08;0.00:00:00:048;0.00;0.00;-1.00;6.644;-0.02709;0.01196;-6.529;78.09;-44.87;98.27;98.27;0.45;6.644;6.529;0.1147;8.224;8.149;-9.404;0.50;-89.90;
2026-01-22 15:00:42.13;0.00:00:00:094;0.00;0.00;-1.00;6.642;-0.02936;0.009472;-6.527;81.06;-44.86;98.27;98.27;0.46;6.642;6.527;0.115;8.223;8.147;-9.393;0.50;-89.92;
2026-01-22 15:00:42.18;0.00:00:00:145;0.00;0.00;-1.00;6.64;-0.02987;0.009547;-6.525;81.14;-44.86;98.26;98.26;0.47;6.64;6.525;0.1155;8.222;8.146;-9.375;0.50;-89.92;
2026-01-22 15:00:42.23;0.00:00:00:191;0.00;0.00;-1.00;6.642;-0.02886;0.01015;-6.527;80.31;-44.87;98.27;98.26;0.46;6.642;6.527;0.1152;8.223;8.147;-9.385;0.50;-89.91;
2026-01-22 15:00:42.27;0.00:00:00:238;0.00;0.00;-1.00;6.633;-0.02891;0.01016;-6.518;80.32;-44.87;98.26;98.26;0.46;6.633;6.518;0.1153;8.217;8.141;-9.382;0.50;-89.91;
2026-01-22 15:00:42.32;0.00:00:00:287;0.00;0.00;-1.00;6.639;-0.03002;0.007836;-6.524;82.69;-44.86;98.27;98.27;0.47;6.639;6.524;0.115;8.221;8.145;-9.391;0.50;-89.93;
2026-01-22 15:00:42.37;0.00:00:00:335;0.00;0.00;-1.00;6.644;-0.02968;0.00938;-6.529;81.23;-44.86;98.27;98.27;0.47;6.644;6.529;0.115;8.224;8.149;-9.392;0.50;-89.92;
2026-01-22 15:00:42.42;0.00:00:00:385;0.00;0.00;-1.00;6.655;-0.02905;0.01037;-6.54;80.18;-44.86;98.27;98.26;0.46;6.655;6.54;0.1154;8.232;8.156;-9.378;0.50;-89.91;
2026-01-22 15:00:42.47;0.00:00:00:435;0.00;0.00;-1.00;6.65;-0.02678;0.01262;-6.534;77.39;-44.87;98.26;98.26;0.45;6.65;6.535;0.1157;8.228;8.152;-9.368;0.50;-89.89;
2026-01-22 15:00:42.52;0.00:00:00:482;0.00;0.00;-1.00;6.643;-0.03059;0.007808;-6.529;82.84;-44.86;98.28;98.28;0.48;6.643;6.529;0.1145;8.224;8.148;-9.412;0.50;-89.93;
2026-01-22 15:00:42.57;0.00:00:00:533;0.00;0.00;-1.00;6.648;-0.02844;0.01067;-6.533;79.72;-44.87;98.28;98.28;0.46;6.648;6.533;0.1145;8.227;8.151;-9.410;0.50;-89.91;
2026-01-22 15:00:42.61;0.00:00:00:580;0.00;0.00;-1.00;6.649;-0.03077;0.009198;-6.533;81.68;-44.86;98.26;98.26;0.48;6.649;6.533;0.1157;8.227;8.151;-9.366;0.50;-89.92;
2026-01-22 15:00:42.66;0.00:00:00:627;0.00;0.00;-1.00;6.651;-0.02763;0.01136;-6.535;78.83;-44.87;98.25;98.25;0.45;6.651;6.535;0.1162;8.229;8.152;-9.347;0.50;-89.90;
2026-01-22 15:00:42.71;0.00:00:00:676;0.00;0.00;-1.00;6.644;-0.02874;0.01054;-6.528;79.93;-44.87;98.25;98.25;0.46;6.644;6.528;0.1163;8.224;8.148;-9.345;0.50;-89.91;
2026-01-22 15:00:42.76;0.00:00:00:724;0.00;0.00;-1.00;6.647;-0.02956;0.007576;-6.531;82.81;-44.87;98.25;98.25;0.46;6.647;6.531;0.116;8.226;8.150;-9.355;0.50;-89.93;
2026-01-22 15:00:42.81;0.00:00:00:771;0.00;0.00;-1.00;6.655;-0.02909;0.01066;-6.538;79.93;-44.86;98.25;98.25;0.47;6.655;6.538;0.1161;8.231;8.155;-9.350;0.50;-89.91;
2026-01-22 15:00:42.86;0.00:00:00:822;0.00;0.00;-1.00;6.653;-0.02982;0.009991;-6.537;80.74;-44.86;98.27;98.26;0.47;6.653;6.537;0.1154;8.230;8.154;-9.378;0.50;-89.91;
2026-01-22 15:00:42.90;0.00:00:00:870;0.00;0.00;-1.00;6.657;-0.02732;0.01003;-6.542;79.92;-44.87;98.27;98.27;0.44;6.657;6.542;0.1154;8.233;8.157;-9.377;0.50;-89.91;
2026-01-22 15:00:42.96;0.00:00:00:923;0.00;0.00;-1.00;6.659;-0.0306;0.009888;-6.544;81.04;-44.86;98.27;98.27;0.48;6.659;6.544;0.1151;8.234;8.158;-9.389;0.50;-89.91;
2026-01-22 15:00:43.00;0.00:00:00:970;0.00;0.00;-1.00;6.662;-0.0307;0.006956;-6.547;83.62;-44.86;98.27;98.27;0.47;6.662;6.547;0.115;8.236;8.160;-9.393;0.50;-89.94;
2026-01-22 15:00:43.06;0.00:00:01:021;0.00;0.00;-1.00;6.668;-0.02981;0.009253;-6.553;81.38;-44.86;98.27;98.27;0.47;6.668;6.553;0.1156;8.240;8.164;-9.372;0.50;-89.92;
2026-01-22 15:00:43.10;0.00:00:01:070;0.00;0.00;-1.00;6.669;-0.02978;0.01094;-6.554;79.91;-44.86;98.27;98.27;0.48;6.669;6.554;0.1154;8.241;8.165;-9.377;0.50;-89.90;
2026-01-22 15:00:43.15;0.00:00:01:117;0.00;0.00;-1.00;6.667;-0.02818;0.01009;-6.551;80.15;-44.87;98.26;98.26;0.45;6.667;6.551;0.1161;8.239;8.163;-9.351;0.50;-89.91;
2026-01-22 15:00:43.20;0.00:00:01:168;0.00;0.00;-1.00;6.669;-0.02994;0.008206;-6.554;82.34;-44.86;98.27;98.27;0.47;6.669;6.554;0.1151;8.241;8.165;-9.388;0.50;-89.93;
2026-01-22 15:00:43.25;0.00:00:01:218;0.00;0.00;-1.00;6.666;-0.02771;0.01414;-6.55;76.49;-44.86;98.26;98.26;0.47;6.666;6.55;0.1157;8.238;8.162;-9.368;0.50;-89.88;
2026-01-22 15:00:43.30;0.00:00:01:269;0.00;0.00;-1.00;6.639;-0.02573;0.01506;-6.523;74.83;-44.87;98.25;98.25;0.45;6.639;6.523;0.1164;8.221;8.144;-9.339;0.50;-89.87;
2026-01-22 15:00:43.35;0.00:00:01:318;0.00;0.00;-1.00;6.627;-0.02777;0.01103;-6.512;79.17;-44.87;98.26;98.26;0.45;6.627;6.512;0.1154;8.213;8.137;-9.378;0.50;-89.90;
2026-01-22 15:00:43.40;0.00:00:01:368;0.00;0.00;-1.00;6.631;-0.02892;0.009542;-6.516;80.87;-44.87;98.27;98.27;0.46;6.631;6.516;0.1147;8.216;8.140;-9.404;0.50;-89.92;
2026-01-22 15:00:43.45;0.00:00:01:416;0.00;0.00;-1.00;6.632;-0.02939;0.01067;-6.518;80.02;-44.86;98.28;98.28;0.47;6.632;6.518;0.114;8.216;8.141;-9.433;0.50;-89.91;
2026-01-22 15:00:43.50;0.00:00:01:464;0.00;0.00;-1.00;6.631;-0.02828;0.01123;-6.516;79.18;-44.87;98.26;98.26;0.46;6.631;6.516;0.1152;8.216;8.140;-9.385;0.50;-89.90;
