Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:41:01.09;0.00:00:00:047;0.04;-0.02;-1.00;0.000257;7.966E-06;-3.23E-06;-0.0002011;-11.03;-43.78;78.33;78.26;3.34;0.000257;0.0002013;5.57E-05;-35.900;-36.961;-42.542;0.52;-90.92;
2026-01-22 14:41:01.14;0.00:00:00:096;0.04;-0.02;-1.00;0.0002567;7.933E-06;-3.343E-06;-0.0002008;-11.43;-43.77;78.27;78.20;3.35;0.0002567;0.0002009;5.578E-05;-35.906;-36.969;-42.535;0.52;-90.95;
2026-01-22 14:41:01.18;0.00:00:00:144;0.04;-0.02;-1.00;0.0002567;7.863E-06;-3.268E-06;-0.0002009;-11.29;-43.79;78.33;78.26;3.32;0.0002567;0.0002011;5.563E-05;-35.905;-36.966;-42.547;0.52;-90.93;
2026-01-22 14:41:01.23;0.00:00:00:190;0.04;-0.02;-1.00;0.0002568;7.96E-06;-3.37E-06;-0.0002009;-11.47;-43.77;78.32;78.24;3.37;0.0002568;0.0002011;5.567E-05;-35.905;-36.966;-42.543;0.52;-90.96;
2026-01-22 14:41:01.28;0.00:00:00:239;0.04;-0.02;-1.00;0.0002566;7.938E-06;-3.173E-06;-0.0002008;-10.89;-43.78;78.31;78.24;3.33;0.0002566;0.000201;5.567E-05;-35.907;-36.969;-42.544;0.52;-90.91;
2026-01-22 14:41:01.33;0.00:00:00:286;0.04;-0.02;-1.00;0.0002566;7.821E-06;-3.286E-06;-0.0002008;-11.39;-43.79;78.31;78.25;3.31;0.0002566;0.000201;5.565E-05;-35.907;-36.969;-42.546;0.52;-90.94;
2026-01-22 14:41:01.37;0.00:00:00:335;0.04;-0.02;-1.00;0.0002567;7.837E-06;-3.237E-06;-0.000201;-11.22;-43.79;78.36;78.29;3.30;0.0002567;0.0002011;5.556E-05;-35.906;-36.965;-42.552;0.52;-90.92;
2026-01-22 14:41:01.42;0.00:00:00:385;0.04;-0.02;-1.00;0.0002567;7.99E-06;-3.199E-06;-0.0002008;-10.91;-43.77;78.30;78.23;3.35;0.0002567;0.000201;5.572E-05;-35.905;-36.968;-42.540;0.52;-90.91;
2026-01-22 14:41:01.47;0.00:00:00:433;0.04;-0.02;-1.00;0.0002565;7.832E-06;-3.314E-06;-0.0002007;-11.47;-43.79;78.32;78.25;3.32;0.0002565;0.0002009;5.563E-05;-35.908;-36.970;-42.547;0.52;-90.95;
2026-01-22 14:41:01.52;0.00:00:00:484;0.04;-0.02;-1.00;0.0002566;7.949E-06;-3.317E-06;-0.0002008;-11.33;-43.77;78.32;78.25;3.36;0.0002566;0.000201;5.563E-05;-35.907;-36.968;-42.547;0.52;-90.95;
2026-01-22 14:41:01.57;0.00:00:00:532;0.04;-0.02;-1.00;0.0002561;7.792E-06;-3.187E-06;-0.0002004;-11.12;-43.80;78.31;78.24;3.29;0.0002561;0.0002006;5.554E-05;-35.916;-36.977;-42.554;0.52;-90.91;
2026-01-22 14:41:01.62;0.00:00:00:580;0.04;-0.02;-1.00;0.0002564;7.82E-06;-3.318E-06;-0.0002005;-11.50;-43.79;78.27;78.20;3.31;0.0002564;0.0002007;5.571E-05;-35.911;-36.975;-42.541;0.52;-90.95;
2026-01-22 14:41:01.67;0.00:00:00:631;0.04;-0.02;-1.00;0.000257;7.894E-06;-3.286E-06;-0.0002011;-11.30;-43.78;78.33;78.26;3.33;0.000257;0.0002013;5.569E-05;-35.901;-36.962;-42.543;0.52;-90.94;
2026-01-22 14:41:01.72;0.00:00:00:679;0.04;-0.02;-1.00;0.0002569;7.852E-06;-3.351E-06;-0.000201;-11.55;-43.78;78.31;78.24;3.32;0.0002569;0.0002012;5.572E-05;-35.903;-36.965;-42.540;0.52;-90.96;
2026-01-22 14:41:01.77;0.00:00:00:727;0.04;-0.02;-1.00;0.0002569;7.944E-06;-3.334E-06;-0.0002009;-11.38;-43.77;78.28;78.21;3.35;0.0002569;0.0002011;5.578E-05;-35.903;-36.966;-42.535;0.52;-90.95;
2026-01-22 14:41:01.81;0.00:00:00:775;0.04;-0.02;-1.00;0.0002567;7.912E-06;-3.342E-06;-0.000201;-11.45;-43.78;78.37;78.30;3.35;0.0002567;0.0002012;5.553E-05;-35.906;-36.964;-42.555;0.52;-90.95;
2026-01-22 14:41:01.86;0.00:00:00:822;0.04;-0.02;-1.00;0.0002567;7.886E-06;-3.269E-06;-0.000201;-11.26;-43.78;78.34;78.27;3.32;0.0002567;0.0002011;5.561E-05;-35.905;-36.965;-42.548;0.52;-90.93;
2026-01-22 14:41:01.91;0.00:00:00:872;0.04;-0.02;-1.00;0.000256;7.999E-06;-3.232E-06;-0.0002003;-11.00;-43.77;78.33;78.26;3.37;0.000256;0.0002005;5.547E-05;-35.918;-36.978;-42.559;0.52;-90.92;
2026-01-22 14:41:01.96;0.00:00:00:921;0.04;-0.02;-1.00;0.0002559;7.904E-06;-3.368E-06;-0.0002002;-11.54;-43.77;78.32;78.25;3.36;0.0002559;0.0002004;5.547E-05;-35.920;-36.981;-42.559;0.52;-90.96;
2026-01-22 14:41:02.01;0.00:00:00:968;0.04;-0.02;-1.00;0.0002563;7.985E-06;-3.274E-06;-0.0002006;-11.15;-43.77;78.33;78.26;3.37;0.0002563;0.0002008;5.555E-05;-35.912;-36.972;-42.553;0.52;-90.94;
2026-01-22 14:41:02.06;0.00:00:01:018;0.04;-0.02;-1.00;0.0002564;8.004E-06;-3.436E-06;-0.0002007;-11.62;-43.76;78.34;78.27;3.40;0.0002564;0.0002008;5.554E-05;-35.911;-36.971;-42.554;0.52;-90.98;
2026-01-22 14:41:02.11;0.00:00:01:067;0.04;-0.02;-1.00;0.0002564;7.797E-06;-3.361E-06;-0.0002007;-11.66;-43.79;78.37;78.30;3.31;0.0002564;0.0002009;5.547E-05;-35.911;-36.970;-42.560;0.52;-90.96;
2026-01-22 14:41:02.15;0.00:00:01:113;0.04;-0.02;-1.00;0.0002565;7.907E-06;-3.343E-06;-0.0002008;-11.46;-43.78;78.34;78.27;3.35;0.0002565;0.000201;5.556E-05;-35.909;-36.969;-42.553;0.52;-90.95;
2026-01-22 14:41:02.20;0.00:00:01:161;0.04;-0.02;-1.00;0.0002566;7.965E-06;-3.39E-06;-0.0002009;-11.53;-43.77;78.38;78.31;3.37;0.0002566;0.0002011;5.547E-05;-35.908;-36.966;-42.559;0.52;-90.97;
2026-01-22 14:41:02.25;0.00:00:01:210;0.04;-0.02;-1.00;0.0002569;7.865E-06;-3.407E-06;-0.0002012;-11.71;-43.78;78.40;78.33;3.34;0.0002569;0.0002014;5.549E-05;-35.902;-36.959;-42.558;0.52;-90.97;
