Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:40:03.77;0.00:00:00:045;0.00;0.00;1.00;6.717;-0.02044;-0.01494;6.584;-71.92;44.89;98.03;98.03;0.38;6.717;6.584;0.1322;8.271;8.185;-8.789;0.50;90.13;
2026-01-22 14:40:03.82;0.00:00:00:096;0.00;0.00;1.00;6.722;-0.02037;-0.01524;6.59;-71.60;44.89;98.03;98.03;0.38;6.722;6.59;0.1322;8.275;8.189;-8.788;0.50;90.13;
2026-01-22 14:40:03.87;0.00:00:00:145;0.00;0.00;1.00;6.726;-0.02034;-0.0149;6.593;-71.89;44.89;98.03;98.03;0.37;6.726;6.593;0.1322;8.277;8.191;-8.787;0.50;90.13;
2026-01-22 14:40:03.92;0.00:00:00:192;0.00;0.00;1.00;6.729;-0.02098;-0.01554;6.597;-71.73;44.89;98.04;98.04;0.39;6.729;6.597;0.1319;8.279;8.193;-8.799;0.50;90.13;
2026-01-22 14:40:03.96;0.00:00:00:240;0.00;0.00;1.00;6.726;-0.02093;-0.01594;6.593;-71.35;44.89;98.03;98.03;0.39;6.726;6.593;0.1324;8.277;8.191;-8.782;0.50;90.14;
2026-01-22 14:40:04.01;0.00:00:00:290;0.00;0.00;1.00;6.726;-0.02059;-0.01487;6.592;-72.09;44.89;98.02;98.02;0.38;6.726;6.592;0.1332;8.277;8.190;-8.754;0.50;90.13;
2026-01-22 14:40:04.06;0.00:00:00:341;0.00;0.00;1.00;6.728;-0.02019;-0.0152;6.595;-71.52;44.89;98.03;98.02;0.38;6.728;6.595;0.1329;8.279;8.192;-8.766;0.50;90.13;
2026-01-22 14:40:04.11;0.00:00:00:388;0.00;0.00;1.00;6.728;-0.01956;-0.01544;6.595;-70.86;44.89;98.03;98.02;0.37;6.728;6.595;0.1329;8.279;8.192;-8.766;0.50;90.13;
2026-01-22 14:40:04.16;0.00:00:00:440;0.00;0.00;1.00;6.724;-0.02121;-0.01523;6.592;-72.16;44.89;98.04;98.04;0.39;6.724;6.592;0.1318;8.276;8.190;-8.801;0.50;90.13;
2026-01-22 14:40:04.21;0.00:00:00:490;0.00;0.00;1.00;6.725;-0.02045;-0.01572;6.592;-71.23;44.89;98.03;98.03;0.38;6.725;6.592;0.1326;8.277;8.190;-8.774;0.50;90.14;
2026-01-22 14:40:04.26;0.00:00:00:541;0.00;0.00;1.00;6.72;-0.02052;-0.01479;6.587;-72.10;44.89;98.02;98.02;0.38;6.72;6.587;0.133;8.274;8.187;-8.761;0.50;90.13;
2026-01-22 14:40:04.31;0.00:00:00:589;0.00;0.00;1.00;6.723;-0.0205;-0.01488;6.59;-72.02;44.89;98.03;98.03;0.38;6.723;6.59;0.1325;8.275;8.189;-8.779;0.50;90.13;
2026-01-22 14:40:04.36;0.00:00:00:636;0.00;0.00;1.00;6.725;-0.0201;-0.01484;6.591;-71.78;44.89;98.01;98.01;0.37;6.725;6.591;0.1341;8.277;8.189;-8.726;0.50;90.13;
2026-01-22 14:40:04.41;0.00:00:00:686;0.00;0.00;1.00;6.726;-0.02085;-0.01492;6.593;-72.20;44.89;98.03;98.03;0.38;6.726;6.593;0.1327;8.278;8.191;-8.772;0.50;90.13;
2026-01-22 14:40:04.46;0.00:00:00:735;0.00;0.00;1.00;6.734;-0.02099;-0.01562;6.602;-71.67;44.89;98.04;98.04;0.39;6.734;6.602;0.1322;8.283;8.197;-8.788;0.50;90.14;
2026-01-22 14:40:04.51;0.00:00:00:785;0.00;0.00;1.00;6.736;-0.02051;-0.01532;6.603;-71.62;44.89;98.02;98.02;0.38;6.736;6.603;0.1332;8.284;8.197;-8.755;0.50;90.13;
2026-01-22 14:40:04.56;0.00:00:00:834;0.00;0.00;1.00;6.737;-0.02063;-0.01596;6.604;-71.14;44.89;98.03;98.03;0.39;6.737;6.604;0.1326;8.285;8.198;-8.774;0.50;90.14;
2026-01-22 14:40:04.61;0.00:00:00:885;0.00;0.00;1.00;6.733;-0.02094;-0.01483;6.6;-72.34;44.89;98.02;98.02;0.38;6.733;6.6;0.1332;8.282;8.195;-8.754;0.50;90.13;
2026-01-22 14:40:04.66;0.00:00:00:935;0.00;0.00;1.00;6.735;-0.02059;-0.01426;6.602;-72.65;44.89;98.02;98.02;0.37;6.735;6.602;0.1334;8.283;8.196;-8.749;0.50;90.12;
2026-01-22 14:40:04.71;0.00:00:00:984;0.00;0.00;1.00;6.741;-0.02059;-0.01573;6.608;-71.31;44.89;98.03;98.03;0.38;6.741;6.608;0.1327;8.287;8.201;-8.770;0.50;90.14;
2026-01-22 14:40:04.76;0.00:00:01:037;0.00;0.00;1.00;6.737;-0.02059;-0.01543;6.604;-71.57;44.89;98.02;98.02;0.38;6.737;6.604;0.1331;8.285;8.198;-8.759;0.50;90.13;
2026-01-22 14:40:04.81;0.00:00:01:088;0.00;0.00;1.00;6.738;-0.02049;-0.01499;6.605;-71.91;44.89;98.02;98.02;0.38;6.738;6.605;0.1332;8.285;8.198;-8.755;0.50;90.13;
2026-01-22 14:40:04.86;0.00:00:01:139;0.00;0.00;1.00;6.744;-0.02055;-0.01596;6.611;-71.08;44.89;98.03;98.03;0.39;6.744;6.611;0.1329;8.289;8.203;-8.764;0.50;90.14;
