Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:27:09.82;0.00:00:00:054;-1.00;0.00;-0.05;0.000308;-0.0001984;2.013E-07;-9.565E-06;89.97;-1.38;64.47;3.11;64.39;0.000308;0.0001986;0.0001094;-35.114;-37.020;-39.608;0.00;-88.79;
2026-01-22 14:27:09.87;0.00:00:00:104;-1.00;0.00;-0.05;0.0003083;-0.0001988;8.838E-08;-9.447E-06;89.99;-1.36;64.55;3.06;64.47;0.0003083;0.000199;0.0001093;-35.111;-37.012;-39.614;0.00;-89.46;
2026-01-22 14:27:09.92;0.00:00:00:154;-1.00;0.00;-0.05;0.0003089;-0.0001988;8.562E-08;-9.392E-06;89.99;-1.35;64.45;3.04;64.37;0.0003089;0.000199;0.0001098;-35.102;-37.011;-39.594;0.00;-89.48;
2026-01-22 14:27:09.97;0.00:00:00:207;-1.00;0.00;-0.05;0.0003092;-0.0001991;2.689E-07;-9.472E-06;89.96;-1.36;64.47;3.06;64.40;0.0003092;0.0001993;0.0001098;-35.098;-37.005;-39.592;0.00;-88.37;
2026-01-22 14:27:10.03;0.00:00:00:267;-1.00;0.00;-0.05;0.0003083;-0.0001987;8.121E-08;-9.511E-06;89.99;-1.37;64.54;3.09;64.47;0.0003083;0.000199;0.0001093;-35.111;-37.012;-39.614;0.00;-89.51;
2026-01-22 14:27:10.08;0.00:00:00:320;-1.00;0.00;-0.05;0.0003084;-0.0001985;2.594E-07;-9.414E-06;89.96;-1.36;64.45;3.05;64.38;0.0003084;0.0001987;0.0001096;-35.109;-37.017;-39.601;0.00;-88.42;
2026-01-22 14:27:10.13;0.00:00:00:369;-1.00;0.00;-0.05;0.000308;-0.0001985;6.524E-08;-9.413E-06;89.99;-1.36;64.52;3.06;64.45;0.000308;0.0001987;0.0001093;-35.114;-37.017;-39.614;0.00;-89.60;
2026-01-22 14:27:10.18;0.00:00:00:421;-1.00;0.00;-0.05;0.0003085;-0.0001989;1.37E-07;-9.401E-06;89.98;-1.35;64.53;3.05;64.46;0.0003085;0.0001991;0.0001094;-35.107;-37.009;-39.609;0.00;-89.17;
2026-01-22 14:27:10.23;0.00:00:00:472;-1.00;0.00;-0.05;0.000309;-0.0001989;1.871E-07;-9.4E-06;89.97;-1.35;64.43;3.04;64.36;0.000309;0.0001991;0.0001099;-35.100;-37.009;-39.589;0.00;-88.86;
2026-01-22 14:27:10.28;0.00:00:00:522;-1.00;0.00;-0.05;0.0003092;-0.0001988;2.462E-07;-9.439E-06;89.96;-1.36;64.35;3.05;64.27;0.0003092;0.000199;0.0001103;-35.097;-37.012;-39.576;0.00;-88.51;
2026-01-22 14:27:10.33;0.00:00:00:573;-1.00;0.00;-0.05;0.0003088;-0.0001988;2.999E-07;-9.469E-06;89.96;-1.36;64.46;3.07;64.39;0.0003088;0.000199;0.0001097;-35.104;-37.011;-39.596;0.00;-88.19;
2026-01-22 14:27:10.39;0.00:00:00:624;-1.00;0.00;-0.05;0.0003084;-0.0001986;2.25E-07;-9.437E-06;89.97;-1.36;64.48;3.06;64.40;0.0003084;0.0001988;0.0001096;-35.109;-37.015;-39.604;0.00;-88.63;
2026-01-22 14:27:10.44;0.00:00:00:677;-1.00;0.00;-0.05;0.0003081;-0.0001983;2.584E-07;-9.449E-06;89.96;-1.36;64.44;3.07;64.37;0.0003081;0.0001986;0.0001096;-35.112;-37.021;-39.603;0.00;-88.43;
2026-01-22 14:27:10.49;0.00:00:00:728;-1.00;0.00;-0.05;0.0003078;-0.0001981;2.311E-07;-9.5E-06;89.97;-1.37;64.44;3.09;64.36;0.0003078;0.0001983;0.0001094;-35.118;-37.026;-39.608;0.00;-88.61;
2026-01-22 14:27:10.54;0.00:00:00:774;-1.00;0.00;-0.05;0.0003076;-0.0001981;2.77E-07;-9.458E-06;89.96;-1.37;64.45;3.07;64.38;0.0003076;0.0001983;0.0001094;-35.120;-37.027;-39.611;0.00;-88.32;
