Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:25:59.83;0.00:00:00:051;-1.00;0.00;-0.01;6.792;-6.612;0.005148;-0.04953;89.98;-0.21;97.35;0.73;97.34;6.792;6.612;0.1802;8.320;8.203;-7.441;0.00;-84.07;
2026-01-22 14:25:59.88;0.00:00:00:101;-1.00;0.00;-0.01;6.796;-6.614;0.006684;-0.04986;89.97;-0.22;97.32;0.73;97.31;6.796;6.614;0.1824;8.323;8.205;-7.390;0.00;-82.36;
2026-01-22 14:25:59.93;0.00:00:00:147;-1.00;0.00;-0.01;6.796;-6.613;0.007093;-0.04993;89.97;-0.22;97.30;0.73;97.30;6.796;6.613;0.1833;8.323;8.204;-7.369;0.00;-81.91;
2026-01-22 14:25:59.97;0.00:00:00:195;-1.00;0.00;-0.01;6.787;-6.604;0.007599;-0.05044;89.97;-0.22;97.31;0.74;97.31;6.787;6.605;0.1827;8.317;8.199;-7.384;0.00;-81.43;
2026-01-22 14:26:00.02;0.00:00:00:244;-1.00;0.00;-0.01;6.781;-6.598;0.008358;-0.04988;89.96;-0.22;97.30;0.74;97.30;6.781;6.598;0.183;8.313;8.194;-7.376;0.00;-80.49;
2026-01-22 14:26:00.07;0.00:00:00:295;-1.00;0.00;-0.01;6.777;-6.594;0.007337;-0.04984;89.97;-0.22;97.31;0.74;97.31;6.777;6.594;0.1821;8.310;8.192;-7.396;0.00;-81.63;
2026-01-22 14:26:00.12;0.00:00:00:342;-1.00;0.00;-0.01;6.778;-6.597;0.006021;-0.04952;89.97;-0.22;97.34;0.73;97.34;6.778;6.597;0.1803;8.311;8.194;-7.439;0.00;-83.07;
2026-01-22 14:26:00.17;0.00:00:00:390;-1.00;0.00;-0.01;6.783;-6.602;0.006382;-0.04959;89.97;-0.22;97.33;0.73;97.33;6.783;6.602;0.1812;8.314;8.197;-7.418;0.00;-82.67;
2026-01-22 14:26:00.22;0.00:00:00:438;-1.00;0.00;-0.01;6.786;-6.604;0.007229;-0.04997;89.97;-0.22;97.31;0.74;97.31;6.786;6.604;0.1823;8.316;8.198;-7.391;0.00;-81.77;
2026-01-22 14:26:00.27;0.00:00:00:488;-1.00;0.00;-0.01;6.784;-6.601;0.007715;-0.05029;89.97;-0.22;97.31;0.74;97.30;6.784;6.601;0.1828;8.315;8.196;-7.380;0.00;-81.28;
2026-01-22 14:26:00.31;0.00:00:00:537;-1.00;0.00;-0.01;6.781;-6.599;0.007699;-0.05006;89.97;-0.22;97.31;0.74;97.31;6.781;6.599;0.1822;8.313;8.195;-7.395;0.00;-81.26;
2026-01-22 14:26:00.36;0.00:00:00:583;-1.00;0.00;-0.01;6.775;-6.592;0.008402;-0.05012;89.96;-0.22;97.30;0.74;97.30;6.775;6.592;0.183;8.309;8.190;-7.376;0.00;-80.48;
2026-01-22 14:26:00.41;0.00:00:00:632;-1.00;0.00;-0.01;6.778;-6.597;0.005071;-0.04916;89.98;-0.21;97.34;0.73;97.34;6.778;6.598;0.18;8.311;8.194;-7.447;0.00;-84.11;
2026-01-22 14:26:00.46;0.00:00:00:681;-1.00;0.00;-0.01;6.784;-6.602;0.006659;-0.04995;89.97;-0.22;97.31;0.74;97.31;6.784;6.602;0.1823;8.315;8.197;-7.391;0.00;-82.41;
2026-01-22 14:26:00.51;0.00:00:00:729;-1.00;0.00;-0.01;6.784;-6.602;0.006725;-0.05005;89.97;-0.22;97.32;0.74;97.31;6.784;6.602;0.1821;8.315;8.197;-7.396;0.00;-82.35;
2026-01-22 14:26:00.56;0.00:00:00:778;-1.00;0.00;-0.01;6.772;-6.589;0.009269;-0.05072;89.96;-0.22;97.30;0.75;97.30;6.772;6.589;0.1829;8.307;8.188;-7.378;0.00;-79.64;
2026-01-22 14:26:00.60;0.00:00:00:826;-1.00;0.00;-0.01;6.761;-6.576;0.008987;-0.05016;89.96;-0.22;97.27;0.74;97.26;6.761;6.576;0.1848;8.300;8.180;-7.334;0.00;-79.84;
2026-01-22 14:26:00.65;0.00:00:00:875;-1.00;0.00;-0.01;6.75;-6.569;0.006573;-0.04928;89.97;-0.21;97.32;0.73;97.32;6.75;6.569;0.1808;8.293;8.175;-7.428;0.00;-82.40;
2026-01-22 14:26:00.70;0.00:00:00:925;-1.00;0.00;-0.01;6.745;-6.564;0.007474;-0.04993;89.97;-0.22;97.32;0.74;97.31;6.745;6.564;0.181;8.290;8.172;-7.422;0.00;-81.49;
2026-01-22 14:26:00.75;0.00:00:00:976;-1.00;0.00;-0.01;6.758;-6.579;0.006031;-0.04887;89.97;-0.21;97.35;0.72;97.35;6.758;6.579;0.1791;8.298;8.182;-7.468;0.00;-82.97;
2026-01-22 14:26:00.80;0.00:00:01:026;-1.00;0.00;-0.01;6.759;-6.578;0.006924;-0.04963;89.97;-0.22;97.33;0.73;97.33;6.759;6.578;0.1803;8.299;8.181;-7.441;0.00;-82.06;
2026-01-22 14:26:00.85;0.00:00:01:074;-1.00;0.00;-0.01;6.764;-6.583;0.00635;-0.04975;89.97;-0.22;97.32;0.74;97.32;6.764;6.583;0.1811;8.302;8.184;-7.422;0.00;-82.73;
2026-01-22 14:26:00.90;0.00:00:01:122;-1.00;0.00;-0.01;6.76;-6.578;0.00757;-0.05024;89.97;-0.22;97.32;0.74;97.32;6.76;6.579;0.181;8.299;8.181;-7.423;0.00;-81.43;
2026-01-22 14:26:00.95;0.00:00:01:171;-1.00;0.00;-0.01;6.758;-6.575;0.006632;-0.05015;89.97;-0.22;97.30;0.74;97.30;6.758;6.576;0.1823;8.298;8.179;-7.391;0.00;-82.47;
2026-01-22 14:26:01.00;0.00:00:01:221;-1.00;0.00;-0.01;6.762;-6.58;0.004874;-0.04987;89.98;-0.22;97.31;0.74;97.31;6.762;6.58;0.182;8.301;8.182;-7.400;0.00;-84.42;
2026-01-22 14:26:01.05;0.00:00:01:271;-1.00;0.00;-0.01;6.767;-6.584;0.007391;-0.04991;89.97;-0.22;97.29;0.74;97.29;6.767;6.584;0.1832;8.304;8.185;-7.371;0.00;-81.58;
2026-01-22 14:26:01.10;0.00:00:01:321;-1.00;0.00;-0.01;6.764;-6.581;0.007323;-0.05013;89.97;-0.22;97.29;0.74;97.29;6.764;6.581;0.183;8.302;8.183;-7.375;0.00;-81.69;
2026-01-22 14:26:01.15;0.00:00:01:371;-1.00;0.00;-0.01;6.762;-6.579;0.006926;-0.05018;89.97;-0.22;97.31;0.74;97.30;6.762;6.579;0.1822;8.300;8.182;-7.396;0.00;-82.14;
2026-01-22 14:26:01.20;0.00:00:01:420;-1.00;0.00;-0.01;6.76;-6.578;0.007306;-0.04981;89.97;-0.22;97.31;0.74;97.30;6.76;6.578;0.182;8.300;8.181;-7.399;0.00;-81.66;
