Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:28:37.49;0.00:00:00:044;0.00;1.00;0.00;6.833;0.003039;6.83;-0.004591;44.99;-0.02;99.96;0.07;99.96;6.833;6.83;0.003069;8.346;8.344;-25.130;0.50;-0.04;
2026-01-22 14:28:37.54;0.00:00:00:096;0.00;1.00;0.00;6.836;0.003287;6.833;-0.004636;44.99;-0.02;99.96;0.07;99.96;6.836;6.833;0.002897;8.348;8.346;-25.381;0.50;-0.04;
2026-01-22 14:28:37.61;0.00:00:00:157;0.00;1.00;0.00;6.835;0.004133;6.832;-0.005401;44.98;-0.02;99.95;0.08;99.95;6.835;6.832;0.003227;8.347;8.345;-24.912;0.50;-0.05;
2026-01-22 14:28:37.66;0.00:00:00:208;0.00;1.00;0.00;6.829;0.004198;6.825;-0.005341;44.98;-0.02;99.95;0.08;99.95;6.829;6.825;0.003449;8.343;8.341;-24.624;0.50;-0.04;
2026-01-22 14:28:37.71;0.00:00:00:259;0.00;1.00;0.00;6.825;0.003093;6.821;-0.004457;44.99;-0.02;99.94;0.07;99.94;6.825;6.821;0.003965;8.341;8.338;-24.017;0.50;-0.04;
2026-01-22 14:28:37.76;0.00:00:00:311;0.00;1.00;0.00;6.834;0.003351;6.831;-0.005067;44.99;-0.02;99.96;0.07;99.96;6.834;6.831;0.002612;8.347;8.345;-25.831;0.50;-0.04;
2026-01-22 14:28:37.81;0.00:00:00:364;0.00;1.00;0.00;6.834;0.003916;6.831;-0.004626;44.98;-0.02;99.95;0.07;99.95;6.834;6.831;0.003405;8.347;8.345;-24.679;0.50;-0.04;
2026-01-22 14:28:37.86;0.00:00:00:416;0.00;1.00;0.00;6.841;0.003618;6.837;-0.004539;44.98;-0.02;99.95;0.07;99.95;6.841;6.837;0.003218;8.351;8.349;-24.924;0.50;-0.04;
2026-01-22 14:28:37.93;0.00:00:00:477;0.00;1.00;0.00;6.836;0.003719;6.834;-0.005025;44.98;-0.02;99.97;0.07;99.97;6.836;6.834;0.002249;8.348;8.347;-26.480;0.50;-0.04;
2026-01-22 14:28:37.98;0.00:00:00:528;0.00;1.00;0.00;6.834;0.003897;6.831;-0.004885;44.98;-0.02;99.96;0.07;99.96;6.834;6.831;0.002904;8.346;8.345;-25.370;0.50;-0.04;
2026-01-22 14:28:38.03;0.00:00:00:579;0.00;1.00;0.00;6.838;0.003069;6.836;-0.004816;44.99;-0.02;99.97;0.07;99.97;6.838;6.836;0.00235;8.350;8.348;-26.290;0.50;-0.04;
2026-01-22 14:28:38.08;0.00:00:00:633;0.00;1.00;0.00;6.837;0.004223;6.834;-0.004925;44.98;-0.02;99.95;0.07;99.95;6.837;6.834;0.003086;8.349;8.347;-25.106;0.50;-0.04;
2026-01-22 14:28:38.13;0.00:00:00:683;0.00;1.00;0.00;6.837;0.003591;6.833;-0.004829;44.98;-0.02;99.95;0.07;99.95;6.837;6.833;0.003293;8.348;8.346;-24.825;0.50;-0.04;
2026-01-22 14:28:38.18;0.00:00:00:736;0.00;1.00;0.00;6.838;0.002911;6.835;-0.00429;44.99;-0.02;99.96;0.06;99.96;6.838;6.835;0.002742;8.349;8.347;-25.620;0.50;-0.04;
2026-01-22 14:28:38.23;0.00:00:00:785;0.00;1.00;0.00;6.84;0.003849;6.837;-0.004746;44.98;-0.02;99.96;0.07;99.96;6.84;6.837;0.002661;8.350;8.349;-25.750;0.50;-0.04;
2026-01-22 14:28:38.28;0.00:00:00:836;0.00;1.00;0.00;6.839;0.003074;6.836;-0.004782;44.99;-0.02;99.95;0.07;99.95;6.839;6.836;0.003335;8.350;8.348;-24.769;0.50;-0.04;
2026-01-22 14:28:38.34;0.00:00:00:887;0.00;1.00;0.00;6.839;0.00389;6.836;-0.005058;44.98;-0.02;99.95;0.07;99.95;6.839;6.836;0.003463;8.350;8.348;-24.605;0.50;-0.04;
2026-01-22 14:28:38.38;0.00:00:00:934;0.00;1.00;0.00;6.839;0.003065;6.836;-0.004756;44.99;-0.02;99.96;0.07;99.96;6.839;6.836;0.002907;8.350;8.348;-25.366;0.50;-0.04;
2026-01-22 14:28:38.43;0.00:00:00:985;0.00;1.00;0.00;6.845;0.002619;6.842;-0.004464;44.99;-0.02;99.96;0.07;99.96;6.845;6.842;0.002657;8.354;8.352;-25.756;0.50;-0.04;
2026-01-22 14:28:38.49;0.00:00:01:039;0.00;1.00;0.00;6.845;0.003739;6.842;-0.005007;44.98;-0.02;99.95;0.07;99.95;6.845;6.842;0.003198;8.354;8.352;-24.951;0.50;-0.04;
2026-01-22 14:28:38.53;0.00:00:01:084;0.00;1.00;0.00;6.838;0.00399;6.835;-0.005229;44.98;-0.02;99.95;0.08;99.95;6.838;6.835;0.003415;8.349;8.347;-24.666;0.50;-0.04;
2026-01-22 14:28:38.58;0.00:00:01:132;0.00;1.00;0.00;6.835;0.00411;6.832;-0.005295;44.98;-0.02;99.96;0.08;99.96;6.835;6.832;0.002953;8.348;8.346;-25.298;0.50;-0.04;
2026-01-22 14:28:38.63;0.00:00:01:178;0.00;1.00;0.00;6.832;0.003352;6.828;-0.004895;44.99;-0.02;99.95;0.07;99.95;6.832;6.828;0.003185;8.345;8.343;-24.969;0.50;-0.04;
2026-01-22 14:28:38.67;0.00:00:01:224;0.00;1.00;0.00;6.836;0.003915;6.833;-0.005387;44.98;-0.02;99.96;0.08;99.96;6.836;6.833;0.002803;8.348;8.346;-25.524;0.50;-0.05;
2026-01-22 14:28:38.72;0.00:00:01:272;0.00;1.00;0.00;6.833;0.003909;6.829;-0.004962;44.98;-0.02;99.95;0.07;99.95;6.833;6.829;0.003703;8.346;8.344;-24.314;0.50;-0.04;
2026-01-22 14:28:38.77;0.00:00:01:317;0.00;1.00;0.00;6.835;0.004182;6.832;-0.004897;44.98;-0.02;99.95;0.07;99.95;6.835;6.832;0.003233;8.347;8.345;-24.904;0.50;-0.04;
2026-01-22 14:28:38.82;0.00:00:01:366;0.00;1.00;0.00;6.835;0.003978;6.832;-0.004598;44.98;-0.02;99.95;0.07;99.95;6.835;6.832;0.003572;8.348;8.345;-24.471;0.50;-0.04;
2026-01-22 14:28:38.86;0.00:00:01:413;0.00;1.00;0.00;6.834;0.003914;6.832;-0.005022;44.98;-0.02;99.96;0.07;99.96;6.834;6.832;0.002747;8.347;8.345;-25.611;0.50;-0.04;
2026-01-22 14:28:38.91;0.00:00:01:458;0.00;1.00;0.00;6.823;0.004975;6.82;-0.005235;44.98;-0.02;99.95;0.08;99.95;6.823;6.82;0.003397;8.340;8.338;-24.690;0.50;-0.04;
2026-01-22 14:28:38.95;0.00:00:01:506;0.00;1.00;0.00;6.825;0.003321;6.822;-0.004265;44.99;-0.02;99.96;0.06;99.96;6.825;6.822;0.002857;8.341;8.339;-25.441;0.50;-0.04;
2026-01-22 14:28:39.00;0.00:00:01:553;0.00;1.00;0.00;6.833;0.003558;6.83;-0.004684;44.99;-0.02;99.95;0.07;99.95;6.833;6.83;0.003321;8.346;8.344;-24.787;0.50;-0.04;
2026-01-22 14:28:39.05;0.00:00:01:598;0.00;1.00;0.00;6.833;0.003575;6.83;-0.005142;44.99;-0.02;99.95;0.08;99.95;6.833;6.83;0.003202;8.346;8.344;-24.946;0.50;-0.04;
2026-01-22 14:28:39.11;0.00:00:01:661;0.00;1.00;0.00;6.835;0.003874;6.832;-0.00482;44.98;-0.02;99.95;0.07;99.95;6.835;6.832;0.003444;8.347;8.345;-24.630;0.50;-0.04;
2026-01-22 14:28:39.16;0.00:00:01:710;0.00;1.00;0.00;6.834;0.004871;6.831;-0.004883;44.98;-0.02;99.95;0.07;99.95;6.834;6.831;0.003228;8.347;8.345;-24.910;0.50;-0.04;
2026-01-22 14:28:39.20;0.00:00:01:756;0.00;1.00;0.00;6.831;0.003616;6.828;-0.005195;44.98;-0.02;99.96;0.08;99.96;6.831;6.828;0.002726;8.345;8.343;-25.645;0.50;-0.04;
2026-01-22 14:28:39.25;0.00:00:01:804;0.00;1.00;0.00;6.828;0.004256;6.825;-0.004895;44.98;-0.02;99.95;0.07;99.95;6.828;6.825;0.003332;8.343;8.341;-24.773;0.50;-0.04;
2026-01-22 14:28:39.30;0.00:00:01:851;0.00;1.00;0.00;6.829;0.003206;6.825;-0.004757;44.99;-0.02;99.94;0.07;99.94;6.829;6.825;0.003906;8.344;8.341;-24.082;0.50;-0.04;
2026-01-22 14:28:39.35;0.00:00:01:897;0.00;1.00;0.00;6.831;0.003616;6.828;-0.004466;44.98;-0.02;99.95;0.07;99.95;6.831;6.828;0.003099;8.345;8.343;-25.088;0.50;-0.04;
2026-01-22 14:28:39.39;0.00:00:01:943;0.00;1.00;0.00;6.83;0.003423;6.828;-0.004864;44.99;-0.02;99.96;0.07;99.96;6.83;6.828;0.002578;8.344;8.343;-25.888;0.50;-0.04;
2026-01-22 14:28:39.44;0.00:00:01:989;0.00;1.00;0.00;6.837;0.003691;6.834;-0.005007;44.98;-0.02;99.95;0.07;99.95;6.837;6.834;0.003246;8.349;8.347;-24.886;0.50;-0.04;
