Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:20:29.47;0.00:00:00:055;1.00;0.00;0.00;6.777;6.777;-0.003647;0.00265;-0.02;0.01;100.01;0.04;100.01;6.777;6.777;-0.0004134;8.310;8.310;-99.990;1.00;144.00;
2026-01-22 14:20:29.52;0.00:00:00:102;1.00;0.00;0.00;6.773;6.774;-0.003191;0.002808;-0.01;0.01;100.01;0.04;100.01;6.773;6.774;-0.000657;8.308;8.309;-99.990;1.00;138.65;
2026-01-22 14:20:29.56;0.00:00:00:149;1.00;0.00;0.00;6.774;6.774;-0.003036;0.002791;-0.01;0.01;100.00;0.04;100.00;6.774;6.774;-0.0003319;8.308;8.308;-99.990;1.00;137.41;
2026-01-22 14:20:29.61;0.00:00:00:195;1.00;0.00;0.00;6.782;6.782;-0.003467;0.003091;-0.01;0.01;100.01;0.05;100.01;6.782;6.782;-0.0004272;8.313;8.314;-99.990;1.00;138.28;
2026-01-22 14:20:29.66;0.00:00:00:242;1.00;0.00;0.00;6.785;6.785;-0.003806;0.002783;-0.02;0.01;100.00;0.04;100.00;6.785;6.785;-0.0003053;8.315;8.316;-99.990;1.00;143.82;
2026-01-22 14:20:29.71;0.00:00:00:291;1.00;0.00;0.00;6.781;6.782;-0.003046;0.002848;-0.01;0.01;100.01;0.04;100.01;6.781;6.782;-0.0004069;8.313;8.313;-99.990;1.00;136.93;
2026-01-22 14:20:29.75;0.00:00:00:336;1.00;0.00;0.00;6.78;6.781;-0.003447;0.002817;-0.01;0.01;100.01;0.04;100.01;6.78;6.781;-0.0003594;8.313;8.313;-99.990;1.00;140.74;
2026-01-22 14:20:29.80;0.00:00:00:383;1.00;0.00;0.00;6.776;6.776;-0.002559;0.002538;-0.01;0.01;100.01;0.04;100.01;6.776;6.776;-0.0005421;8.310;8.310;-99.990;1.00;135.24;
2026-01-22 14:20:29.84;0.00:00:00:429;1.00;0.00;0.00;6.773;6.774;-0.003509;0.002916;-0.01;0.01;100.00;0.04;100.00;6.773;6.774;-0.0002777;8.308;8.308;-99.990;1.00;140.27;
2026-01-22 14:20:29.89;0.00:00:00:476;1.00;0.00;0.00;6.775;6.776;-0.00304;0.003045;-0.01;0.01;100.01;0.04;100.01;6.775;6.776;-0.0004065;8.309;8.310;-99.990;1.00;134.96;
2026-01-22 14:20:29.94;0.00:00:00:523;1.00;0.00;0.00;6.776;6.776;-0.003855;0.003032;-0.02;0.01;100.00;0.04;100.00;6.776;6.776;-0.0002575;8.310;8.310;-99.990;1.00;141.81;
2026-01-22 14:20:29.99;0.00:00:00:570;1.00;0.00;0.00;6.779;6.779;-0.004277;0.003094;-0.02;0.01;100.00;0.05;100.00;6.779;6.779;-0.0002915;8.311;8.312;-99.990;1.00;144.12;
2026-01-22 14:20:30.03;0.00:00:00:616;1.00;0.00;0.00;6.784;6.784;-0.003518;0.003031;-0.01;0.01;100.00;0.04;100.00;6.784;6.784;-0.0003188;8.315;8.315;-99.990;1.00;139.25;
2026-01-22 14:20:30.08;0.00:00:00:663;1.00;0.00;0.00;6.78;6.781;-0.003319;0.002893;-0.01;0.01;100.01;0.04;100.01;6.78;6.781;-0.0004;8.312;8.313;-99.990;1.00;138.93;
2026-01-22 14:20:30.13;0.00:00:00:711;1.00;0.00;0.00;6.777;6.777;-0.003042;0.00283;-0.01;0.01;100.01;0.04;100.01;6.777;6.777;-0.0005286;8.310;8.310;-99.990;1.00;137.07;
2026-01-22 14:20:30.17;0.00:00:00:756;1.00;0.00;0.00;6.774;6.775;-0.003331;0.002629;-0.01;0.01;100.01;0.04;100.01;6.774;6.775;-0.0006368;8.308;8.309;-99.990;1.00;141.71;
2026-01-22 14:20:30.22;0.00:00:00:803;1.00;0.00;0.00;6.767;6.767;-0.003529;0.00256;-0.01;0.01;100.01;0.04;100.01;6.767;6.767;-0.0003992;8.304;8.304;-99.990;1.00;144.04;
2026-01-22 14:20:30.27;0.00:00:00:850;1.00;0.00;0.00;6.769;6.77;-0.003801;0.003046;-0.02;0.01;100.01;0.05;100.01;6.769;6.77;-0.0005686;8.305;8.306;-99.990;1.00;141.29;
2026-01-22 14:20:30.31;0.00:00:00:897;1.00;0.00;0.00;6.77;6.771;-0.0033;0.002865;-0.01;0.01;100.01;0.04;100.01;6.77;6.771;-0.0004468;8.306;8.306;-99.990;1.00;139.03;
2026-01-22 14:20:30.36;0.00:00:00:943;1.00;0.00;0.00;6.769;6.77;-0.00342;0.003129;-0.01;0.01;100.01;0.05;100.01;6.769;6.77;-0.0005077;8.305;8.306;-99.990;1.00;137.54;
2026-01-22 14:20:30.40;0.00:00:00:989;1.00;0.00;0.00;6.769;6.77;-0.003093;0.002751;-0.01;0.01;100.01;0.04;100.01;6.769;6.77;-0.0005822;8.305;8.306;-99.990;1.00;138.34;
2026-01-22 14:20:30.45;0.00:00:01:037;1.00;0.00;0.00;6.763;6.763;-0.002931;0.002878;-0.01;0.01;100.01;0.04;100.01;6.763;6.763;-0.0004328;8.301;8.301;-99.990;1.00;135.52;
2026-01-22 14:20:30.50;0.00:00:01:083;1.00;0.00;0.00;6.761;6.762;-0.003505;0.002633;-0.01;0.01;100.01;0.04;100.01;6.761;6.762;-0.0003922;8.300;8.301;-99.990;1.00;143.08;
2026-01-22 14:20:30.54;0.00:00:01:129;1.00;0.00;0.00;6.759;6.76;-0.003296;0.002917;-0.01;0.01;100.01;0.04;100.01;6.759;6.76;-0.0005137;8.299;8.299;-99.990;1.00;138.49;
2026-01-22 14:20:30.59;0.00:00:01:177;1.00;0.00;0.00;6.77;6.77;-0.003874;0.003297;-0.02;0.01;100.00;0.05;100.00;6.77;6.77;-0.0003182;8.306;8.306;-99.990;1.00;139.60;
2026-01-22 14:20:30.64;0.00:00:01:225;1.00;0.00;0.00;6.778;6.778;-0.003526;0.003254;-0.01;0.01;100.01;0.05;100.01;6.778;6.778;-0.0003931;8.311;8.311;-99.990;1.00;137.30;
2026-01-22 14:20:30.69;0.00:00:01:271;1.00;0.00;0.00;6.785;6.786;-0.003284;0.002846;-0.01;0.01;100.01;0.04;100.01;6.785;6.786;-0.0004343;8.316;8.316;-99.990;1.00;139.09;
2026-01-22 14:20:30.73;0.00:00:01:317;1.00;0.00;0.00;6.786;6.786;-0.003412;0.002762;-0.01;0.01;100.01;0.04;100.01;6.786;6.786;-0.0003732;8.316;8.316;-99.990;1.00;141.02;
2026-01-22 14:20:30.78;0.00:00:01:364;1.00;0.00;0.00;6.79;6.79;-0.003895;0.003307;-0.02;0.01;100.01;0.05;100.01;6.79;6.79;-0.0004142;8.318;8.319;-99.990;1.00;139.66;
2026-01-22 14:20:30.83;0.00:00:01:410;1.00;0.00;0.00;6.788;6.788;-0.003538;0.002738;-0.01;0.01;100.01;0.04;100.01;6.788;6.788;-0.0004684;8.317;8.318;-99.990;1.00;142.26;
2026-01-22 14:20:30.87;0.00:00:01:456;1.00;0.00;0.00;6.787;6.788;-0.003072;0.002774;-0.01;0.01;100.01;0.04;100.01;6.787;6.788;-0.0004819;8.317;8.317;-99.990;1.00;137.91;
2026-01-22 14:20:30.92;0.00:00:01:502;1.00;0.00;0.00;6.787;6.788;-0.00358;0.002957;-0.02;0.01;100.01;0.04;100.01;6.787;6.788;-0.0003597;8.317;8.317;-99.990;1.00;140.44;
2026-01-22 14:20:30.96;0.00:00:01:549;1.00;0.00;0.00;6.788;6.789;-0.00274;0.002534;-0.01;0.01;100.01;0.04;100.01;6.788;6.789;-0.0006924;8.317;8.318;-99.990;1.00;137.24;
2026-01-22 14:20:31.01;0.00:00:01:597;1.00;0.00;0.00;6.782;6.783;-0.003436;0.002571;-0.01;0.01;100.01;0.04;100.01;6.782;6.783;-0.0006646;8.314;8.314;-99.990;1.00;143.20;
2026-01-22 14:20:31.06;0.00:00:01:645;1.00;0.00;0.00;6.77;6.771;-0.002693;0.002234;-0.01;0.01;100.01;0.03;100.01;6.77;6.771;-0.000677;8.306;8.306;-99.990;1.00;140.32;
2026-01-22 14:20:31.11;0.00:00:01:691;1.00;0.00;0.00;6.763;6.764;-0.003101;0.002662;-0.01;0.01;100.01;0.04;100.01;6.763;6.764;-0.0005208;8.302;8.302;-99.990;1.00;139.36;
2026-01-22 14:20:31.15;0.00:00:01:737;1.00;0.00;0.00;6.76;6.761;-0.002871;0.002566;-0.01;0.01;100.01;0.04;100.01;6.76;6.761;-0.000507;8.300;8.300;-99.990;1.00;138.21;
2026-01-22 14:20:31.20;0.00:00:01:783;1.00;0.00;0.00;6.759;6.759;-0.003639;0.002997;-0.02;0.01;100.01;0.04;100.01;6.759;6.759;-0.000365;8.299;8.299;-99.990;1.00;140.53;
2026-01-22 14:20:31.25;0.00:00:01:830;1.00;0.00;0.00;6.762;6.763;-0.003165;0.002879;-0.01;0.01;100.01;0.04;100.01;6.762;6.763;-0.0004801;8.301;8.301;-99.990;1.00;137.71;
2026-01-22 14:20:31.30;0.00:00:01:880;1.00;0.00;0.00;6.76;6.76;-0.00337;0.002837;-0.01;0.01;100.01;0.04;100.01;6.76;6.76;-0.0005543;8.299;8.300;-99.990;1.00;139.91;
2026-01-22 14:20:31.34;0.00:00:01:925;1.00;0.00;0.00;6.761;6.761;-0.003708;0.003;-0.02;0.01;100.01;0.04;100.01;6.761;6.761;-0.000453;8.300;8.300;-99.990;1.00;141.02;
2026-01-22 14:20:31.40;0.00:00:01:985;1.00;0.00;0.00;6.764;6.764;-0.003706;0.002934;-0.02;0.01;100.01;0.04;100.01;6.764;6.764;-0.0004194;8.302;8.302;-99.990;1.00;141.63;
2026-01-22 14:20:31.45;0.00:00:02:033;1.00;0.00;0.00;6.77;6.77;-0.003875;0.003264;-0.02;0.01;100.01;0.05;100.01;6.77;6.77;-0.0003588;8.306;8.306;-99.990;1.00;139.89;
2026-01-22 14:20:31.50;0.00:00:02:081;1.00;0.00;0.00;6.772;6.772;-0.003095;0.002508;-0.01;0.01;100.01;0.04;100.01;6.772;6.772;-0.0003792;8.307;8.307;-99.990;1.00;140.99;
2026-01-22 14:20:31.54;0.00:00:02:127;1.00;0.00;0.00;6.776;6.777;-0.0036;0.003073;-0.02;0.01;100.01;0.05;100.01;6.776;6.777;-0.0003998;8.310;8.310;-99.990;1.00;139.52;
2026-01-22 14:20:31.59;0.00:00:02:173;1.00;0.00;0.00;6.777;6.777;-0.003316;0.002833;-0.01;0.01;100.01;0.04;100.01;6.777;6.777;-0.0004337;8.310;8.310;-99.990;1.00;139.49;
2026-01-22 14:20:31.64;0.00:00:02:222;1.00;0.00;0.00;6.771;6.772;-0.003055;0.002812;-0.01;0.01;100.01;0.04;100.01;6.771;6.772;-0.0006229;8.307;8.307;-99.990;1.00;137.37;
2026-01-22 14:20:31.68;0.00:00:02:267;1.00;0.00;0.00;6.769;6.77;-0.003659;0.002587;-0.02;0.01;100.01;0.04;100.01;6.769;6.77;-0.0004265;8.305;8.306;-99.990;1.00;144.74;
