Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:58:53.35;0.00:00:00:047;0.00;0.00;-1.00;6.84;0.00683;0.002235;-6.812;9.06;-44.97;99.60;99.60;0.11;6.84;6.812;0.02748;8.350;8.333;-15.609;0.50;-89.98;
2026-01-22 14:58:53.40;0.00:00:00:105;0.00;0.00;-1.00;6.852;0.004492;-0.0003287;-6.825;-2.09;-44.98;99.60;99.60;0.07;6.852;6.825;0.02712;8.358;8.341;-15.668;0.50;-90.00;
2026-01-22 14:58:53.45;0.00:00:00:153;0.00;0.00;-1.00;6.859;0.006485;0.001757;-6.83;7.58;-44.97;99.59;99.59;0.10;6.859;6.83;0.02825;8.362;8.344;-15.490;0.50;-89.99;
2026-01-22 14:58:53.50;0.00:00:00:200;0.00;0.00;-1.00;6.855;0.006713;0.002721;-6.828;11.03;-44.97;99.60;99.60;0.11;6.855;6.828;0.02739;8.360;8.343;-15.624;0.50;-89.98;
2026-01-22 14:58:53.54;0.00:00:00:247;0.00;0.00;-1.00;6.854;0.004889;0.001814;-6.826;10.18;-44.98;99.60;99.60;0.08;6.854;6.826;0.0272;8.359;8.342;-15.655;0.50;-89.98;
2026-01-22 14:58:53.59;0.00:00:00:294;0.00;0.00;-1.00;6.852;0.005706;0.001401;-6.824;6.90;-44.98;99.60;99.60;0.09;6.852;6.824;0.02768;8.358;8.340;-15.578;0.50;-89.99;
2026-01-22 14:58:53.64;0.00:00:00:340;0.00;0.00;-1.00;6.852;0.005859;0.0009828;-6.825;4.76;-44.98;99.60;99.60;0.09;6.852;6.825;0.02737;8.358;8.341;-15.627;0.50;-89.99;
2026-01-22 14:58:53.70;0.00:00:00:401;0.00;0.00;-1.00;6.845;0.006965;0.003725;-6.818;14.07;-44.97;99.60;99.60;0.12;6.845;6.818;0.02766;8.354;8.336;-15.581;0.50;-89.97;
2026-01-22 14:58:53.75;0.00:00:00:449;0.00;0.00;-1.00;6.842;0.006234;0.001522;-6.815;6.86;-44.97;99.60;99.60;0.09;6.842;6.815;0.02758;8.352;8.334;-15.594;0.50;-89.99;
2026-01-22 14:58:53.79;0.00:00:00:494;0.00;0.00;-1.00;6.835;0.005461;0.000286;-6.808;1.50;-44.98;99.60;99.60;0.08;6.835;6.808;0.02736;8.348;8.330;-15.628;0.50;-90.00;
2026-01-22 14:58:53.84;0.00:00:00:540;0.00;0.00;-1.00;6.842;0.004434;-0.0005442;-6.815;-3.50;-44.98;99.60;99.60;0.07;6.842;6.815;0.02736;8.352;8.334;-15.629;0.50;-90.00;
2026-01-22 14:58:53.88;0.00:00:00:586;0.00;0.00;-1.00;6.847;0.006287;0.002749;-6.82;11.81;-44.97;99.60;99.60;0.10;6.847;6.82;0.02741;8.355;8.338;-15.621;0.50;-89.98;
2026-01-22 14:58:53.93;0.00:00:00:634;0.00;0.00;-1.00;6.843;0.00687;0.003167;-6.816;12.37;-44.97;99.60;99.60;0.11;6.843;6.816;0.02746;8.353;8.335;-15.613;0.50;-89.97;
2026-01-22 14:58:53.98;0.00:00:00:682;0.00;0.00;-1.00;6.844;0.005654;0.00165;-6.816;8.13;-44.98;99.60;99.60;0.09;6.844;6.816;0.0275;8.353;8.335;-15.607;0.50;-89.99;
2026-01-22 14:58:54.03;0.00:00:00:728;0.00;0.00;-1.00;6.843;0.006366;0.003485;-6.816;14.35;-44.97;99.60;99.60;0.11;6.843;6.816;0.02749;8.353;8.335;-15.609;0.50;-89.97;
2026-01-22 14:58:54.07;0.00:00:00:775;0.00;0.00;-1.00;6.84;0.006182;0.001701;-6.813;7.69;-44.97;99.60;99.60;0.09;6.84;6.813;0.02746;8.351;8.333;-15.613;0.50;-89.99;
2026-01-22 14:58:54.12;0.00:00:00:822;0.00;0.00;-1.00;6.845;0.006119;0.002564;-6.817;11.37;-44.97;99.60;99.60;0.10;6.845;6.817;0.02761;8.354;8.336;-15.589;0.50;-89.98;
2026-01-22 14:58:54.17;0.00:00:00:869;0.00;0.00;-1.00;6.842;0.006275;0.003529;-6.814;14.68;-44.97;99.60;99.60;0.11;6.842;6.814;0.02751;8.352;8.334;-15.605;0.50;-89.97;
2026-01-22 14:58:54.21;0.00:00:00:915;0.00;0.00;-1.00;6.836;0.006699;0.003087;-6.809;12.37;-44.97;99.60;99.60;0.11;6.836;6.809;0.02729;8.348;8.331;-15.640;0.50;-89.97;
2026-01-22 14:58:54.26;0.00:00:00:961;0.00;0.00;-1.00;6.835;0.004682;-0.0006069;-6.808;-3.69;-44.98;99.60;99.60;0.07;6.835;6.808;0.02704;8.347;8.330;-15.680;0.50;-90.01;
2026-01-22 14:58:54.31;0.00:00:01:008;0.00;0.00;-1.00;6.842;0.003689;0.000142;-6.815;1.10;-44.98;99.61;99.61;0.05;6.842;6.815;0.02645;8.352;8.335;-15.776;0.50;-90.00;
2026-01-22 14:58:54.35;0.00:00:01:053;0.00;0.00;-1.00;6.847;0.006558;0.002383;-6.82;9.98;-44.97;99.60;99.60;0.10;6.847;6.82;0.02732;8.355;8.338;-15.635;0.50;-89.98;
2026-01-22 14:58:54.40;0.00:00:01:101;0.00;0.00;-1.00;6.844;0.006335;0.002449;-6.816;10.57;-44.97;99.60;99.60;0.10;6.844;6.816;0.0273;8.353;8.336;-15.638;0.50;-89.98;
2026-01-22 14:58:54.45;0.00:00:01:147;0.00;0.00;-1.00;6.847;0.006337;0.00191;-6.819;8.39;-44.97;99.60;99.60;0.10;6.847;6.819;0.0276;8.355;8.337;-15.591;0.50;-89.98;
