Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:25:10.35;0.00:00:00:051;-1.00;0.00;0.00;6.857;-6.82;-0.001614;0.002351;-89.99;0.01;99.46;0.03;99.46;6.857;6.82;0.03721;8.362;8.338;-14.293;0.00;124.49;
2026-01-22 14:25:10.41;0.00:00:00:110;-1.00;0.00;0.00;6.882;-6.844;-0.00177;0.002457;-89.99;0.01;99.46;0.04;99.46;6.882;6.844;0.0375;8.377;8.353;-14.259;0.00;125.76;
2026-01-22 14:25:10.45;0.00:00:00:155;-1.00;0.00;0.00;6.882;-6.844;-0.0007573;0.002518;-90.00;0.01;99.45;0.04;99.45;6.882;6.844;0.03783;8.377;8.353;-14.222;0.00;106.72;
2026-01-22 14:25:10.51;0.00:00:00:209;-1.00;0.00;0.00;6.881;-6.844;-0.00214;0.002738;-89.99;0.01;99.46;0.04;99.46;6.881;6.844;0.03702;8.377;8.353;-14.315;0.00;128.01;
2026-01-22 14:25:10.56;0.00:00:00:259;-1.00;0.00;0.00;6.883;-6.845;-0.001223;0.002586;-89.99;0.01;99.45;0.04;99.45;6.883;6.845;0.03763;8.378;8.354;-14.245;0.00;115.32;
2026-01-22 14:25:10.61;0.00:00:00:310;-1.00;0.00;0.00;6.886;-6.848;-0.001155;0.002543;-90.00;0.01;99.45;0.04;99.45;6.886;6.848;0.03816;8.380;8.356;-14.184;0.00;114.42;
2026-01-22 14:25:10.66;0.00:00:00:360;-1.00;0.00;0.00;6.886;-6.848;-0.001182;0.002634;-90.00;0.01;99.45;0.04;99.45;6.886;6.848;0.03794;8.379;8.355;-14.210;0.00;114.16;
2026-01-22 14:25:10.71;0.00:00:00:411;-1.00;0.00;0.00;6.883;-6.846;-0.0007164;0.002381;-90.00;0.01;99.46;0.03;99.45;6.883;6.846;0.03751;8.378;8.354;-14.258;0.00;106.75;
2026-01-22 14:25:10.76;0.00:00:00:465;-1.00;0.00;0.00;6.88;-6.841;-0.0006613;0.00189;-90.00;0.01;99.43;0.03;99.43;6.88;6.841;0.039;8.376;8.351;-14.090;0.00;109.28;
2026-01-22 14:25:10.81;0.00:00:00:514;-1.00;0.00;0.00;6.867;-6.827;-0.0002093;0.00195;-90.00;0.01;99.43;0.03;99.43;6.867;6.827;0.03931;8.368;8.343;-14.055;0.00;96.12;
2026-01-22 14:25:10.86;0.00:00:00:565;-1.00;0.00;0.00;6.861;-6.823;-0.001233;0.002374;-89.99;0.01;99.45;0.03;99.45;6.861;6.823;0.03791;8.364;8.340;-14.213;0.00;117.43;
2026-01-22 14:25:10.92;0.00:00:00:627;-1.00;0.00;0.00;6.861;-6.823;-0.0004957;0.002764;-90.00;0.01;99.45;0.04;99.45;6.861;6.823;0.03789;8.364;8.340;-14.215;0.00;100.17;
2026-01-22 14:25:10.98;0.00:00:00:678;-1.00;0.00;0.00;6.855;-6.816;0.0003589;0.001705;90.00;0.01;99.43;0.02;99.43;6.855;6.816;0.03882;8.360;8.335;-14.110;0.00;78.10;
2026-01-22 14:25:11.03;0.00:00:00:728;-1.00;0.00;0.00;6.852;-6.814;-0.003003;0.002603;-89.99;0.01;99.45;0.04;99.45;6.852;6.814;0.03737;8.358;8.334;-14.274;0.00;139.08;
2026-01-22 14:25:11.08;0.00:00:00:779;-1.00;0.00;0.00;6.856;-6.819;-0.002718;0.002433;-89.99;0.01;99.45;0.04;99.45;6.856;6.819;0.03741;8.361;8.337;-14.270;0.00;138.17;
2026-01-22 14:25:11.13;0.00:00:00:830;-1.00;0.00;0.00;6.858;-6.821;-0.002146;0.002707;-89.99;0.01;99.47;0.04;99.47;6.858;6.821;0.0364;8.362;8.339;-14.389;0.00;128.42;
2026-01-22 14:25:11.18;0.00:00:00:882;-1.00;0.00;0.00;6.861;-6.824;-0.002338;0.002629;-89.99;0.01;99.45;0.04;99.45;6.861;6.824;0.03746;8.364;8.340;-14.264;0.00;131.66;
2026-01-22 14:25:11.23;0.00:00:00:936;-1.00;0.00;0.00;6.86;-6.823;0.0001682;0.002406;90.00;0.01;99.45;0.04;99.45;6.86;6.823;0.03746;8.363;8.339;-14.264;0.00;85.98;
2026-01-22 14:25:11.28;0.00:00:00:986;-1.00;0.00;0.00;6.857;-6.82;-0.001559;0.002544;-89.99;0.01;99.46;0.04;99.46;6.857;6.82;0.0369;8.361;8.338;-14.330;0.00;121.52;
2026-01-22 14:25:11.33;0.00:00:01:032;-1.00;0.00;0.00;6.857;-6.819;-0.001532;0.002051;-89.99;0.01;99.45;0.03;99.45;6.857;6.819;0.03796;8.361;8.337;-14.207;0.00;126.77;
2026-01-22 14:25:11.38;0.00:00:01:084;-1.00;0.00;0.00;6.861;-6.824;-0.002557;0.002649;-89.99;0.01;99.47;0.04;99.47;6.861;6.824;0.0366;8.364;8.340;-14.365;0.00;133.99;
2026-01-22 14:25:11.44;0.00:00:01:139;-1.00;0.00;0.00;6.865;-6.828;-0.002599;0.002731;-89.99;0.01;99.47;0.04;99.47;6.865;6.828;0.03641;8.366;8.343;-14.387;0.00;133.58;
2026-01-22 14:25:11.49;0.00:00:01:190;-1.00;0.00;0.00;6.869;-6.832;-0.001507;0.002131;-89.99;0.01;99.46;0.03;99.46;6.869;6.832;0.03703;8.369;8.345;-14.314;0.00;125.29;
2026-01-22 14:25:11.54;0.00:00:01:242;-1.00;0.00;0.00;6.864;-6.824;-3.176E-05;0.00225;-90.00;0.01;99.42;0.03;99.42;6.864;6.824;0.03999;8.366;8.340;-13.980;0.00;90.79;
2026-01-22 14:25:11.60;0.00:00:01:303;-1.00;0.00;0.00;6.858;-6.82;-0.001205;0.002368;-89.99;0.01;99.43;0.03;99.43;6.858;6.82;0.03894;8.362;8.338;-14.096;0.00;116.95;
2026-01-22 14:25:11.66;0.00:00:01:365;-1.00;0.00;0.00;6.849;-6.813;-0.001054;0.002346;-90.00;0.01;99.46;0.03;99.46;6.849;6.813;0.0367;8.356;8.333;-14.354;0.00;114.19;
2026-01-22 14:25:11.71;0.00:00:01:416;-1.00;0.00;0.00;6.848;-6.811;-0.001585;0.002558;-89.99;0.01;99.45;0.04;99.45;6.848;6.811;0.03743;8.356;8.332;-14.267;0.00;121.79;
2026-01-22 14:25:11.76;0.00:00:01:467;-1.00;0.00;0.00;6.851;-6.815;-0.002907;0.002973;-89.99;0.01;99.48;0.04;99.48;6.851;6.815;0.03592;8.357;8.334;-14.446;0.00;134.36;
2026-01-22 14:25:11.82;0.00:00:01:518;-1.00;0.00;0.00;6.858;-6.821;-0.002842;0.003153;-89.99;0.01;99.47;0.05;99.47;6.858;6.821;0.03645;8.362;8.339;-14.383;0.00;132.04;
2026-01-22 14:25:11.87;0.00:00:01:570;-1.00;0.00;0.00;6.863;-6.826;-0.002476;0.002779;-89.99;0.01;99.46;0.04;99.46;6.863;6.826;0.03687;8.365;8.342;-14.333;0.00;131.70;
2026-01-22 14:25:11.93;0.00:00:01:630;-1.00;0.00;0.00;6.86;-6.823;-0.00212;0.002447;-89.99;0.01;99.45;0.04;99.45;6.86;6.823;0.0374;8.363;8.340;-14.271;0.00;130.88;
2026-01-22 14:25:11.98;0.00:00:01:681;-1.00;0.00;0.00;6.864;-6.826;-0.002312;0.002769;-89.99;0.01;99.46;0.04;99.46;6.864;6.826;0.03714;8.365;8.342;-14.301;0.00;129.86;
2026-01-22 14:25:12.03;0.00:00:01:732;-1.00;0.00;0.00;6.869;-6.832;-0.001685;0.002302;-89.99;0.01;99.47;0.03;99.47;6.869;6.832;0.03656;8.369;8.346;-14.369;0.00;126.20;
2026-01-22 14:25:12.08;0.00:00:01:785;-1.00;0.00;0.00;6.869;-6.831;-0.0009472;0.002565;-90.00;0.01;99.45;0.04;99.45;6.869;6.831;0.03782;8.369;8.345;-14.223;0.00;110.28;
2026-01-22 14:25:12.13;0.00:00:01:836;-1.00;0.00;0.00;6.863;-6.825;-0.0007416;0.00262;-90.00;0.01;99.44;0.04;99.44;6.863;6.825;0.0381;8.365;8.341;-14.191;0.00;105.81;
2026-01-22 14:25:12.18;0.00:00:01:886;-1.00;0.00;0.00;6.859;-6.821;-0.001314;0.002221;-89.99;0.01;99.45;0.03;99.45;6.859;6.821;0.03778;8.362;8.339;-14.227;0.00;120.60;
2026-01-22 14:25:12.24;0.00:00:01:938;-1.00;0.00;0.00;6.845;-6.806;-9.973E-05;0.001832;-90.00;0.01;99.43;0.03;99.43;6.845;6.806;0.03878;8.354;8.329;-14.114;0.00;93.12;
2026-01-22 14:25:12.29;0.00:00:01:987;-1.00;0.00;0.00;6.84;-6.802;-0.0008071;0.002357;-90.00;0.01;99.45;0.03;99.45;6.84;6.802;0.03792;8.351;8.327;-14.211;0.00;108.92;
2026-01-22 14:25:12.34;0.00:00:02:039;-1.00;0.00;0.00;6.852;-6.817;-0.00359;0.002721;-89.98;0.01;99.49;0.04;99.49;6.852;6.817;0.03496;8.358;8.336;-14.565;0.00;142.85;
2026-01-22 14:25:12.39;0.00:00:02:090;-1.00;0.00;0.00;6.86;-6.823;-0.002829;0.002918;-89.99;0.01;99.47;0.04;99.47;6.86;6.823;0.03641;8.363;8.340;-14.388;0.00;134.12;
2026-01-22 14:25:12.44;0.00:00:02:141;-1.00;0.00;0.00;6.861;-6.823;-0.001779;0.002644;-89.99;0.01;99.45;0.04;99.45;6.861;6.823;0.03765;8.364;8.340;-14.242;0.00;123.93;
2026-01-22 14:25:12.50;0.00:00:02:198;-1.00;0.00;0.00;6.859;-6.821;-0.001041;0.002587;-90.00;0.01;99.44;0.04;99.44;6.859;6.821;0.03829;8.363;8.338;-14.169;0.00;111.92;
2026-01-22 14:25:12.55;0.00:00:02:248;-1.00;0.00;0.00;6.854;-6.815;-0.001054;0.002316;-90.00;0.01;99.44;0.03;99.44;6.854;6.815;0.03849;8.359;8.335;-14.147;0.00;114.48;
2026-01-22 14:25:12.60;0.00:00:02:299;-1.00;0.00;0.00;6.849;-6.812;-0.002252;0.002519;-89.99;0.01;99.46;0.04;99.46;6.849;6.812;0.03696;8.356;8.333;-14.322;0.00;131.82;
2026-01-22 14:25:12.65;0.00:00:02:349;-1.00;0.00;0.00;6.851;-6.814;-0.001981;0.002593;-89.99;0.01;99.47;0.04;99.47;6.851;6.814;0.03623;8.357;8.334;-14.409;0.00;127.36;
2026-01-22 14:25:12.70;0.00:00:02:402;-1.00;0.00;0.00;6.853;-6.816;-0.0007678;0.002625;-90.00;0.01;99.45;0.04;99.45;6.853;6.816;0.03741;8.359;8.335;-14.271;0.00;106.30;
2026-01-22 14:25:12.75;0.00:00:02:451;-1.00;0.00;0.00;6.847;-6.809;-0.0002632;0.001815;-90.00;0.01;99.44;0.03;99.44;6.847;6.809;0.03806;8.355;8.331;-14.196;0.00;98.24;
2026-01-22 14:25:12.80;0.00:00:02:502;-1.00;0.00;0.00;6.837;-6.8;-0.0008069;0.002566;-90.00;0.01;99.47;0.04;99.47;6.837;6.8;0.03628;8.348;8.325;-14.404;0.00;107.47;
2026-01-22 14:25:12.85;0.00:00:02:554;-1.00;0.00;0.00;6.838;-6.802;-0.001759;0.002274;-89.99;0.01;99.48;0.03;99.48;6.838;6.802;0.03549;8.349;8.327;-14.499;0.00;127.73;
2026-01-22 14:25:12.90;0.00:00:02:605;-1.00;0.00;0.00;6.836;-6.799;-0.001419;0.002487;-89.99;0.01;99.46;0.04;99.46;6.836;6.799;0.03685;8.348;8.324;-14.336;0.00;119.69;
2026-01-22 14:25:12.95;0.00:00:02:655;-1.00;0.00;0.00;6.837;-6.802;-0.002331;0.002603;-89.99;0.01;99.49;0.04;99.49;6.837;6.802;0.03502;8.349;8.326;-14.556;0.00;131.85;
2026-01-22 14:25:13.00;0.00:00:02:706;-1.00;0.00;0.00;6.848;-6.812;-0.002729;0.002717;-89.99;0.01;99.47;0.04;99.47;6.848;6.812;0.03611;8.356;8.333;-14.423;0.00;135.12;
2026-01-22 14:25:13.05;0.00:00:02:757;-1.00;0.00;0.00;6.849;-6.813;-0.001558;0.00222;-89.99;0.01;99.47;0.03;99.47;6.849;6.813;0.03645;8.356;8.333;-14.383;0.00;125.07;
2026-01-22 14:25:13.11;0.00:00:02:808;-1.00;0.00;0.00;6.858;-6.821;-0.003129;0.002787;-89.99;0.01;99.47;0.04;99.47;6.858;6.821;0.03634;8.362;8.339;-14.396;0.00;138.30;
2026-01-22 14:25:13.16;0.00:00:02:861;-1.00;0.00;0.00;6.861;-6.823;-0.0006867;0.002729;-90.00;0.01;99.45;0.04;99.45;6.861;6.823;0.03796;8.364;8.340;-14.207;0.00;104.12;
2026-01-22 14:25:13.21;0.00:00:02:911;-1.00;0.00;0.00;6.85;-6.812;-5.895E-05;0.002236;-90.00;0.01;99.44;0.03;99.44;6.85;6.812;0.03802;8.357;8.333;-14.200;0.00;91.49;
2026-01-22 14:25:13.26;0.00:00:02:963;-1.00;0.00;0.00;6.842;-6.803;3.166E-05;0.002013;90.00;0.01;99.43;0.03;99.43;6.842;6.803;0.03921;8.352;8.327;-14.066;0.00;89.12;
2026-01-22 14:25:13.31;0.00:00:03:012;-1.00;0.00;0.00;6.837;-6.801;-0.002398;0.002455;-89.99;0.01;99.47;0.04;99.47;6.837;6.801;0.03598;8.349;8.326;-14.440;0.00;134.33;
2026-01-22 14:25:13.36;0.00:00:03:063;-1.00;0.00;0.00;6.842;-6.806;-0.002169;0.002554;-89.99;0.01;99.47;0.04;99.47;6.842;6.806;0.03624;8.352;8.329;-14.408;0.00;130.35;
2026-01-22 14:25:13.41;0.00:00:03:114;-1.00;0.00;0.00;6.853;-6.816;-0.00209;0.002406;-89.99;0.01;99.46;0.04;99.46;6.853;6.816;0.03686;8.359;8.335;-14.334;0.00;130.97;
2026-01-22 14:25:13.46;0.00:00:03:167;-1.00;0.00;0.00;6.855;-6.817;-0.002104;0.002384;-89.99;0.01;99.45;0.03;99.45;6.855;6.817;0.03772;8.360;8.336;-14.234;0.00;131.43;
2026-01-22 14:25:13.52;0.00:00:03:218;-1.00;0.00;0.00;6.855;-6.817;-0.001995;0.002227;-89.99;0.01;99.45;0.03;99.45;6.855;6.817;0.03746;8.360;8.336;-14.265;0.00;131.87;
2026-01-22 14:25:13.57;0.00:00:03:268;-1.00;0.00;0.00;6.856;-6.819;-0.001996;0.002531;-89.99;0.01;99.46;0.04;99.46;6.856;6.819;0.03675;8.361;8.337;-14.347;0.00;128.26;
2026-01-22 14:25:13.62;0.00:00:03:319;-1.00;0.00;0.00;6.858;-6.821;-0.002174;0.002465;-89.99;0.01;99.46;0.04;99.46;6.858;6.821;0.03721;8.362;8.338;-14.293;0.00;131.41;
2026-01-22 14:25:13.67;0.00:00:03:370;-1.00;0.00;0.00;6.857;-6.82;-0.001778;0.002103;-89.99;0.01;99.46;0.03;99.46;6.857;6.82;0.03699;8.362;8.338;-14.319;0.00;130.22;
2026-01-22 14:25:13.72;0.00:00:03:421;-1.00;0.00;0.00;6.857;-6.82;-0.001655;0.002617;-89.99;0.01;99.46;0.04;99.46;6.857;6.82;0.03715;8.361;8.338;-14.300;0.00;122.30;
2026-01-22 14:25:13.77;0.00:00:03:474;-1.00;0.00;0.00;6.857;-6.819;-0.0016;0.002311;-89.99;0.01;99.45;0.03;99.45;6.857;6.819;0.03743;8.361;8.337;-14.268;0.00;124.70;
2026-01-22 14:25:13.82;0.00:00:03:524;-1.00;0.00;0.00;6.856;-6.818;-0.001204;0.002223;-89.99;0.01;99.46;0.03;99.46;6.856;6.818;0.0372;8.360;8.337;-14.294;0.00;118.44;
2026-01-22 14:25:13.87;0.00:00:03:575;-1.00;0.00;0.00;6.852;-6.816;-0.002022;0.002611;-89.99;0.01;99.47;0.04;99.47;6.852;6.816;0.03652;8.358;8.335;-14.375;0.00;127.76;
2026-01-22 14:25:13.92;0.00:00:03:625;-1.00;0.00;0.00;6.857;-6.82;-0.002542;0.002807;-89.99;0.01;99.47;0.04;99.47;6.857;6.82;0.03654;8.361;8.338;-14.372;0.00;132.15;
2026-01-22 14:25:13.97;0.00:00:03:676;-1.00;0.00;0.00;6.862;-6.825;-0.002475;0.002707;-89.99;0.01;99.47;0.04;99.47;6.862;6.825;0.03659;8.364;8.341;-14.366;0.00;132.44;
2026-01-22 14:25:14.03;0.00:00:03:728;-1.00;0.00;0.00;6.865;-6.827;-0.000496;0.002516;-90.00;0.01;99.45;0.04;99.45;6.865;6.827;0.03793;8.366;8.342;-14.210;0.00;101.16;
2026-01-22 14:25:14.08;0.00:00:03:779;-1.00;0.00;0.00;6.858;-6.821;-0.001355;0.002261;-89.99;0.01;99.46;0.03;99.46;6.858;6.821;0.0367;8.362;8.338;-14.353;0.00;120.94;
2026-01-22 14:25:14.13;0.00:00:03:831;-1.00;0.00;0.00;6.858;-6.82;-0.0008638;0.002426;-90.00;0.01;99.46;0.04;99.46;6.858;6.82;0.03725;8.362;8.338;-14.289;0.00;109.61;
2026-01-22 14:25:14.18;0.00:00:03:883;-1.00;0.00;0.00;6.86;-6.823;-0.003047;0.002771;-89.99;0.01;99.46;0.04;99.46;6.86;6.823;0.03676;8.363;8.340;-14.346;0.00;137.72;
2026-01-22 14:25:14.24;0.00:00:03:945;-1.00;0.00;0.00;6.867;-6.829;-0.002285;0.002344;-89.99;0.01;99.45;0.03;99.45;6.867;6.829;0.03761;8.368;8.344;-14.247;0.00;134.28;
2026-01-22 14:25:14.29;0.00:00:03:995;-1.00;0.00;0.00;6.872;-6.834;-0.002533;0.002561;-89.99;0.01;99.45;0.04;99.45;6.872;6.834;0.03774;8.371;8.347;-14.232;0.00;134.69;
2026-01-22 14:25:14.35;0.00:00:04:047;-1.00;0.00;0.00;6.871;-6.834;-0.0007288;0.002422;-90.00;0.01;99.45;0.04;99.45;6.871;6.834;0.03789;8.370;8.346;-14.215;0.00;106.73;
2026-01-22 14:25:14.39;0.00:00:04:097;-1.00;0.00;0.00;6.866;-6.829;-0.0005917;0.002105;-90.00;0.01;99.46;0.03;99.46;6.866;6.829;0.03716;8.367;8.343;-14.299;0.00;105.68;
2026-01-22 14:25:14.45;0.00:00:04:147;-1.00;0.00;0.00;6.869;-6.831;-0.001849;0.002263;-89.99;0.01;99.45;0.03;99.45;6.869;6.831;0.03751;8.369;8.345;-14.259;0.00;129.24;
2026-01-22 14:25:14.50;0.00:00:04:206;-1.00;0.00;0.00;6.869;-6.832;-0.001466;0.002468;-89.99;0.01;99.46;0.04;99.46;6.869;6.832;0.03696;8.369;8.345;-14.323;0.00;120.72;
2026-01-22 14:25:14.55;0.00:00:04:253;-1.00;0.00;0.00;6.864;-6.826;-0.0009328;0.002022;-90.00;0.01;99.44;0.03;99.44;6.864;6.826;0.03814;8.366;8.342;-14.186;0.00;114.76;
2026-01-22 14:25:14.60;0.00:00:04:298;-1.00;0.00;0.00;6.861;-6.823;-0.001519;0.002402;-89.99;0.01;99.45;0.04;99.45;6.861;6.823;0.03793;8.364;8.340;-14.211;0.00;122.31;
2026-01-22 14:25:14.64;0.00:00:04:345;-1.00;0.00;0.00;6.863;-6.826;-0.002121;0.002514;-89.99;0.01;99.47;0.04;99.47;6.863;6.826;0.03662;8.365;8.342;-14.362;0.00;130.13;
2026-01-22 14:25:14.69;0.00:00:04:393;-1.00;0.00;0.00;6.871;-6.834;-0.002246;0.002728;-89.99;0.01;99.46;0.04;99.46;6.871;6.834;0.037;8.370;8.347;-14.318;0.00;129.46;
2026-01-22 14:25:14.74;0.00:00:04:440;-1.00;0.00;0.00;6.871;-6.833;-0.001371;0.002452;-89.99;0.01;99.44;0.04;99.44;6.871;6.833;0.03846;8.370;8.346;-14.150;0.00;119.20;
2026-01-22 14:25:14.78;0.00:00:04:487;-1.00;0.00;0.00;6.866;-6.828;-0.001138;0.002027;-90.00;0.01;99.44;0.03;99.44;6.866;6.828;0.03822;8.367;8.343;-14.177;0.00;119.31;
2026-01-22 14:25:14.83;0.00:00:04:534;-1.00;0.00;0.00;6.867;-6.831;-0.001657;0.002328;-89.99;0.01;99.47;0.03;99.47;6.867;6.831;0.03622;8.368;8.345;-14.410;0.00;125.45;
2026-01-22 14:25:14.88;0.00:00:04:581;-1.00;0.00;0.00;6.867;-6.83;-0.002409;0.00244;-89.99;0.01;99.46;0.04;99.46;6.867;6.83;0.03737;8.368;8.344;-14.275;0.00;134.63;
2026-01-22 14:25:14.93;0.00:00:04:628;-1.00;0.00;0.00;6.862;-6.824;0.0004548;0.00186;90.00;0.01;99.45;0.03;99.45;6.862;6.824;0.03801;8.364;8.340;-14.201;0.00;76.27;
2026-01-22 14:25:14.97;0.00:00:04:674;-1.00;0.00;0.00;6.854;-6.815;-0.001054;0.002142;-90.00;0.01;99.44;0.03;99.44;6.854;6.815;0.03829;8.359;8.335;-14.170;0.00;116.21;
2026-01-22 14:25:15.02;0.00:00:04:721;-1.00;0.00;0.00;6.858;-6.821;-0.001437;0.002465;-89.99;0.01;99.46;0.04;99.46;6.858;6.821;0.03699;8.362;8.338;-14.319;0.00;120.24;
2026-01-22 14:25:15.08;0.00:00:04:783;-1.00;0.00;0.00;6.856;-6.819;-0.001614;0.002092;-89.99;0.01;99.45;0.03;99.45;6.856;6.819;0.03743;8.361;8.337;-14.268;0.00;127.66;
2026-01-22 14:25:15.13;0.00:00:04:829;-1.00;0.00;0.00;6.859;-6.822;-0.002733;0.002321;-89.99;0.01;99.47;0.03;99.47;6.859;6.822;0.03656;8.362;8.339;-14.370;0.00;139.65;
2026-01-22 14:25:15.17;0.00:00:04:876;-1.00;0.00;0.00;6.862;-6.824;-0.00182;0.002148;-89.99;0.01;99.44;0.03;99.44;6.862;6.824;0.03851;8.365;8.340;-14.144;0.00;130.26;
2026-01-22 14:25:15.22;0.00:00:04:923;-1.00;0.00;0.00;6.87;-6.833;-0.002506;0.002832;-89.99;0.01;99.47;0.04;99.47;6.87;6.833;0.03651;8.370;8.346;-14.376;0.00;131.50;
