LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jan-2026 15:18:16,0                 
Time,Ampl
-0.0522001479,0.0008
-0.0521999479,0
-0.0521997479,-0.0012
-0.0521995479,0.0052
-0.0521993479,0.0052
-0.0521991479,0.0024
-0.0521989479,0
-0.0521987479,0.0024
-0.0521985479,0
-0.0521983479,-0.0004
-0.0521981479,0.0032
-0.0521979479,-0.0032
-0.0521977479,0
-0.0521975479,-0.0004
-0.0521973479,-0.0024
-0.0521971479,-0.0028
-0.0521969479,0.0024
-0.0521967479,0.0024
-0.0521965479,0.0004
-0.0521963479,0.0008
-0.0521961479,0.002
-0.0521959479,0.002
-0.0521957479,0.002
-0.0521955479,0.0032
-0.0521953479,0.0008
-0.0521951479,0.0008
-0.0521949479,0.0036
-0.0521947479,0.0016
-0.0521945479,-0.0024
-0.0521943479,0.0004
-0.0521941479,-0.0012
-0.0521939479,0.0012
-0.0521937479,-0.0048
-0.0521935479,-0.0052
-0.0521933479,-0.0048
-0.0521931479,-0.0048
-0.0521929479,-0.0048
-0.0521927479,-0.0028
-0.0521925479,-0.0012
-0.0521923479,-0.0056
-0.0521921479,-0.002
-0.0521919479,-0.0032
-0.0521917479,0.0004
-0.0521915479,-0.0004
-0.0521913479,-0.0012
-0.0521911479,-0.0036
-0.0521909479,0
-0.0521907479,-0.0044
-0.0521905479,-0.0012
-0.0521903479,0.0008
-0.0521901479,0.002
-0.0521899479,0
-0.0521897479,-0.0016
-0.0521895479,-0.0016
-0.0521893479,0
-0.0521891479,-0.0016
-0.0521889479,-0.004
-0.0521887479,-0.0028
-0.0521885479,0.0016
-0.0521883479,-0.0024
-0.0521881479,0.0004
-0.0521879479,0.0008
-0.0521877479,-0.0012
-0.0521875479,0.0024
-0.0521873479,-0.002
-0.0521871479,-0.0008
-0.0521869479,-0.0008
-0.0521867479,-0.0016
-0.0521865479,0
-0.0521863479,0.0008
-0.0521861479,0.0028
-0.0521859479,0.002
-0.0521857479,0.0008
-0.0521855479,0.0008
-0.0521853479,0.0036
-0.0521851479,0.0024
-0.0521849479,0.0028
