LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jan-2026 15:16:41,0                 
Time,Ampl
-0.0522001697,0
-0.0521999697,0.0032
-0.0521997697,0.0028
-0.0521995697,0.0036
-0.0521993697,0.0016
-0.0521991697,-0.0012
-0.0521989697,0.0032
-0.0521987697,-0.0004
-0.0521985697,-0.0004
-0.0521983697,0
-0.0521981697,-0.0008
-0.0521979697,0.0016
-0.0521977697,0.0024
-0.0521975697,0.0044
-0.0521973697,0.0016
-0.0521971697,0.0044
-0.0521969697,0.0048
-0.0521967697,0.0032
-0.0521965697,0.0032
-0.0521963697,0.0048
-0.0521961697,0.0032
-0.0521959697,-0.0012
-0.0521957697,0.0048
-0.0521955697,0.0052
-0.0521953697,0.0064
-0.0521951697,0.006
-0.0521949697,0.0044
-0.0521947697,0.0036
-0.0521945697,0.0052
-0.0521943697,0.0012
-0.0521941697,0.0012
-0.0521939697,0.004
-0.0521937697,0.0016
-0.0521935697,0.0032
-0.0521933697,0.0032
-0.0521931697,0.0024
-0.0521929697,0.0012
-0.0521927697,0.0004
-0.0521925697,0.0012
-0.0521923697,0.0012
-0.0521921697,-0.004
-0.0521919697,0.0036
-0.0521917697,-0.002
-0.0521915697,-0.0016
-0.0521913697,0.0032
-0.0521911697,0.0004
-0.0521909697,0.0024
-0.0521907697,0.0016
-0.0521905697,-0.0012
-0.0521903697,0.004
-0.0521901697,0.0024
-0.0521899697,0.006
-0.0521897697,0.0032
-0.0521895697,0.0008
-0.0521893697,0.0016
-0.0521891697,0.0044
-0.0521889697,0.0044
-0.0521887697,0.0032
-0.0521885697,0.0032
-0.0521883697,0.0028
-0.0521881697,0.0032
-0.0521879697,-0.0004
-0.0521877697,0.0012
-0.0521875697,0.002
-0.0521873697,0
-0.0521871697,-0.0016
-0.0521869697,0.0012
-0.0521867697,-0.0016
-0.0521865697,0.0016
-0.0521863697,0.0056
-0.0521861697,0.0028
-0.0521859697,0.0048
-0.0521857697,0.004
-0.0521855697,0.004
-0.0521853697,0.0064
-0.0521851697,0.0024
-0.0521849697,0.0052
-0.0521847697,-0.0028
-0.0521845697,0.006
-0.0521843697,0.0028
-0.0521841697,0.004
-0.0521839697,0.0032
-0.0521837697,0.0048
-0.0521835697,0.0028
-0.0521833697,0.0032
-0.0521831697,-0.0004
-0.0521829697,0
-0.0521827697,0.004
-0.0521825697,0.004
-0.0521823697,0
-0.0521821697,0.0012
-0.0521819697,0.0012
-0.0521817697,0.0024
-0.0521815697,0
-0.0521813697,0.0044
-0.0521811697,0.0056
-0.0521809697,0.0008
-0.0521807697,0.0024
-0.0521805697,0.0004
-0.0521803697,0.0048
-0.0521801697,0.0012
-0.0521799697,0.0016
-0.0521797697,0.0024
-0.0521795697,0.004
-0.0521793697,0.004
-0.0521791697,0.0032
-0.0521789697,0.004
-0.0521787697,0.004
-0.0521785697,0.0044
-0.0521783697,0.006
-0.0521781697,0.0012
-0.0521779697,0.0028
-0.0521777697,0.0016
-0.0521775697,-0.0004
-0.0521773697,-0.0024
-0.0521771697,-0.0016
-0.0521769697,0
-0.0521767697,0.0016
-0.0521765697,0.002
-0.0521763697,0.0032
-0.0521761697,0.004
-0.0521759697,0.0004
-0.0521757697,0.0016
-0.0521755697,0.0012
-0.0521753697,0.0032
-0.0521751697,0.0004
-0.0521749697,0.0024
-0.0521747697,0.006
-0.0521745697,0.0036
-0.0521743697,0.004
-0.0521741697,0.0028
-0.0521739697,0.004
-0.0521737697,0.0036
-0.0521735697,0.0072
-0.0521733697,0.0016
-0.0521731697,0.0036
-0.0521729697,0.0072
-0.0521727697,0.0036
-0.0521725697,0.0056
-0.0521723697,0.0032
-0.0521721697,0.0028
-0.0521719697,-0.0004
-0.0521717697,0
-0.0521715697,-0.0008
-0.0521713697,-0.0024
-0.0521711697,0.0024
-0.0521709697,0.0004
-0.0521707697,0.0028
-0.0521705697,0.0024
-0.0521703697,0.0044
-0.0521701697,0.0048
-0.0521699697,0.004
-0.0521697697,0.0044
-0.0521695697,0.006
-0.0521693697,0.0032
-0.0521691697,0.004
-0.0521689697,0.0028
-0.0521687697,0.0012
-0.0521685697,0.0004
-0.0521683697,-0.0004
-0.0521681697,0.006
-0.0521679697,0.0024
-0.0521677697,0.004
-0.0521675697,0.0036
-0.0521673697,0.004
-0.0521671697,0.0052
-0.0521669697,0.002
-0.0521667697,0.0052
-0.0521665697,0.0028
-0.0521663697,0.0036
-0.0521661697,0.0028
-0.0521659697,0
-0.0521657697,0.002
-0.0521655697,0.0052
-0.0521653697,-0.002
-0.0521651697,0.0024
-0.0521649697,-0.002
-0.0521647697,-0.0012
-0.0521645697,-0.0036
-0.0521643697,0.0024
-0.0521641697,0.0008
-0.0521639697,0.0016
-0.0521637697,0.0012
-0.0521635697,0.0032
-0.0521633697,0.0028
-0.0521631697,0.0036
-0.0521629697,-0.0012
-0.0521627697,0.0032
-0.0521625697,0.0016
-0.0521623697,0.0048
-0.0521621697,0.0064
-0.0521619697,0.0068
-0.0521617697,0.0056
-0.0521615697,0.0036
-0.0521613697,0.0016
-0.0521611697,0.0024
-0.0521609697,0.0024
-0.0521607697,0.0024
-0.0521605697,0.0016
-0.0521603697,0.0008
-0.0521601697,-0.0012
-0.0521599697,0.002
-0.0521597697,-0.0056
-0.0521595697,-0.0024
-0.0521593697,0.0004
-0.0521591697,-0.0008
-0.0521589697,-0.0008
-0.0521587697,0.0024
-0.0521585697,-0.0004
-0.0521583697,0.0008
-0.0521581697,0.0036
-0.0521579697,-0.0004
-0.0521577697,-0.0012
-0.0521575697,0.0028
-0.0521573697,-0.0016
-0.0521571697,0.0012
-0.0521569697,0.002
-0.0521567697,-0.0028
-0.0521565697,-0.0012
-0.0521563697,0.0004
-0.0521561697,-0.0016
-0.0521559697,0.0028
-0.0521557697,0.0036
-0.0521555697,-0.0012
-0.0521553697,0.0024
-0.0521551697,0.0012
-0.0521549697,0.0052
-0.0521547697,0.0036
-0.0521545697,0.0008
-0.0521543697,0.0068
-0.0521541697,0.0004
-0.0521539697,0.0056
-0.0521537697,0.0064
-0.0521535697,0.0076
-0.0521533697,0.0072
-0.0521531697,0.0032
-0.0521529697,0.0064
-0.0521527697,0.006
-0.0521525697,-0.0004
-0.0521523697,0.0036
-0.0521521697,-0.0012
-0.0521519697,0
-0.0521517697,0.0024
-0.0521515697,0.0016
-0.0521513697,0.0016
-0.0521511697,0.0024
-0.0521509697,0.0028
-0.0521507697,0.0028
-0.0521505697,0.0008
-0.0521503697,0.0076
-0.0521501697,0.0044
-0.0521499697,0.0052
-0.0521497697,0.0016
-0.0521495697,0.0036
-0.0521493697,0.004
-0.0521491697,0.0004
-0.0521489697,0.002
-0.0521487697,-0.0008
-0.0521485697,-0.0012
-0.0521483697,0.0024
-0.0521481697,-0.0024
-0.0521479697,-0.0008
-0.0521477697,0.0016
-0.0521475697,-0.0028
-0.0521473697,0.0004
-0.0521471697,-0.0016
-0.0521469697,0.0024
-0.0521467697,0
-0.0521465697,0.0036
-0.0521463697,0.0016
-0.0521461697,0.0024
-0.0521459697,-0.002
-0.0521457697,0.0016
-0.0521455697,-0.0016
-0.0521453697,0.0016
-0.0521451697,0.0028
-0.0521449697,0.0016
-0.0521447697,0.0048
-0.0521445697,0.0016
-0.0521443697,0.004
-0.0521441697,0.0032
-0.0521439697,0.0036
-0.0521437697,0.0048
-0.0521435697,0.0048
-0.0521433697,0.004
-0.0521431697,0.004
