LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jan-2026 15:14:34,0                 
Time,Ampl
-0.0522000578,0.004
-0.0521998578,-0.002
-0.0521996578,0
-0.0521994578,0.001
-0.0521992578,0.005
-0.0521990578,0.001
-0.0521988578,0
-0.0521986578,0
-0.0521984578,0.003
-0.0521982578,-0.003
-0.0521980578,0.006
-0.0521978578,0.005
-0.0521976578,0
-0.0521974578,0.003
-0.0521972578,-0.005
-0.0521970578,0.003
-0.0521968578,-0.002
-0.0521966578,-0.006
-0.0521964578,-0.002
-0.0521962578,-0.002
-0.0521960578,-0.002
-0.0521958578,-0.002
-0.0521956578,-0.005
-0.0521954578,-0.004
-0.0521952578,0
-0.0521950578,-0.001
-0.0521948578,0.002
-0.0521946578,-0.002
-0.0521944578,-0.005
-0.0521942578,0.001
-0.0521940578,-0.002
-0.0521938578,-0.002
-0.0521936578,-0.003
-0.0521934578,0
-0.0521932578,0.001
-0.0521930578,-0.005
-0.0521928578,-0.003
-0.0521926578,-0.005
-0.0521924578,-0.001
-0.0521922578,0.003
-0.0521920578,-0.002
-0.0521918578,-0.005
-0.0521916578,-0.002
-0.0521914578,0.001
-0.0521912578,0.009
-0.0521910578,0.002
-0.0521908578,0.002
-0.0521906578,0.005
-0.0521904578,0.001
-0.0521902578,-0.002
-0.0521900578,0
-0.0521898578,-0.001
-0.0521896578,0
-0.0521894578,0.006
-0.0521892578,-0.001
-0.0521890578,0.001
-0.0521888578,0.001
-0.0521886578,0.003
-0.0521884578,0.001
-0.0521882578,-0.003
-0.0521880578,0.002
-0.0521878578,0.001
-0.0521876578,0.001
-0.0521874578,0.003
-0.0521872578,0.005
-0.0521870578,-0.004
-0.0521868578,0.005
-0.0521866578,0.002
-0.0521864578,0
-0.0521862578,-0.003
-0.0521860578,-0.001
-0.0521858578,-0.007
-0.0521856578,-0.003
-0.0521854578,-0.006
-0.0521852578,-0.002
-0.0521850578,-0.001
-0.0521848578,-0.001
-0.0521846578,-0.001
-0.0521844578,-0.004
-0.0521842578,-0.006
-0.0521840578,-0.001
-0.0521838578,0
-0.0521836578,0
-0.0521834578,0
-0.0521832578,0
-0.0521830578,0.002
-0.0521828578,0.001
-0.0521826578,0.002
-0.0521824578,0
-0.0521822578,0.004
-0.0521820578,0
-0.0521818578,0.006
-0.0521816578,0
-0.0521814578,-0.001
-0.0521812578,0.001
-0.0521810578,0.006
-0.0521808578,0.002
-0.0521806578,0.002
-0.0521804578,0.001
-0.0521802578,0.003
-0.0521800578,0.004
-0.0521798578,0.002
-0.0521796578,0.001
-0.0521794578,0
-0.0521792578,0.002
-0.0521790578,0.002
-0.0521788578,0
-0.0521786578,0.002
-0.0521784578,0.003
-0.0521782578,-0.003
-0.0521780578,0
-0.0521778578,0
-0.0521776578,-0.001
-0.0521774578,0.001
-0.0521772578,-0.004
-0.0521770578,-0.001
-0.0521768578,-0.001
-0.0521766578,-0.001
-0.0521764578,0.002
-0.0521762578,0
-0.0521760578,-0.002
-0.0521758578,0
-0.0521756578,-0.006
-0.0521754578,0.002
-0.0521752578,0.001
-0.0521750578,0.005
-0.0521748578,-0.002
-0.0521746578,0.003
-0.0521744578,0.001
-0.0521742578,0.001
-0.0521740578,0.001
-0.0521738578,0
-0.0521736578,-0.004
-0.0521734578,-0.003
-0.0521732578,-0.001
-0.0521730578,-0.002
-0.0521728578,0
-0.0521726578,-0.002
-0.0521724578,0
-0.0521722578,-0.002
-0.0521720578,0.008
-0.0521718578,0
-0.0521716578,0.001
-0.0521714578,-0.003
-0.0521712578,-0.002
-0.0521710578,-0.002
-0.0521708578,0.001
-0.0521706578,0.003
-0.0521704578,0.005
-0.0521702578,0.005
-0.0521700578,0.006
-0.0521698578,0.001
-0.0521696578,-0.002
-0.0521694578,0.005
-0.0521692578,0.001
-0.0521690578,-0.001
-0.0521688578,-0.001
-0.0521686578,0.002
-0.0521684578,0.002
-0.0521682578,0.001
-0.0521680578,-0.002
-0.0521678578,0.004
-0.0521676578,0.001
-0.0521674578,0.001
-0.0521672578,0.004
-0.0521670578,0.001
-0.0521668578,0.003
-0.0521666578,-0.001
-0.0521664578,0.002
-0.0521662578,0.002
-0.0521660578,0
-0.0521658578,-0.005
-0.0521656578,-0.001
-0.0521654578,0.001
-0.0521652578,-0.004
-0.0521650578,-0.004
-0.0521648578,0
-0.0521646578,-0.002
-0.0521644578,-0.002
-0.0521642578,0.001
-0.0521640578,-0.003
-0.0521638578,-0.003
-0.0521636578,0.003
-0.0521634578,0.002
-0.0521632578,-0.007
-0.0521630578,-0.002
-0.0521628578,0
-0.0521626578,-0.002
-0.0521624578,0.001
-0.0521622578,0
-0.0521620578,0
-0.0521618578,0.01
-0.0521616578,0.004
-0.0521614578,-0.001
-0.0521612578,0.001
-0.0521610578,-0.001
-0.0521608578,0.001
-0.0521606578,-0.002
-0.0521604578,0
-0.0521602578,-0.001
-0.0521600578,0.002
-0.0521598578,0.003
-0.0521596578,-0.001
-0.0521594578,0.002
-0.0521592578,0
-0.0521590578,0.001
-0.0521588578,-0.002
-0.0521586578,0
-0.0521584578,-0.004
-0.0521582578,-0.002
-0.0521580578,-0.004
-0.0521578578,0.004
-0.0521576578,0.002
