LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jan-2026 15:20:09,0                 
Time,Ampl
-0.052200102,-0.0008
-0.052199902,0.0028
-0.052199702,0
-0.052199502,0.0008
-0.052199302,0.0016
-0.052199102,-0.0004
-0.052198902,-0.0044
-0.052198702,0.0004
-0.052198502,0.0028
-0.052198302,-0.0016
-0.052198102,0.0032
-0.052197902,-0.002
-0.052197702,0.0004
-0.052197502,-0.0016
-0.052197302,-0.0004
-0.052197102,0.004
-0.052196902,-0.002
-0.052196702,0
-0.052196502,0.0028
-0.052196302,-0.0012
-0.052196102,0.0028
-0.052195902,-0.0032
-0.052195702,0.0004
-0.052195502,-0.0016
-0.052195302,-0.002
-0.052195102,-0.002
-0.052194902,-0.0008
-0.052194702,-0.0048
-0.052194502,-0.0008
-0.052194302,-0.0052
-0.052194102,-0.0004
-0.052193902,0.0004
-0.052193702,-0.0012
-0.052193502,-0.0028
-0.052193302,0
-0.052193102,0.0044
-0.052192902,0.0016
-0.052192702,0.002
-0.052192502,0.0024
-0.052192302,0.002
-0.052192102,0.0052
-0.052191902,0.0024
-0.052191702,0.0036
-0.052191502,0.0028
-0.052191302,0.004
-0.052191102,0.0052
-0.052190902,0.0024
-0.052190702,0.0016
-0.052190502,0
-0.052190302,0.0032
-0.052190102,-0.0004
-0.052189902,0
-0.052189702,-0.0004
-0.052189502,-0.002
-0.052189302,0.0008
-0.052189102,-0.002
-0.052188902,-0.0004
-0.052188702,-0.0008
-0.052188502,0.0012
-0.052188302,-0.0016
-0.052188102,0.0008
-0.052187902,0.0008
-0.052187702,0
-0.052187502,0.0012
-0.052187302,0.0028
-0.052187102,0.0008
-0.052186902,0.0032
-0.052186702,0.0016
-0.052186502,0.0008
-0.052186302,0.0012
-0.052186102,-0.002
-0.052185902,-0.0004
-0.052185702,0.0012
-0.052185502,0.0004
-0.052185302,-0.0004
-0.052185102,0.002
-0.052184902,0.0048
-0.052184702,0.0012
-0.052184502,0.004
-0.052184302,0.0032
-0.052184102,0.006
-0.052183902,0.0048
-0.052183702,0.0024
-0.052183502,0.0036
-0.052183302,0.0028
-0.052183102,0.0056
-0.052182902,0.0032
-0.052182702,0.0032
-0.052182502,0.0008
-0.052182302,0.0008
-0.052182102,0
-0.052181902,-0.0004
-0.052181702,-0.0008
-0.052181502,-0.0004
-0.052181302,0.0032
-0.052181102,0.0004
-0.052180902,-0.0012
-0.052180702,0.0004
-0.052180502,-0.0012
-0.052180302,0.002
-0.052180102,0.0024
-0.052179902,0.0028
-0.052179702,0.0024
-0.052179502,0.0052
-0.052179302,0.0036
-0.052179102,0.0024
-0.052178902,0.0052
-0.052178702,-0.0004
-0.052178502,0.0032
-0.052178302,0.0064
-0.052178102,0.002
-0.052177902,0.0024
-0.052177702,0.0068
-0.052177502,0.0084
-0.052177302,0.004
-0.052177102,0.0044
-0.052176902,0.0032
-0.052176702,-0.0028
-0.052176502,0.0032
-0.052176302,-0.0008
-0.052176102,0.0044
-0.052175902,-0.0008
-0.052175702,0.0032
-0.052175502,0.0024
-0.052175302,0.0024
-0.052175102,0.0032
-0.052174902,-0.0004
-0.052174702,-0.0024
-0.052174502,-0.0012
-0.052174302,0.0004
-0.052174102,-0.0012
-0.052173902,0.0004
-0.052173702,-0.0012
-0.052173502,0.0016
-0.052173302,-0.0016
-0.052173102,0.0036
-0.052172902,0.0036
-0.052172702,0.002
-0.052172502,0.0028
-0.052172302,-0.0008
-0.052172102,0.0024
-0.052171902,-0.0008
-0.052171702,0.0016
-0.052171502,0.0024
-0.052171302,-0.0012
-0.052171102,-0.0012
-0.052170902,-0.0004
-0.052170702,0.0004
-0.052170502,0.0052
-0.052170302,0
-0.052170102,0.0016
-0.052169902,0.0032
-0.052169702,-0.0016
-0.052169502,-0.0016
-0.052169302,-0.0024
-0.052169102,-0.0036
-0.052168902,0.0016
-0.052168702,-0.0012
-0.052168502,0.0024
-0.052168302,0
-0.052168102,0.0004
-0.052167902,0.002
-0.052167702,-0.0016
-0.052167502,0.0004
-0.052167302,0.0052
-0.052167102,0.0044
-0.052166902,0.0008
-0.052166702,0.004
-0.052166502,0.004
-0.052166302,0.0068
-0.052166102,0.0044
-0.052165902,0.0064
-0.052165702,0.006
-0.052165502,0.0032
-0.052165302,0.0048
-0.052165102,0.0024
-0.052164902,-0.0008
-0.052164702,0.0036
-0.052164502,0.0032
-0.052164302,-0.0004
-0.052164102,0.0004
-0.052163902,0.002
-0.052163702,-0.0024
-0.052163502,0.0048
-0.052163302,0.0008
-0.052163102,0.0016
-0.052162902,0.0036
-0.052162702,0.0004
-0.052162502,0.0024
-0.052162302,0.0008
-0.052162102,0.0028
-0.052161902,0
-0.052161702,0.004
-0.052161502,0.004
-0.052161302,0.004
-0.052161102,0.0024
-0.052160902,0.0056
-0.052160702,0.0032
-0.052160502,0.0044
-0.052160302,0.0028
-0.052160102,0.0036
-0.052159902,0.0012
-0.052159702,0.0032
-0.052159502,0.0032
-0.052159302,0
-0.052159102,0.0052
-0.052158902,0.0032
-0.052158702,0.0032
-0.052158502,0.0056
-0.052158302,0.004
-0.052158102,0.0028
-0.052157902,0.0048
-0.052157702,0.0052
-0.052157502,0.0028
-0.052157302,0.006
-0.052157102,0
-0.052156902,0.0028
-0.052156702,0.0016
-0.052156502,-0.0008
-0.052156302,0.002
-0.052156102,-0.0016
-0.052155902,0.0004
-0.052155702,0.0036
-0.052155502,0.0012
-0.052155302,0.004
-0.052155102,0.0032
-0.052154902,0.002
-0.052154702,0.0024
-0.052154502,0.0032
-0.052154302,-0.0004
-0.052154102,0.0024
-0.052153902,0.0008
-0.052153702,0.002
-0.052153502,0.0044
-0.052153302,0.0036
-0.052153102,0.0052
-0.052152902,0.006
-0.052152702,0.0032
-0.052152502,0.0016
-0.052152302,0.0016
-0.052152102,0.0032
-0.052151902,0.0016
-0.052151702,0.0024
-0.052151502,0.0016
-0.052151302,0.0052
-0.052151102,0.0064
-0.052150902,0.0068
-0.052150702,0.006
-0.052150502,0.006
-0.052150302,0.0048
-0.052150102,0.0032
-0.052149902,0.0052
-0.052149702,0.0028
-0.052149502,0.0052
-0.052149302,0.0012
-0.052149102,0.0008
-0.052148902,0.0008
-0.052148702,0
