LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jan-2026 15:19:14,0                 
Time,Ampl
-0.0522001848,0
-0.0521999848,0.0036
-0.0521997848,0.0012
-0.0521995848,0.0016
-0.0521993848,0.002
-0.0521991848,0.0036
-0.0521989848,0.0012
-0.0521987848,0.0024
-0.0521985848,0.002
-0.0521983848,0.0016
-0.0521981848,-0.0004
-0.0521979848,-0.0012
-0.0521977848,-0.0012
-0.0521975848,0.0024
-0.0521973848,-0.0024
-0.0521971848,0.0016
-0.0521969848,-0.0036
-0.0521967848,-0.0016
-0.0521965848,-0.004
-0.0521963848,-0.002
-0.0521961848,0.0008
-0.0521959848,-0.0008
-0.0521957848,-0.0004
-0.0521955848,0.0004
-0.0521953848,0.004
-0.0521951848,-0.0016
-0.0521949848,-0.0016
-0.0521947848,0
-0.0521945848,-0.0004
-0.0521943848,0.0036
-0.0521941848,0.0012
-0.0521939848,0.0028
-0.0521937848,0.004
-0.0521935848,0.0024
-0.0521933848,0.0036
-0.0521931848,0.0004
-0.0521929848,0.0068
-0.0521927848,-0.0024
-0.0521925848,0.0004
-0.0521923848,0.0008
-0.0521921848,-0.0008
-0.0521919848,0.0012
-0.0521917848,-0.004
-0.0521915848,-0.0016
-0.0521913848,-0.0008
-0.0521911848,0
-0.0521909848,0.0016
-0.0521907848,0
-0.0521905848,-0.0004
-0.0521903848,0.0016
-0.0521901848,-0.0004
-0.0521899848,-0.0044
-0.0521897848,0.0004
-0.0521895848,-0.006
-0.0521893848,-0.0024
-0.0521891848,-0.0028
-0.0521889848,-0.0008
-0.0521887848,-0.0004
-0.0521885848,-0.004
-0.0521883848,-0.0028
-0.0521881848,-0.0032
-0.0521879848,-0.0024
-0.0521877848,-0.0016
-0.0521875848,-0.0012
-0.0521873848,0.0024
-0.0521871848,0.002
-0.0521869848,0.002
-0.0521867848,0.0048
-0.0521865848,0.0032
-0.0521863848,0.004
-0.0521861848,0.004
-0.0521859848,0.0028
-0.0521857848,0.0036
-0.0521855848,-0.0016
-0.0521853848,0.0008
-0.0521851848,-0.0016
-0.0521849848,-0.002
-0.0521847848,0.0012
-0.0521845848,0.0012
-0.0521843848,0.0032
-0.0521841848,0.0012
-0.0521839848,-0.0032
-0.0521837848,-0.0008
-0.0521835848,-0.0032
-0.0521833848,0.0008
-0.0521831848,0.0004
-0.0521829848,0.0028
-0.0521827848,-0.0016
-0.0521825848,-0.0012
-0.0521823848,-0.0016
-0.0521821848,0
-0.0521819848,-0.0044
-0.0521817848,-0.0032
-0.0521815848,-0.0012
-0.0521813848,-0.0024
-0.0521811848,-0.0004
-0.0521809848,0.0036
-0.0521807848,0.0028
-0.0521805848,0.0052
-0.0521803848,-0.0012
-0.0521801848,0.002
-0.0521799848,-0.0012
-0.0521797848,0.0004
-0.0521795848,0.0004
-0.0521793848,-0.0008
-0.0521791848,0.0012
-0.0521789848,-0.0012
-0.0521787848,0.0028
-0.0521785848,0
-0.0521783848,0.0008
-0.0521781848,0.0032
-0.0521779848,-0.002
-0.0521777848,-0.0024
-0.0521775848,-0.002
-0.0521773848,-0.0004
-0.0521771848,-0.0008
-0.0521769848,-0.0008
-0.0521767848,-0.004
-0.0521765848,-0.0016
-0.0521763848,0.0004
-0.0521761848,-0.0012
-0.0521759848,-0.0004
-0.0521757848,-0.0024
-0.0521755848,0.0024
-0.0521753848,0.0016
-0.0521751848,0.0032
-0.0521749848,0.0016
-0.0521747848,-0.0028
-0.0521745848,0.002
-0.0521743848,0.0048
-0.0521741848,0
-0.0521739848,-0.0004
-0.0521737848,-0.002
-0.0521735848,-0.0012
-0.0521733848,0.0012
-0.0521731848,0.0024
-0.0521729848,-0.0016
-0.0521727848,-0.0008
-0.0521725848,0.0052
-0.0521723848,-0.0008
-0.0521721848,-0.0012
-0.0521719848,-0.002
-0.0521717848,0.0024
-0.0521715848,0.0028
-0.0521713848,-0.0012
-0.0521711848,0.0024
-0.0521709848,0.0012
-0.0521707848,0.0028
-0.0521705848,0.0016
-0.0521703848,0
-0.0521701848,0.0028
