LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jan-2026 15:05:02,0                 
Time,Ampl
-0.0522001497,-0.0037
-0.0521999497,-0.0045
-0.0521997497,-0.0033
-0.0521995497,-0.0039
-0.0521993497,-0.0057
-0.0521991497,-0.0047
-0.0521989497,-0.0051
-0.0521987497,-0.0057
-0.0521985497,-0.0075
-0.0521983497,-0.0059
-0.0521981497,-0.0079
-0.0521979497,-0.0063
-0.0521977497,-0.0073
-0.0521975497,-0.0063
-0.0521973497,-0.0047
-0.0521971497,-0.0029
-0.0521969497,-0.0023
-0.0521967497,-0.0007
-0.0521965497,-0.0011
-0.0521963497,-0.0015
-0.0521961497,-0.0031
-0.0521959497,-0.0027
-0.0521957497,-0.0025
-0.0521955497,-0.0019
-0.0521953497,-0.0021
-0.0521951497,-0.0017
-0.0521949497,-0.0027
-0.0521947497,-0.0019
-0.0521945497,-0.0013
-0.0521943497,-0.0005
-0.0521941497,-0.0003
-0.0521939497,0.0005
-0.0521937497,0.0005
-0.0521935497,-0.0017
-0.0521933497,-0.0011
-0.0521931497,-0.0041
-0.0521929497,-0.0049
-0.0521927497,-0.0049
-0.0521925497,-0.0055
-0.0521923497,-0.0073
-0.0521921497,-0.0077
-0.0521919497,-0.0047
-0.0521917497,-0.0077
-0.0521915497,-0.0067
-0.0521913497,-0.0069
-0.0521911497,-0.0049
-0.0521909497,-0.0069
-0.0521907497,-0.0051
-0.0521905497,-0.0049
-0.0521903497,-0.0049
-0.0521901497,-0.0037
-0.0521899497,-0.0039
-0.0521897497,-0.0017
-0.0521895497,-0.0011
-0.0521893497,-0.0009
-0.0521891497,0.0007
-0.0521889497,-0.0003
-0.0521887497,-0.0003
-0.0521885497,0.0015
-0.0521883497,0.0005
-0.0521881497,0.0005
-0.0521879497,-0.0001
-0.0521877497,-0.0003
-0.0521875497,-0.0001
-0.0521873497,-0.0019
-0.0521871497,-0.0033
-0.0521869497,-0.0051
-0.0521867497,-0.0045
-0.0521865497,-0.0043
-0.0521863497,-0.0063
-0.0521861497,-0.0065
-0.0521859497,-0.0065
-0.0521857497,-0.0051
-0.0521855497,-0.0047
-0.0521853497,-0.0043
-0.0521851497,-0.0047
-0.0521849497,-0.0047
-0.0521847497,-0.0049
-0.0521845497,-0.0043
-0.0521843497,-0.0071
-0.0521841497,-0.0083
-0.0521839497,-0.0053
-0.0521837497,-0.0063
-0.0521835497,-0.0043
-0.0521833497,-0.0053
-0.0521831497,-0.0039
-0.0521829497,-0.0033
-0.0521827497,-0.0033
-0.0521825497,-0.0031
-0.0521823497,-0.0029
-0.0521821497,-0.0035
-0.0521819497,-0.0023
-0.0521817497,-0.0047
-0.0521815497,-0.0043
-0.0521813497,-0.0039
-0.0521811497,-0.0035
-0.0521809497,-0.0047
-0.0521807497,-0.0039
-0.0521805497,-0.0023
-0.0521803497,-0.0045
-0.0521801497,-0.0027
-0.0521799497,-0.0051
-0.0521797497,-0.0033
-0.0521795497,-0.0037
-0.0521793497,-0.0047
-0.0521791497,-0.0047
-0.0521789497,-0.0039
-0.0521787497,-0.0037
-0.0521785497,-0.0063
-0.0521783497,-0.0041
-0.0521781497,-0.0055
-0.0521779497,-0.0057
-0.0521777497,-0.0035
-0.0521775497,-0.0037
-0.0521773497,-0.0033
-0.0521771497,-0.0039
-0.0521769497,-0.0023
-0.0521767497,-0.0049
-0.0521765497,-0.0029
-0.0521763497,-0.0025
-0.0521761497,-0.0041
-0.0521759497,-0.0029
-0.0521757497,-0.0035
-0.0521755497,-0.0037
-0.0521753497,-0.0033
-0.0521751497,-0.0023
-0.0521749497,-0.0055
-0.0521747497,-0.0033
-0.0521745497,-0.0081
-0.0521743497,-0.0059
-0.0521741497,-0.0061
-0.0521739497,-0.0063
-0.0521737497,-0.0051
-0.0521735497,-0.0051
-0.0521733497,-0.0067
-0.0521731497,-0.0057
-0.0521729497,-0.0053
-0.0521727497,-0.0073
-0.0521725497,-0.0055
-0.0521723497,-0.0067
-0.0521721497,-0.0073
-0.0521719497,-0.0085
-0.0521717497,-0.0083
-0.0521715497,-0.0083
-0.0521713497,-0.0097
-0.0521711497,-0.0063
-0.0521709497,-0.0045
-0.0521707497,-0.0055
-0.0521705497,-0.0059
-0.0521703497,-0.0075
-0.0521701497,-0.0045
-0.0521699497,-0.0081
-0.0521697497,-0.0049
-0.0521695497,-0.0047
-0.0521693497,-0.0059
-0.0521691497,-0.0069
-0.0521689497,-0.0063
-0.0521687497,-0.0061
-0.0521685497,-0.0041
-0.0521683497,-0.0035
-0.0521681497,-0.0025
-0.0521679497,-0.0011
-0.0521677497,-0.0025
-0.0521675497,-0.0025
-0.0521673497,-0.0035
-0.0521671497,-0.0025
-0.0521669497,-0.0031
-0.0521667497,-0.0029
-0.0521665497,-0.0023
-0.0521663497,-0.0035
-0.0521661497,-0.0039
-0.0521659497,-0.0015
-0.0521657497,-0.0035
-0.0521655497,-0.0041
-0.0521653497,-0.0053
-0.0521651497,-0.0057
-0.0521649497,-0.0073
-0.0521647497,-0.0077
-0.0521645497,-0.0075
-0.0521643497,-0.0067
-0.0521641497,-0.0059
-0.0521639497,-0.0055
-0.0521637497,-0.0045
-0.0521635497,-0.0055
-0.0521633497,-0.0055
-0.0521631497,-0.0043
-0.0521629497,-0.0037
-0.0521627497,-0.0027
-0.0521625497,-0.0025
-0.0521623497,-0.0041
-0.0521621497,-0.0037
-0.0521619497,-0.0029
-0.0521617497,-0.0037
-0.0521615497,-0.0041
-0.0521613497,-0.0021
-0.0521611497,-0.0031
-0.0521609497,-0.0023
-0.0521607497,-0.0021
-0.0521605497,-0.0025
-0.0521603497,-0.0039
-0.0521601497,-0.0033
-0.0521599497,-0.0029
-0.0521597497,-0.0021
-0.0521595497,-0.0049
-0.0521593497,-0.0047
-0.0521591497,-0.0035
-0.0521589497,-0.0039
-0.0521587497,-0.0043
-0.0521585497,-0.0045
-0.0521583497,-0.0043
-0.0521581497,-0.0051
-0.0521579497,-0.0047
-0.0521577497,-0.0067
-0.0521575497,-0.0063
-0.0521573497,-0.0065
-0.0521571497,-0.0055
-0.0521569497,-0.0041
-0.0521567497,-0.0045
-0.0521565497,-0.0057
-0.0521563497,-0.0041
-0.0521561497,-0.0023
-0.0521559497,-0.0027
-0.0521557497,-0.0049
-0.0521555497,-0.0031
-0.0521553497,-0.0055
-0.0521551497,-0.0041
-0.0521549497,-0.0051
-0.0521547497,-0.0039
-0.0521545497,-0.0039
-0.0521543497,-0.0037
-0.0521541497,-0.0043
-0.0521539497,-0.0053
-0.0521537497,-0.0069
-0.0521535497,-0.0073
-0.0521533497,-0.0069
