Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:31:48.53;0.00:00:00:056;0.00;-1.00;0.00;6.888;-0.008125;-6.892;-0.001776;-45.03;-0.01;100.06;0.03;100.06;6.888;6.892;-0.003961;8.381;8.384;-99.990;0.50;-179.99;
2026-01-22 14:31:48.58;0.00:00:00:103;0.00;-1.00;0.00;6.89;-0.007949;-6.893;-0.002157;-45.03;-0.01;100.04;0.03;100.04;6.89;6.893;-0.003018;8.382;8.384;-99.990;0.50;-179.98;
2026-01-22 14:31:48.63;0.00:00:00:154;0.00;-1.00;0.00;6.888;-0.007704;-6.892;-0.001903;-45.03;-0.01;100.06;0.03;100.05;6.888;6.892;-0.003788;8.381;8.383;-99.990;0.50;-179.98;
2026-01-22 14:31:48.68;0.00:00:00:205;0.00;-1.00;0.00;6.892;-0.007669;-6.895;-0.001757;-45.03;-0.01;100.05;0.03;100.05;6.892;6.895;-0.003466;8.383;8.385;-99.990;0.50;-179.99;
2026-01-22 14:31:48.73;0.00:00:00:259;0.00;-1.00;0.00;6.889;-0.007534;-6.892;-0.00184;-45.03;-0.01;100.05;0.03;100.05;6.889;6.892;-0.003513;8.381;8.384;-99.990;0.50;-179.98;
2026-01-22 14:31:48.78;0.00:00:00:309;0.00;-1.00;0.00;6.88;-0.006926;-6.883;-0.001729;-45.03;-0.01;100.04;0.03;100.04;6.88;6.883;-0.002504;8.376;8.378;-99.990;0.50;-179.99;
2026-01-22 14:31:48.83;0.00:00:00:357;0.00;-1.00;0.00;6.877;-0.007751;-6.881;-0.002129;-45.03;-0.01;100.05;0.03;100.05;6.877;6.881;-0.003672;8.374;8.376;-99.990;0.50;-179.98;
2026-01-22 14:31:48.88;0.00:00:00:409;0.00;-1.00;0.00;6.876;-0.007764;-6.88;-0.001505;-45.03;-0.01;100.05;0.02;100.05;6.876;6.88;-0.003328;8.374;8.376;-99.990;0.50;-179.99;
2026-01-22 14:31:48.94;0.00:00:00:469;0.00;-1.00;0.00;6.868;-0.007536;-6.871;-0.001874;-45.03;-0.01;100.05;0.03;100.05;6.868;6.871;-0.003159;8.368;8.370;-99.990;0.50;-179.98;
2026-01-22 14:31:48.99;0.00:00:00:521;0.00;-1.00;0.00;6.866;-0.007301;-6.87;-0.002092;-45.03;-0.01;100.06;0.03;100.06;6.866;6.87;-0.004092;8.367;8.370;-99.990;0.50;-179.98;
2026-01-22 14:31:49.05;0.00:00:00:573;0.00;-1.00;0.00;6.873;-0.008418;-6.878;-0.002336;-45.04;-0.01;100.07;0.03;100.07;6.873;6.878;-0.004852;8.372;8.375;-99.990;0.50;-179.98;
2026-01-22 14:31:49.10;0.00:00:00:624;0.00;-1.00;0.00;6.874;-0.007006;-6.877;-0.002138;-45.03;-0.01;100.04;0.03;100.04;6.874;6.877;-0.003059;8.372;8.374;-99.990;0.50;-179.98;
2026-01-22 14:31:49.15;0.00:00:00:675;0.00;-1.00;0.00;6.874;-0.007433;-6.878;-0.002172;-45.03;-0.01;100.07;0.03;100.07;6.874;6.878;-0.004516;8.372;8.375;-99.990;0.50;-179.98;
2026-01-22 14:31:49.20;0.00:00:00:724;0.00;-1.00;0.00;6.882;-0.008783;-6.887;-0.002134;-45.04;-0.01;100.08;0.03;100.08;6.882;6.887;-0.005237;8.377;8.380;-99.990;0.50;-179.98;
2026-01-22 14:31:49.25;0.00:00:00:776;0.00;-1.00;0.00;6.901;-0.008075;-6.905;-0.001754;-45.03;-0.01;100.06;0.03;100.06;6.901;6.905;-0.004265;8.389;8.392;-99.990;0.50;-179.99;
2026-01-22 14:31:49.30;0.00:00:00:826;0.00;-1.00;0.00;6.904;-0.008666;-6.909;-0.001952;-45.04;-0.01;100.07;0.03;100.07;6.904;6.909;-0.005123;8.391;8.394;-99.990;0.50;-179.98;
2026-01-22 14:31:49.35;0.00:00:00:878;0.00;-1.00;0.00;6.914;-0.007852;-6.917;-0.002047;-45.03;-0.01;100.05;0.03;100.05;6.914;6.917;-0.00363;8.397;8.399;-99.990;0.50;-179.98;
2026-01-22 14:31:49.40;0.00:00:00:931;0.00;-1.00;0.00;6.912;-0.008273;-6.917;-0.001978;-45.03;-0.01;100.06;0.03;100.06;6.912;6.917;-0.004037;8.396;8.399;-99.990;0.50;-179.98;
2026-01-22 14:31:49.46;0.00:00:00:983;0.00;-1.00;0.00;6.912;-0.008161;-6.917;-0.001793;-45.03;-0.01;100.06;0.03;100.06;6.912;6.917;-0.004203;8.396;8.399;-99.990;0.50;-179.99;
2026-01-22 14:31:49.51;0.00:00:01:033;0.00;-1.00;0.00;6.913;-0.008094;-6.916;-0.001836;-45.03;-0.01;100.05;0.03;100.05;6.913;6.916;-0.003297;8.396;8.399;-99.990;0.50;-179.98;
2026-01-22 14:31:49.56;0.00:00:01:084;0.00;-1.00;0.00;6.907;-0.006939;-6.908;-0.001857;-45.03;-0.01;100.02;0.03;100.02;6.907;6.908;-0.001547;8.393;8.394;-99.990;0.50;-179.98;
2026-01-22 14:31:49.61;0.00:00:01:135;0.00;-1.00;0.00;6.89;-0.007673;-6.894;-0.002272;-45.03;-0.01;100.05;0.03;100.05;6.89;6.894;-0.003528;8.382;8.384;-99.990;0.50;-179.98;
2026-01-22 14:31:49.66;0.00:00:01:185;0.00;-1.00;0.00;6.888;-0.008381;-6.892;-0.001813;-45.03;-0.01;100.05;0.03;100.05;6.888;6.892;-0.003706;8.381;8.383;-99.990;0.50;-179.98;
2026-01-22 14:31:49.71;0.00:00:01:239;0.00;-1.00;0.00;6.877;-0.008315;-6.881;-0.002152;-45.03;-0.01;100.06;0.03;100.06;6.877;6.881;-0.004154;8.374;8.376;-99.990;0.50;-179.98;
2026-01-22 14:31:49.78;0.00:00:01:308;0.00;-1.00;0.00;6.874;-0.007918;-6.878;-0.00195;-45.03;-0.01;100.05;0.03;100.05;6.874;6.878;-0.003506;8.372;8.374;-99.990;0.50;-179.98;
2026-01-22 14:31:49.83;0.00:00:01:360;0.00;-1.00;0.00;6.871;-0.008472;-6.875;-0.001989;-45.04;-0.01;100.06;0.03;100.06;6.871;6.875;-0.004061;8.370;8.373;-99.990;0.50;-179.98;
2026-01-22 14:31:49.88;0.00:00:01:411;0.00;-1.00;0.00;6.877;-0.008067;-6.881;-0.001715;-45.03;-0.01;100.06;0.02;100.06;6.877;6.881;-0.004003;8.374;8.377;-99.990;0.50;-179.99;
2026-01-22 14:31:49.93;0.00:00:01:462;0.00;-1.00;0.00;6.879;-0.008069;-6.883;-0.001814;-45.03;-0.01;100.06;0.03;100.06;6.879;6.883;-0.003852;8.375;8.378;-99.990;0.50;-179.98;
2026-01-22 14:31:49.99;0.00:00:01:513;0.00;-1.00;0.00;6.876;-0.008053;-6.881;-0.002019;-45.03;-0.01;100.07;0.03;100.07;6.876;6.881;-0.004875;8.373;8.377;-99.990;0.50;-179.98;
2026-01-22 14:31:50.04;0.00:00:01:564;0.00;-1.00;0.00;6.878;-0.008291;-6.882;-0.001876;-45.03;-0.01;100.06;0.03;100.06;6.878;6.882;-0.004244;8.375;8.377;-99.990;0.50;-179.98;
2026-01-22 14:31:50.10;0.00:00:01:625;0.00;-1.00;0.00;6.88;-0.007111;-6.884;-0.00192;-45.03;-0.01;100.04;0.03;100.04;6.88;6.884;-0.003076;8.376;8.378;-99.990;0.50;-179.98;
2026-01-22 14:31:50.15;0.00:00:01:678;0.00;-1.00;0.00;6.87;-0.007363;-6.873;-0.002145;-45.03;-0.01;100.04;0.03;100.04;6.87;6.873;-0.002604;8.370;8.371;-99.990;0.50;-179.98;
2026-01-22 14:31:50.20;0.00:00:01:723;0.00;-1.00;0.00;6.872;-0.007916;-6.876;-0.002091;-45.03;-0.01;100.05;0.03;100.05;6.872;6.876;-0.00367;8.371;8.373;-99.990;0.50;-179.98;
2026-01-22 14:31:50.25;0.00:00:01:780;0.00;-1.00;0.00;6.873;-0.006762;-6.876;-0.002205;-45.03;-0.01;100.03;0.03;100.03;6.873;6.876;-0.002303;8.372;8.373;-99.990;0.50;-179.98;
