Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-27 15:47:41.88;0.00:00:00:080;-0.46;0.88;-0.14;2.378E-05;-9.087E-06;1.735E-05;-2.849E-06;58.82;-4.14;83.23;11.98;82.37;2.378E-05;1.979E-05;3.987E-06;-46.238;-47.035;-53.994;0.27;-9.33;
2026-01-27 15:47:41.95;0.00:00:00:156;-0.23;0.97;-0.02;1.937E-05;-4.35E-06;1.849E-05;-4.51E-07;51.62;-0.68;98.08;2.33;98.05;1.937E-05;1.9E-05;3.717E-07;-47.129;-47.213;-64.299;0.39;-1.40;
2026-01-27 15:47:42.00;0.00:00:00:203;-0.39;0.90;-0.18;2.194E-05;-6.39E-06;1.491E-05;-2.971E-06;56.60;-5.19;75.17;13.54;73.94;2.194E-05;1.649E-05;5.448E-06;-46.587;-47.827;-52.638;0.31;-11.27;
2026-01-27 15:47:42.06;0.00:00:00:263;-0.22;0.96;-0.15;2.021E-05;-4.832E-06;2.106E-05;-3.179E-06;51.46;-4.19;108.05;15.73;106.90;2.021E-05;2.184E-05;-1.627E-06;-46.944;-46.608;-99.990;0.39;-8.58;
2026-01-27 15:47:42.11;0.00:00:00:312;-0.30;0.95;-0.13;2.033E-05;-3.85E-06;1.222E-05;-1.745E-06;53.74;-3.88;63.62;8.58;63.03;2.033E-05;1.293E-05;7.398E-06;-46.918;-48.883;-51.309;0.35;-8.12;
2026-01-27 15:47:42.16;0.00:00:00:361;-0.16;0.99;-0.04;1.878E-05;-3.03E-06;1.912E-05;-8.464E-07;49.50;-1.25;103.17;4.51;103.07;1.878E-05;1.938E-05;-5.953E-07;-47.262;-47.127;-99.990;0.42;-2.53;
2026-01-27 15:47:42.22;0.00:00:00:420;-0.24;0.93;-0.28;2.042E-05;-3.472E-06;1.361E-05;-4.122E-06;52.16;-8.18;71.69;20.19;68.79;2.042E-05;1.464E-05;5.779E-06;-46.900;-48.345;-52.381;0.38;-16.85;
2026-01-27 15:47:42.26;0.00:00:00:467;-0.22;0.97;-0.11;2.025E-05;-3.969E-06;1.749E-05;-1.895E-06;51.39;-3.02;89.06;9.36;88.57;2.025E-05;1.803E-05;2.215E-06;-46.936;-47.439;-56.545;0.39;-6.18;
2026-01-27 15:47:42.31;0.00:00:00:515;-0.19;0.95;-0.23;1.924E-05;-2.86E-06;1.414E-05;-3.398E-06;50.72;-6.63;77.05;17.66;75.00;1.924E-05;1.483E-05;4.416E-06;-47.158;-48.290;-53.550;0.40;-13.51;
2026-01-27 15:47:42.36;0.00:00:00:563;-0.30;0.95;-0.09;2.269E-05;-6.858E-06;2.196E-05;-1.97E-06;53.67;-2.45;101.75;8.68;101.38;2.269E-05;2.309E-05;-3.962E-07;-46.442;-46.366;-99.990;0.35;-5.13;
2026-01-27 15:47:42.42;0.00:00:00:623;-0.15;0.99;-0.07;1.828E-05;-3.095E-06;1.996E-05;-1.455E-06;49.41;-2.06;110.84;7.96;110.55;1.828E-05;2.026E-05;-1.98E-06;-47.381;-46.935;-99.990;0.42;-4.17;
2026-01-27 15:47:42.47;0.00:00:00:670;-0.40;0.88;-0.25;2.395E-05;-7.912E-06;1.718E-05;-4.893E-06;57.36;-7.25;81.58;20.43;78.98;2.395E-05;1.954E-05;4.413E-06;-46.207;-47.091;-53.553;0.30;-15.89;
2026-01-27 15:47:42.51;0.00:00:00:718;-0.17;0.98;-0.10;1.878E-05;-3.408E-06;1.964E-05;-1.998E-06;49.92;-2.86;106.65;10.64;106.12;1.878E-05;2.003E-05;-1.25E-06;-47.263;-46.983;-99.990;0.41;-5.81;
