Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-27 15:45:48.06;0.00:00:00:084;-0.22;-0.96;0.17;1.903E-05;-4.589E-06;-2.012E-05;3.525E-06;-51.43;4.85;110.03;18.53;108.46;1.903E-05;2.093E-05;-1.909E-06;-47.207;-46.791;-99.990;0.39;170.06;
2026-01-27 15:45:48.13;0.00:00:00:156;-0.27;-0.96;0.13;1.748E-05;-4.471E-06;-1.609E-05;2.158E-06;-52.77;3.68;96.30;12.34;95.51;1.748E-05;1.683E-05;6.467E-07;-47.574;-47.738;-61.893;0.37;172.36;
2026-01-27 15:45:48.18;0.00:00:00:205;-0.32;-0.92;0.22;1.968E-05;-6.278E-06;-1.795E-05;4.326E-06;-54.64;6.41;99.13;21.99;96.66;1.968E-05;1.951E-05;1.714E-07;-47.060;-47.098;-67.660;0.34;166.45;
2026-01-27 15:45:48.23;0.00:00:00:258;-0.47;-0.86;0.18;2.207E-05;-9.027E-06;-1.637E-05;3.468E-06;-59.43;5.25;86.18;15.72;84.74;2.207E-05;1.902E-05;3.049E-06;-46.563;-47.209;-55.158;0.26;168.04;
2026-01-27 15:45:48.28;0.00:00:00:308;-0.19;-0.97;0.17;1.73E-05;-3.424E-06;-1.762E-05;3.153E-06;-50.50;4.98;105.38;18.23;103.80;1.73E-05;1.823E-05;-9.312E-07;-47.620;-47.392;-99.990;0.41;169.86;
2026-01-27 15:45:48.33;0.00:00:00:358;-0.35;-0.92;0.18;1.916E-05;-6.063E-06;-1.608E-05;3.197E-06;-55.33;5.27;91.23;16.69;89.69;1.916E-05;1.748E-05;1.681E-06;-47.176;-47.575;-57.745;0.33;168.75;
2026-01-27 15:45:48.39;0.00:00:00:420;-0.26;-0.95;0.16;1.846E-05;-5.13E-06;-1.915E-05;3.197E-06;-52.50;4.58;108.78;17.32;107.39;1.846E-05;2.008E-05;-1.62E-06;-47.338;-46.972;-99.990;0.37;170.52;
2026-01-27 15:45:48.44;0.00:00:00:472;-0.37;-0.90;0.24;2.027E-05;-6.671E-06;-1.612E-05;4.356E-06;-56.24;7.01;88.71;21.49;86.07;2.027E-05;1.798E-05;2.288E-06;-46.932;-47.452;-56.406;0.31;164.88;
2026-01-27 15:45:48.50;0.00:00:00:522;-0.22;-0.97;0.12;1.727E-05;-3.334E-06;-1.474E-05;1.803E-06;-51.37;3.40;88.12;10.44;87.50;1.727E-05;1.522E-05;2.052E-06;-47.627;-48.177;-56.878;0.39;173.03;
2026-01-27 15:45:48.55;0.00:00:00:575;-0.27;-0.93;0.23;1.803E-05;-4.69E-06;-1.626E-05;4.04E-06;-53.05;6.72;96.47;22.41;93.83;1.803E-05;1.739E-05;6.363E-07;-47.440;-47.596;-61.963;0.37;166.04;
2026-01-27 15:45:48.59;0.00:00:00:622;-0.30;-0.95;0.10;1.768E-05;-4.804E-06;-1.536E-05;1.671E-06;-53.68;2.96;91.51;9.45;91.02;1.768E-05;1.618E-05;1.501E-06;-47.524;-47.909;-58.236;0.35;173.79;
2026-01-27 15:45:48.64;0.00:00:00:666;-0.42;-0.88;0.23;1.988E-05;-7.45E-06;-1.572E-05;4.14E-06;-57.68;6.69;89.96;20.83;87.51;1.988E-05;1.788E-05;1.996E-06;-47.017;-47.476;-56.998;0.29;165.24;
2026-01-27 15:45:48.70;0.00:00:00:727;-0.43;-0.82;0.38;1.856E-05;-5.54E-06;-1.061E-05;4.954E-06;-58.79;11.24;69.79;26.69;64.49;1.856E-05;1.295E-05;5.607E-06;-47.314;-48.876;-52.512;0.29;154.97;
2026-01-27 15:45:48.76;0.00:00:00:788;-0.24;-0.96;0.16;1.814E-05;-4.398E-06;-1.745E-05;2.906E-06;-52.08;4.59;100.48;16.02;99.19;1.814E-05;1.822E-05;-8.695E-08;-47.414;-47.393;-99.990;0.38;170.54;
2026-01-27 15:45:48.81;0.00:00:00:838;-0.21;-0.96;0.18;1.772E-05;-4.18E-06;-1.895E-05;3.543E-06;-51.22;5.17;111.36;20.00;109.55;1.772E-05;1.973E-05;-2.013E-06;-47.516;-47.049;-99.990;0.39;169.41;
2026-01-27 15:45:48.87;0.00:00:00:900;-0.40;-0.89;0.21;2.11E-05;-7.396E-06;-1.635E-05;3.841E-06;-57.17;6.04;87.00;18.21;85.08;2.11E-05;1.835E-05;2.742E-06;-46.758;-47.363;-55.619;0.30;166.78;
2026-01-27 15:45:48.93;0.00:00:00:957;-0.40;-0.90;0.18;2.157E-05;-7.995E-06;-1.819E-05;3.55E-06;-56.86;5.07;93.56;16.46;92.10;2.157E-05;2.019E-05;1.389E-06;-46.661;-46.950;-58.573;0.30;168.96;
2026-01-27 15:45:48.99;0.00:00:01:022;-0.41;-0.90;0.14;2.04E-05;-6.285E-06;-1.366E-05;2.068E-06;-57.35;3.92;74.40;10.14;73.70;2.04E-05;1.518E-05;5.223E-06;-46.904;-48.188;-52.821;0.29;171.39;
2026-01-27 15:45:49.05;0.00:00:01:074;-0.42;-0.89;0.17;2.008E-05;-6.781E-06;-1.445E-05;2.772E-06;-57.57;4.93;80.68;13.81;79.49;2.008E-05;1.62E-05;3.88E-06;-46.973;-47.905;-54.112;0.29;169.14;
2026-01-27 15:45:49.10;0.00:00:01:122;-0.41;-0.87;0.27;2.047E-05;-7.262E-06;-1.55E-05;4.766E-06;-57.56;7.78;86.78;23.28;83.60;2.047E-05;1.776E-05;2.706E-06;-46.889;-47.505;-55.676;0.30;162.90;
2026-01-27 15:45:49.15;0.00:00:01:176;-0.45;-0.87;0.21;1.971E-05;-7.045E-06;-1.366E-05;3.285E-06;-58.64;6.03;79.73;16.66;77.97;1.971E-05;1.572E-05;3.996E-06;-47.052;-48.036;-53.984;0.28;166.48;
2026-01-27 15:45:49.21;0.00:00:01:240;-0.31;-0.94;0.18;1.78E-05;-4.103E-06;-1.256E-05;2.366E-06;-54.05;5.08;75.41;13.30;74.23;1.78E-05;1.342E-05;4.377E-06;-47.497;-48.723;-53.589;0.35;169.33;
2026-01-27 15:45:49.26;0.00:00:01:287;-0.40;-0.91;0.15;1.975E-05;-6.697E-06;-1.531E-05;2.496E-06;-56.82;4.25;85.53;12.64;84.59;1.975E-05;1.689E-05;2.857E-06;-47.044;-47.723;-55.440;0.30;170.74;
2026-01-27 15:45:49.31;0.00:00:01:340;-0.28;-0.91;0.30;1.777E-05;-3.934E-06;-1.297E-05;4.301E-06;-53.44;8.81;80.01;24.20;76.26;1.777E-05;1.422E-05;3.553E-06;-47.503;-48.472;-54.494;0.36;161.65;
2026-01-27 15:45:49.37;0.00:00:01:399;-0.34;-0.93;0.13;2.044E-05;-6.381E-06;-1.72E-05;2.499E-06;-55.17;3.88;90.60;12.23;89.77;2.044E-05;1.852E-05;1.921E-06;-46.895;-47.324;-57.165;0.33;171.73;
2026-01-27 15:45:49.43;0.00:00:01:453;-0.31;-0.92;0.23;1.729E-05;-5.005E-06;-1.49E-05;3.733E-06;-54.29;6.68;93.41;21.58;90.88;1.729E-05;1.615E-05;1.14E-06;-47.621;-47.917;-59.431;0.35;165.93;
2026-01-27 15:45:49.47;0.00:00:01:502;-0.50;-0.82;0.28;2.367E-05;-1.067E-05;-1.762E-05;6.107E-06;-60.59;8.26;90.78;25.80;87.03;2.367E-05;2.149E-05;2.183E-06;-46.258;-46.678;-56.610;0.25;160.89;
2026-01-27 15:45:49.53;0.00:00:01:555;-0.34;-0.93;0.15;1.829E-05;-5.494E-06;-1.502E-05;2.447E-06;-55.04;4.35;88.44;13.38;87.42;1.829E-05;1.618E-05;2.115E-06;-47.377;-47.910;-56.747;0.33;170.75;
2026-01-27 15:45:49.58;0.00:00:01:611;-0.29;-0.92;0.26;1.742E-05;-4.395E-06;-1.397E-05;3.878E-06;-53.73;7.41;86.96;22.25;84.06;1.742E-05;1.515E-05;2.273E-06;-47.588;-48.195;-56.434;0.35;164.49;
2026-01-27 15:45:49.65;0.00:00:01:674;-0.43;-0.89;0.12;1.987E-05;-6.667E-06;-1.369E-05;1.869E-06;-57.98;3.50;77.22;9.41;76.65;1.987E-05;1.534E-05;4.526E-06;-47.018;-48.141;-53.443;0.28;172.23;
2026-01-27 15:45:49.71;0.00:00:01:734;-0.27;-0.94;0.21;1.682E-05;-3.851E-06;-1.336E-05;2.917E-06;-53.04;5.92;84.50;17.35;82.70;1.682E-05;1.421E-05;2.607E-06;-47.743;-48.475;-55.838;0.36;167.68;
2026-01-27 15:45:49.75;0.00:00:01:781;-0.32;-0.95;0.06;1.854E-05;-5.759E-06;-1.716E-05;1.087E-06;-54.28;1.72;97.79;5.86;97.62;1.854E-05;1.813E-05;4.092E-07;-47.319;-47.416;-63.881;0.34;176.38;
2026-01-27 15:45:49.80;0.00:00:01:827;-0.25;-0.97;-0.05;1.861E-05;-3.389E-06;-1.309E-05;-6.55E-07;-52.26;-1.39;72.71;3.52;72.62;1.861E-05;1.353E-05;5.08E-06;-47.302;-48.686;-52.942;0.37;-177.13;
2026-01-27 15:45:49.85;0.00:00:01:874;-0.33;-0.92;0.21;2.062E-05;-7.22E-06;-1.999E-05;4.468E-06;-54.93;5.94;105.33;21.67;103.08;2.062E-05;2.172E-05;-1.099E-06;-46.857;-46.632;-99.990;0.33;167.40;
2026-01-27 15:45:49.89;0.00:00:01:919;-0.41;-0.86;0.31;1.968E-05;-6.999E-06;-1.457E-05;5.238E-06;-57.83;8.98;86.31;26.62;82.11;1.968E-05;1.699E-05;2.693E-06;-47.059;-47.699;-55.697;0.29;160.22;
2026-01-27 15:45:49.94;0.00:00:01:966;-0.35;-0.91;0.23;1.935E-05;-6.618E-06;-1.704E-05;4.298E-06;-55.61;6.61;97.07;22.22;94.50;1.935E-05;1.878E-05;5.665E-07;-47.134;-47.263;-62.468;0.32;165.85;
