Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-27 15:38:45.60;0.00:00:00:091;0.99;0.02;0.14;1.505E-05;1.424E-05;3.471E-07;2.048E-06;0.70;4.09;95.63;13.61;94.65;1.505E-05;1.439E-05;6.582E-07;-48.224;-48.418;-61.816;0.99;80.38;
2026-01-27 15:38:45.65;0.00:00:00:145;0.99;-0.06;0.16;1.528E-05;1.591E-05;-1.046E-06;2.517E-06;-1.88;4.49;105.66;16.48;104.37;1.528E-05;1.614E-05;-8.644E-07;-48.159;-47.920;-99.990;0.99;112.56;
2026-01-27 15:38:45.71;0.00:00:00:200;0.99;-0.07;0.15;1.535E-05;1.452E-05;-1.089E-06;2.154E-06;-2.14;4.21;95.89;14.03;94.86;1.535E-05;1.472E-05;6.311E-07;-48.139;-48.322;-61.999;0.99;116.81;
2026-01-27 15:38:45.77;0.00:00:00:257;0.99;0.00;0.16;1.466E-05;1.385E-05;1.95E-08;2.306E-06;0.04;4.73;95.74;15.72;94.44;1.466E-05;1.404E-05;6.242E-07;-48.337;-48.526;-62.047;0.99;89.52;
2026-01-27 15:38:45.83;0.00:00:00:319;0.98;-0.03;0.19;1.507E-05;1.349E-05;-3.971E-07;2.672E-06;-0.84;5.60;91.31;17.74;89.57;1.507E-05;1.376E-05;1.309E-06;-48.220;-48.615;-58.829;0.99;98.45;
2026-01-27 15:38:45.88;0.00:00:00:372;0.99;0.05;0.15;1.46E-05;1.504E-05;6.968E-07;2.231E-06;1.33;4.21;104.29;15.28;103.17;1.46E-05;1.522E-05;-6.268E-07;-48.357;-48.174;-99.990;0.99;72.65;
2026-01-27 15:38:45.94;0.00:00:00:434;0.99;0.01;0.15;1.62E-05;1.42E-05;1.391E-07;2.21E-06;0.28;4.42;88.73;13.64;87.68;1.62E-05;1.437E-05;1.825E-06;-47.905;-48.424;-57.387;0.99;86.40;
2026-01-27 15:38:45.99;0.00:00:00:485;0.98;0.05;0.17;1.591E-05;1.42E-05;6.739E-07;2.431E-06;1.36;4.85;90.68;15.28;89.39;1.591E-05;1.442E-05;1.482E-06;-47.984;-48.409;-58.292;0.99;74.50;
2026-01-27 15:38:46.05;0.00:00:00:538;0.99;0.00;0.13;1.473E-05;1.595E-05;-5.459E-08;2.099E-06;-0.10;3.75;109.23;14.25;108.30;1.473E-05;1.609E-05;-1.359E-06;-48.319;-47.935;-99.990;1.00;91.49;
2026-01-27 15:38:46.10;0.00:00:00:589;0.99;0.02;0.15;1.485E-05;1.484E-05;2.91E-07;2.187E-06;0.56;4.19;101.02;14.72;99.94;1.485E-05;1.5E-05;-1.513E-07;-48.282;-48.238;-99.990;0.99;82.42;
