Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-27 15:51:20.63;0.00:00:00:044;-0.33;0.08;0.94;1.919E-05;-6.204E-06;1.554E-06;1.748E-05;82.97;34.95;96.98;91.07;33.32;1.919E-05;1.861E-05;5.803E-07;-47.169;-47.302;-62.363;0.33;84.92;
2026-01-27 15:51:20.70;0.00:00:00:106;-0.34;0.01;0.94;2.034E-05;-6.436E-06;1.829E-07;1.803E-05;89.19;35.17;94.12;88.63;31.65;2.034E-05;1.915E-05;1.197E-06;-46.916;-47.179;-59.219;0.33;89.42;
2026-01-27 15:51:20.74;0.00:00:00:153;-0.43;0.07;0.90;2.068E-05;-7.57E-06;1.287E-06;1.592E-05;85.18;32.13;85.48;76.99;37.13;2.068E-05;1.768E-05;3.003E-06;-46.844;-47.526;-55.224;0.29;85.38;
2026-01-27 15:51:20.81;0.00:00:00:217;-0.35;0.14;0.92;1.991E-05;-6.709E-06;2.582E-06;1.749E-05;79.48;33.83;94.96;87.83;36.10;1.991E-05;1.891E-05;1.003E-06;-47.009;-47.233;-59.987;0.32;81.60;
2026-01-27 15:51:20.85;0.00:00:00:264;-0.33;0.06;0.94;2.004E-05;-6.305E-06;1.177E-06;1.809E-05;84.71;35.24;95.77;90.27;32.00;2.004E-05;1.92E-05;8.472E-07;-46.980;-47.168;-60.720;0.34;86.28;
2026-01-27 15:51:20.92;0.00:00:00:325;-0.32;0.11;0.94;1.881E-05;-5.97E-06;2.061E-06;1.746E-05;80.48;35.06;98.71;92.82;33.57;1.881E-05;1.857E-05;2.431E-07;-47.255;-47.312;-66.142;0.34;83.27;
2026-01-27 15:51:20.97;0.00:00:00:384;-0.38;0.06;0.92;2.044E-05;-7.253E-06;1.059E-06;1.773E-05;85.84;33.77;93.89;86.76;35.87;2.044E-05;1.919E-05;1.249E-06;-46.896;-47.170;-59.033;0.31;86.58;
2026-01-27 15:51:21.02;0.00:00:00:433;-0.44;0.13;0.89;2.105E-05;-8.143E-06;2.416E-06;1.659E-05;81.74;31.44;88.53;78.80;40.35;2.105E-05;1.864E-05;2.415E-06;-46.767;-47.296;-56.170;0.28;81.71;
2026-01-27 15:51:21.07;0.00:00:00:479;-0.39;0.06;0.92;2.014E-05;-7.726E-06;1.126E-06;1.836E-05;85.85;33.48;99.10;91.20;38.77;2.014E-05;1.996E-05;1.818E-07;-46.960;-46.999;-67.404;0.31;86.49;
2026-01-27 15:51:21.12;0.00:00:00:527;-0.46;0.19;0.87;2.097E-05;-8.4E-06;3.526E-06;1.578E-05;78.61;30.00;86.87;75.23;43.44;2.097E-05;1.822E-05;2.754E-06;-46.783;-47.395;-55.601;0.27;77.40;
2026-01-27 15:51:21.18;0.00:00:00:587;-0.33;0.09;0.94;1.993E-05;-6.377E-06;1.661E-06;1.83E-05;82.70;35.10;97.58;91.80;33.06;1.993E-05;1.945E-05;4.829E-07;-47.004;-47.111;-63.161;0.34;84.81;
2026-01-27 15:51:21.23;0.00:00:00:636;-0.37;0.02;0.93;1.963E-05;-7.006E-06;4.272E-07;1.77E-05;88.26;34.18;96.99;90.16;35.75;1.963E-05;1.904E-05;5.909E-07;-47.070;-47.203;-62.285;0.32;88.62;
2026-01-27 15:51:21.27;0.00:00:00:684;-0.35;0.14;0.93;2.041E-05;-6.8E-06;2.792E-06;1.791E-05;78.84;33.84;94.86;87.76;36.01;2.041E-05;1.936E-05;1.049E-06;-46.901;-47.130;-59.793;0.32;81.14;
