Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-27 15:49:34.64;0.00:00:00:057;-0.27;-0.16;-0.95;1.884E-05;-4.832E-06;-2.809E-06;-1.679E-05;-74.92;-35.79;93.91;89.10;29.66;1.884E-05;1.769E-05;1.148E-06;-47.249;-47.522;-59.402;0.36;-99.50;
2026-01-27 15:49:34.69;0.00:00:00:110;-0.26;-0.20;-0.95;1.878E-05;-4.141E-06;-3.147E-06;-1.526E-05;-71.38;-35.59;85.86;81.27;27.70;1.878E-05;1.612E-05;2.654E-06;-47.264;-47.925;-55.761;0.37;-101.65;
2026-01-27 15:49:34.75;0.00:00:00:166;-0.18;-0.29;-0.94;1.993E-05;-2.968E-06;-4.877E-06;-1.58E-05;-60.66;-35.07;84.29;79.27;28.65;1.993E-05;1.68E-05;3.132E-06;-47.005;-47.747;-55.042;0.41;-107.16;
2026-01-27 15:49:34.80;0.00:00:00:216;-0.15;-0.14;-0.98;1.885E-05;-2.39E-06;-2.226E-06;-1.58E-05;-68.52;-39.16;85.60;83.83;17.33;1.885E-05;1.613E-05;2.714E-06;-47.247;-47.922;-55.664;0.43;-98.02;
2026-01-27 15:49:34.86;0.00:00:00:275;-0.16;-0.23;-0.96;1.784E-05;-2.846E-06;-3.957E-06;-1.661E-05;-62.86;-36.82;97.07;93.14;27.33;1.784E-05;1.731E-05;5.232E-07;-47.487;-47.616;-62.813;0.42;-103.40;
2026-01-27 15:49:34.90;0.00:00:00:321;-0.24;-0.12;-0.96;1.967E-05;-4.006E-06;-2.007E-06;-1.642E-05;-76.69;-37.37;86.52;83.47;22.78;1.967E-05;1.702E-05;2.652E-06;-47.061;-47.690;-55.764;0.38;-96.97;
2026-01-27 15:49:34.95;0.00:00:00:369;-0.30;-0.21;-0.93;1.98E-05;-5.103E-06;-3.517E-06;-1.562E-05;-72.71;-34.18;84.88;78.89;31.31;1.98E-05;1.68E-05;2.994E-06;-47.034;-47.746;-55.238;0.35;-102.69;
2026-01-27 15:49:35.00;0.00:00:00:419;-0.18;-0.11;-0.98;1.736E-05;-2.955E-06;-1.906E-06;-1.645E-05;-73.59;-38.97;96.93;94.79;20.26;1.736E-05;1.683E-05;5.335E-07;-47.605;-47.740;-62.729;0.41;-96.61;
2026-01-27 15:49:35.05;0.00:00:00:464;-0.25;-0.13;-0.96;1.845E-05;-4.039E-06;-2.104E-06;-1.527E-05;-76.24;-36.70;86.37;82.77;24.68;1.845E-05;1.594E-05;2.515E-06;-47.339;-47.975;-55.995;0.37;-97.84;
2026-01-27 15:49:35.09;0.00:00:00:509;-0.24;-0.12;-0.96;1.779E-05;-3.999E-06;-2.099E-06;-1.626E-05;-76.15;-37.24;94.85;91.39;25.38;1.779E-05;1.688E-05;9.167E-07;-47.498;-47.727;-60.378;0.38;-97.36;
