Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-27 15:40:54.03;0.00:00:00:070;-1.00;0.05;-0.04;2.482E-05;-2.444E-05;1.292E-06;-9.072E-07;88.49;-1.06;98.68;3.66;98.61;2.482E-05;2.449E-05;3.272E-07;-46.053;-46.110;-64.852;0.00;-35.08;
2026-01-27 15:40:54.10;0.00:00:00:143;-1.00;0.05;-0.04;2.496E-05;-2.455E-05;1.146E-06;-9.343E-07;88.66;-1.09;98.52;3.74;98.45;2.496E-05;2.459E-05;3.7E-07;-46.027;-46.092;-64.319;0.00;-39.18;
2026-01-27 15:40:54.15;0.00:00:00:197;-1.00;0.05;-0.04;2.493E-05;-2.459E-05;1.3E-06;-9.715E-07;88.49;-1.13;98.84;3.90;98.76;2.493E-05;2.464E-05;2.89E-07;-46.033;-46.084;-65.391;0.00;-36.76;
2026-01-27 15:40:54.20;0.00:00:00:245;-1.00;0.04;-0.04;2.484E-05;-2.448E-05;1.09E-06;-9.709E-07;88.73;-1.13;98.70;3.91;98.63;2.484E-05;2.452E-05;3.221E-07;-46.048;-46.104;-64.920;0.00;-41.70;
2026-01-27 15:40:54.25;0.00:00:00:297;-1.00;0.05;-0.04;2.491E-05;-2.454E-05;1.219E-06;-9.459E-07;88.58;-1.10;98.68;3.80;98.61;2.491E-05;2.458E-05;3.283E-07;-46.036;-46.093;-64.837;0.00;-37.80;
2026-01-27 15:40:54.30;0.00:00:00:347;-1.00;0.05;-0.04;2.484E-05;-2.447E-05;1.137E-06;-9.57E-07;88.67;-1.12;98.68;3.85;98.60;2.484E-05;2.452E-05;3.292E-07;-46.048;-46.106;-64.826;0.00;-40.08;
2026-01-27 15:40:54.36;0.00:00:00:403;-1.00;0.05;-0.04;2.494E-05;-2.453E-05;1.272E-06;-9.629E-07;88.52;-1.12;98.59;3.86;98.51;2.494E-05;2.459E-05;3.515E-07;-46.032;-46.093;-64.541;0.00;-37.13;
2026-01-27 15:40:54.41;0.00:00:00:450;-1.00;0.05;-0.04;2.479E-05;-2.438E-05;1.172E-06;-1.034E-06;88.62;-1.21;98.58;4.17;98.49;2.479E-05;2.443E-05;3.525E-07;-46.058;-46.120;-64.528;0.00;-41.42;
2026-01-27 15:40:54.46;0.00:00:00:500;-1.00;0.05;-0.04;2.492E-05;-2.453E-05;1.238E-06;-9.688E-07;88.56;-1.13;98.62;3.89;98.55;2.492E-05;2.458E-05;3.43E-07;-46.034;-46.094;-64.647;0.00;-38.05;
2026-01-27 15:40:54.51;0.00:00:00:550;-1.00;0.05;-0.04;2.484E-05;-2.447E-05;1.236E-06;-9.937E-07;88.55;-1.16;98.70;4.00;98.62;2.484E-05;2.452E-05;3.238E-07;-46.048;-46.105;-64.898;0.00;-38.80;
