Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:27:27.44;0.00:00:00:060;0.01;0.88;0.47;3.095E-06;2.585E-08;3.444E-06;1.832E-06;44.78;14.01;126.06;59.21;111.29;3.095E-06;3.901E-06;-8.063E-07;-55.094;-54.088;-99.990;0.50;28.02;
2026-02-02 17:27:27.49;0.00:00:00:114;-0.20;0.89;0.41;4.173E-06;-7.133E-07;3.186E-06;1.485E-06;51.31;12.22;85.95;35.57;78.24;4.173E-06;3.587E-06;5.864E-07;-53.795;-54.453;-62.318;0.40;24.98;
2026-02-02 17:27:27.54;0.00:00:00:165;-0.12;0.82;0.56;3.563E-06;-4.536E-07;3.062E-06;2.092E-06;49.21;17.03;104.84;58.71;86.86;3.563E-06;3.736E-06;-1.725E-07;-54.481;-54.276;-99.990;0.44;34.34;
2026-02-02 17:27:27.59;0.00:00:00:211;-0.22;0.82;0.53;3.996E-06;-9.099E-07;3.333E-06;2.176E-06;52.64;16.10;102.18;54.45;86.46;3.996E-06;4.083E-06;-8.693E-08;-53.984;-53.891;-99.990;0.39;33.14;
2026-02-02 17:27:27.64;0.00:00:00:260;0.17;0.86;0.49;3.115E-06;5.27E-07;2.586E-06;1.465E-06;39.24;14.52;96.91;47.05;84.72;3.115E-06;3.018E-06;9.632E-08;-55.066;-55.202;-70.163;0.59;29.54;
2026-02-02 17:27:27.68;0.00:00:00:307;-0.32;0.58;0.75;4.325E-06;-1.17E-06;2.086E-06;2.713E-06;59.65;24.30;83.60;62.71;55.29;4.325E-06;3.616E-06;7.092E-07;-53.640;-54.417;-61.492;0.34;52.44;
2026-02-02 17:27:27.75;0.00:00:00:371;-0.14;0.86;0.48;3.716E-06;-6.087E-07;3.733E-06;2.085E-06;49.63;14.43;116.22;56.10;101.78;3.716E-06;4.319E-06;-6.027E-07;-54.299;-53.646;-99.990;0.43;29.18;
2026-02-02 17:27:27.79;0.00:00:00:417;-0.15;0.88;0.45;3.717E-06;-5.63E-07;3.22E-06;1.67E-06;49.96;13.53;98.75;44.93;87.94;3.717E-06;3.67E-06;4.649E-08;-54.298;-54.353;-73.326;0.42;27.42;
2026-02-02 17:27:27.85;0.00:00:00:472;-0.17;0.78;0.60;3.821E-06;-6.106E-07;2.774E-06;2.12E-06;51.21;18.37;92.77;55.49;74.34;3.821E-06;3.544E-06;2.764E-07;-54.178;-54.504;-65.584;0.41;37.39;
2026-02-02 17:27:27.90;0.00:00:00:524;-0.07;0.79;0.61;3.395E-06;-2.378E-07;2.633E-06;2.043E-06;47.58;18.84;98.42;60.17;77.89;3.395E-06;3.341E-06;5.35E-08;-54.692;-54.761;-72.717;0.46;37.80;
