Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:36:57.82;0.00:00:00:058;-0.15;0.57;0.81;3.657E-06;-5.79E-07;2.266E-06;3.189E-06;52.17;26.87;108.14;87.21;63.95;3.657E-06;3.955E-06;-2.978E-07;-54.368;-54.029;-99.990;0.43;54.61;
2026-02-02 17:36:57.87;0.00:00:00:110;-0.17;0.50;0.85;4.064E-06;-6.444E-07;1.888E-06;3.244E-06;54.42;29.20;93.71;79.82;49.09;4.064E-06;3.809E-06;2.558E-07;-53.910;-54.192;-65.921;0.42;59.80;
2026-02-02 17:36:57.93;0.00:00:00:164;-0.13;0.55;0.83;3.859E-06;-4.833E-07;1.986E-06;2.986E-06;51.84;27.81;93.77;77.38;52.96;3.859E-06;3.619E-06;2.405E-07;-54.135;-54.414;-66.190;0.43;56.38;
2026-02-02 17:36:57.98;0.00:00:00:214;-0.34;0.31;0.89;4.606E-06;-1.394E-06;1.281E-06;3.658E-06;68.71;31.32;89.41;79.41;41.10;4.606E-06;4.118E-06;4.877E-07;-53.367;-53.853;-63.118;0.33;70.70;
2026-02-02 17:36:58.03;0.00:00:00:264;-0.20;0.51;0.84;3.664E-06;-8.406E-07;2.091E-06;3.428E-06;55.95;28.34;111.95;93.55;61.49;3.664E-06;4.102E-06;-4.38E-07;-54.360;-53.870;-99.990;0.40;58.62;
2026-02-02 17:36:58.08;0.00:00:00:311;-0.03;0.48;0.87;3.769E-06;-1.008E-07;1.611E-06;2.916E-06;46.79;30.52;88.42;77.36;42.82;3.769E-06;3.333E-06;4.364E-07;-54.238;-54.772;-63.601;0.48;61.08;
2026-02-02 17:36:58.13;0.00:00:00:366;-0.23;0.61;0.76;4.296E-06;-7.008E-07;1.821E-06;2.277E-06;55.52;24.70;69.79;52.99;45.42;4.296E-06;2.998E-06;1.298E-06;-53.669;-55.231;-58.868;0.38;51.34;
2026-02-02 17:36:58.18;0.00:00:00:413;-0.02;0.57;0.82;3.866E-06;-9.138E-08;2.111E-06;3.058E-06;46.24;27.68;96.14;79.09;54.66;3.866E-06;3.717E-06;1.493E-07;-54.127;-54.298;-68.259;0.49;55.38;
2026-02-02 17:36:58.22;0.00:00:00:459;-0.08;0.34;0.94;3.742E-06;-2.23E-07;9.863E-07;2.752E-06;51.37;34.91;78.35;73.54;27.03;3.742E-06;2.932E-06;8.101E-07;-54.269;-55.329;-60.915;0.46;70.28;
2026-02-02 17:36:58.27;0.00:00:00:508;-0.21;0.50;0.84;4.454E-06;-7.715E-07;1.855E-06;3.107E-06;56.29;28.55;83.08;69.76;45.12;4.454E-06;3.7E-06;7.537E-07;-53.513;-54.318;-61.228;0.40;59.15;
