Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:26:41.47;0.00:00:00:068;-0.41;-0.77;-0.48;4.015E-06;-1.548E-06;-2.941E-06;-1.839E-06;-58.88;-14.48;94.62;45.81;82.79;4.015E-06;3.799E-06;2.16E-07;-53.963;-54.204;-66.655;0.30;-147.99;
2026-02-02 17:26:41.52;0.00:00:00:115;-0.60;-0.68;-0.41;4.48E-06;-2.189E-06;-2.478E-06;-1.483E-06;-65.73;-12.08;80.89;33.09;73.81;4.48E-06;3.624E-06;8.563E-07;-53.487;-54.408;-60.674;0.20;-149.11;
2026-02-02 17:26:41.56;0.00:00:00:161;-0.29;-0.86;-0.42;3.847E-06;-1.308E-06;-3.81E-06;-1.879E-06;-54.47;-12.50;115.56;48.85;104.73;3.847E-06;4.445E-06;-5.986E-07;-54.149;-53.521;-99.990;0.35;-153.75;
2026-02-02 17:26:41.61;0.00:00:00:214;-0.36;-0.77;-0.53;3.933E-06;-1.265E-06;-2.693E-06;-1.851E-06;-57.58;-15.95;89.11;47.07;75.66;3.933E-06;3.504E-06;4.284E-07;-54.053;-54.554;-63.682;0.32;-145.49;
2026-02-02 17:26:41.66;0.00:00:00:264;-0.33;-0.88;-0.33;3.926E-06;-1.373E-06;-3.716E-06;-1.405E-06;-55.14;-9.76;107.07;35.79;100.91;3.926E-06;4.203E-06;-2.774E-07;-54.061;-53.764;-99.990;0.34;-159.29;
2026-02-02 17:26:41.71;0.00:00:00:313;-0.30;-0.91;-0.28;4.05E-06;-1.274E-06;-3.883E-06;-1.187E-06;-54.08;-8.10;105.06;29.31;100.89;4.05E-06;4.255E-06;-2.051E-07;-53.925;-53.711;-99.990;0.35;-163.00;
2026-02-02 17:26:41.78;0.00:00:00:376;-0.31;-0.85;-0.44;3.835E-06;-1.218E-06;-3.333E-06;-1.721E-06;-55.04;-12.94;102.86;44.88;92.55;3.835E-06;3.944E-06;-1.095E-07;-54.163;-54.040;-99.990;0.35;-152.69;
2026-02-02 17:26:41.83;0.00:00:00:429;-0.44;-0.83;-0.33;4.391E-06;-1.935E-06;-3.649E-06;-1.462E-06;-58.97;-9.75;99.79;33.30;94.07;4.391E-06;4.382E-06;9.25E-09;-53.574;-53.584;-80.339;0.28;-158.16;
2026-02-02 17:26:41.88;0.00:00:00:483;-0.65;-0.59;-0.49;4.904E-06;-2.266E-06;-2.065E-06;-1.705E-06;-68.83;-14.54;71.54;34.77;62.52;4.904E-06;3.508E-06;1.396E-06;-53.094;-54.549;-58.551;0.18;-140.45;
2026-02-02 17:26:41.93;0.00:00:00:531;-0.32;-0.80;-0.51;3.719E-06;-1.308E-06;-3.243E-06;-2.05E-06;-55.99;-15.19;108.99;55.12;94.03;3.719E-06;4.054E-06;-3.344E-07;-54.296;-53.922;-99.990;0.34;-147.70;
