Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:36:14.06;0.00:00:00:063;-0.41;-0.57;-0.71;4.775E-06;-2.016E-06;-2.761E-06;-3.458E-06;-63.07;-22.66;101.83;72.41;71.59;4.775E-06;4.862E-06;-8.715E-08;-53.210;-53.131;-99.990;0.29;-128.61;
2026-02-02 17:36:14.11;0.00:00:00:112;-0.19;-0.56;-0.81;4.074E-06;-7.861E-07;-2.275E-06;-3.279E-06;-54.53;-26.86;99.84;80.49;59.08;4.074E-06;4.068E-06;6.431E-09;-53.900;-53.907;-81.917;0.40;-124.75;
2026-02-02 17:36:14.16;0.00:00:00:160;-0.12;-0.53;-0.84;3.651E-06;-4.504E-07;-1.909E-06;-3.049E-06;-51.64;-28.63;99.29;83.51;53.71;3.651E-06;3.625E-06;2.594E-08;-54.376;-54.407;-75.860;0.44;-122.04;
2026-02-02 17:36:14.22;0.00:00:00:218;-0.25;-0.46;-0.85;3.82E-06;-8.72E-07;-1.572E-06;-2.939E-06;-59.51;-29.27;90.18;76.93;47.06;3.82E-06;3.445E-06;3.752E-07;-54.179;-54.628;-64.258;0.37;-118.14;
2026-02-02 17:36:14.27;0.00:00:00:272;-0.33;-0.43;-0.84;4.543E-06;-1.237E-06;-1.604E-06;-3.16E-06;-63.81;-28.67;82.63;69.57;44.59;4.543E-06;3.754E-06;7.889E-07;-53.427;-54.255;-61.030;0.34;-116.92;
2026-02-02 17:36:14.33;0.00:00:00:327;-0.14;-0.53;-0.84;3.749E-06;-4.724E-07;-1.84E-06;-2.92E-06;-52.20;-28.48;92.92;77.88;50.67;3.749E-06;3.483E-06;2.655E-07;-54.261;-54.580;-65.760;0.43;-122.22;
2026-02-02 17:36:14.40;0.00:00:00:396;-0.25;-0.41;-0.88;4.07E-06;-9.782E-07;-1.641E-06;-3.492E-06;-60.40;-30.66;97.78;85.78;46.93;4.07E-06;3.98E-06;9.045E-08;-53.904;-54.001;-70.436;0.38;-115.17;
2026-02-02 17:36:14.47;0.00:00:00:475;-0.30;-0.54;-0.79;4.023E-06;-1.184E-06;-2.114E-06;-3.073E-06;-59.63;-25.87;97.27;76.38;60.23;4.023E-06;3.913E-06;1.098E-07;-53.954;-54.075;-69.593;0.35;-124.53;
2026-02-02 17:36:14.54;0.00:00:00:540;-0.34;-0.45;-0.83;4.45E-06;-1.502E-06;-2.004E-06;-3.692E-06;-63.42;-27.92;100.25;82.96;56.28;4.45E-06;4.461E-06;-1.113E-08;-53.516;-53.505;-99.990;0.33;-118.50;
2026-02-02 17:36:14.59;0.00:00:00:591;-0.36;-0.58;-0.73;4.349E-06;-1.645E-06;-2.618E-06;-3.285E-06;-61.07;-23.37;103.73;75.54;71.09;4.349E-06;4.511E-06;-1.623E-07;-53.617;-53.457;-99.990;0.32;-128.55;
2026-02-02 17:36:14.65;0.00:00:00:651;-0.29;-0.31;-0.91;4.34E-06;-1.121E-06;-1.206E-06;-3.567E-06;-66.45;-32.61;90.53;82.19;37.94;4.34E-06;3.929E-06;4.112E-07;-53.625;-54.057;-63.860;0.36;-108.69;
2026-02-02 17:36:14.70;0.00:00:00:703;-0.31;-0.42;-0.85;4.528E-06;-1.298E-06;-1.744E-06;-3.558E-06;-63.33;-29.29;92.08;78.57;48.02;4.528E-06;4.17E-06;3.586E-07;-53.440;-53.799;-64.454;0.34;-116.12;
2026-02-02 17:36:14.76;0.00:00:00:763;-0.26;-0.49;-0.83;4.021E-06;-9.808E-07;-1.872E-06;-3.145E-06;-58.82;-28.05;94.23;78.20;52.56;4.021E-06;3.789E-06;2.321E-07;-53.956;-54.215;-66.343;0.37;-120.77;
2026-02-02 17:36:14.81;0.00:00:00:809;-0.31;-0.71;-0.64;4.613E-06;-1.389E-06;-3.226E-06;-2.89E-06;-56.65;-19.73;98.59;62.65;76.13;4.613E-06;4.548E-06;6.485E-08;-53.360;-53.422;-71.881;0.35;-138.14;
2026-02-02 17:36:14.86;0.00:00:00:863;-0.29;-0.34;-0.89;4.191E-06;-1.197E-06;-1.444E-06;-3.746E-06;-64.82;-31.70;99.97;89.39;44.76;4.191E-06;4.19E-06;1.324E-09;-53.777;-53.778;-88.780;0.36;-111.08;
2026-02-02 17:36:14.92;0.00:00:00:917;-0.37;-0.48;-0.80;4.321E-06;-1.573E-06;-2.009E-06;-3.361E-06;-64.03;-26.40;97.65;77.78;59.05;4.321E-06;4.219E-06;1.014E-07;-53.644;-53.748;-69.941;0.31;-120.87;
2026-02-02 17:36:14.97;0.00:00:00:969;-0.47;-0.28;-0.84;5.078E-06;-2.28E-06;-1.352E-06;-4.032E-06;-74.66;-28.34;95.01;79.39;52.19;5.078E-06;4.825E-06;2.535E-07;-52.943;-53.165;-65.960;0.26;-108.54;
2026-02-02 17:36:15.03;0.00:00:01:029;-0.22;-0.56;-0.80;4.104E-06;-8.155E-07;-2.024E-06;-2.911E-06;-55.98;-26.57;88.65;70.94;53.17;4.104E-06;3.638E-06;4.658E-07;-53.868;-54.392;-63.318;0.39;-124.81;
2026-02-02 17:36:15.08;0.00:00:01:077;-0.17;-0.64;-0.75;3.972E-06;-6.866E-07;-2.617E-06;-3.058E-06;-52.35;-24.25;102.78;76.98;68.10;3.972E-06;4.083E-06;-1.104E-07;-54.009;-53.890;-99.990;0.42;-130.55;
2026-02-02 17:36:15.13;0.00:00:01:130;-0.06;-0.30;-0.95;3.725E-06;-1.748E-07;-9.393E-07;-2.987E-06;-50.27;-36.13;84.21;80.21;25.65;3.725E-06;3.136E-06;5.881E-07;-54.289;-55.036;-62.305;0.47;-107.46;
2026-02-02 17:36:15.18;0.00:00:01:180;-0.25;-0.69;-0.68;4.325E-06;-1.154E-06;-3.258E-06;-3.186E-06;-54.76;-21.33;108.69;73.66;79.92;4.325E-06;4.701E-06;-3.757E-07;-53.640;-53.278;-99.990;0.38;-135.64;
2026-02-02 17:36:15.23;0.00:00:01:232;-0.29;-0.49;-0.82;4.015E-06;-1.212E-06;-2.04E-06;-3.433E-06;-60.36;-27.68;103.94;85.51;59.09;4.015E-06;4.173E-06;-1.582E-07;-53.963;-53.795;-99.990;0.35;-120.71;
2026-02-02 17:36:15.28;0.00:00:01:280;-0.36;-0.53;-0.77;4.58E-06;-1.564E-06;-2.328E-06;-3.385E-06;-61.94;-25.18;95.97;73.90;61.23;4.58E-06;4.396E-06;1.846E-07;-53.391;-53.570;-67.337;0.32;-124.52;
2026-02-02 17:36:15.33;0.00:00:01:329;-0.10;-0.31;-0.94;3.549E-06;-3.262E-07;-1.041E-06;-3.13E-06;-53.70;-35.39;93.39;88.19;30.73;3.549E-06;3.315E-06;2.347E-07;-54.499;-54.796;-66.294;0.45;-108.39;
2026-02-02 17:36:15.38;0.00:00:01:381;-0.36;-0.48;-0.80;4.253E-06;-1.616E-06;-2.179E-06;-3.623E-06;-63.28;-26.59;106.41;85.18;63.78;4.253E-06;4.526E-06;-2.727E-07;-53.713;-53.443;-99.990;0.32;-121.03;
2026-02-02 17:36:15.44;0.00:00:01:437;-0.32;-0.34;-0.88;4.64E-06;-1.208E-06;-1.277E-06;-3.317E-06;-66.71;-31.04;80.91;71.50;37.89;4.64E-06;3.754E-06;8.856E-07;-53.335;-54.255;-60.528;0.34;-111.05;
2026-02-02 17:36:15.49;0.00:00:01:489;-0.08;-0.75;-0.65;3.5E-06;-3.389E-07;-3.309E-06;-2.879E-06;-47.92;-20.44;125.70;82.26;95.04;3.5E-06;4.399E-06;-8.993E-07;-54.560;-53.566;-99.990;0.46;-138.98;
2026-02-02 17:36:15.54;0.00:00:01:542;-0.33;-0.60;-0.73;4.483E-06;-1.524E-06;-2.734E-06;-3.363E-06;-59.57;-23.53;102.47;75.00;69.81;4.483E-06;4.594E-06;-1.106E-07;-53.484;-53.378;-99.990;0.33;-129.11;
2026-02-02 17:36:15.60;0.00:00:01:606;-0.24;-0.44;-0.87;4.245E-06;-9.487E-07;-1.75E-06;-3.462E-06;-59.23;-30.05;94.08;81.56;46.90;4.245E-06;3.994E-06;2.513E-07;-53.721;-53.986;-65.998;0.38;-116.82;
2026-02-02 17:36:15.66;0.00:00:01:658;0.06;-0.75;-0.66;3.207E-06;2.127E-07;-2.87E-06;-2.516E-06;-42.88;-20.58;119.20;78.46;89.73;3.207E-06;3.823E-06;-6.158E-07;-54.939;-54.176;-99.990;0.53;-138.76;
2026-02-02 17:36:15.71;0.00:00:01:710;-0.17;-0.51;-0.84;3.931E-06;-6.213E-07;-1.925E-06;-3.155E-06;-53.94;-28.67;95.33;80.25;51.46;3.931E-06;3.748E-06;1.838E-07;-54.055;-54.262;-67.357;0.42;-121.39;
2026-02-02 17:36:15.76;0.00:00:01:760;-0.15;-0.65;-0.74;3.447E-06;-5.911E-07;-2.531E-06;-2.885E-06;-51.57;-23.99;112.64;83.69;75.39;3.447E-06;3.883E-06;-4.357E-07;-54.625;-54.108;-99.990;0.42;-131.26;
2026-02-02 17:36:15.81;0.00:00:01:810;-0.38;-0.55;-0.74;4.372E-06;-1.816E-06;-2.599E-06;-3.524E-06;-62.47;-24.01;108.43;80.62;72.51;4.372E-06;4.74E-06;-3.685E-07;-53.594;-53.242;-99.990;0.31;-126.40;
2026-02-02 17:36:15.87;0.00:00:01:870;-0.25;-0.37;-0.89;4.084E-06;-9.506E-07;-1.392E-06;-3.335E-06;-62.16;-31.59;91.50;81.66;41.27;4.084E-06;3.737E-06;3.472E-07;-53.889;-54.275;-64.594;0.37;-112.66;
2026-02-02 17:36:15.92;0.00:00:01:919;-0.19;-0.62;-0.76;3.992E-06;-8.301E-07;-2.755E-06;-3.399E-06;-53.38;-24.88;111.56;85.15;72.08;3.992E-06;4.453E-06;-4.616E-07;-53.988;-53.513;-99.990;0.41;-129.02;
2026-02-02 17:36:15.97;0.00:00:01:971;-0.38;-0.34;-0.86;4.338E-06;-1.554E-06;-1.384E-06;-3.496E-06;-69.15;-29.62;93.78;80.59;47.97;4.338E-06;4.068E-06;2.697E-07;-53.627;-53.906;-65.692;0.31;-111.60;
2026-02-02 17:36:16.02;0.00:00:02:018;-0.37;-0.40;-0.84;4.353E-06;-1.621E-06;-1.765E-06;-3.686E-06;-66.28;-28.48;100.99;84.67;55.05;4.353E-06;4.397E-06;-4.31E-08;-53.612;-53.569;-99.990;0.32;-115.59;
2026-02-02 17:36:16.07;0.00:00:02:070;-0.38;-0.27;-0.89;4.597E-06;-1.658E-06;-1.153E-06;-3.839E-06;-72.58;-31.13;94.35;83.50;43.92;4.597E-06;4.337E-06;2.599E-07;-53.375;-53.628;-65.853;0.31;-106.72;
