Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 16:36:31.98;0.00:00:00:072;0.01;1.00;-0.02;1.419E-05;1.117E-07;1.371E-05;-2.848E-07;44.77;-0.59;96.64;2.01;96.62;1.419E-05;1.372E-05;4.766E-07;-48.479;-48.628;-63.219;0.50;-1.19;
2026-02-02 16:36:32.04;0.00:00:00:130;0.01;1.00;-0.02;1.419E-05;1.054E-07;1.371E-05;-2.765E-07;44.78;-0.58;96.62;1.95;96.60;1.419E-05;1.371E-05;4.795E-07;-48.479;-48.628;-63.192;0.50;-1.16;
2026-02-02 16:36:32.09;0.00:00:00:180;0.01;1.00;-0.02;1.418E-05;9.71E-08;1.368E-05;-2.707E-07;44.80;-0.57;96.54;1.91;96.52;1.418E-05;1.369E-05;4.906E-07;-48.485;-48.638;-63.092;0.50;-1.13;
2026-02-02 16:36:32.14;0.00:00:00:231;0.01;1.00;-0.02;1.421E-05;8.501E-08;1.368E-05;-2.722E-07;44.82;-0.57;96.34;1.92;96.32;1.421E-05;1.369E-05;5.196E-07;-48.475;-48.637;-62.843;0.50;-1.14;
2026-02-02 16:36:32.19;0.00:00:00:284;0.01;1.00;-0.02;1.419E-05;1.157E-07;1.371E-05;-2.734E-07;44.76;-0.57;96.68;1.93;96.66;1.419E-05;1.371E-05;4.712E-07;-48.481;-48.628;-63.268;0.50;-1.14;
2026-02-02 16:36:32.24;0.00:00:00:334;0.01;1.00;-0.02;1.423E-05;1.192E-07;1.375E-05;-2.626E-07;44.75;-0.55;96.69;1.85;96.67;1.423E-05;1.376E-05;4.708E-07;-48.468;-48.614;-63.271;0.50;-1.09;
2026-02-02 16:36:32.29;0.00:00:00:384;0.01;1.00;-0.02;1.422E-05;1.121E-07;1.373E-05;-2.527E-07;44.77;-0.53;96.60;1.78;96.58;1.422E-05;1.374E-05;4.836E-07;-48.471;-48.621;-63.155;0.50;-1.05;
2026-02-02 16:36:32.34;0.00:00:00:435;0.01;1.00;-0.02;1.422E-05;1.258E-07;1.375E-05;-2.493E-07;44.74;-0.52;96.65;1.75;96.63;1.422E-05;1.375E-05;4.765E-07;-48.470;-48.618;-63.219;0.50;-1.04;
2026-02-02 16:36:32.40;0.00:00:00:488;0.01;1.00;-0.02;1.419E-05;1.488E-07;1.371E-05;-2.435E-07;44.69;-0.51;96.66;1.72;96.64;1.419E-05;1.372E-05;4.74E-07;-48.480;-48.627;-63.242;0.51;-1.02;
2026-02-02 16:36:32.45;0.00:00:00:539;0.01;1.00;-0.02;1.422E-05;1.165E-07;1.372E-05;-2.417E-07;44.76;-0.50;96.52;1.70;96.51;1.422E-05;1.372E-05;4.942E-07;-48.471;-48.625;-63.061;0.50;-1.01;
2026-02-02 16:36:32.50;0.00:00:00:590;0.01;1.00;-0.02;1.423E-05;1.198E-07;1.374E-05;-2.597E-07;44.75;-0.54;96.57;1.82;96.56;1.423E-05;1.375E-05;4.878E-07;-48.467;-48.618;-63.118;0.50;-1.08;
2026-02-02 16:36:32.56;0.00:00:00:654;0.01;1.00;-0.02;1.418E-05;1.19E-07;1.369E-05;-2.564E-07;44.75;-0.54;96.55;1.81;96.54;1.418E-05;1.369E-05;4.89E-07;-48.482;-48.635;-63.107;0.50;-1.07;
