Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:25:16.40;0.00:00:00:075;0.91;-0.39;0.14;3.487E-06;4.747E-06;-2.032E-06;7.147E-07;-11.59;3.94;149.50;20.50;148.08;3.487E-06;5.213E-06;-1.726E-06;-54.576;-52.829;-99.990;0.96;160.62;
2026-02-02 17:25:16.46;0.00:00:00:127;0.93;-0.37;0.09;3.158E-06;2.643E-06;-1.053E-06;2.516E-07;-10.86;2.53;90.42;7.96;90.06;3.158E-06;2.856E-06;3.027E-07;-55.005;-55.443;-65.189;0.96;166.56;
2026-02-02 17:25:16.52;0.00:00:00:187;0.98;-0.16;0.11;2.969E-06;3.036E-06;-5.094E-07;3.51E-07;-4.76;3.25;104.36;11.82;103.69;2.969E-06;3.099E-06;-1.295E-07;-55.273;-55.088;-99.990;0.99;145.43;
2026-02-02 17:25:16.56;0.00:00:00:235;0.99;-0.13;0.10;2.996E-06;3.092E-06;-3.955E-07;3.007E-07;-3.64;2.75;104.53;10.04;104.04;2.996E-06;3.132E-06;-1.356E-07;-55.234;-55.042;-99.990;0.99;142.76;
2026-02-02 17:25:16.61;0.00:00:00:281;0.88;-0.46;0.11;3.573E-06;2.295E-06;-1.201E-06;2.915E-07;-13.82;3.21;72.96;8.16;72.50;3.573E-06;2.607E-06;9.662E-07;-54.470;-55.839;-60.149;0.94;166.36;
2026-02-02 17:25:16.66;0.00:00:00:329;0.96;-0.20;0.18;3.024E-06;3.248E-06;-6.747E-07;5.974E-07;-5.87;5.10;111.45;19.75;109.69;3.024E-06;3.371E-06;-3.463E-07;-55.194;-54.723;-99.990;0.98;138.48;
2026-02-02 17:25:16.71;0.00:00:00:376;0.86;-0.51;0.06;3.247E-06;2.701E-06;-1.619E-06;2.042E-07;-15.46;1.85;97.20;6.29;97.00;3.247E-06;3.156E-06;9.089E-08;-54.885;-55.009;-70.415;0.93;172.81;
2026-02-02 17:25:16.77;0.00:00:00:437;1.00;0.05;0.05;3.261E-06;3.668E-06;1.739E-07;1.898E-07;1.36;1.48;112.75;5.82;112.60;3.261E-06;3.677E-06;-4.158E-07;-54.866;-54.345;-99.990;1.00;47.51;
2026-02-02 17:25:16.81;0.00:00:00:484;0.95;-0.32;0.07;3.101E-06;3.731E-06;-1.246E-06;2.924E-07;-9.23;2.13;127.17;9.43;126.82;3.101E-06;3.944E-06;-8.425E-07;-55.084;-54.041;-99.990;0.97;166.79;
2026-02-02 17:25:16.86;0.00:00:00:535;0.96;-0.26;0.11;3.525E-06;3.052E-06;-8.435E-07;3.662E-07;-7.72;3.30;90.44;10.39;89.84;3.525E-06;3.188E-06;3.37E-07;-54.529;-54.965;-64.723;0.98;156.53;
2026-02-02 17:25:16.92;0.00:00:00:592;0.95;-0.26;0.15;3.114E-06;2.919E-06;-7.82E-07;4.719E-07;-7.50;4.44;98.21;15.15;97.03;3.114E-06;3.059E-06;5.572E-08;-55.066;-55.145;-72.540;0.98;148.89;
