Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:33:47.66;0.00:00:00:053;0.96;-0.28;0.08;3.334E-06;2.822E-06;-8.304E-07;2.41E-07;-8.20;2.34;88.53;7.23;88.23;3.334E-06;2.952E-06;3.825E-07;-54.770;-55.299;-64.174;0.98;163.81;
2026-02-02 17:33:47.71;0.00:00:00:106;0.96;-0.25;0.11;3.241E-06;3.07E-06;-7.897E-07;3.416E-07;-7.21;3.08;98.39;10.54;97.82;3.241E-06;3.188E-06;5.221E-08;-54.894;-54.964;-72.822;0.98;156.60;
2026-02-02 17:33:47.76;0.00:00:00:154;0.97;-0.25;0.06;3.219E-06;2.921E-06;-7.476E-07;1.805E-07;-7.18;1.71;93.82;5.61;93.66;3.219E-06;3.021E-06;1.989E-07;-54.922;-55.199;-67.014;0.98;166.43;
2026-02-02 17:33:47.81;0.00:00:00:205;0.97;-0.24;0.05;3.138E-06;3.201E-06;-7.859E-07;1.614E-07;-6.90;1.40;105.18;5.14;105.05;3.138E-06;3.3E-06;-1.625E-07;-55.034;-54.815;-99.990;0.98;168.40;
2026-02-02 17:33:47.86;0.00:00:00:254;0.96;-0.25;0.09;3.309E-06;2.793E-06;-7.374E-07;2.547E-07;-7.39;2.52;87.64;7.70;87.30;3.309E-06;2.9E-06;4.089E-07;-54.803;-55.376;-63.884;0.98;160.95;
2026-02-02 17:33:47.91;0.00:00:00:306;0.97;-0.21;0.09;3.103E-06;3.168E-06;-6.871E-07;3.093E-07;-6.12;2.72;104.94;9.96;104.46;3.103E-06;3.257E-06;-1.532E-07;-55.082;-54.872;-99.990;0.99;155.77;
2026-02-02 17:33:47.96;0.00:00:00:354;0.95;-0.29;0.10;3.416E-06;2.952E-06;-8.923E-07;3.124E-07;-8.41;2.89;90.74;9.14;90.28;3.416E-06;3.1E-06;3.163E-07;-54.664;-55.086;-65.000;0.98;160.70;
2026-02-02 17:33:48.00;0.00:00:00:400;0.99;-0.12;0.09;3.262E-06;3.165E-06;-3.778E-07;2.886E-07;-3.40;2.59;98.12;8.85;97.72;3.262E-06;3.201E-06;6.127E-08;-54.865;-54.947;-72.128;0.99;142.63;
2026-02-02 17:33:48.06;0.00:00:00:454;0.98;-0.14;0.12;3.333E-06;3.126E-06;-4.605E-07;3.732E-07;-4.19;3.37;95.47;11.20;94.81;3.333E-06;3.182E-06;1.51E-07;-54.772;-54.973;-68.211;0.99;140.98;
2026-02-02 17:33:48.11;0.00:00:00:507;0.99;-0.05;0.16;3.548E-06;3.37E-06;-1.561E-07;5.305E-07;-1.33;4.47;96.26;14.95;95.10;3.548E-06;3.415E-06;1.325E-07;-54.500;-54.666;-68.776;0.99;106.40;
2026-02-02 17:33:48.16;0.00:00:00:557;0.96;-0.26;0.09;3.175E-06;3.106E-06;-8.536E-07;2.845E-07;-7.68;2.52;101.87;8.96;101.47;3.175E-06;3.234E-06;-5.932E-08;-54.983;-54.902;-99.990;0.98;161.57;
2026-02-02 17:33:48.21;0.00:00:00:607;0.97;-0.21;0.08;3.246E-06;3.071E-06;-6.711E-07;2.548E-07;-6.16;2.32;97.18;7.85;96.86;3.246E-06;3.154E-06;9.167E-08;-54.887;-55.012;-70.378;0.99;159.21;
2026-02-02 17:33:48.26;0.00:00:00:661;0.97;-0.20;0.12;3.434E-06;3.012E-06;-6.222E-07;3.589E-07;-5.84;3.33;90.16;10.45;89.55;3.434E-06;3.096E-06;3.38E-07;-54.642;-55.092;-64.711;0.99;150.02;
2026-02-02 17:33:48.31;0.00:00:00:709;0.99;-0.11;0.12;3.52E-06;2.993E-06;-3.272E-07;3.583E-07;-3.12;3.39;86.13;10.18;85.53;3.52E-06;3.032E-06;4.881E-07;-54.535;-55.183;-63.115;0.99;132.40;
2026-02-02 17:33:48.37;0.00:00:00:761;0.95;-0.30;0.12;3.491E-06;3.058E-06;-9.62E-07;3.804E-07;-8.73;3.38;92.47;10.90;91.82;3.491E-06;3.228E-06;2.63E-07;-54.570;-54.911;-65.800;0.97;158.43;
2026-02-02 17:33:48.43;0.00:00:00:822;0.94;-0.31;0.11;3.422E-06;3.043E-06;-1.01E-06;3.57E-07;-9.18;3.18;94.28;10.43;93.70;3.422E-06;3.226E-06;1.958E-07;-54.657;-54.913;-67.082;0.97;160.54;
2026-02-02 17:33:48.48;0.00:00:00:876;0.98;-0.18;0.10;3.365E-06;3.049E-06;-5.559E-07;2.992E-07;-5.17;2.76;92.52;8.89;92.09;3.365E-06;3.114E-06;2.517E-07;-54.730;-55.067;-65.990;0.99;151.71;
2026-02-02 17:33:48.53;0.00:00:00:926;0.99;-0.13;0.08;3.192E-06;3.285E-06;-4.32E-07;2.794E-07;-3.75;2.41;104.18;8.75;103.81;3.192E-06;3.325E-06;-1.333E-07;-54.960;-54.782;-99.990;0.99;147.11;
2026-02-02 17:33:48.59;0.00:00:00:986;0.95;-0.32;0.08;3.195E-06;3.226E-06;-1.077E-06;2.725E-07;-9.24;2.29;106.77;8.53;106.42;3.195E-06;3.412E-06;-2.162E-07;-54.955;-54.670;-99.990;0.97;165.80;
2026-02-02 17:33:48.64;0.00:00:01:033;0.97;-0.21;0.09;3.114E-06;3.442E-06;-7.517E-07;3.183E-07;-6.16;2.58;113.57;10.22;113.11;3.114E-06;3.537E-06;-4.227E-07;-55.066;-54.514;-99.990;0.99;157.05;
2026-02-02 17:33:48.69;0.00:00:01:087;0.97;-0.24;0.07;3.267E-06;3.163E-06;-7.788E-07;2.401E-07;-6.92;2.11;99.99;7.35;99.72;3.267E-06;3.266E-06;4.443E-10;-54.859;-54.859;-93.523;0.98;162.86;
