Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 16:35:31.35;0.00:00:00:102;1.00;-0.09;0.00;3.014E-05;2.832E-05;-2.62E-06;-1.102E-07;-2.64;-0.11;94.38;0.37;94.37;3.014E-05;2.844E-05;1.695E-06;-45.209;-45.460;-57.708;1.00;-177.59;
2026-02-02 16:35:31.40;0.00:00:00:152;1.00;-0.09;0.00;3.018E-05;2.837E-05;-2.596E-06;-8.517E-08;-2.61;-0.09;94.38;0.28;94.38;3.018E-05;2.849E-05;1.697E-06;-45.202;-45.454;-57.703;1.00;-178.12;
2026-02-02 16:35:31.47;0.00:00:00:220;1.00;-0.09;0.00;3.014E-05;2.832E-05;-2.588E-06;-7.62E-08;-2.61;-0.08;94.38;0.25;94.38;3.014E-05;2.844E-05;1.694E-06;-45.209;-45.460;-57.712;1.00;-178.31;
2026-02-02 16:35:31.55;0.00:00:00:300;1.00;-0.09;0.00;3.037E-05;2.851E-05;-2.519E-06;-5.363E-08;-2.52;-0.05;94.24;0.18;94.24;3.037E-05;2.862E-05;1.751E-06;-45.175;-45.433;-57.568;1.00;-178.78;
2026-02-02 16:35:31.60;0.00:00:00:353;1.00;-0.09;0.00;3.036E-05;2.854E-05;-2.556E-06;-1.625E-08;-2.56;-0.02;94.38;0.05;94.38;3.036E-05;2.865E-05;1.706E-06;-45.177;-45.429;-57.679;1.00;-179.64;
2026-02-02 16:35:31.69;0.00:00:00:438;1.00;-0.09;0.00;3.031E-05;2.849E-05;-2.531E-06;-1.105E-08;-2.54;-0.01;94.36;0.04;94.36;3.031E-05;2.86E-05;1.709E-06;-45.184;-45.436;-57.673;1.00;-179.75;
2026-02-02 16:35:31.74;0.00:00:00:489;1.00;-0.09;0.00;3.038E-05;2.854E-05;-2.498E-06;3.593E-09;-2.50;0.00;94.33;0.01;94.33;3.038E-05;2.865E-05;1.723E-06;-45.175;-45.428;-57.638;1.00;179.92;
2026-02-02 16:35:31.79;0.00:00:00:540;1.00;-0.09;0.00;3.045E-05;2.863E-05;-2.496E-06;-1.172E-08;-2.49;-0.01;94.39;0.04;94.39;3.045E-05;2.874E-05;1.707E-06;-45.164;-45.415;-57.678;1.00;-179.73;
2026-02-02 16:35:31.84;0.00:00:00:592;1.00;-0.09;0.00;3.048E-05;2.865E-05;-2.503E-06;-1.198E-08;-2.50;-0.01;94.37;0.04;94.37;3.048E-05;2.876E-05;1.717E-06;-45.160;-45.412;-57.653;1.00;-179.73;
2026-02-02 16:35:31.89;0.00:00:00:643;1.00;-0.09;0.00;3.048E-05;2.867E-05;-2.478E-06;-3.645E-08;-2.47;-0.04;94.41;0.12;94.41;3.048E-05;2.878E-05;1.704E-06;-45.160;-45.410;-57.684;1.00;-179.16;
