Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:28:49.54;0.00:00:00:079;-0.45;-0.47;0.76;4.599E-06;-1.694E-06;-1.754E-06;2.865E-06;-67.00;24.80;81.80;62.30;53.01;4.599E-06;3.762E-06;8.37E-07;-53.373;-54.245;-60.773;0.27;121.47;
2026-02-02 17:28:49.59;0.00:00:00:127;-0.52;-0.58;0.62;4.675E-06;-2.185E-06;-2.466E-06;2.637E-06;-65.77;19.33;90.28;56.41;70.49;4.675E-06;4.22E-06;4.543E-07;-53.302;-53.746;-63.427;0.24;133.09;
2026-02-02 17:28:49.64;0.00:00:00:179;-0.48;-0.39;0.79;4.146E-06;-1.78E-06;-1.434E-06;2.929E-06;-70.57;26.02;89.59;70.63;55.11;4.146E-06;3.715E-06;4.316E-07;-53.823;-54.301;-63.649;0.26;116.08;
2026-02-02 17:28:49.69;0.00:00:00:225;-0.50;-0.55;0.67;4.44E-06;-2.051E-06;-2.24E-06;2.72E-06;-66.24;20.92;91.83;61.26;68.40;4.44E-06;4.077E-06;3.628E-07;-53.526;-53.897;-64.403;0.25;129.47;
2026-02-02 17:28:49.74;0.00:00:00:271;-0.40;-0.32;0.86;4.268E-06;-1.432E-06;-1.154E-06;3.058E-06;-70.56;29.49;83.61;71.65;43.09;4.268E-06;3.569E-06;6.995E-07;-53.697;-54.475;-61.552;0.30;110.68;
2026-02-02 17:28:49.78;0.00:00:00:317;-0.51;-0.63;0.59;4.722E-06;-2.157E-06;-2.663E-06;2.515E-06;-64.51;18.14;90.03;53.27;72.58;4.722E-06;4.251E-06;4.71E-07;-53.259;-53.715;-63.270;0.25;136.63;
2026-02-02 17:28:49.84;0.00:00:00:371;-0.53;-0.53;0.66;4.338E-06;-2.077E-06;-2.064E-06;2.579E-06;-67.59;20.68;89.94;59.44;67.50;4.338E-06;3.902E-06;4.363E-07;-53.627;-54.087;-63.602;0.23;128.67;
2026-02-02 17:28:49.89;0.00:00:00:420;-0.28;-0.77;0.58;4.29E-06;-1.063E-06;-2.954E-06;2.233E-06;-54.89;17.71;89.79;52.04;73.16;4.29E-06;3.852E-06;4.382E-07;-53.675;-54.143;-63.583;0.36;142.91;
2026-02-02 17:28:49.94;0.00:00:00:473;-0.52;-0.45;0.73;4.49E-06;-1.982E-06;-1.72E-06;2.812E-06;-69.52;23.49;85.66;62.63;58.45;4.49E-06;3.846E-06;6.437E-07;-53.478;-54.150;-61.913;0.24;121.46;
2026-02-02 17:28:50.00;0.00:00:00:531;-0.19;-0.72;0.67;3.856E-06;-8.214E-07;-3.076E-06;2.881E-06;-52.48;21.07;111.35;74.72;82.56;3.856E-06;4.293E-06;-4.375E-07;-54.139;-53.672;-99.990;0.40;136.87;
2026-02-02 17:28:50.04;0.00:00:00:577;-0.45;-0.56;0.70;4.124E-06;-1.725E-06;-2.136E-06;2.688E-06;-64.46;22.20;93.17;65.18;66.57;4.124E-06;3.843E-06;2.817E-07;-53.847;-54.154;-65.502;0.28;128.47;
2026-02-02 17:28:50.10;0.00:00:00:631;-0.47;-0.65;0.59;4.605E-06;-1.976E-06;-2.773E-06;2.52E-06;-62.74;18.25;92.00;54.72;73.95;4.605E-06;4.236E-06;3.686E-07;-53.368;-53.730;-64.335;0.27;137.74;
2026-02-02 17:28:50.15;0.00:00:00:681;-0.28;-0.69;0.66;4.378E-06;-1.009E-06;-2.485E-06;2.379E-06;-56.05;20.78;81.89;54.33;61.28;4.378E-06;3.585E-06;7.927E-07;-53.587;-54.455;-61.009;0.36;136.26;
2026-02-02 17:28:50.20;0.00:00:00:734;-0.41;-0.45;0.79;3.993E-06;-1.521E-06;-1.683E-06;2.966E-06;-66.05;26.29;93.52;74.28;56.83;3.993E-06;3.734E-06;2.586E-07;-53.987;-54.278;-65.873;0.30;119.58;
2026-02-02 17:28:50.26;0.00:00:00:795;-0.22;-0.60;0.77;3.619E-06;-7.906E-07;-2.21E-06;2.818E-06;-54.84;25.10;101.34;77.86;64.87;3.619E-06;3.667E-06;-4.856E-08;-54.414;-54.357;-99.990;0.39;128.11;
2026-02-02 17:28:50.31;0.00:00:00:850;-0.34;-0.66;0.67;3.979E-06;-1.404E-06;-2.689E-06;2.756E-06;-58.79;21.13;103.01;69.27;76.24;3.979E-06;4.099E-06;-1.197E-07;-54.002;-53.874;-99.990;0.33;134.29;
