Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:34:50.57;0.00:00:00:068;-0.36;-0.76;0.55;4.663E-06;-1.613E-06;-3.435E-06;2.478E-06;-57.58;16.57;97.20;53.15;81.38;4.663E-06;4.532E-06;1.305E-07;-53.314;-53.437;-68.843;0.32;144.19;
2026-02-02 17:34:50.62;0.00:00:00:121;-0.33;-0.70;0.64;4.45E-06;-1.347E-06;-2.841E-06;2.596E-06;-57.69;19.77;91.62;58.33;70.65;4.45E-06;4.077E-06;3.731E-07;-53.516;-53.896;-64.282;0.33;137.58;
2026-02-02 17:34:50.67;0.00:00:00:171;-0.41;-0.64;0.65;4.66E-06;-1.702E-06;-2.651E-06;2.691E-06;-61.35;20.25;88.91;57.75;67.60;4.66E-06;4.143E-06;5.171E-07;-53.316;-53.827;-62.865;0.29;134.57;
2026-02-02 17:34:50.76;0.00:00:00:254;-0.31;-0.75;0.58;4.077E-06;-1.206E-06;-2.932E-06;2.275E-06;-56.18;17.83;95.70;55.80;77.75;4.077E-06;3.902E-06;1.752E-07;-53.896;-54.087;-67.564;0.35;142.19;
2026-02-02 17:34:50.83;0.00:00:00:323;-0.30;-0.59;0.75;4.234E-06;-1.071E-06;-2.089E-06;2.648E-06;-58.56;24.22;83.59;62.54;55.45;4.234E-06;3.539E-06;6.949E-07;-53.733;-54.511;-61.580;0.35;128.28;
2026-02-02 17:34:50.87;0.00:00:00:369;-0.50;-0.57;0.65;4.791E-06;-1.993E-06;-2.274E-06;2.621E-06;-65.62;20.46;83.53;54.71;63.12;4.791E-06;4.002E-06;7.891E-07;-53.196;-53.978;-61.029;0.25;130.94;
2026-02-02 17:34:50.94;0.00:00:00:434;-0.13;-0.75;0.64;3.967E-06;-5.39E-07;-3.119E-06;2.665E-06;-49.90;20.05;104.28;67.17;79.77;3.967E-06;4.137E-06;-1.699E-07;-54.015;-53.833;-99.990;0.43;139.49;
2026-02-02 17:34:50.99;0.00:00:00:486;-0.40;-0.69;0.61;4.618E-06;-1.766E-06;-3.052E-06;2.682E-06;-60.03;18.63;95.94;58.09;76.36;4.618E-06;4.43E-06;1.874E-07;-53.356;-53.536;-67.271;0.30;138.69;
2026-02-02 17:34:51.06;0.00:00:00:560;-0.45;-0.61;0.66;4.797E-06;-1.896E-06;-2.587E-06;2.789E-06;-63.12;20.50;88.62;58.14;66.88;4.797E-06;4.251E-06;5.461E-07;-53.191;-53.715;-62.628;0.28;132.85;
2026-02-02 17:34:51.12;0.00:00:00:621;-0.32;-0.61;0.73;4.237E-06;-1.285E-06;-2.426E-06;2.89E-06;-58.95;23.24;94.09;68.22;64.80;4.237E-06;3.986E-06;2.505E-07;-53.730;-53.994;-66.012;0.34;130.01;
2026-02-02 17:34:51.18;0.00:00:00:673;-0.35;-0.74;0.58;4.569E-06;-1.601E-06;-3.355E-06;2.642E-06;-57.75;17.70;99.81;57.81;81.36;4.569E-06;4.56E-06;8.757E-09;-53.402;-53.410;-80.576;0.32;141.79;
2026-02-02 17:34:51.22;0.00:00:00:720;-0.45;-0.59;0.67;4.667E-06;-1.548E-06;-2.025E-06;2.271E-06;-63.70;20.85;73.15;48.66;54.61;4.667E-06;3.414E-06;1.253E-06;-53.309;-54.667;-59.019;0.27;131.71;
2026-02-02 17:34:51.27;0.00:00:00:771;-0.38;-0.61;0.70;4.14E-06;-1.403E-06;-2.28E-06;2.609E-06;-60.80;22.13;90.28;63.01;64.66;4.14E-06;3.738E-06;4.022E-07;-53.830;-54.274;-63.955;0.31;131.15;
2026-02-02 17:34:51.34;0.00:00:00:834;-0.40;-0.58;0.71;4.517E-06;-1.645E-06;-2.381E-06;2.899E-06;-62.32;22.53;90.68;64.18;64.06;4.517E-06;4.097E-06;4.209E-07;-53.451;-53.876;-63.758;0.30;129.39;
2026-02-02 17:34:51.39;0.00:00:00:885;-0.47;-0.51;0.72;4.355E-06;-1.735E-06;-1.886E-06;2.681E-06;-66.30;23.14;85.17;61.56;58.85;4.355E-06;3.709E-06;6.46E-07;-53.610;-54.307;-61.898;0.27;125.13;
2026-02-02 17:34:51.44;0.00:00:00:935;-0.42;-0.68;0.60;4.756E-06;-1.826E-06;-2.943E-06;2.629E-06;-60.91;18.60;91.42;55.28;72.81;4.756E-06;4.348E-06;4.081E-07;-53.227;-53.617;-63.893;0.29;138.22;
2026-02-02 17:34:51.49;0.00:00:00:984;-0.35;-0.63;0.69;4.058E-06;-1.348E-06;-2.405E-06;2.629E-06;-59.63;21.82;93.86;64.77;67.92;4.058E-06;3.809E-06;2.493E-07;-53.917;-54.192;-66.032;0.32;132.45;
2026-02-02 17:34:51.54;0.00:00:01:036;-0.36;-0.69;0.62;4.274E-06;-1.507E-06;-2.873E-06;2.58E-06;-58.84;19.25;96.98;60.37;75.90;4.274E-06;4.145E-06;1.291E-07;-53.691;-53.825;-68.890;0.32;138.07;
2026-02-02 17:34:51.61;0.00:00:01:107;-0.61;-0.50;0.61;5.186E-06;-2.519E-06;-2.058E-06;2.511E-06;-70.38;18.83;79.24;48.41;62.73;5.186E-06;4.109E-06;1.077E-06;-52.851;-53.862;-59.678;0.19;129.34;
2026-02-02 17:34:51.66;0.00:00:01:158;-0.35;-0.59;0.73;3.917E-06;-1.279E-06;-2.188E-06;2.68E-06;-60.15;23.30;94.17;68.42;64.70;3.917E-06;3.688E-06;2.283E-07;-54.071;-54.332;-66.414;0.33;129.23;
2026-02-02 17:34:51.71;0.00:00:01:205;-0.36;-0.70;0.62;4.449E-06;-1.595E-06;-3.136E-06;2.767E-06;-58.48;19.09;100.60;62.19;79.07;4.449E-06;4.476E-06;-2.673E-08;-53.517;-53.491;-99.990;0.32;138.57;
2026-02-02 17:34:51.77;0.00:00:01:268;-0.35;-0.71;0.62;4.251E-06;-1.423E-06;-2.906E-06;2.552E-06;-58.05;19.13;96.96;60.04;76.13;4.251E-06;4.121E-06;1.294E-07;-53.715;-53.850;-68.882;0.33;138.71;
2026-02-02 17:34:51.82;0.00:00:01:314;-0.30;-0.77;0.56;4.072E-06;-1.238E-06;-3.158E-06;2.32E-06;-55.71;17.18;100.93;56.97;83.32;4.072E-06;4.11E-06;-3.802E-08;-53.902;-53.862;-99.990;0.35;143.70;
2026-02-02 17:34:51.86;0.00:00:01:361;-0.29;-0.68;0.68;4.314E-06;-1.133E-06;-2.653E-06;2.653E-06;-56.57;21.31;90.85;61.51;66.86;4.314E-06;3.919E-06;3.947E-07;-53.651;-54.068;-64.038;0.36;134.99;
2026-02-02 17:34:51.93;0.00:00:01:424;-0.30;-0.67;0.68;4.26E-06;-1.155E-06;-2.586E-06;2.596E-06;-57.04;21.25;90.20;60.94;66.50;4.26E-06;3.842E-06;4.174E-07;-53.706;-54.154;-63.794;0.35;134.89;
2026-02-02 17:34:51.97;0.00:00:01:471;-0.38;-0.70;0.60;4.785E-06;-1.681E-06;-3.054E-06;2.631E-06;-59.42;18.52;91.28;54.98;72.86;4.785E-06;4.368E-06;4.174E-07;-53.201;-53.598;-63.794;0.31;139.25;
2026-02-02 17:34:52.02;0.00:00:01:517;-0.50;-0.69;0.53;4.733E-06;-1.981E-06;-2.727E-06;2.101E-06;-63.00;15.97;83.91;44.38;71.21;4.733E-06;3.972E-06;7.616E-07;-53.248;-54.010;-61.183;0.25;142.39;
2026-02-02 17:34:52.07;0.00:00:01:565;-0.31;-0.74;0.60;4.328E-06;-1.225E-06;-2.956E-06;2.421E-06;-56.25;18.56;92.72;55.95;73.95;4.328E-06;4.013E-06;3.148E-07;-53.638;-53.966;-65.019;0.35;140.68;
2026-02-02 17:34:52.12;0.00:00:01:614;-0.29;-0.74;0.61;4.061E-06;-1.254E-06;-3.173E-06;2.631E-06;-55.78;18.82;106.09;64.79;84.01;4.061E-06;4.309E-06;-2.474E-07;-53.913;-53.657;-99.990;0.35;140.34;
2026-02-02 17:34:52.19;0.00:00:01:689;-0.23;-0.67;0.70;3.766E-06;-8.398E-07;-2.499E-06;2.616E-06;-54.29;22.39;98.63;69.47;70.01;3.766E-06;3.714E-06;5.154E-08;-54.242;-54.301;-72.879;0.39;133.69;
2026-02-02 17:34:52.24;0.00:00:01:735;-0.52;-0.65;0.55;5.072E-06;-2.285E-06;-2.895E-06;2.455E-06;-64.14;16.82;87.36;48.40;72.73;5.072E-06;4.431E-06;6.41E-07;-52.948;-53.535;-61.931;0.24;139.70;
2026-02-02 17:34:52.29;0.00:00:01:783;-0.49;-0.63;0.60;4.744E-06;-2.062E-06;-2.641E-06;2.523E-06;-63.99;18.49;88.41;53.17;70.63;4.744E-06;4.195E-06;5.499E-07;-53.238;-53.773;-62.597;0.25;136.32;
2026-02-02 17:34:52.35;0.00:00:01:850;-0.32;-0.69;0.65;4.063E-06;-1.208E-06;-2.621E-06;2.439E-06;-57.38;20.10;93.00;60.03;71.03;4.063E-06;3.779E-06;2.844E-07;-53.911;-54.227;-65.460;0.34;137.06;
2026-02-02 17:34:52.41;0.00:00:01:907;-0.48;-0.65;0.59;4.453E-06;-1.895E-06;-2.582E-06;2.351E-06;-63.14;18.14;89.24;52.81;71.94;4.453E-06;3.974E-06;4.791E-07;-53.514;-54.008;-63.195;0.26;137.68;
