Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:28:08.77;0.00:00:00:058;-0.21;0.49;-0.85;3.53E-06;-6.75E-07;1.537E-06;-2.678E-06;56.85;-28.96;89.53;75.85;47.56;3.53E-06;3.161E-06;3.698E-07;-54.522;-55.002;-64.321;0.39;-60.14;
2026-02-02 17:28:08.82;0.00:00:00:112;-0.01;0.50;-0.86;3.378E-06;-4.29E-08;1.711E-06;-2.932E-06;45.72;-29.86;100.49;86.78;50.67;3.378E-06;3.395E-06;-1.649E-08;-54.713;-54.692;-99.990;0.49;-59.72;
2026-02-02 17:28:08.87;0.00:00:00:165;-0.06;0.69;-0.72;3.516E-06;-1.93E-07;2.381E-06;-2.512E-06;47.32;-23.22;98.59;71.46;67.93;3.516E-06;3.467E-06;4.945E-08;-54.540;-54.601;-73.058;0.47;-46.54;
2026-02-02 17:28:08.92;0.00:00:00:211;-0.27;0.46;-0.84;3.701E-06;-7.942E-07;1.358E-06;-2.472E-06;60.16;-28.77;79.19;66.81;42.51;3.701E-06;2.93E-06;7.703E-07;-54.317;-55.331;-61.134;0.36;-61.22;
2026-02-02 17:28:08.99;0.00:00:00:280;-0.08;0.71;-0.70;3.575E-06;-2.951E-07;2.637E-06;-2.583E-06;48.19;-22.11;103.58;72.24;74.23;3.575E-06;3.703E-06;-1.28E-07;-54.467;-54.314;-99.990;0.46;-44.40;
2026-02-02 17:28:09.05;0.00:00:00:340;-0.06;0.52;-0.85;3.429E-06;-2.017E-07;1.717E-06;-2.834E-06;48.35;-29.31;96.82;82.66;50.41;3.429E-06;3.32E-06;1.09E-07;-54.649;-54.789;-69.624;0.47;-58.79;
2026-02-02 17:28:09.11;0.00:00:00:402;-0.11;0.66;-0.74;3.728E-06;-4.061E-07;2.335E-06;-2.634E-06;49.93;-24.01;95.07;70.67;63.59;3.728E-06;3.544E-06;1.839E-07;-54.286;-54.505;-67.354;0.44;-48.44;
2026-02-02 17:28:09.16;0.00:00:00:456;-0.10;0.44;-0.89;3.47E-06;-3.011E-07;1.371E-06;-2.764E-06;51.19;-31.54;89.33;79.65;40.45;3.47E-06;3.1E-06;3.703E-07;-54.597;-55.087;-64.314;0.45;-63.62;
2026-02-02 17:28:09.22;0.00:00:00:509;-0.07;0.67;-0.74;3.459E-06;-2.318E-07;2.224E-06;-2.441E-06;47.97;-23.75;95.70;70.56;64.65;3.459E-06;3.31E-06;1.487E-07;-54.610;-54.801;-68.276;0.46;-47.66;
2026-02-02 17:28:09.26;0.00:00:00:556;-0.16;0.54;-0.83;3.829E-06;-5.16E-07;1.744E-06;-2.679E-06;53.24;-27.91;84.58;69.97;47.51;3.829E-06;3.238E-06;5.906E-07;-54.169;-54.897;-62.287;0.42;-56.93;
2026-02-02 17:28:09.32;0.00:00:00:612;-0.06;0.70;-0.72;3.527E-06;-1.996E-07;2.393E-06;-2.462E-06;47.38;-22.85;97.52;69.80;68.10;3.527E-06;3.439E-06;8.758E-08;-54.526;-54.636;-70.576;0.47;-45.81;
2026-02-02 17:28:09.37;0.00:00:00:661;0.00;0.53;-0.85;3.439E-06;3.517E-09;1.801E-06;-2.874E-06;44.94;-28.96;98.63;83.58;52.37;3.439E-06;3.392E-06;4.701E-08;-54.636;-54.696;-73.278;0.50;-57.93;
2026-02-02 17:28:09.42;0.00:00:00:715;-0.02;0.52;-0.85;3.645E-06;-5.23E-08;1.797E-06;-2.917E-06;45.83;-29.18;93.99;80.02;49.31;3.645E-06;3.426E-06;2.19E-07;-54.383;-54.652;-66.596;0.49;-58.37;
2026-02-02 17:28:09.48;0.00:00:00:768;0.07;0.49;-0.87;3.26E-06;2.538E-07;1.727E-06;-3.027E-06;40.82;-30.01;107.19;92.85;53.54;3.26E-06;3.494E-06;-2.342E-07;-54.868;-54.567;-99.990;0.54;-60.29;
2026-02-02 17:28:09.52;0.00:00:00:816;-0.01;0.51;-0.86;3.599E-06;-4.005E-08;1.763E-06;-2.967E-06;45.65;-29.64;95.90;82.44;48.99;3.599E-06;3.451E-06;1.475E-07;-54.438;-54.620;-68.312;0.49;-59.29;
2026-02-02 17:28:09.58;0.00:00:00:867;-0.12;0.71;-0.69;3.684E-06;-4.397E-07;2.588E-06;-2.535E-06;49.82;-22.00;99.03;68.79;71.24;3.684E-06;3.649E-06;3.557E-08;-54.336;-54.378;-74.489;0.44;-44.40;
2026-02-02 17:28:09.63;0.00:00:00:919;0.06;0.54;-0.84;3.225E-06;2.105E-07;1.936E-06;-3.015E-06;41.90;-28.57;111.27;93.47;60.38;3.225E-06;3.589E-06;-3.636E-07;-54.914;-54.450;-99.990;0.53;-57.29;
2026-02-02 17:28:09.68;0.00:00:00:968;-0.02;0.49;-0.87;3.308E-06;-5.117E-08;1.574E-06;-2.821E-06;45.93;-30.42;97.66;85.28;47.59;3.308E-06;3.231E-06;7.742E-08;-54.804;-54.907;-71.112;0.49;-60.85;
