Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:35:27.41;0.00:00:00:070;-0.05;0.83;-0.56;3.96E-06;-2.18E-07;3.329E-06;-2.256E-06;46.87;-17.03;101.70;56.97;84.25;3.96E-06;4.027E-06;-6.741E-08;-54.023;-53.950;-99.990;0.47;-34.12;
2026-02-02 17:35:27.46;0.00:00:00:124;-0.03;0.89;-0.46;3.983E-06;-1.223E-07;3.936E-06;-2.034E-06;45.89;-13.66;111.29;51.08;98.87;3.983E-06;4.432E-06;-4.496E-07;-53.998;-53.534;-99.990;0.49;-27.33;
2026-02-02 17:35:27.52;0.00:00:00:176;-0.30;0.72;-0.63;4.561E-06;-1.097E-06;2.622E-06;-2.302E-06;56.35;-19.50;80.19;50.47;62.32;4.561E-06;3.658E-06;9.034E-07;-53.409;-54.368;-60.441;0.35;-41.28;
2026-02-02 17:35:27.57;0.00:00:00:231;0.35;0.56;-0.75;3.357E-06;1.106E-06;1.777E-06;-2.369E-06;29.06;-24.27;94.17;70.57;62.35;3.357E-06;3.161E-06;1.957E-07;-54.741;-55.002;-67.084;0.67;-53.12;
2026-02-02 17:35:27.62;0.00:00:00:278;-0.20;0.67;-0.71;4.049E-06;-5.854E-07;2.003E-06;-2.111E-06;53.15;-22.66;73.31;52.13;51.55;4.049E-06;2.968E-06;1.08E-06;-53.927;-55.275;-59.664;0.40;-46.50;
2026-02-02 17:35:27.67;0.00:00:00:326;-0.05;0.68;-0.73;3.609E-06;-1.474E-07;2.104E-06;-2.238E-06;47.00;-23.35;85.22;62.02;58.45;3.609E-06;3.076E-06;5.333E-07;-54.426;-55.121;-62.730;0.48;-46.77;
2026-02-02 17:35:27.73;0.00:00:00:389;0.05;0.69;-0.72;3.647E-06;1.531E-07;2.266E-06;-2.35E-06;43.07;-22.99;89.58;64.42;62.26;3.647E-06;3.268E-06;3.799E-07;-54.380;-54.858;-64.203;0.52;-46.04;
2026-02-02 17:35:27.78;0.00:00:00:442;0.15;0.78;-0.60;3.787E-06;5.32E-07;2.745E-06;-2.119E-06;39.52;-18.58;92.65;55.96;73.84;3.787E-06;3.508E-06;2.784E-07;-54.217;-54.549;-65.554;0.58;-37.67;
2026-02-02 17:35:27.84;0.00:00:00:495;0.14;0.85;-0.51;3.243E-06;6.111E-07;3.681E-06;-2.202E-06;40.29;-15.28;133.60;67.91;115.05;3.243E-06;4.333E-06;-1.09E-06;-54.891;-53.633;-99.990;0.57;-30.89;
2026-02-02 17:35:27.88;0.00:00:00:543;-0.04;0.76;-0.65;3.895E-06;-1.381E-07;2.752E-06;-2.354E-06;46.44;-20.25;93.04;60.43;70.74;3.895E-06;3.624E-06;2.712E-07;-54.095;-54.408;-65.667;0.48;-40.54;
