Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-01-22 14:39:02.86;0.00:00:00:070;0.00;0.00;1.00;6.935;-0.002602;0.004033;6.913;61.42;44.98;99.68;99.68;0.07;6.935;6.913;0.02249;8.411;8.396;-16.479;0.50;89.97;
2026-01-22 14:39:02.93;0.00:00:00:135;0.00;0.00;1.00;6.942;-0.00259;0.004301;6.92;60.53;44.98;99.68;99.68;0.07;6.942;6.92;0.02245;8.415;8.401;-16.487;0.50;89.96;
2026-01-22 14:39:02.97;0.00:00:00:182;0.00;0.00;1.00;6.942;-0.003216;0.003957;6.92;64.55;44.98;99.68;99.68;0.07;6.942;6.92;0.02231;8.415;8.401;-16.514;0.50;89.97;
2026-01-22 14:39:03.02;0.00:00:00:230;0.00;0.00;1.00;6.941;-0.002949;0.003973;6.918;63.29;44.98;99.68;99.68;0.07;6.941;6.918;0.0221;8.414;8.400;-16.556;0.50;89.97;
2026-01-22 14:39:03.07;0.00:00:00:275;0.00;0.00;1.00;6.929;-0.002519;0.004332;6.906;60.09;44.98;99.67;99.67;0.07;6.929;6.906;0.02295;8.407;8.392;-16.392;0.50;89.96;
2026-01-22 14:39:03.11;0.00:00:00:321;0.00;0.00;1.00;6.923;-0.002962;0.003696;6.901;64.35;44.98;99.68;99.68;0.07;6.923;6.901;0.02229;8.403;8.389;-16.519;0.50;89.97;
2026-01-22 14:39:03.16;0.00:00:00:368;0.00;0.00;1.00;6.917;-0.003066;0.004646;6.895;61.71;44.98;99.69;99.69;0.08;6.917;6.895;0.02178;8.399;8.385;-16.620;0.50;89.96;
2026-01-22 14:39:03.21;0.00:00:00:415;0.00;0.00;1.00;6.911;-0.003339;0.003959;6.89;65.07;44.98;99.69;99.69;0.07;6.911;6.89;0.02164;8.396;8.382;-16.646;0.50;89.97;
2026-01-22 14:39:03.25;0.00:00:00:463;0.00;0.00;1.00;6.906;-0.002814;0.00463;6.884;60.64;44.98;99.68;99.68;0.08;6.906;6.884;0.02213;8.392;8.378;-16.550;0.50;89.96;
2026-01-22 14:39:03.30;0.00:00:00:507;0.00;0.00;1.00;6.901;-0.003251;0.005145;6.879;61.14;44.97;99.68;99.68;0.09;6.901;6.879;0.02234;8.389;8.375;-16.509;0.50;89.96;
2026-01-22 14:39:03.35;0.00:00:00:554;0.00;0.00;1.00;6.902;-0.003131;0.004322;6.88;62.96;44.98;99.68;99.68;0.08;6.902;6.88;0.02217;8.390;8.376;-16.542;0.50;89.96;
2026-01-22 14:39:03.39;0.00:00:00:601;0.00;0.00;1.00;6.911;-0.002551;0.004611;6.889;59.47;44.98;99.68;99.68;0.08;6.911;6.889;0.02184;8.395;8.382;-16.607;0.50;89.96;
2026-01-22 14:39:03.44;0.00:00:00:648;0.00;0.00;1.00;6.914;-0.003189;0.003885;6.892;64.69;44.98;99.68;99.68;0.07;6.914;6.892;0.02212;8.397;8.383;-16.551;0.50;89.97;
2026-01-22 14:39:03.49;0.00:00:00:697;0.00;0.00;1.00;6.915;-0.0028;0.004004;6.892;62.49;44.98;99.68;99.68;0.07;6.915;6.892;0.02231;8.398;8.384;-16.516;0.50;89.97;
2026-01-22 14:39:03.53;0.00:00:00:744;0.00;0.00;1.00;6.914;-0.00282;0.004222;6.892;61.87;44.98;99.68;99.68;0.07;6.914;6.892;0.02194;8.397;8.383;-16.587;0.50;89.96;
2026-01-22 14:39:03.59;0.00:00:00:804;0.00;0.00;1.00;6.916;-0.004025;0.004009;6.895;67.56;44.98;99.69;99.69;0.08;6.916;6.895;0.02161;8.399;8.385;-16.654;0.50;89.97;
2026-01-22 14:39:03.64;0.00:00:00:850;0.00;0.00;1.00;6.918;-0.002937;0.00411;6.896;62.77;44.98;99.68;99.68;0.07;6.918;6.896;0.02227;8.400;8.386;-16.523;0.50;89.97;
2026-01-22 14:39:03.69;0.00:00:00:896;0.00;0.00;1.00;6.918;-0.003346;0.004341;6.896;63.81;44.98;99.68;99.68;0.08;6.918;6.896;0.02208;8.400;8.386;-16.559;0.50;89.96;
2026-01-22 14:39:03.73;0.00:00:00:942;0.00;0.00;1.00;6.921;-0.002868;0.004723;6.898;60.63;44.98;99.68;99.68;0.08;6.921;6.898;0.02249;8.402;8.387;-16.481;0.50;89.96;
2026-01-22 14:39:03.78;0.00:00:00:988;0.00;0.00;1.00;6.918;-0.002586;0.00377;6.896;62.22;44.98;99.68;99.68;0.07;6.918;6.896;0.02193;8.400;8.386;-16.589;0.50;89.97;
2026-01-22 14:39:03.83;0.00:00:01:037;0.00;0.00;1.00;6.914;-0.003452;0.003827;6.893;66.03;44.98;99.68;99.68;0.07;6.914;6.893;0.02181;8.398;8.384;-16.614;0.50;89.97;
2026-01-22 14:39:03.87;0.00:00:01:082;0.00;0.00;1.00;6.914;-0.00295;0.004528;6.892;61.54;44.98;99.68;99.68;0.08;6.914;6.892;0.02224;8.397;8.383;-16.529;0.50;89.96;
2026-01-22 14:39:03.92;0.00:00:01:130;0.00;0.00;1.00;6.911;-0.002838;0.003991;6.888;62.71;44.98;99.67;99.67;0.07;6.911;6.888;0.02262;8.395;8.381;-16.455;0.50;89.97;
2026-01-22 14:39:03.97;0.00:00:01:177;0.00;0.00;1.00;6.917;-0.002564;0.005091;6.895;58.37;44.98;99.67;99.67;0.08;6.917;6.895;0.0225;8.399;8.385;-16.479;0.50;89.96;
2026-01-22 14:39:04.01;0.00:00:01:223;0.00;0.00;1.00;6.916;-0.003195;0.004511;6.894;62.65;44.98;99.68;99.68;0.08;6.916;6.894;0.02219;8.398;8.384;-16.539;0.50;89.96;
2026-01-22 14:39:04.06;0.00:00:01:270;0.00;0.00;1.00;6.919;-0.002705;0.005069;6.897;59.04;44.98;99.68;99.68;0.08;6.919;6.897;0.02217;8.400;8.386;-16.542;0.50;89.96;
2026-01-22 14:39:04.11;0.00:00:01:318;0.00;0.00;1.00;6.918;-0.003298;0.003718;6.896;65.79;44.98;99.68;99.68;0.07;6.918;6.896;0.02221;8.400;8.386;-16.534;0.50;89.97;
2026-01-22 14:39:04.16;0.00:00:01:364;0.00;0.00;1.00;6.919;-0.003096;0.004701;6.897;61.68;44.98;99.68;99.68;0.08;6.919;6.897;0.02182;8.400;8.386;-16.612;0.50;89.96;
2026-01-22 14:39:04.20;0.00:00:01:411;0.00;0.00;1.00;6.924;-0.002932;0.004492;6.902;61.57;44.98;99.68;99.68;0.08;6.924;6.902;0.02228;8.403;8.389;-16.522;0.50;89.96;
2026-01-22 14:39:04.25;0.00:00:01:459;0.00;0.00;1.00;6.926;-0.003125;0.004553;6.903;62.23;44.98;99.68;99.68;0.08;6.926;6.903;0.02248;8.405;8.391;-16.483;0.50;89.96;
2026-01-22 14:39:04.31;0.00:00:01:518;0.00;0.00;1.00;6.929;-0.00304;0.004259;6.907;62.76;44.98;99.68;99.68;0.08;6.929;6.907;0.02189;8.407;8.393;-16.598;0.50;89.96;
2026-01-22 14:39:04.35;0.00:00:01:564;0.00;0.00;1.00;6.928;-0.002292;0.004829;6.905;57.69;44.98;99.67;99.67;0.08;6.928;6.905;0.02292;8.406;8.392;-16.398;0.50;89.96;
2026-01-22 14:39:04.40;0.00:00:01:612;0.00;0.00;1.00;6.925;-0.002742;0.003513;6.903;63.99;44.98;99.68;99.68;0.06;6.925;6.903;0.02187;8.404;8.391;-16.601;0.50;89.97;
2026-01-22 14:39:04.45;0.00:00:01:658;0.00;0.00;1.00;6.92;-0.003328;0.003319;6.899;67.54;44.98;99.69;99.69;0.07;6.92;6.899;0.02176;8.401;8.388;-16.624;0.50;89.97;
2026-01-22 14:39:04.50;0.00:00:01:704;0.00;0.00;1.00;6.917;-0.002978;0.00328;6.895;66.12;44.98;99.68;99.68;0.06;6.917;6.895;0.02213;8.399;8.385;-16.551;0.50;89.97;
2026-01-22 14:39:04.54;0.00:00:01:751;0.00;0.00;1.00;6.915;-0.00356;0.002861;6.894;70.61;44.98;99.69;99.69;0.07;6.915;6.894;0.02173;8.398;8.384;-16.629;0.50;89.98;
2026-01-22 14:39:04.59;0.00:00:01:798;0.00;0.00;1.00;6.913;-0.00344;0.003085;6.891;69.06;44.98;99.69;99.69;0.07;6.913;6.891;0.02127;8.396;8.383;-16.722;0.50;89.97;
2026-01-22 14:39:04.63;0.00:00:01:843;0.00;0.00;1.00;6.919;-0.003904;0.003673;6.897;68.37;44.98;99.69;99.69;0.08;6.919;6.897;0.02162;8.400;8.387;-16.652;0.50;89.97;
2026-01-22 14:39:04.68;0.00:00:01:891;0.00;0.00;1.00;6.916;-0.003316;0.00353;6.894;66.61;44.98;99.68;99.68;0.07;6.916;6.894;0.02194;8.399;8.385;-16.588;0.50;89.97;
2026-01-22 14:39:04.73;0.00:00:01:938;0.00;0.00;1.00;6.913;-0.003675;0.003607;6.891;67.77;44.98;99.69;99.69;0.07;6.913;6.891;0.02169;8.396;8.383;-16.637;0.50;89.97;
2026-01-22 14:39:04.78;0.00:00:01:984;0.00;0.00;1.00;6.908;-0.003068;0.003713;6.887;64.78;44.98;99.69;99.69;0.07;6.908;6.887;0.02132;8.394;8.380;-16.711;0.50;89.97;
2026-01-22 14:39:04.82;0.00:00:02:032;0.00;0.00;1.00;6.913;-0.002878;0.003606;6.891;64.30;44.98;99.68;99.68;0.07;6.913;6.891;0.02183;8.397;8.383;-16.610;0.50;89.97;
2026-01-22 14:39:04.87;0.00:00:02:078;0.00;0.00;1.00;6.915;-0.003188;0.003693;6.894;65.40;44.98;99.69;99.69;0.07;6.915;6.894;0.02166;8.398;8.384;-16.644;0.50;89.97;
2026-01-22 14:39:04.91;0.00:00:02:123;0.00;0.00;1.00;6.915;-0.00313;0.004088;6.894;63.72;44.98;99.69;99.69;0.07;6.915;6.894;0.02177;8.398;8.384;-16.622;0.50;89.97;
2026-01-22 14:39:04.96;0.00:00:02:169;0.00;0.00;1.00;6.914;-0.003112;0.004046;6.892;63.78;44.98;99.69;99.69;0.07;6.914;6.892;0.02169;8.397;8.384;-16.638;0.50;89.97;
2026-01-22 14:39:05.01;0.00:00:02:216;0.00;0.00;1.00;6.916;-0.003508;0.004549;6.895;63.82;44.98;99.69;99.69;0.08;6.916;6.895;0.02163;8.399;8.385;-16.650;0.50;89.96;
2026-01-22 14:39:05.05;0.00:00:02:261;0.00;0.00;1.00;6.918;-0.003594;0.005363;6.896;61.91;44.97;99.69;99.69;0.09;6.918;6.896;0.02173;8.400;8.386;-16.629;0.50;89.96;
