Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:25:54.75;0.00:00:00:059;-0.99;0.13;-0.03;4.751E-06;-4.706E-06;6.006E-07;-1.644E-07;86.36;-0.99;99.90;3.46;99.84;4.751E-06;4.747E-06;4.84E-09;-53.232;-53.236;-83.152;0.00;-15.31;
2026-02-02 17:25:54.80;0.00:00:00:111;-0.99;0.13;-0.03;4.807E-06;-4.772E-06;6.392E-07;-1.246E-07;86.19;-0.74;100.20;2.59;100.16;4.807E-06;4.816E-06;-9.464E-09;-53.182;-53.173;-99.990;0.00;-11.03;
2026-02-02 17:25:54.86;0.00:00:00:162;-0.99;0.13;-0.03;4.712E-06;-4.671E-06;6.232E-07;-1.296E-07;86.20;-0.79;100.05;2.75;100.02;4.712E-06;4.715E-06;-2.582E-09;-53.268;-53.266;-99.990;0.00;-11.74;
2026-02-02 17:25:54.91;0.00:00:00:217;-0.99;0.13;-0.03;4.73E-06;-4.683E-06;6.305E-07;-1.377E-07;86.17;-0.83;99.94;2.91;99.90;4.73E-06;4.727E-06;2.958E-09;-53.251;-53.254;-85.290;0.00;-12.32;
2026-02-02 17:25:54.96;0.00:00:00:264;-0.99;0.14;-0.03;4.771E-06;-4.757E-06;6.501E-07;-1.365E-07;86.11;-0.81;100.66;2.86;100.62;4.771E-06;4.803E-06;-3.163E-08;-53.213;-53.185;-99.990;0.00;-11.86;
2026-02-02 17:25:55.00;0.00:00:00:310;-0.99;0.13;-0.03;4.801E-06;-4.768E-06;6.3E-07;-1.437E-07;86.24;-0.86;100.23;2.99;100.19;4.801E-06;4.812E-06;-1.12E-08;-53.187;-53.177;-99.990;0.00;-12.84;
2026-02-02 17:25:55.05;0.00:00:00:360;-0.99;0.13;-0.03;4.765E-06;-4.72E-06;6.126E-07;-1.494E-07;86.30;-0.90;99.94;3.14;99.90;4.765E-06;4.762E-06;2.645E-09;-53.219;-53.222;-85.776;0.00;-13.71;
2026-02-02 17:25:55.11;0.00:00:00:416;-0.99;0.13;-0.03;4.739E-06;-4.699E-06;6.064E-07;-1.59E-07;86.32;-0.96;100.04;3.35;99.98;4.739E-06;4.741E-06;-1.881E-09;-53.243;-53.242;-99.990;0.00;-14.69;
2026-02-02 17:25:55.16;0.00:00:00:463;-0.99;0.13;-0.03;4.775E-06;-4.736E-06;6.198E-07;-1.374E-07;86.27;-0.82;100.06;2.88;100.02;4.775E-06;4.778E-06;-2.999E-09;-53.210;-53.207;-99.990;0.00;-12.50;
2026-02-02 17:25:55.20;0.00:00:00:511;-0.99;0.13;-0.03;4.743E-06;-4.705E-06;6.089E-07;-1.543E-07;86.31;-0.93;100.07;3.25;100.01;4.743E-06;4.746E-06;-3.112E-09;-53.239;-53.236;-99.990;0.00;-14.22;
2026-02-02 17:25:55.25;0.00:00:00:560;-0.99;0.13;-0.03;4.738E-06;-4.704E-06;6.212E-07;-1.496E-07;86.24;-0.90;100.18;3.16;100.13;4.738E-06;4.747E-06;-8.444E-09;-53.244;-53.236;-99.990;0.00;-13.54;
2026-02-02 17:25:55.31;0.00:00:00:619;-0.99;0.13;-0.03;4.74E-06;-4.706E-06;6.155E-07;-1.447E-07;86.27;-0.87;100.18;3.05;100.14;4.74E-06;4.748E-06;-8.608E-09;-53.242;-53.234;-99.990;0.00;-13.23;
2026-02-02 17:25:55.37;0.00:00:00:673;-0.99;0.14;-0.03;4.754E-06;-4.71E-06;6.502E-07;-1.511E-07;86.07;-0.91;100.06;3.18;100.01;4.754E-06;4.757E-06;-2.771E-09;-53.230;-53.227;-99.990;0.00;-13.08;
2026-02-02 17:25:55.41;0.00:00:00:720;-0.99;0.12;-0.03;4.725E-06;-4.68E-06;5.845E-07;-1.463E-07;86.44;-0.89;99.86;3.10;99.81;4.725E-06;4.719E-06;6.806E-09;-53.256;-53.262;-81.671;0.00;-14.06;
2026-02-02 17:25:55.47;0.00:00:00:775;-0.99;0.12;-0.03;4.746E-06;-4.696E-06;5.893E-07;-1.262E-07;86.42;-0.76;99.76;2.66;99.73;4.746E-06;4.735E-06;1.137E-08;-53.236;-53.247;-79.444;0.00;-12.08;
2026-02-02 17:25:55.52;0.00:00:00:827;-0.99;0.13;-0.03;4.724E-06;-4.674E-06;6.321E-07;-1.562E-07;86.15;-0.95;99.90;3.31;99.84;4.724E-06;4.719E-06;4.952E-09;-53.257;-53.261;-83.052;0.00;-13.88;
2026-02-02 17:25:55.57;0.00:00:00:874;-0.99;0.13;-0.03;4.715E-06;-4.669E-06;5.962E-07;-1.481E-07;86.36;-0.90;99.88;3.14;99.83;4.715E-06;4.709E-06;5.814E-09;-53.265;-53.271;-82.356;0.00;-13.95;
2026-02-02 17:25:55.62;0.00:00:00:927;-0.99;0.13;-0.03;4.73E-06;-4.696E-06;6.203E-07;-1.506E-07;86.24;-0.91;100.20;3.18;100.15;4.73E-06;4.739E-06;-9.474E-09;-53.251;-53.243;-99.990;0.00;-13.64;
2026-02-02 17:25:55.67;0.00:00:00:975;-0.99;0.13;-0.03;4.733E-06;-4.695E-06;6.099E-07;-1.6E-07;86.30;-0.97;100.08;3.38;100.02;4.733E-06;4.737E-06;-3.583E-09;-53.248;-53.245;-99.990;0.00;-14.70;
2026-02-02 17:25:55.71;0.00:00:01:022;-0.99;0.13;-0.03;4.736E-06;-4.689E-06;6.186E-07;-1.503E-07;86.24;-0.91;99.91;3.17;99.86;4.736E-06;4.732E-06;4.044E-09;-53.246;-53.250;-83.931;0.00;-13.65;
