Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 17:33:08.64;0.00:00:00:063;-1.00;0.10;-0.01;4.748E-06;-4.721E-06;4.701E-07;-5.252E-08;87.16;-0.32;99.93;1.11;99.93;4.748E-06;4.745E-06;3.187E-09;-53.235;-53.238;-84.966;0.00;-6.37;
2026-02-02 17:33:08.69;0.00:00:00:114;-1.00;0.09;-0.01;4.767E-06;-4.761E-06;4.517E-07;-6.387E-08;87.29;-0.38;100.32;1.34;100.31;4.767E-06;4.783E-06;-1.543E-08;-53.217;-53.203;-99.990;0.00;-8.05;
2026-02-02 17:33:08.74;0.00:00:00:166;-1.00;0.09;-0.01;4.731E-06;-4.711E-06;4.445E-07;-6.996E-08;87.31;-0.42;100.03;1.48;100.02;4.731E-06;4.733E-06;-1.594E-09;-53.250;-53.249;-99.990;0.00;-8.95;
2026-02-02 17:33:08.80;0.00:00:00:227;-1.00;0.10;-0.01;4.725E-06;-4.705E-06;4.496E-07;-6.829E-08;87.27;-0.41;100.04;1.45;100.03;4.725E-06;4.727E-06;-1.895E-09;-53.256;-53.255;-99.990;0.00;-8.64;
2026-02-02 17:33:08.86;0.00:00:00:289;-1.00;0.10;-0.01;4.773E-06;-4.761E-06;4.694E-07;-5.654E-08;87.18;-0.34;100.24;1.18;100.23;4.773E-06;4.785E-06;-1.147E-08;-53.212;-53.201;-99.990;0.00;-6.87;
2026-02-02 17:33:08.92;0.00:00:00:341;-1.00;0.10;-0.01;4.738E-06;-4.716E-06;4.578E-07;-6.262E-08;87.23;-0.38;100.00;1.32;100.00;4.738E-06;4.739E-06;-2.369E-10;-53.244;-53.243;-99.990;0.00;-7.79;
2026-02-02 17:33:08.97;0.00:00:00:391;-1.00;0.10;-0.02;4.744E-06;-4.726E-06;4.604E-07;-7.212E-08;87.22;-0.44;100.11;1.52;100.10;4.744E-06;4.749E-06;-5.137E-09;-53.239;-53.234;-99.990;0.00;-8.90;
2026-02-02 17:33:09.02;0.00:00:00:442;-0.99;0.10;-0.02;4.739E-06;-4.723E-06;4.787E-07;-7.615E-08;87.11;-0.46;100.18;1.61;100.17;4.739E-06;4.747E-06;-8.558E-09;-53.243;-53.235;-99.990;0.00;-9.04;
2026-02-02 17:33:09.08;0.00:00:00:503;-1.00;0.09;-0.02;4.776E-06;-4.765E-06;4.486E-07;-7.475E-08;87.31;-0.45;100.22;1.57;100.21;4.776E-06;4.786E-06;-1.044E-08;-53.209;-53.200;-99.990;0.00;-9.46;
2026-02-02 17:33:09.13;0.00:00:00:553;-1.00;0.10;-0.02;4.781E-06;-4.759E-06;4.703E-07;-7.793E-08;87.18;-0.47;100.03;1.63;100.02;4.781E-06;4.782E-06;-1.606E-09;-53.205;-53.204;-99.990;0.00;-9.41;
