Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-02 16:34:49.50;0.00:00:00:071;-1.00;0.05;-0.03;4.64E-06;-4.637E-06;2.233E-07;-1.166E-07;88.62;-0.72;100.08;2.51;100.05;4.64E-06;4.643E-06;-3.772E-09;-53.335;-53.332;-99.990;0.00;-27.56;
2026-02-02 16:34:49.55;0.00:00:00:120;-1.00;0.05;-0.03;4.665E-06;-4.663E-06;2.193E-07;-1.19E-07;88.65;-0.73;100.10;2.55;100.07;4.665E-06;4.67E-06;-4.73E-09;-53.311;-53.307;-99.990;0.00;-28.48;
2026-02-02 16:34:49.60;0.00:00:00:168;-1.00;0.05;-0.03;4.685E-06;-4.689E-06;2.18E-07;-1.178E-07;88.67;-0.72;100.22;2.52;100.19;4.685E-06;4.695E-06;-1.032E-08;-53.293;-53.284;-99.990;0.00;-28.39;
2026-02-02 16:34:49.66;0.00:00:00:222;-1.00;0.05;-0.03;4.656E-06;-4.646E-06;2.132E-07;-1.21E-07;88.69;-0.75;99.94;2.60;99.90;4.656E-06;4.653E-06;2.971E-09;-53.320;-53.323;-85.271;0.00;-29.58;
2026-02-02 16:34:49.71;0.00:00:00:275;-1.00;0.04;-0.02;4.656E-06;-4.654E-06;2.09E-07;-1.152E-07;88.71;-0.71;100.08;2.47;100.05;4.656E-06;4.66E-06;-3.837E-09;-53.320;-53.316;-99.990;0.00;-28.86;
2026-02-02 16:34:49.76;0.00:00:00:322;-1.00;0.05;-0.03;4.655E-06;-4.651E-06;2.127E-07;-1.179E-07;88.69;-0.73;100.05;2.53;100.01;4.655E-06;4.657E-06;-2.169E-09;-53.321;-53.319;-99.990;0.00;-28.99;
2026-02-02 16:34:49.80;0.00:00:00:370;-1.00;0.05;-0.03;4.649E-06;-4.65E-06;2.19E-07;-1.224E-07;88.65;-0.75;100.18;2.63;100.15;4.649E-06;4.657E-06;-8.372E-09;-53.327;-53.319;-99.990;0.00;-29.20;
2026-02-02 16:34:49.85;0.00:00:00:419;-1.00;0.04;-0.03;4.631E-06;-4.627E-06;2.052E-07;-1.159E-07;88.73;-0.72;100.04;2.50;100.01;4.631E-06;4.633E-06;-1.839E-09;-53.343;-53.341;-99.990;0.00;-29.47;
2026-02-02 16:34:49.91;0.00:00:00:472;-1.00;0.05;-0.02;4.616E-06;-4.61E-06;2.151E-07;-1.124E-07;88.66;-0.70;100.00;2.43;99.97;4.616E-06;4.616E-06;-1.985E-10;-53.357;-53.357;-99.990;0.00;-27.59;
2026-02-02 16:34:49.95;0.00:00:00:518;-1.00;0.05;-0.02;4.586E-06;-4.574E-06;2.241E-07;-1.086E-07;88.60;-0.68;99.87;2.37;99.84;4.586E-06;4.58E-06;5.853E-09;-53.386;-53.391;-82.326;0.00;-25.85;
2026-02-02 16:34:50.01;0.00:00:00:572;-1.00;0.05;-0.02;4.631E-06;-4.631E-06;2.215E-07;-1.133E-07;88.63;-0.70;100.13;2.45;100.10;4.631E-06;4.637E-06;-6.146E-09;-53.343;-53.337;-99.990;0.00;-27.10;
2026-02-02 16:34:50.06;0.00:00:00:629;-1.00;0.05;-0.02;4.601E-06;-4.598E-06;2.18E-07;-1.087E-07;88.64;-0.68;100.07;2.36;100.04;4.601E-06;4.605E-06;-3.345E-09;-53.371;-53.368;-99.990;0.00;-26.49;
2026-02-02 16:34:50.11;0.00:00:00:680;-1.00;0.05;-0.03;4.605E-06;-4.588E-06;2.183E-07;-1.248E-07;88.64;-0.78;99.78;2.71;99.74;4.605E-06;4.595E-06;1.008E-08;-53.368;-53.377;-79.966;0.00;-29.75;
2026-02-02 16:34:50.17;0.00:00:00:733;-1.00;0.05;-0.03;4.618E-06;-4.615E-06;2.244E-07;-1.212E-07;88.61;-0.75;100.08;2.62;100.05;4.618E-06;4.622E-06;-3.87E-09;-53.355;-53.352;-99.990;0.00;-28.37;
2026-02-02 16:34:50.21;0.00:00:00:781;-1.00;0.05;-0.03;4.604E-06;-4.602E-06;2.178E-07;-1.202E-07;88.65;-0.75;100.11;2.61;100.07;4.604E-06;4.609E-06;-4.908E-09;-53.369;-53.364;-99.990;0.00;-28.90;
2026-02-02 16:34:50.27;0.00:00:00:834;-1.00;0.05;-0.03;4.589E-06;-4.588E-06;2.107E-07;-1.158E-07;88.68;-0.72;100.12;2.52;100.08;4.589E-06;4.594E-06;-5.291E-09;-53.383;-53.378;-99.990;0.00;-28.79;
2026-02-02 16:34:50.33;0.00:00:00:896;-1.00;0.05;-0.03;4.623E-06;-4.622E-06;2.259E-07;-1.244E-07;88.60;-0.77;100.12;2.69;100.09;4.623E-06;4.629E-06;-5.746E-09;-53.351;-53.345;-99.990;0.00;-28.86;
2026-02-02 16:34:50.38;0.00:00:00:943;-1.00;0.05;-0.03;4.611E-06;-4.606E-06;2.196E-07;-1.265E-07;88.64;-0.79;100.04;2.74;100.01;4.611E-06;4.613E-06;-2.047E-09;-53.362;-53.360;-99.990;0.00;-29.95;
2026-02-02 16:34:50.43;0.00:00:00:994;-1.00;0.05;-0.03;4.614E-06;-4.619E-06;2.123E-07;-1.222E-07;88.68;-0.76;100.26;2.65;100.22;4.614E-06;4.626E-06;-1.184E-08;-53.359;-53.348;-99.990;0.00;-29.93;
2026-02-02 16:34:50.48;0.00:00:01:044;-1.00;0.05;-0.03;4.604E-06;-4.601E-06;2.223E-07;-1.387E-07;88.62;-0.86;100.10;3.01;100.05;4.604E-06;4.608E-06;-4.535E-09;-53.369;-53.365;-99.990;0.00;-31.96;
2026-02-02 16:34:50.53;0.00:00:01:094;-1.00;0.05;-0.03;4.61E-06;-4.604E-06;2.273E-07;-1.374E-07;88.59;-0.85;100.04;2.98;99.99;4.61E-06;4.612E-06;-1.683E-09;-53.363;-53.361;-99.990;0.00;-31.16;
2026-02-02 16:34:50.58;0.00:00:01:146;-1.00;0.05;-0.03;4.623E-06;-4.629E-06;2.149E-07;-1.431E-07;88.67;-0.88;100.27;3.10;100.22;4.623E-06;4.636E-06;-1.244E-08;-53.350;-53.339;-99.990;0.00;-33.66;
