Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-03 18:36:16.11;0.00:00:00:052;-0.41;0.91;0.07;5.423E-06;-1.853E-06;4.1E-06;3.252E-07;57.16;2.07;83.19;6.00;82.97;5.423E-06;4.511E-06;9.115E-07;-52.658;-53.457;-60.402;0.29;4.53;
2026-02-03 18:36:16.17;0.00:00:00:102;-0.17;0.98;0.06;4.565E-06;-8.382E-07;4.853E-06;3.157E-07;49.90;1.83;108.09;6.92;107.87;4.565E-06;4.935E-06;-3.692E-07;-53.405;-53.067;-99.990;0.42;3.72;
2026-02-03 18:36:16.22;0.00:00:00:154;-0.33;0.94;-0.01;5.253E-06;-1.406E-06;4.038E-06;-3.599E-08;54.60;-0.24;81.42;0.69;81.41;5.253E-06;4.276E-06;9.761E-07;-52.796;-53.689;-60.105;0.34;-0.51;
2026-02-03 18:36:16.27;0.00:00:00:205;-0.20;0.98;0.07;5.053E-06;-1.09E-06;5.209E-06;3.596E-07;50.91;1.93;105.56;7.12;105.32;5.053E-06;5.334E-06;-2.809E-07;-52.964;-52.729;-99.990;0.40;3.95;
2026-02-03 18:36:16.32;0.00:00:00:253;-0.20;0.95;0.23;4.663E-06;-7.871E-07;3.82E-06;9.079E-07;50.82;6.55;85.88;19.47;83.65;4.663E-06;4.005E-06;6.583E-07;-53.313;-53.974;-61.816;0.40;13.37;
2026-02-03 18:36:16.37;0.00:00:00:306;-0.35;0.92;0.20;5.362E-06;-1.43E-06;3.775E-06;8.058E-07;55.37;5.64;76.77;15.03;75.28;5.362E-06;4.116E-06;1.246E-06;-52.707;-53.855;-59.046;0.33;12.05;
2026-02-03 18:36:16.41;0.00:00:00:351;-0.08;0.98;0.17;4.23E-06;-3.623E-07;4.354E-06;7.56E-07;47.38;4.91;104.82;17.87;103.28;4.23E-06;4.434E-06;-2.038E-07;-53.736;-53.532;-99.990;0.46;9.85;
2026-02-03 18:36:16.47;0.00:00:00:402;-0.40;0.91;0.07;5.05E-06;-1.467E-06;3.362E-06;2.712E-07;56.78;2.11;72.84;5.37;72.64;5.05E-06;3.678E-06;1.371E-06;-52.967;-54.343;-58.628;0.30;4.61;
2026-02-03 18:36:16.52;0.00:00:00:454;-0.06;0.99;0.09;4.175E-06;-2.894E-07;5.191E-06;4.455E-07;46.60;2.45;124.97;10.67;124.52;4.175E-06;5.218E-06;-1.043E-06;-53.793;-52.825;-99.990;0.47;4.90;
2026-02-03 18:36:16.57;0.00:00:00:503;-0.12;0.96;0.24;4.371E-06;-4.126E-07;3.283E-06;8.348E-07;48.58;7.08;78.06;19.10;75.69;4.371E-06;3.412E-06;9.591E-07;-53.594;-54.670;-60.181;0.44;14.27;
2026-02-03 18:36:16.62;0.00:00:00:553;-0.24;0.97;0.04;4.764E-06;-1.257E-06;5.036E-06;2.291E-07;52.01;1.26;109.06;4.81;108.96;4.764E-06;5.196E-06;-4.317E-07;-53.220;-52.843;-99.990;0.38;2.60;
2026-02-03 18:36:16.67;0.00:00:00:604;0.04;1.00;0.09;3.847E-06;1.71E-07;3.805E-06;3.338E-07;43.71;2.50;99.38;8.68;99.00;3.847E-06;3.824E-06;2.371E-08;-54.148;-54.175;-76.250;0.52;5.01;
2026-02-03 18:36:16.72;0.00:00:00:652;-0.09;0.99;0.10;4.548E-06;-4.821E-07;5.246E-06;5.437E-07;47.63;2.95;116.44;11.95;115.82;4.548E-06;5.296E-06;-7.477E-07;-53.421;-52.760;-99.990;0.45;5.92;
2026-02-03 18:36:16.77;0.00:00:00:703;-0.02;0.99;0.12;4.446E-06;-1.161E-07;5.129E-06;6.313E-07;45.65;3.51;116.26;14.20;115.39;4.446E-06;5.169E-06;-7.231E-07;-53.520;-52.866;-99.990;0.49;7.02;
2026-02-03 18:36:16.82;0.00:00:00:756;-0.32;0.94;0.14;5.129E-06;-1.393E-06;4.025E-06;6.022E-07;54.55;4.02;83.86;11.74;83.03;5.129E-06;4.301E-06;8.281E-07;-52.899;-53.664;-60.819;0.34;8.51;
2026-02-03 18:36:16.87;0.00:00:00:804;-0.10;0.97;0.23;4.417E-06;-4.948E-07;4.66E-06;1.098E-06;48.03;6.59;108.97;24.86;106.10;4.417E-06;4.813E-06;-3.964E-07;-53.549;-53.176;-99.990;0.45;13.26;
2026-02-03 18:36:16.91;0.00:00:00:851;-0.37;0.90;0.22;5.351E-06;-1.398E-06;3.383E-06;8.194E-07;56.22;6.31;70.11;15.31;68.41;5.351E-06;3.751E-06;1.599E-06;-52.716;-54.258;-57.960;0.31;13.62;
2026-02-03 18:36:16.97;0.00:00:00:907;-0.21;0.96;0.17;4.828E-06;-9.516E-07;4.428E-06;7.946E-07;51.06;4.97;95.24;16.46;93.81;4.828E-06;4.599E-06;2.296E-07;-53.162;-53.374;-66.390;0.40;10.17;
2026-02-03 18:36:17.02;0.00:00:00:953;-0.24;0.97;0.09;4.594E-06;-7.963E-07;3.217E-06;3.121E-07;51.95;2.69;72.46;6.79;72.14;4.594E-06;3.329E-06;1.265E-06;-53.378;-54.777;-58.978;0.38;5.54;
2026-02-03 18:36:17.07;0.00:00:01:004;-0.22;0.96;0.19;4.822E-06;-9.58E-07;4.113E-06;8.228E-07;51.56;5.51;89.23;17.06;87.58;4.822E-06;4.302E-06;5.194E-07;-53.168;-53.663;-62.845;0.39;11.31;
2026-02-03 18:36:17.12;0.00:00:01:056;-0.03;0.99;0.15;3.882E-06;-1.393E-07;4.074E-06;6.34E-07;45.98;4.42;106.28;16.33;105.02;3.882E-06;4.126E-06;-2.438E-07;-54.109;-53.845;-99.990;0.48;8.85;
2026-02-03 18:36:17.17;0.00:00:01:103;-0.12;0.96;0.27;4.378E-06;-4.365E-07;3.468E-06;9.66E-07;48.59;7.73;82.83;22.07;79.83;4.378E-06;3.626E-06;7.518E-07;-53.587;-54.406;-61.239;0.44;15.57;
2026-02-03 18:36:17.21;0.00:00:01:151;-0.01;0.97;0.23;4.001E-06;-2.712E-08;4.467E-06;1.035E-06;45.17;6.52;114.61;25.87;111.66;4.001E-06;4.586E-06;-5.847E-07;-53.978;-53.386;-99.990;0.50;13.05;
2026-02-03 18:36:17.27;0.00:00:01:204;-0.11;0.96;0.26;4.131E-06;-4.045E-07;3.477E-06;9.303E-07;48.32;7.44;87.68;22.52;84.74;4.131E-06;3.622E-06;5.089E-07;-53.840;-54.411;-62.934;0.44;14.98;
2026-02-03 18:36:17.31;0.00:00:01:252;-0.13;0.99;0.02;4.625E-06;-6.588E-07;5.01E-06;7.789E-08;48.75;0.44;109.28;1.68;109.26;4.625E-06;5.054E-06;-4.291E-07;-53.349;-52.964;-99.990;0.43;0.89;
2026-02-03 18:36:17.37;0.00:00:01:305;0.02;0.99;0.16;3.993E-06;8.542E-08;4.485E-06;7.288E-07;44.45;4.61;113.80;18.25;112.32;3.993E-06;4.544E-06;-5.51E-07;-53.987;-53.425;-99.990;0.51;9.23;
2026-02-03 18:36:17.41;0.00:00:01:351;-0.33;0.91;0.25;5.382E-06;-1.529E-06;4.216E-06;1.155E-06;54.97;7.22;86.03;21.47;83.31;5.382E-06;4.631E-06;7.518E-07;-52.690;-53.344;-61.239;0.33;15.33;
2026-02-03 18:36:17.47;0.00:00:01:403;-0.05;0.97;0.26;4.068E-06;-2.174E-07;4.53E-06;1.199E-06;46.37;7.40;115.32;29.47;111.49;4.068E-06;4.691E-06;-6.232E-07;-53.906;-53.287;-99.990;0.48;14.82;
2026-02-03 18:36:17.52;0.00:00:01:454;-0.34;0.90;0.28;5.12E-06;-1.178E-06;3.092E-06;9.575E-07;55.43;8.07;67.29;18.70;64.63;5.12E-06;3.445E-06;1.675E-06;-52.908;-54.628;-57.760;0.33;17.21;
2026-02-03 18:36:17.57;0.00:00:01:502;-0.15;0.97;0.19;4.561E-06;-7.681E-07;4.9E-06;9.627E-07;49.45;5.49;110.76;21.11;108.73;4.561E-06;5.052E-06;-4.907E-07;-53.409;-52.965;-99.990;0.42;11.12;
2026-02-03 18:36:17.61;0.00:00:01:551;0.10;0.99;0.12;3.756E-06;3.393E-07;3.216E-06;4.036E-07;41.99;3.56;86.77;10.74;86.10;3.756E-06;3.259E-06;4.971E-07;-54.252;-54.869;-63.035;0.55;7.15;
2026-02-03 18:36:17.67;0.00:00:01:603;-0.12;0.97;0.20;4.735E-06;-5.834E-07;4.571E-06;9.326E-07;48.64;5.72;99.30;19.70;97.33;4.735E-06;4.702E-06;3.321E-08;-53.247;-53.278;-74.788;0.44;11.53;
2026-02-03 18:36:17.71;0.00:00:01:652;-0.15;0.97;0.21;4.435E-06;-4.445E-07;2.87E-06;6.323E-07;49.40;6.14;67.02;14.26;65.49;4.435E-06;2.972E-06;1.463E-06;-53.531;-55.269;-58.349;0.43;12.42;
2026-02-03 18:36:17.77;0.00:00:01:704;-0.43;0.88;0.17;5.353E-06;-1.461E-06;2.972E-06;5.696E-07;58.09;4.88;62.77;10.64;61.87;5.353E-06;3.361E-06;1.993E-06;-52.714;-54.736;-57.005;0.28;10.85;
2026-02-03 18:36:17.81;0.00:00:01:751;-0.19;0.98;0.10;4.716E-06;-1.02E-06;5.262E-06;5.442E-07;50.48;2.90;114.24;11.54;113.65;4.716E-06;5.388E-06;-6.715E-07;-53.264;-52.686;-99.990;0.41;5.90;
2026-02-03 18:36:17.86;0.00:00:01:801;-0.07;0.99;0.09;4.405E-06;-2.747E-07;4.148E-06;3.643E-07;46.89;2.50;94.73;8.27;94.37;4.405E-06;4.173E-06;2.32E-07;-53.561;-53.796;-66.345;0.47;5.02;
2026-02-03 18:36:17.92;0.00:00:01:852;-0.17;0.97;0.14;4.651E-06;-9.303E-07;5.244E-06;7.767E-07;50.03;4.15;115.72;16.70;114.51;4.651E-06;5.383E-06;-7.314E-07;-53.324;-52.690;-99.990;0.41;8.42;
2026-02-03 18:36:17.96;0.00:00:01:902;0.03;0.99;0.16;3.633E-06;1.461E-07;4.763E-06;7.847E-07;44.12;4.68;132.95;21.60;131.18;3.633E-06;4.829E-06;-1.197E-06;-54.398;-53.161;-99.990;0.52;9.36;
2026-02-03 18:36:18.01;0.00:00:01:951;-0.29;0.94;0.18;5.25E-06;-1.254E-06;4.057E-06;7.798E-07;53.59;5.20;82.22;14.85;80.87;5.25E-06;4.317E-06;9.333E-07;-52.798;-53.648;-60.300;0.35;10.88;
2026-02-03 18:36:18.06;0.00:00:02:002;-0.10;0.98;0.18;4.584E-06;-4.973E-07;4.873E-06;8.857E-07;47.91;5.12;108.58;19.32;106.85;4.584E-06;4.978E-06;-3.932E-07;-53.387;-53.030;-99.990;0.45;10.30;
2026-02-03 18:36:18.11;0.00:00:02:052;-0.23;0.93;0.27;4.991E-06;-9.532E-07;3.866E-06;1.135E-06;51.93;7.95;82.96;22.74;79.78;4.991E-06;4.14E-06;8.506E-07;-53.018;-53.830;-60.703;0.38;16.36;
2026-02-03 18:36:18.17;0.00:00:02:104;-0.19;0.96;0.23;4.883E-06;-8.744E-07;4.388E-06;1.045E-06;50.63;6.57;94.09;21.41;91.62;4.883E-06;4.595E-06;2.885E-07;-53.113;-53.377;-65.398;0.40;13.40;
