Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-03 18:34:10.27;0.00:00:00:055;0.86;-0.51;0.05;3.493E-06;2.949E-06;-1.762E-06;1.786E-07;-15.43;1.49;98.49;5.11;98.36;3.493E-06;3.44E-06;5.269E-08;-54.568;-54.634;-72.783;0.93;174.21;
2026-02-03 18:34:10.32;0.00:00:00:104;0.86;-0.51;0.05;3.386E-06;2.687E-06;-1.584E-06;1.608E-07;-15.26;1.48;92.26;4.75;92.14;3.386E-06;3.123E-06;2.621E-07;-54.704;-55.054;-65.815;0.93;174.20;
2026-02-03 18:34:10.37;0.00:00:00:154;0.87;-0.47;0.10;3.217E-06;3.324E-06;-1.8E-06;3.837E-07;-14.22;2.90;118.11;11.93;117.51;3.217E-06;3.8E-06;-5.827E-07;-54.925;-54.202;-99.990;0.94;167.97;
2026-02-03 18:34:10.42;0.00:00:00:205;0.87;-0.49;0.02;3.412E-06;2.644E-06;-1.473E-06;6.051E-08;-14.56;0.57;88.71;1.77;88.69;3.412E-06;3.027E-06;3.852E-07;-54.670;-55.190;-64.144;0.94;177.65;
2026-02-03 18:34:10.48;0.00:00:00:257;0.97;-0.22;0.05;3.326E-06;3.058E-06;-6.798E-07;1.63E-07;-6.27;1.49;94.33;4.90;94.21;3.326E-06;3.137E-06;1.885E-07;-54.781;-55.035;-67.248;0.99;166.52;
2026-02-03 18:34:10.53;0.00:00:00:307;0.85;-0.52;0.06;3.49E-06;2.748E-06;-1.67E-06;2.09E-07;-15.64;1.86;92.34;5.99;92.15;3.49E-06;3.223E-06;2.672E-07;-54.572;-54.918;-65.732;0.93;172.87;
2026-02-03 18:34:10.58;0.00:00:00:358;0.92;-0.39;0.01;3.487E-06;2.685E-06;-1.131E-06;2.595E-08;-11.42;0.26;83.57;0.74;83.57;3.487E-06;2.914E-06;5.729E-07;-54.576;-55.355;-62.419;0.96;178.69;
2026-02-03 18:34:10.63;0.00:00:00:409;0.90;-0.44;0.04;3.315E-06;3.121E-06;-1.522E-06;1.491E-07;-13.00;1.23;104.84;4.50;104.75;3.315E-06;3.475E-06;-1.605E-07;-54.796;-54.590;-99.990;0.95;174.40;
2026-02-03 18:34:10.68;0.00:00:00:459;0.91;-0.41;-0.06;3.628E-06;2.76E-06;-1.234E-06;-1.782E-07;-12.05;-1.69;83.46;4.91;83.32;3.628E-06;3.028E-06;6.001E-07;-54.403;-55.188;-62.218;0.96;-171.78;
2026-02-03 18:34:10.73;0.00:00:00:512;0.90;-0.42;0.05;3.244E-06;3.437E-06;-1.602E-06;2.071E-07;-12.50;1.56;117.07;6.39;116.89;3.244E-06;3.797E-06;-5.537E-07;-54.890;-54.205;-99.990;0.95;172.63;
2026-02-03 18:34:10.78;0.00:00:00:564;0.92;-0.38;-0.01;3.532E-06;2.722E-06;-1.133E-06;-3.723E-08;-11.30;-0.36;83.48;1.05;83.47;3.532E-06;2.949E-06;5.835E-07;-54.519;-55.304;-62.340;0.96;-178.12;
2026-02-03 18:34:10.83;0.00:00:00:613;0.88;-0.47;0.03;3.421E-06;2.85E-06;-1.529E-06;1.069E-07;-14.11;0.95;94.61;3.13;94.56;3.421E-06;3.236E-06;1.844E-07;-54.659;-54.900;-67.342;0.94;176.00;
2026-02-03 18:34:10.88;0.00:00:00:664;0.91;-0.40;-0.12;3.824E-06;2.831E-06;-1.251E-06;-3.738E-07;-11.92;-3.44;81.51;9.77;80.93;3.824E-06;3.117E-06;7.069E-07;-54.175;-55.063;-61.506;0.95;-163.36;
2026-02-03 18:34:10.93;0.00:00:00:715;0.88;-0.47;0.05;3.35E-06;3.323E-06;-1.777E-06;1.979E-07;-14.07;1.50;112.65;5.91;112.49;3.35E-06;3.773E-06;-4.237E-07;-54.750;-54.233;-99.990;0.94;173.64;
2026-02-03 18:34:10.99;0.00:00:00:767;0.91;-0.43;0.01;3.353E-06;2.804E-06;-1.317E-06;2.521E-08;-12.58;0.23;92.39;0.75;92.39;3.353E-06;3.097E-06;2.551E-07;-54.746;-55.090;-65.933;0.95;178.90;
2026-02-03 18:34:11.04;0.00:00:00:817;0.87;-0.50;0.03;3.305E-06;3.267E-06;-1.872E-06;9.454E-08;-14.90;0.72;113.98;2.86;113.94;3.305E-06;3.767E-06;-4.62E-07;-54.809;-54.240;-99.990;0.93;177.11;
2026-02-03 18:34:11.09;0.00:00:00:868;0.94;-0.34;-0.08;3.808E-06;2.211E-06;-7.978E-07;-1.807E-07;-9.92;-2.20;61.91;4.75;61.72;3.808E-06;2.358E-06;1.451E-06;-54.193;-56.275;-58.384;0.97;-167.24;
2026-02-03 18:34:11.15;0.00:00:00:927;0.98;-0.18;0.05;3.406E-06;2.892E-06;-5.348E-07;1.477E-07;-5.24;1.44;86.46;4.34;86.35;3.406E-06;2.945E-06;4.611E-07;-54.678;-55.310;-63.362;0.99;164.56;
2026-02-03 18:34:11.19;0.00:00:00:974;0.86;-0.51;0.04;3.363E-06;2.734E-06;-1.614E-06;1.132E-07;-15.28;1.02;94.46;3.37;94.40;3.363E-06;3.176E-06;1.864E-07;-54.733;-54.981;-67.295;0.93;175.99;
2026-02-03 18:34:11.24;0.00:00:01:020;0.92;-0.39;0.00;3.426E-06;2.613E-06;-1.103E-06;-1.21E-08;-11.44;-0.12;82.79;0.35;82.79;3.426E-06;2.837E-06;5.896E-07;-54.652;-55.472;-62.294;0.96;-179.37;
2026-02-03 18:34:11.29;0.00:00:01:066;0.83;-0.56;-0.03;3.605E-06;2.352E-06;-1.607E-06;-9.949E-08;-17.18;-1.00;79.08;2.76;79.03;3.605E-06;2.851E-06;7.542E-07;-54.431;-55.451;-61.225;0.91;-176.46;
2026-02-03 18:34:11.33;0.00:00:01:113;0.89;-0.45;0.05;3.156E-06;3.222E-06;-1.624E-06;1.683E-07;-13.37;1.34;114.43;5.33;114.31;3.156E-06;3.612E-06;-4.555E-07;-55.008;-54.423;-99.990;0.95;174.08;
2026-02-03 18:34:11.38;0.00:00:01:159;0.82;-0.57;-0.05;3.626E-06;2.632E-06;-1.812E-06;-1.71E-07;-17.28;-1.53;88.25;4.72;88.13;3.626E-06;3.2E-06;4.259E-07;-54.406;-54.949;-63.706;0.91;-174.61;
2026-02-03 18:34:11.43;0.00:00:01:207;0.96;-0.29;0.00;3.248E-06;3.423E-06;-1.036E-06;1.751E-08;-8.42;0.14;110.13;0.54;110.13;3.248E-06;3.577E-06;-3.29E-07;-54.884;-54.465;-99.990;0.98;179.03;
2026-02-03 18:34:11.47;0.00:00:01:254;0.87;-0.50;0.04;3.56E-06;2.943E-06;-1.694E-06;1.225E-07;-14.97;1.03;95.44;3.44;95.38;3.56E-06;3.398E-06;1.623E-07;-54.485;-54.688;-67.896;0.93;175.87;
2026-02-03 18:34:11.54;0.00:00:01:316;0.88;-0.46;0.09;3.49E-06;2.665E-06;-1.404E-06;2.673E-07;-13.90;2.54;86.64;7.66;86.30;3.49E-06;3.024E-06;4.665E-07;-54.571;-55.194;-63.312;0.94;169.22;
2026-02-03 18:34:11.60;0.00:00:01:377;0.85;-0.53;0.02;3.655E-06;2.422E-06;-1.529E-06;6.927E-08;-16.13;0.69;78.38;1.90;78.36;3.655E-06;2.865E-06;7.902E-07;-54.371;-55.428;-61.023;0.92;177.41;
2026-02-03 18:34:11.64;0.00:00:01:423;0.90;-0.44;0.04;3.323E-06;3.015E-06;-1.477E-06;1.367E-07;-13.05;1.17;101.11;4.11;101.02;3.323E-06;3.36E-06;-3.678E-08;-54.784;-54.736;-99.990;0.95;174.71;
2026-02-03 18:34:11.69;0.00:00:01:470;0.87;-0.49;0.00;3.312E-06;3.487E-06;-1.976E-06;1.276E-08;-14.77;0.09;120.99;0.39;120.99;3.312E-06;4.008E-06;-6.952E-07;-54.798;-53.971;-99.990;0.93;179.63;
2026-02-03 18:34:11.74;0.00:00:01:517;0.91;-0.42;0.02;3.535E-06;2.417E-06;-1.113E-06;5.142E-08;-12.36;0.55;75.30;1.45;75.29;3.535E-06;2.662E-06;8.73E-07;-54.516;-55.748;-60.590;0.95;177.36;
