Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-03 17:52:41.98;0.00:00:00:048;-0.27;-0.96;0.00;4.151E-06;-1.163E-06;-4.13E-06;-1.282E-08;-52.86;-0.09;103.35;0.31;103.35;4.151E-06;4.291E-06;-1.391E-07;-53.818;-53.675;-99.990;0.36;-179.82;
2026-02-03 17:52:42.03;0.00:00:00:099;-0.64;-0.75;0.16;5.124E-06;-2.375E-06;-2.755E-06;6.027E-07;-65.38;4.70;71.96;11.76;70.99;5.124E-06;3.687E-06;1.437E-06;-52.904;-54.334;-58.426;0.18;167.66;
2026-02-03 17:52:42.09;0.00:00:00:150;-0.44;-0.89;-0.13;4.593E-06;-2.137E-06;-4.338E-06;-6.361E-07;-58.11;-3.75;106.19;13.85;105.28;4.593E-06;4.878E-06;-2.841E-07;-53.379;-53.118;-99.990;0.28;-171.66;
2026-02-03 17:52:42.14;0.00:00:00:202;-0.48;-0.88;-0.01;5.165E-06;-2.381E-06;-4.311E-06;-6.246E-08;-59.46;-0.36;95.36;1.21;95.36;5.165E-06;4.925E-06;2.395E-07;-52.870;-53.076;-66.207;0.26;-179.17;
2026-02-03 17:52:42.19;0.00:00:00:250;-0.33;-0.94;-0.08;3.899E-06;-1.179E-06;-3.345E-06;-2.928E-07;-54.71;-2.36;91.27;7.51;90.96;3.899E-06;3.559E-06;3.403E-07;-54.091;-54.487;-64.681;0.33;-175.00;
2026-02-03 17:52:42.23;0.00:00:00:299;-0.51;-0.86;-0.11;5.017E-06;-2.46E-06;-4.165E-06;-5.132E-07;-60.29;-3.03;96.96;10.23;96.42;5.017E-06;4.865E-06;1.526E-07;-52.995;-53.130;-68.165;0.25;-172.98;
2026-02-03 17:52:42.28;0.00:00:00:345;-0.34;-0.92;-0.17;3.839E-06;-1.386E-06;-3.712E-06;-6.959E-07;-55.24;-4.98;104.79;18.13;103.21;3.839E-06;4.023E-06;-1.841E-07;-54.158;-53.955;-99.990;0.33;-169.38;
2026-02-03 17:52:42.33;0.00:00:00:394;-0.30;-0.96;-0.02;4.311E-06;-1.632E-06;-5.28E-06;-1.074E-07;-53.59;-0.56;128.21;2.49;128.18;4.311E-06;5.527E-06;-1.216E-06;-53.654;-52.575;-99.990;0.35;-178.83;
2026-02-03 17:52:42.38;0.00:00:00:443;-0.64;-0.77;-0.07;4.618E-06;-2.121E-06;-2.533E-06;-2.233E-07;-64.97;-1.93;71.71;4.83;71.54;4.618E-06;3.311E-06;1.307E-06;-53.356;-54.800;-58.839;0.18;-174.96;
2026-02-03 17:52:42.43;0.00:00:00:494;-0.39;-0.91;-0.13;4.167E-06;-1.64E-06;-3.798E-06;-5.611E-07;-56.68;-3.86;100.19;13.46;99.28;4.167E-06;4.175E-06;-7.943E-09;-53.801;-53.793;-99.990;0.30;-171.60;
2026-02-03 17:52:42.48;0.00:00:00:545;-0.61;-0.79;-0.01;4.783E-06;-2.071E-06;-2.667E-06;-2.356E-08;-63.92;-0.20;70.61;0.49;70.60;4.783E-06;3.377E-06;1.406E-06;-53.203;-54.715;-58.521;0.19;-179.49;
2026-02-03 17:52:42.53;0.00:00:00:595;-0.31;-0.95;-0.07;3.563E-06;-9.554E-07;-2.935E-06;-2.063E-07;-54.02;-1.91;86.83;5.79;86.64;3.563E-06;3.093E-06;4.692E-07;-54.482;-55.096;-63.286;0.35;-175.98;
2026-02-03 17:52:42.58;0.00:00:00:645;-0.69;-0.72;-0.04;5.396E-06;-2.897E-06;-3.007E-06;-1.634E-07;-66.96;-1.12;77.45;3.03;77.39;5.396E-06;4.179E-06;1.217E-06;-52.680;-53.790;-59.147;0.15;-176.89;
2026-02-03 17:52:42.63;0.00:00:00:696;-0.43;-0.89;-0.13;3.882E-06;-1.272E-06;-2.627E-06;-3.679E-07;-57.92;-3.59;75.81;9.48;75.21;3.882E-06;2.942E-06;9.391E-07;-54.110;-55.313;-60.273;0.28;-172.03;
2026-02-03 17:52:42.68;0.00:00:00:742;-0.48;-0.86;-0.15;5.036E-06;-2.188E-06;-3.92E-06;-6.768E-07;-59.59;-4.29;90.16;13.44;89.16;5.036E-06;4.54E-06;4.953E-07;-52.980;-53.429;-63.052;0.26;-170.20;
2026-02-03 17:52:42.72;0.00:00:00:789;-0.30;-0.95;-0.10;4.004E-06;-1.366E-06;-4.253E-06;-4.343E-07;-53.91;-2.78;112.08;10.85;111.56;4.004E-06;4.488E-06;-4.838E-07;-53.975;-53.480;-99.990;0.35;-174.17;
2026-02-03 17:52:42.77;0.00:00:00:837;-0.41;-0.91;-0.06;4.97E-06;-2.094E-06;-4.627E-06;-3.065E-07;-57.18;-1.73;102.37;6.17;102.18;4.97E-06;5.088E-06;-1.176E-07;-53.036;-52.935;-99.990;0.29;-176.21;
2026-02-03 17:52:42.83;0.00:00:00:890;-0.47;-0.88;-0.08;4.535E-06;-2.099E-06;-3.938E-06;-3.485E-07;-59.03;-2.23;98.70;7.68;98.40;4.535E-06;4.476E-06;5.901E-08;-53.434;-53.491;-72.291;0.27;-174.94;
2026-02-03 17:52:42.88;0.00:00:00:940;-0.29;-0.95;-0.12;3.994E-06;-1.371E-06;-4.485E-06;-5.87E-07;-53.50;-3.57;118.34;14.70;117.43;3.994E-06;4.726E-06;-7.326E-07;-53.986;-53.255;-99.990;0.35;-172.54;
2026-02-03 17:52:42.93;0.00:00:00:990;-0.43;-0.90;-0.11;4.356E-06;-1.696E-06;-3.525E-06;-4.197E-07;-57.85;-3.06;90.32;9.63;89.80;4.356E-06;3.934E-06;4.217E-07;-53.609;-54.051;-63.750;0.28;-173.21;
2026-02-03 17:52:42.98;0.00:00:01:044;-0.26;-0.96;-0.09;3.59E-06;-1.015E-06;-3.68E-06;-3.435E-07;-52.71;-2.57;106.78;9.57;106.35;3.59E-06;3.833E-06;-2.433E-07;-54.449;-54.165;-99.990;0.37;-174.67;
2026-02-03 17:52:43.03;0.00:00:01:091;-0.60;-0.80;-0.03;4.618E-06;-1.987E-06;-2.635E-06;-1.133E-07;-63.51;-0.98;71.51;2.45;71.47;4.618E-06;3.303E-06;1.316E-06;-53.355;-54.812;-58.808;0.20;-177.54;
2026-02-03 17:52:43.08;0.00:00:01:140;-0.31;-0.91;-0.27;3.77E-06;-1.055E-06;-3.073E-06;-9.216E-07;-54.47;-7.92;89.60;24.45;86.20;3.77E-06;3.378E-06;3.921E-07;-54.237;-54.714;-64.066;0.34;-163.31;
2026-02-03 17:52:43.13;0.00:00:01:194;-0.45;-0.89;0.01;4.521E-06;-1.914E-06;-3.765E-06;2.976E-08;-58.47;0.20;93.42;0.66;93.42;4.521E-06;4.224E-06;2.975E-07;-53.447;-53.743;-65.265;0.27;179.55;
2026-02-03 17:52:43.18;0.00:00:01:242;-0.46;-0.87;-0.15;4.246E-06;-1.736E-06;-3.264E-06;-5.741E-07;-59.00;-4.41;88.10;13.52;87.06;4.246E-06;3.741E-06;5.053E-07;-53.720;-54.270;-62.965;0.27;-170.02;
2026-02-03 17:52:43.23;0.00:00:01:291;-0.44;-0.90;-0.08;4.459E-06;-1.521E-06;-3.122E-06;-2.772E-07;-57.99;-2.28;78.12;6.22;77.87;4.459E-06;3.484E-06;9.758E-07;-53.507;-54.580;-60.106;0.28;-174.93;
2026-02-03 17:52:43.28;0.00:00:01:343;-0.58;-0.81;-0.07;4.83E-06;-2.253E-06;-3.123E-06;-2.552E-07;-62.90;-1.90;79.91;5.28;79.73;4.83E-06;3.859E-06;9.705E-07;-53.161;-54.135;-60.130;0.21;-175.33;
2026-02-03 17:52:43.33;0.00:00:01:395;-0.39;-0.92;0.03;4.468E-06;-1.716E-06;-4.036E-06;1.392E-07;-56.52;0.91;98.22;3.12;98.17;4.468E-06;4.388E-06;7.945E-08;-53.499;-53.577;-70.999;0.30;178.02;
2026-02-03 17:52:43.38;0.00:00:01:447;-0.41;-0.90;-0.14;4.529E-06;-1.731E-06;-3.779E-06;-5.761E-07;-57.31;-3.94;92.66;12.72;91.78;4.529E-06;4.197E-06;3.324E-07;-53.440;-53.771;-64.783;0.29;-171.33;
2026-02-03 17:52:43.43;0.00:00:01:492;-0.33;-0.94;-0.08;4.369E-06;-1.583E-06;-4.455E-06;-3.862E-07;-54.78;-2.33;108.57;8.84;108.21;4.369E-06;4.744E-06;-3.746E-07;-53.596;-53.239;-99.990;0.33;-175.05;
2026-02-03 17:52:43.48;0.00:00:01:545;-0.46;-0.89;-0.01;4.749E-06;-1.775E-06;-3.383E-06;-5.288E-08;-58.84;-0.40;80.46;1.11;80.46;4.749E-06;3.821E-06;9.277E-07;-53.234;-54.178;-60.326;0.27;-179.10;
2026-02-03 17:52:43.53;0.00:00:01:596;-0.28;-0.95;-0.16;3.736E-06;-1.117E-06;-3.762E-06;-6.413E-07;-53.27;-4.64;106.43;17.17;105.04;3.736E-06;3.976E-06;-2.403E-07;-54.276;-54.005;-99.990;0.36;-170.32;
2026-02-03 17:52:43.58;0.00:00:01:644;-0.40;-0.91;-0.10;5.015E-06;-2.011E-06;-4.649E-06;-4.977E-07;-56.70;-2.81;101.47;9.92;100.99;5.015E-06;5.089E-06;-7.394E-08;-52.997;-52.933;-99.990;0.30;-173.89;
2026-02-03 17:52:43.63;0.00:00:01:696;-0.14;-0.98;-0.16;3.228E-06;-5.186E-07;-3.72E-06;-6.034E-07;-48.97;-4.56;117.83;18.69;116.34;3.228E-06;3.804E-06;-5.756E-07;-54.911;-54.198;-99.990;0.43;-170.79;
2026-02-03 17:52:43.68;0.00:00:01:746;-0.26;-0.96;-0.04;3.936E-06;-1.223E-06;-4.496E-06;-1.76E-07;-52.61;-1.08;118.47;4.47;118.38;3.936E-06;4.663E-06;-7.269E-07;-54.049;-53.313;-99.990;0.37;-177.76;
2026-02-03 17:52:43.73;0.00:00:01:795;-0.51;-0.86;-0.02;4.248E-06;-1.917E-06;-3.222E-06;-9.047E-08;-60.37;-0.69;88.28;2.13;88.25;4.248E-06;3.75E-06;4.98E-07;-53.718;-54.259;-63.027;0.24;-178.39;
2026-02-03 17:52:43.78;0.00:00:01:848;-0.31;-0.95;0.07;4.106E-06;-1.302E-06;-3.931E-06;2.916E-07;-54.16;2.01;101.09;7.10;100.84;4.106E-06;4.151E-06;-4.471E-08;-53.865;-53.818;-99.990;0.34;175.76;
2026-02-03 17:52:43.83;0.00:00:01:895;-0.54;-0.84;0.08;4.382E-06;-2.053E-06;-3.175E-06;2.879E-07;-61.45;2.18;86.54;6.57;86.29;4.382E-06;3.792E-06;5.898E-07;-53.584;-54.212;-62.293;0.23;174.82;
