Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 2048 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2026-02-03 17:51:23.88;0.00:00:00:050;-0.37;-0.15;0.92;4.408E-06;-1.636E-06;-6.483E-07;4.027E-06;-79.19;33.20;99.71;91.36;39.93;4.408E-06;4.395E-06;1.278E-08;-53.558;-53.571;-78.934;0.31;99.15;
2026-02-03 17:51:23.93;0.00:00:00:100;-0.35;-0.02;0.94;4.542E-06;-1.384E-06;-7.414E-08;3.691E-06;-88.47;34.71;86.80;81.26;30.52;4.542E-06;3.942E-06;5.993E-07;-53.428;-54.042;-62.223;0.32;91.15;
2026-02-03 17:51:23.98;0.00:00:00:150;-0.33;-0.02;0.94;4.597E-06;-1.459E-06;-9.343E-08;4.208E-06;-88.17;35.42;96.90;91.53;31.80;4.597E-06;4.454E-06;1.427E-07;-53.375;-53.512;-68.456;0.34;91.27;
2026-02-03 17:51:24.03;0.00:00:00:202;-0.16;-0.04;0.99;4.152E-06;-6.704E-07;-1.515E-07;4.041E-06;-83.63;40.17;98.71;97.31;16.55;4.152E-06;4.099E-06;5.351E-08;-53.817;-53.874;-72.716;0.42;92.15;
2026-02-03 17:51:24.09;0.00:00:00:254;-0.29;-0.04;0.96;4.411E-06;-1.267E-06;-1.632E-07;4.137E-06;-86.33;36.42;98.14;93.78;28.95;4.411E-06;4.329E-06;8.19E-08;-53.554;-53.636;-70.867;0.35;92.26;
2026-02-03 17:51:24.14;0.00:00:00:305;-0.27;-0.18;0.95;4.297E-06;-1.161E-06;-7.529E-07;4.026E-06;-73.52;35.51;99.07;93.69;32.21;4.297E-06;4.257E-06;3.99E-08;-53.669;-53.709;-73.991;0.36;100.59;
2026-02-03 17:51:24.19;0.00:00:00:356;-0.46;-0.14;0.88;4.9E-06;-2.041E-06;-5.963E-07;3.865E-06;-81.86;30.59;90.03;78.88;43.40;4.9E-06;4.411E-06;4.883E-07;-53.098;-53.554;-63.113;0.27;98.77;
2026-02-03 17:51:24.24;0.00:00:00:406;-0.29;0.05;0.96;4.536E-06;-1.36E-06;2.131E-07;4.513E-06;85.55;36.52;104.03;99.50;30.35;4.536E-06;4.718E-06;-1.827E-07;-53.433;-53.262;-99.990;0.36;87.30;
2026-02-03 17:51:24.29;0.00:00:00:458;-0.32;-0.09;0.94;4.351E-06;-1.299E-06;-3.843E-07;3.87E-06;-81.76;35.35;94.24;88.95;31.14;4.351E-06;4.101E-06;2.506E-07;-53.614;-53.871;-66.011;0.34;95.67;
2026-02-03 17:51:24.34;0.00:00:00:510;-0.25;0.08;0.97;4.37E-06;-1.013E-06;3.117E-07;3.958E-06;81.45;37.50;93.76;90.57;24.26;4.37E-06;4.097E-06;2.725E-07;-53.595;-53.875;-65.646;0.38;85.50;
